stock_symbol,date,opening,closing,low,high,volume,market_cap,p/e
AGU,1/24/2014,90.76,89.19,88.75,91.04,912938,12.888B,10.31
AVD,1/24/2014,24.00,24.00,23.852,24.07,225542,687.8M,15.32
CVAT,1/24/2014,0.099,0.0925,0.0925,0.10,31500,14.7M,N/A
CERE, Inc.,1/24/2014,1.53,1.53,1.48,1.48,91422,37.3M
CF,1/24/2014,238.86,232.68,232.64,238.86,796999,13.335B,9.06
CGA,1/24/2014,3.40,3.26,3.18,3.40,222591,103.7M,2.10
UAN, LP ,1/24/2014,18.08,18.08,17.25,17.83,290767,1.303B
IPI, ,1/24/2014,16.15,16.15,15.63,15.88,988616,1.197B
KWBT,1/24/2014,0.0015,0.0022,0.0015,0.0022,225000,880K,0.24
MBII,1/24/2014,18.66,18.50,18.02,18.95,105612,355.3M,N/A
MON,1/24/2014,107.87,107.94,107.60,109.09,3653971,56.655B,23.35
NOEC,1/24/2014,0.0052,0.0052,0.0052,0.0052,1000,88K,N/A
POT,1/24/2014,32.79,31.74,31.70,32.79,9008996,27.398B,14.64
RNF,1/24/2014,20.69,19.84,19.4535,20.69,176222,770.8M,21.14
SYT,1/24/2014,74.81,74.47,74.47,75.00,339775,34.246B,20.04
TNH,1/24/2014,162.70,156.89,156.0001,162.70,42861,2.931B,9.75
MOS,1/24/2014,46.74,45.38,45.185,46.80,4940350,19.324B,10.64
SMG,1/24/2014,61.79,59.78,59.77,61.79,316341,3.705B,24.03
YONG,1/24/2014,6.56,6.55,6.52,6.56,739639,332.0M,2.17
YONGY,11/14/2013,N/A,8.65,N/A,N/A,0,219.2M,10.18
AA,1/24/2014,11.91,11.44,11.40,11.98,61915404,12.252B,N/A
AWC,1/24/2014,4.50,4.33,4.33,4.58,176129,1.158B,N/A
ACH,1/24/2014,9.33,9.19,9.11,9.33,187650,4.991B,N/A
CENX,1/24/2014,12.18,11.50,11.42,12.18,1371764,1.020B,N/A
KALU,1/24/2014,69.78,69.00,68.318,70.95,219276,1.278B,15.62
NOR,1/24/2014,3.48,3.34,3.21,3.48,936152,227.2M,N/A
SHLM, Inc.,1/24/2014,35.271,34.61,33.72,33.91,117110,984.0M
ACET,1/24/2014,22.54,21.48,20.97,22.642,481355,604.3M,22.03
APD,1/24/2014,110.04,106.71,106.65,110.35,1159216,22.545B,23.70
ARG, Inc. Comm,1/24/2014,110.31,109.96,108.65,108.82,739709,8.025B
AFPW,1/24/2014,0.0004,0.0004,0.0002,0.0004,100015440,131K,N/A
ARSD,1/24/2014,11.87,11.48,11.211,11.87,85244,277.0M,16.23
ASH,1/24/2014,96.61,95.16,95.02,96.78,765226,7.376B,11.32
BCPC,1/24/2014,56.17,54.87,54.51,56.28,104244,1.654B,39.44
BIOA,1/24/2014,10.93,10.629,10.50,11.59,122967,195.9M,N/A
BIOAF,1/24/2014,N/A,0.6935,N/A,N/A,0,29.0M,N/A
BAK,1/24/2014,15.73,15.70,15.47,15.90,247707,6.249B,16.79
CE,1/24/2014,52.59,52.67,51.23,55.50,4115610,8.290B,7.94
CERP,1/24/2014,0.0053,0.0053,0.005,0.0055,6208185,5.3M,N/A
SQM,1/24/2014,27.22,26.40,25.64,27.22,989891,6.948B,13.31
CDXC,1/24/2014,1.79,1.77,1.76,1.86,95412,185.6M,N/A
CDTI,1/24/2014,2.54,2.33,2.2901,2.60,444674,21.6M,N/A
DD,1/24/2014,61.31,59.97,59.95,61.41,6013778,55.538B,12.07
EMN,1/24/2014,75.34,74.63,74.52,75.82,2958341,11.483B,15.63
FMC,1/24/2014,73.44,71.62,71.62,73.57,825305,9.545B,27.51
FF,1/24/2014,16.75,16.43,16.31,16.82,149107,712.1M,13.43
GEVO, Inc.,1/24/2014,1.30,1.29,1.25,1.28,916879,59.1M
HUN,1/24/2014,22.28,21.79,21.68,22.39,5099033,5.227B,114.11
IEVM,1/24/2014,0.0954,0.10,0.0954,0.10,115600,22.8M,N/A
JAEN,1/13/2014,N/A,0.95,N/A,N/A,0,36.5M,N/A
LNDC,1/24/2014,11.21,11.35,11.00,11.35,240815,302.6M,17.34
LXU, I,1/24/2014,36.91,36.50,35.24,36.03,250173,811.4M
MEIL,1/24/2014,3.88,3.701,3.70,3.899,29292,25.9M,N/A
NANX,1/24/2014,0.52,0.52,0.52,0.52,200,14.8M,N/A
OCIP,1/24/2014,25.48,25.21,24.89,25.55,152337,2.029B,15.88
OOIL, INC.,1/24/2014,0.279,0.27,0.259,0.269,311826,13.1M
PDH,1/24/2014,11.54,11.47,11.25,11.73,337315,1.597B,5.53
PX, Inc. Com,1/24/2014,130.48,130.48,126.95,126.97,2071523,37.375B
PURE, ,1/24/2014,1.39,1.35,1.20,1.33,65878,33.8M
RTK, Inc.,1/24/2014,1.98,1.95,1.87,1.90,2212483,431.0M
REX,1/24/2014,41.11,38.85,38.01,41.11,74022,313.8M,22.92
DOW,1/24/2014,44.22,43.41,43.30,44.31,13530798,52.487B,19.30
VHI, Inc. Commo,1/24/2014,14.97,14.75,14.42,14.45,33120,4.900B
AZC,1/24/2014,1.53,1.58,1.53,1.59,252608,228.2M,N/A
FCX,1/24/2014,33.21,32.77,32.50,33.39,16421757,34.015B,12.76
LIWA,1/24/2014,5.56,5.46,5.45,5.56,130635,163.3M,2.85
NRDS,1/23/2014,N/A,0.0233,N/A,N/A,0,2.6M,N/A
SCCO,1/24/2014,28.58,27.92,27.70,28.76,4002274,23.453B,13.98
AEM,1/24/2014,31.02,30.92,29.78,31.32,3628313,5.362B,40.92
AGI,1/24/2014,9.33,9.07,8.88,9.42,721521,1.158B,14.24
AAGC,1/24/2014,0.0025,0.0025,0.0025,0.0025,7625,242K,N/A
ANV,1/24/2014,5.06,4.86,4.805,5.12,5090683,505.2M,14.52
AAU,,1/24/2014,1.63,1.63,1.44,1.50,211383,96.7M
AIVN,1/24/2014,0.108,0.10,0.10,0.108,11000,20.5M,N/A
AU,1/24/2014,14.32,14.10,13.54,14.42,4504735,5.501B,N/A
AKG,1/24/2014,1.68,1.62,1.59,1.68,686574,137.8M,N/A
AUQ,1/24/2014,4.72,4.75,4.55,4.75,4706664,1.176B,N/A
