Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,23.27,24.95,22.81,23.22,1344600,23.22
2014-01-28,22.49,23.80,22.43,23.66,1471600,23.66
2014-01-27,23.31,23.31,21.26,22.45,2042900,22.45
2014-01-24,23.92,24.02,22.81,23.11,1099900,23.11
2014-01-23,24.21,24.39,23.80,24.23,839700,24.23
2014-01-22,23.81,24.33,23.37,24.31,931000,24.31
2014-01-21,24.33,24.70,23.51,23.92,1100100,23.92
2014-01-17,24.28,24.98,23.93,24.04,1124700,24.04
2014-01-16,23.98,24.39,23.65,24.26,949700,24.26
2014-01-15,24.32,24.72,23.66,23.99,1065700,23.99
2014-01-14,23.38,24.40,23.19,24.31,1221800,24.31
2014-01-13,23.94,24.68,22.92,23.32,1624300,23.32
2014-01-10,23.78,24.21,23.36,24.13,1274200,24.13
2014-01-09,24.08,24.60,23.56,23.78,1073300,23.78
2014-01-08,23.50,23.92,22.95,23.91,1318500,23.91
2014-01-07,24.79,25.23,23.35,23.61,2213600,23.61
2014-01-06,25.39,25.69,24.25,24.70,1571800,24.70
2014-01-03,25.18,25.39,24.61,25.26,809800,25.26
2014-01-02,24.85,25.44,24.30,25.15,1260200,25.15
2013-12-31,25.29,25.29,24.25,24.99,2192800,24.99
2013-12-30,25.33,25.65,24.87,25.38,539900,25.38
2013-12-27,25.32,25.64,24.80,25.30,794200,25.30
2013-12-26,26.30,26.50,25.40,25.44,1149500,25.44
2013-12-24,26.13,26.35,25.45,26.31,929500,26.31
2013-12-23,24.42,26.30,24.21,25.92,2065300,25.92
2013-12-20,23.43,24.76,23.36,24.16,2276800,24.16
2013-12-19,23.22,23.59,23.02,23.35,726500,23.35
2013-12-18,23.02,23.50,22.42,23.42,864100,23.42
2013-12-17,23.33,23.34,22.57,23.00,598200,23.00
2013-12-16,23.15,23.70,22.97,23.33,767700,23.33
2013-12-13,22.84,23.15,22.34,23.03,1274000,23.03
2013-12-12,22.30,23.20,22.29,22.76,1065400,22.76
2013-12-11,23.55,23.60,21.99,22.29,1402600,22.29
2013-12-10,23.48,23.88,23.18,23.60,904700,23.60
2013-12-09,24.49,24.64,23.15,23.48,1221400,23.48
2013-12-06,24.79,24.88,23.88,24.39,641400,24.39
2013-12-05,24.25,25.77,24.00,24.48,1841300,24.48
2013-12-04,23.85,24.86,23.60,24.29,1311200,24.29
2013-12-03,24.72,24.86,23.41,23.88,1529700,23.88
2013-12-02,23.29,25.20,23.08,25.00,2508900,25.00
2013-11-29,23.30,23.80,23.05,23.29,765800,23.29
2013-11-27,23.04,23.44,22.57,23.19,1010300,23.19
2013-11-26,21.93,23.15,21.90,22.95,1152200,22.95
2013-11-25,22.34,22.67,21.77,21.92,1157900,21.92
2013-11-22,22.61,23.42,22.25,22.34,1800600,22.34
2013-11-21,21.28,22.50,21.16,22.47,1341100,22.47
2013-11-20,20.75,21.48,20.51,21.13,1172200,21.13
2013-11-19,21.05,21.59,20.49,20.68,1375900,20.68
2013-11-18,22.84,22.84,20.81,21.03,1963400,21.03
2013-11-15,22.90,23.10,22.51,22.83,1008900,22.83
2013-11-14,23.89,23.90,22.59,22.94,1219700,22.94
2013-11-13,22.28,23.12,22.15,22.98,1232900,22.98
2013-11-12,23.00,23.16,22.23,22.58,1298800,22.58
2013-11-11,21.78,23.13,21.60,23.01,2023300,23.01
2013-11-08,21.08,22.26,20.78,21.73,2130000,21.73
2013-11-07,21.28,22.60,20.83,20.89,2201700,20.89
2013-11-06,22.62,22.79,20.13,21.00,3025600,21.00
2013-11-05,22.22,22.90,21.84,22.65,1577400,22.65
2013-11-04,22.55,22.75,21.86,22.22,2027100,22.22
2013-11-01,23.71,23.80,21.85,22.50,2276700,22.50
2013-10-31,22.36,23.31,21.63,22.73,2581900,22.73
2013-10-30,23.60,23.88,22.16,22.31,2063000,22.31
2013-10-29,23.80,23.98,23.00,23.63,1164800,23.63
2013-10-28,24.01,24.34,23.46,23.62,1286900,23.62
2013-10-25,24.73,25.23,23.80,24.07,2034500,24.07
2013-10-24,22.11,25.00,22.11,24.73,4594500,24.73
2013-10-23,22.25,22.45,21.40,22.02,2428200,22.02
2013-10-22,23.10,23.73,21.78,22.58,3186400,22.58
2013-10-21,24.00,24.79,22.83,23.07,3658900,23.07
2013-10-18,24.85,25.17,23.04,23.99,3099100,23.99
2013-10-17,24.39,25.08,23.87,24.63,3226300,24.63
2013-10-16,23.62,24.68,23.15,24.55,4668500,24.55
2013-10-15,23.63,25.24,22.65,23.13,4844000,23.13
2013-10-14,20.54,23.70,20.30,23.51,5074800,23.51
2013-10-11,22.98,22.98,20.75,21.49,5040900,21.49
2013-10-10,20.61,23.24,20.41,23.03,7756200,23.03
2013-10-09,23.81,23.81,19.65,19.86,10085800,19.86
2013-10-08,27.62,27.62,22.30,23.30,12390400,23.30
2013-10-07,28.30,28.59,27.55,27.56,1896200,27.56
2013-10-04,28.60,29.16,28.58,28.77,1865000,28.77
2013-10-03,29.10,29.73,27.60,28.24,2940800,28.24
2013-10-02,28.05,29.38,28.00,28.84,3032500,28.84
2013-10-01,27.85,28.32,27.52,28.09,2120500,28.09
2013-09-30,26.94,28.38,26.07,27.47,4371800,27.47
2013-09-27,26.35,27.70,26.05,27.03,2570500,27.03
2013-09-26,24.73,26.76,24.73,26.21,2196900,26.21
2013-09-25,25.03,25.18,24.67,24.67,915700,24.67
2013-09-24,24.51,25.11,24.40,24.94,1121000,24.94
2013-09-23,25.10,25.20,24.01,24.62,1890600,24.62
2013-09-20,24.50,25.50,24.25,24.87,3624000,24.87
2013-09-19,23.92,24.50,23.65,24.50,1689500,24.50
2013-09-18,23.76,24.10,23.40,23.72,1330500,23.72
2013-09-17,23.26,23.87,22.84,23.76,1898800,23.76
2013-09-16,23.50,23.92,23.00,23.29,2031400,23.29
2013-09-13,22.84,23.22,22.40,23.12,2247100,23.12
2013-09-12,22.94,23.35,22.64,22.71,1258900,22.71
2013-09-11,22.81,23.02,22.37,23.00,1150100,23.00
2013-09-10,23.10,23.21,22.30,22.93,1734000,22.93
2013-09-09,21.55,23.49,21.55,22.79,4312500,22.79
2013-09-06,21.37,21.70,20.60,21.41,1454900,21.41
2013-09-05,20.47,21.36,20.40,21.20,2181200,21.20
