Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,13.48,13.50,13.26,13.26,5677100,13.26
2014-01-28,13.23,13.61,13.20,13.51,11313800,13.51
2014-01-27,12.82,13.37,12.59,13.14,12002600,13.14
2014-01-24,13.21,13.26,12.76,12.77,9477900,12.77
2014-01-23,13.25,13.32,12.80,13.19,27642700,13.19
2014-01-22,14.60,14.68,14.22,14.31,5807600,14.31
2014-01-21,14.71,14.81,14.56,14.62,3137400,14.62
2014-01-17,14.41,14.68,14.36,14.57,5282400,14.57
2014-01-16,14.86,14.93,14.27,14.41,9351400,14.41
2014-01-15,14.86,15.17,14.76,14.94,4751200,14.94
2014-01-14,14.84,14.97,14.70,14.76,2602100,14.76
2014-01-13,15.40,15.40,14.64,14.74,5342600,14.74
2014-01-10,15.52,15.69,15.37,15.50,5327100,15.50
2014-01-09,14.93,15.56,14.89,15.33,7279600,15.33
2014-01-08,14.95,15.10,14.80,15.03,3888600,15.03
2014-01-07,15.09,15.25,14.85,14.97,3924000,14.97
2014-01-06,14.99,15.30,14.99,15.05,5106800,15.05
2014-01-03,14.77,14.98,14.75,14.98,3641500,14.98
2014-01-02,14.76,14.97,14.57,14.73,7781900,14.73
2013-12-31,14.57,14.69,14.36,14.40,2813400,14.40
2013-12-30,14.48,14.72,14.38,14.57,3364500,14.57
2013-12-27,14.57,14.65,14.42,14.43,2194100,14.43
2013-12-26,14.59,14.72,14.52,14.57,2125000,14.57
2013-12-24,14.52,14.66,14.48,14.57,1911600,14.57
2013-12-23,14.46,14.59,14.39,14.48,3883200,14.48
2013-12-20,14.21,14.47,14.18,14.38,5656600,14.38
2013-12-19,14.23,14.29,14.07,14.16,2509000,14.16
2013-12-18,14.09,14.27,13.95,14.23,4050200,14.23
2013-12-17,14.24,14.28,14.11,14.21,2759000,14.08
2013-12-16,14.20,14.26,14.10,14.22,3237800,14.09
2013-12-13,14.15,14.44,14.10,14.17,6800100,14.05
2013-12-12,14.28,14.33,14.11,14.14,3379900,14.02
2013-12-11,14.44,14.55,14.32,14.34,5127600,14.21
2013-12-10,14.77,14.79,14.32,14.39,6718500,14.26
2013-12-09,14.86,14.94,14.66,14.84,4489400,14.71
2013-12-06,15.96,16.17,14.65,14.85,16320400,14.72
2013-12-05,16.04,16.50,15.83,16.40,6916300,16.26
2013-12-04,16.41,16.48,16.05,16.13,5026500,15.99
2013-12-03,16.30,16.68,16.28,16.52,4600800,16.37
2013-12-02,16.59,16.95,16.25,16.28,6133500,16.14
2013-11-29,16.09,16.39,16.03,16.27,1716500,16.13
2013-11-27,16.06,16.19,15.96,16.10,2335400,15.96
2013-11-26,16.18,16.25,16.01,16.02,1831700,15.88
2013-11-25,16.09,16.22,16.01,16.13,2479100,15.99
2013-11-22,16.23,16.23,15.83,16.00,2892000,15.86
2013-11-21,16.00,16.26,15.93,16.23,2544200,16.09
2013-11-20,15.98,16.18,15.91,16.00,2262200,15.86
2013-11-19,15.84,16.06,15.71,15.90,2820100,15.76
2013-11-18,15.85,16.07,15.79,15.90,2969900,15.76
2013-11-15,15.88,15.93,15.59,15.78,5087200,15.64
2013-11-14,16.06,16.15,15.90,15.91,4938100,15.77
2013-11-13,16.08,16.25,15.98,16.07,4426900,15.93
2013-11-12,15.91,16.18,15.91,16.03,3851900,15.89
2013-11-11,16.40,16.49,15.96,16.01,4524000,15.87
2013-11-08,15.42,16.25,15.42,16.21,7987400,16.07
2013-11-07,16.08,16.17,15.10,15.25,14477900,15.12
2013-11-06,14.99,15.03,14.60,14.65,8726500,14.52
2013-11-05,15.21,15.40,15.00,15.25,3422200,15.12
2013-11-04,15.11,15.39,15.10,15.27,3494400,15.14
2013-11-01,15.48,15.51,14.96,15.13,3847800,15.00
