Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,20.71,20.83,20.50,20.75,3077700,20.75
2014-01-28,20.90,20.92,20.55,20.68,3685400,20.68
2014-01-27,20.94,21.01,20.58,20.67,4809000,20.67
2014-01-24,20.90,21.12,20.80,20.81,6570100,20.81
2014-01-23,20.64,20.90,20.51,20.84,4530700,20.84
2014-01-22,20.52,20.62,20.36,20.56,3888200,20.56
2014-01-21,20.33,20.63,20.19,20.57,4919100,20.57
2014-01-17,20.26,20.29,20.18,20.25,2220900,20.25
2014-01-16,20.12,20.30,20.07,20.28,2867500,20.28
2014-01-15,20.09,20.38,20.07,20.15,3520300,20.15
2014-01-14,20.44,20.45,20.13,20.16,3291100,20.16
2014-01-13,20.10,20.52,19.99,20.45,8462100,20.45
2014-01-10,20.19,20.20,19.93,20.14,3843900,20.14
2014-01-09,19.89,19.90,19.64,19.78,4683600,19.78
2014-01-08,19.89,19.92,19.75,19.87,4430000,19.87
2014-01-07,19.88,20.05,19.64,19.95,5992500,19.95
2014-01-06,19.64,19.88,19.62,19.76,4727600,19.76
2014-01-03,19.50,19.71,19.38,19.59,5445700,19.59
2014-01-02,19.34,19.50,19.29,19.40,3677600,19.40
2013-12-31,19.06,19.46,19.06,19.29,6238400,19.29
2013-12-30,19.11,19.28,19.03,19.13,8074000,19.13
2013-12-27,19.23,19.43,19.13,19.21,6008900,19.21
2013-12-26,20.00,20.13,19.92,19.93,7863300,19.93
2013-12-24,20.00,20.16,19.90,19.93,3001400,19.93
2013-12-23,19.99,20.20,19.96,20.02,6262700,20.02
2013-12-20,19.55,19.87,19.51,19.87,9145800,19.87
2013-12-19,19.68,19.76,19.33,19.47,8348800,19.47
2013-12-18,19.75,20.23,19.33,19.76,9369500,19.76
2013-12-17,19.45,19.76,19.40,19.75,4090600,19.75
2013-12-16,20.01,20.05,19.39,19.48,6378900,19.48
2013-12-13,19.96,20.17,19.96,20.02,5553800,20.02
2013-12-12,19.74,20.01,19.64,19.90,6010300,19.90
2013-12-11,20.17,20.17,19.70,19.81,7458400,19.81
2013-12-10,19.90,20.33,19.83,20.21,6822000,20.21
2013-12-09,19.18,19.85,19.12,19.80,8180000,19.80
2013-12-06,19.43,19.56,18.84,19.28,10905000,19.28
2013-12-05,19.28,19.66,19.26,19.46,8838100,19.46
2013-12-04,19.55,19.79,19.21,19.75,7699700,19.75
2013-12-03,20.00,20.15,19.84,19.84,5993400,19.84
2013-12-02,20.27,20.33,19.86,19.98,6118100,19.98
2013-11-29,20.43,20.55,20.05,20.38,3074900,20.38
2013-11-27,20.12,20.55,20.05,20.52,9318300,20.52
2013-11-26,20.44,20.55,19.85,19.92,20845600,19.92
2013-11-25,20.23,20.77,20.02,20.54,7134700,20.54
2013-11-22,20.50,20.52,20.11,20.36,5996600,20.36
2013-11-21,20.68,20.73,20.33,20.52,5819200,20.52
2013-11-20,21.00,21.12,20.61,20.72,4901600,20.72
2013-11-19,21.14,21.15,20.81,20.91,4210500,20.91
2013-11-18,21.40,21.54,21.12,21.12,6015600,21.12
2013-11-15,21.62,21.69,21.37,21.42,5410100,21.42
2013-11-14,21.48,21.87,21.41,21.67,5166700,21.67
2013-11-13,20.95,21.43,20.84,21.43,5948200,21.43
2013-11-12,20.39,21.07,20.30,21.07,11491700,21.07
2013-11-11,20.93,20.98,20.44,20.69,9294800,20.69
2013-11-08,21.36,21.41,20.85,21.05,12129300,21.05
2013-11-07,21.79,21.91,21.60,21.64,6091700,21.64
2013-11-06,21.70,21.93,21.66,21.80,6262700,21.80
2013-11-05,21.69,21.86,21.58,21.73,6399500,21.73
2013-11-04,21.96,21.99,21.73,21.82,5286500,21.82
2013-11-01,21.84,21.96,21.80,21.96,4861700,21.96
2013-10-31,21.51,21.77,21.32,21.71,10510500,21.71
2013-10-30,21.87,21.95,21.53,21.54,14032800,21.54
2013-10-29,22.28,22.47,21.71,21.87,26878900,21.87
2013-10-28,24.29,24.30,23.77,23.87,6484300,23.87
2013-10-25,24.05,24.30,23.98,24.05,3472700,24.05
2013-10-24,24.05,24.18,24.03,24.12,3545400,24.12
2013-10-23,23.68,24.19,23.65,24.01,4226900,24.01
2013-10-22,23.52,24.04,23.51,23.77,5170200,23.77
2013-10-21,23.46,23.51,23.21,23.38,5267700,23.38
2013-10-18,23.41,23.60,23.35,23.50,3931300,23.50
