Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,47.35,48.48,47.13,47.78,800900,47.78
2014-01-28,46.77,47.88,46.77,47.73,721700,47.73
2014-01-27,45.20,48.00,45.20,46.60,717800,46.60
2014-01-24,47.62,47.71,45.83,46.84,1417500,46.84
2014-01-23,48.68,48.68,47.58,47.72,867600,47.72
2014-01-22,48.11,49.16,48.08,48.51,682200,48.51
2014-01-21,49.38,49.38,47.94,48.17,1570400,48.17
2014-01-17,47.52,48.24,47.00,48.00,1572100,48.00
2014-01-16,47.28,47.68,47.04,47.40,1178700,47.40
2014-01-15,47.97,49.19,47.26,47.50,1733000,47.50
2014-01-14,47.16,47.89,46.91,47.80,2338200,47.80
2014-01-13,45.70,47.44,45.20,47.04,2278500,47.04
2014-01-10,44.17,46.08,44.02,45.73,2008600,45.73
2014-01-09,43.89,44.25,43.84,44.13,1093500,44.13
2014-01-08,44.02,44.36,43.40,43.88,1407100,43.88
2014-01-07,42.16,43.98,42.16,43.87,1371300,43.87
2014-01-06,43.97,43.98,43.37,43.68,597800,43.68
2014-01-03,43.57,44.32,43.17,43.96,378400,43.96
2014-01-02,44.08,44.18,43.27,43.65,992900,43.65
2013-12-31,44.23,44.50,43.76,44.19,874200,44.19
2013-12-30,44.45,44.88,44.00,44.12,381500,44.12
2013-12-27,44.77,44.97,44.09,44.64,393300,44.64
2013-12-26,44.86,45.01,44.44,44.70,513200,44.70
2013-12-24,44.76,45.02,44.25,44.58,304700,44.58
2013-12-23,44.17,44.85,43.55,44.65,773600,44.65
2013-12-20,44.30,44.45,43.91,44.26,2878600,44.26
2013-12-19,43.96,44.50,43.82,44.45,593000,44.45
2013-12-18,43.65,44.50,43.10,44.27,1225200,44.27
2013-12-17,43.43,44.00,43.16,43.75,1396700,43.75
2013-12-16,43.01,43.99,42.11,43.69,1953900,43.69
2013-12-13,42.92,43.80,42.92,43.25,683800,43.25
2013-12-12,42.01,43.10,42.00,42.97,1770500,42.97
2013-12-11,42.32,43.02,42.00,42.46,3367300,42.46
2013-12-10,41.07,42.84,41.04,42.56,3289400,42.56
2013-12-09,40.70,41.27,40.24,41.18,3074000,41.18
2013-12-06,40.75,41.06,40.64,40.70,4662300,40.70
2013-12-05,42.28,42.28,40.63,41.05,3380500,41.05
2013-12-04,42.43,42.61,41.65,41.83,2777700,41.83
2013-12-03,42.80,44.85,42.70,42.90,3239300,42.90
2013-12-02,43.08,43.67,41.52,43.14,5130700,43.14
2013-11-29,42.75,43.85,42.75,43.24,436600,43.24
2013-11-27,43.55,43.55,42.50,43.24,161600,43.24
2013-11-26,45.00,45.00,43.04,43.20,110400,43.20
2013-11-25,44.28,45.62,43.97,44.18,150400,44.18
2013-11-22,43.90,44.00,43.25,43.99,159000,43.99
2013-11-21,44.50,45.15,43.11,43.79,67800,43.79
2013-11-20,45.98,46.00,44.05,44.65,109800,44.65
2013-11-19,48.75,48.75,45.33,45.80,157200,45.80
2013-11-18,49.75,50.00,47.49,48.50,92800,48.50
