Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,117.00,121.16,117.00,119.17,5730400,119.17
2014-01-28,118.39,121.87,118.31,120.70,4348600,120.70
2014-01-27,119.25,119.83,117.42,118.52,4125400,118.52
2014-01-24,122.61,122.61,118.99,119.29,4992900,119.29
2014-01-23,123.00,124.22,121.60,123.60,3534800,123.60
2014-01-22,119.83,124.46,119.58,124.37,5086200,124.37
2014-01-21,119.96,120.00,118.57,119.25,3072700,119.25
2014-01-17,118.91,119.55,118.31,119.15,4010000,119.15
2014-01-16,118.82,119.69,118.21,119.03,2553200,119.03
2014-01-15,118.42,118.95,117.40,118.51,3064600,118.51
2014-01-14,116.84,117.94,116.22,117.72,2541200,117.72
2014-01-13,118.32,118.73,115.94,116.40,3703900,116.40
2014-01-10,119.00,119.00,116.20,117.99,3053100,117.99
2014-01-09,116.54,118.96,116.22,118.89,3400000,118.89
2014-01-08,116.64,116.90,115.35,115.88,2481800,115.88
2014-01-07,113.50,116.79,113.27,116.43,3632400,116.43
2014-01-06,114.47,114.92,113.12,113.48,2838100,113.48
2014-01-03,115.70,115.97,114.06,114.47,2075800,114.47
2014-01-02,114.36,116.19,114.06,115.80,2528800,115.80
2013-12-31,115.91,115.95,113.67,114.08,2362700,114.08
2013-12-30,115.36,115.52,114.39,115.49,1534000,115.49
2013-12-27,114.89,115.49,114.36,115.12,2038700,115.12
2013-12-26,112.62,114.48,112.45,114.36,1558500,114.36
2013-12-24,113.34,113.41,112.20,112.25,1013500,112.25
2013-12-23,114.67,114.72,112.52,113.20,2156800,113.20
2013-12-20,112.40,114.98,112.02,114.03,5285600,114.03
2013-12-19,112.55,112.69,110.92,112.60,2802600,112.60
2013-12-18,111.30,112.75,109.71,112.73,4045700,112.73
2013-12-17,112.67,112.92,109.94,111.00,3694800,111.00
2013-12-16,112.73,114.04,112.07,112.12,2078600,112.12
2013-12-13,112.99,113.30,111.31,112.16,2645700,112.16
2013-12-12,112.90,113.86,112.34,112.57,3327500,112.57
2013-12-11,114.45,114.45,112.99,113.05,3636500,113.05
2013-12-10,113.12,114.25,113.12,114.10,3459800,114.10
2013-12-09,114.18,114.32,113.51,113.98,2452600,113.98
2013-12-06,115.07,115.07,113.19,114.12,3243900,114.12
2013-12-05,112.84,113.51,112.10,113.35,3638200,113.35
2013-12-04,112.74,113.54,112.04,113.07,2433500,113.07
2013-12-03,114.44,114.47,112.96,113.45,2582300,113.45
2013-12-02,114.29,114.87,113.78,114.47,2185500,114.47
2013-11-29,114.19,114.45,113.68,114.08,1828300,114.08
2013-11-27,114.46,114.88,112.82,113.82,2848200,113.82
2013-11-26,114.07,114.73,113.54,113.67,2737700,113.67
2013-11-25,113.35,114.04,112.46,113.96,3305000,113.96
2013-11-22,113.01,113.50,112.23,113.03,4520400,113.03
2013-11-21,115.81,116.38,110.75,112.25,7457200,112.25
