Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,31.77,32.18,31.53,31.65,789100,31.65
2014-01-28,31.62,32.47,31.43,32.24,965400,32.24
2014-01-27,32.44,32.70,30.91,31.74,1418900,31.74
2014-01-24,33.42,33.43,31.83,32.20,1384600,32.20
2014-01-23,35.06,35.21,33.50,33.77,871400,33.77
2014-01-22,35.43,35.68,35.10,35.12,582200,35.12
2014-01-21,35.30,35.63,34.73,35.20,766700,35.20
2014-01-17,35.88,36.09,34.84,35.06,1025500,35.06
2014-01-16,35.70,36.06,35.21,36.05,1373000,36.05
2014-01-15,35.57,35.85,35.06,35.75,1198000,35.75
2014-01-14,35.68,36.28,35.37,36.22,807600,36.22
2014-01-13,36.06,36.51,35.42,35.63,2106000,35.63
2014-01-10,35.56,36.00,35.10,35.72,1533800,35.72
2014-01-09,35.48,35.68,34.81,35.14,1692000,35.14
2014-01-08,34.07,35.09,33.96,35.06,2110100,35.06
2014-01-07,33.60,34.24,33.50,33.96,1489900,33.96
2014-01-06,33.46,33.57,33.22,33.25,1106500,33.25
2014-01-03,32.54,33.46,32.36,33.15,722000,33.15
2014-01-02,31.52,32.70,31.38,32.31,1046900,32.31
2013-12-31,30.91,31.91,30.91,31.61,560900,31.61
2013-12-30,31.32,31.40,30.75,30.96,398800,30.96
2013-12-27,30.96,31.32,30.70,31.27,390900,31.27
2013-12-26,30.68,31.20,30.68,30.80,300400,30.80
2013-12-24,30.72,30.96,30.50,30.63,199100,30.63
2013-12-23,31.15,31.44,30.64,30.78,733900,30.78
2013-12-20,30.58,31.83,30.50,31.09,1262300,31.09
2013-12-19,30.45,30.89,30.00,30.43,762000,30.43
2013-12-18,30.20,30.50,30.00,30.36,1149300,30.36
2013-12-17,30.58,30.60,30.00,30.11,667700,30.11
2013-12-16,30.15,30.75,30.15,30.49,806700,30.49
2013-12-13,29.96,30.13,29.47,30.13,846100,30.13
2013-12-12,29.75,30.00,29.29,29.70,620800,29.70
2013-12-11,30.33,30.48,29.70,29.90,356300,29.90
2013-12-10,30.35,30.48,30.02,30.25,505900,30.25
2013-12-09,30.30,30.50,30.08,30.25,591500,30.25
2013-12-06,30.31,30.32,29.92,30.20,817400,30.20
2013-12-05,29.89,30.26,29.83,29.91,477200,29.91
2013-12-04,29.30,30.24,29.20,30.02,2190800,30.02
2013-12-03,29.65,29.90,29.10,29.38,1154200,29.38
2013-12-02,30.10,30.90,29.69,30.06,1054700,30.06
2013-11-29,30.30,30.39,29.88,30.19,320200,30.19
2013-11-27,30.44,30.50,29.87,30.03,801500,30.03
2013-11-26,30.00,30.58,29.87,30.31,997600,30.31
2013-11-25,30.26,30.30,29.79,30.16,1561900,30.16
2013-11-22,29.54,30.36,29.24,30.18,1450200,30.18
2013-11-21,28.04,29.74,28.04,29.37,997200,29.37
2013-11-20,29.07,29.65,28.40,28.49,1037100,28.49
2013-11-19,30.42,30.48,29.88,30.05,928500,29.04
2013-11-18,30.22,30.63,29.55,30.27,1416100,29.25
2013-11-15,30.20,30.27,29.97,30.22,1596300,29.20
2013-11-14,29.79,30.26,29.35,30.14,1529000,29.13
2013-11-13,29.01,30.05,28.89,29.89,1558200,28.89
2013-11-12,30.00,30.16,29.21,29.35,1900900,28.36
2013-11-11,31.30,31.30,30.02,30.11,2289900,29.10
2013-11-08,31.26,31.79,30.79,31.52,1661100,30.46
2013-11-07,33.52,33.90,30.83,32.00,3428400,30.92
2013-11-06,34.14,34.14,33.30,33.52,467900,32.39
2013-11-05,33.21,34.20,32.83,34.14,498900,32.99
2013-11-04,33.17,33.56,32.80,33.26,381300,32.14
2013-11-01,32.34,33.12,32.34,32.88,309800,31.77
2013-10-31,31.67,32.43,31.32,32.26,765100,31.18
2013-10-30,33.43,33.77,31.86,32.08,642900,31.00
2013-10-29,33.27,33.50,32.73,33.36,682900,32.24
2013-10-28,33.63,33.75,32.43,33.02,989300,31.91
2013-10-25,34.86,34.86,33.41,33.56,688400,32.43
2013-10-24,33.86,34.88,33.69,34.37,1141600,33.21
2013-10-23,34.00,34.12,33.25,33.99,655000,32.85
2013-10-22,33.47,34.44,33.23,34.15,1103100,33.00
2013-10-21,33.86,33.89,33.09,33.41,992800,32.29
2013-10-18,33.00,33.93,32.74,33.81,1793500,32.67
2013-10-17,32.44,32.98,31.98,32.89,956500,31.78
2013-10-16,31.35,32.30,31.34,32.20,947200,31.12
2013-10-15,30.73,31.58,30.73,31.12,1151500,30.07
2013-10-14,30.65,30.77,29.66,30.60,1458900,29.57
2013-10-11,30.34,31.19,29.79,30.69,908400,29.66
2013-10-10,29.55,30.21,29.33,30.01,1049600,29.00
2013-10-09,29.85,29.96,29.15,29.24,963800,28.26
2013-10-08,29.94,30.13,29.46,29.54,554200,28.55
2013-10-07,30.10,30.23,29.88,29.99,862600,28.98
2013-10-04,29.55,30.54,29.52,30.35,609300,29.33
2013-10-03,29.92,30.10,29.08,29.50,1021600,28.51
2013-10-02,28.96,29.77,28.71,29.77,669000,28.77
2013-10-01,28.20,29.12,28.20,29.00,848900,28.03
2013-09-30,27.94,28.45,27.71,28.26,675300,27.31
2013-09-27,27.76,28.77,27.65,28.32,690000,27.37
2013-09-26,27.98,28.30,27.75,27.84,558300,26.90
2013-09-25,27.73,28.10,27.42,27.78,891000,26.85
2013-09-24,27.85,27.95,27.50,27.73,961800,26.80
2013-09-23,28.07,28.20,27.64,27.90,1046800,26.96
2013-09-20,29.25,29.25,27.93,28.20,1181100,27.25
2013-09-19,29.98,29.98,29.27,29.31,1136700,28.32
2013-09-18,29.60,29.95,29.50,29.78,930800,28.78
2013-09-17,29.25,29.88,28.90,29.60,1283200,28.61
2013-09-16,29.09,29.38,28.74,29.21,1267600,28.23
2013-09-13,28.74,28.75,28.11,28.38,569200,27.43
2013-09-12,28.55,28.99,27.98,28.55,1648000,27.59
2013-09-11,27.72,28.66,27.72,28.57,1204400,27.61
2013-09-10,26.89,27.48,26.72,27.40,572000,26.48
2013-09-09,26.65,26.92,26.32,26.76,325100,25.86
2013-09-06,26.69,26.87,26.40,26.47,275300,25.58
2013-09-05,26.47,26.88,26.34,26.47,399400,25.58
2013-09-04,25.70,26.85,25.70,26.48,752200,25.59
2013-09-03,25.80,26.00,25.49,25.73,588800,24.87
2013-08-30,25.49,25.77,25.37,25.39,385000,24.54
2013-08-29,25.25,25.95,25.11,25.59,432000,24.73
2013-08-28,25.35,25.48,24.78,25.30,779700,24.45
2013-08-27,25.78,26.04,25.28,25.47,728300,24.61
2013-08-26,26.12,26.54,26.01,26.10,522600,25.22
2013-08-23,26.16,26.70,25.76,26.00,1146600,25.13
2013-08-22,26.83,26.99,26.07,26.16,709500,25.28
2013-08-21,28.39,28.65,27.83,27.95,510800,25.73
2013-08-20,28.70,28.93,28.44,28.48,688400,26.22
2013-08-19,29.01,29.48,28.57,28.59,1156200,26.32
2013-08-16,28.70,29.27,28.36,28.98,624100,26.68
2013-08-15,28.95,28.95,28.38,28.71,4355200,26.43
