Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,20.34,20.39,20.25,20.29,397000,20.29
2014-01-28,20.36,20.46,20.20,20.35,561000,20.35
2014-01-27,20.43,20.50,20.00,20.25,772000,20.25
2014-01-24,20.50,20.60,20.37,20.42,685100,20.42
2014-01-23,20.39,20.45,20.28,20.42,508000,20.42
2014-01-22,20.26,20.42,20.20,20.36,487600,20.36
2014-01-21,20.20,20.30,20.01,20.27,752100,20.27
2014-01-17,20.15,20.33,20.11,20.13,629800,20.13
2014-01-16,20.15,20.28,19.98,20.15,591600,20.15
2014-01-15,20.08,20.18,19.99,20.02,678600,20.02
2014-01-14,20.17,20.20,20.01,20.08,834800,20.08
2014-01-13,20.18,20.20,19.90,19.99,909600,19.99
2014-01-10,20.29,20.48,20.21,20.37,544200,20.37
2014-01-09,20.23,20.30,20.02,20.17,600700,20.17
2014-01-08,20.64,20.67,20.20,20.28,820900,20.12
2014-01-07,20.60,20.67,20.27,20.54,996300,20.37
2014-01-06,20.53,20.72,20.46,20.63,795600,20.46
2014-01-03,20.19,20.45,20.19,20.42,527000,20.25
2014-01-02,20.32,20.44,20.03,20.18,583300,20.02
2013-12-31,20.41,20.50,20.26,20.34,781200,20.18
2013-12-30,20.28,20.53,20.21,20.41,1791600,20.24
2013-12-27,20.00,20.30,19.95,20.28,340700,20.12
2013-12-26,20.20,20.30,19.95,19.99,416800,19.83
2013-12-24,20.02,20.29,20.00,20.18,339300,20.02
2013-12-23,20.04,20.10,19.94,20.10,756500,19.94
2013-12-20,19.90,20.09,19.86,20.00,1459800,19.84
2013-12-19,19.74,19.91,19.56,19.90,1093900,19.74
2013-12-18,19.43,19.72,19.05,19.72,1602700,19.56
2013-12-17,19.47,19.48,19.31,19.43,532100,19.27
2013-12-16,19.50,19.54,19.31,19.37,537100,19.21
2013-12-13,19.22,19.48,19.02,19.48,838500,19.32
2013-12-12,18.89,19.22,18.83,19.16,724600,19.01
2013-12-11,18.82,18.98,18.76,18.80,727100,18.65
2013-12-10,18.84,19.05,18.83,18.85,599600,18.70
2013-12-09,18.80,18.88,18.65,18.85,511300,18.70
2013-12-06,19.02,19.10,18.78,18.81,659500,18.66
2013-12-05,19.03,19.15,18.88,18.99,566900,18.84
2013-12-04,18.87,19.08,18.86,19.00,603300,18.85
2013-12-03,18.80,18.98,18.80,18.92,658200,18.77
2013-12-02,19.00,19.09,18.84,18.87,754600,18.72
2013-11-29,18.98,19.09,18.82,18.91,400900,18.76
2013-11-27,19.05,19.10,18.81,18.88,569500,18.73
2013-11-26,18.99,19.20,18.88,18.95,605900,18.80
2013-11-25,19.39,19.40,18.88,18.89,1214200,18.74
2013-11-22,19.09,19.23,18.93,19.08,879000,18.93
2013-11-21,18.95,19.17,18.77,18.99,1379500,18.84
2013-11-20,18.76,18.79,18.46,18.58,852500,18.43
2013-11-19,18.61,18.82,18.32,18.44,861700,18.29
2013-11-18,19.18,19.18,18.50,18.56,1461900,18.41
2013-11-15,18.82,19.15,18.71,19.09,2111600,18.94
2013-11-14,18.45,18.81,18.31,18.56,2616200,18.41
2013-11-13,18.22,18.38,18.15,18.27,15407100,18.12
2013-11-12,19.22,19.34,18.89,19.06,901500,18.91
2013-11-11,19.42,19.42,19.16,19.18,558800,19.02
2013-11-08,19.19,19.40,19.15,19.37,679400,19.21
