Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,30.78,31.46,30.53,30.93,5396700,30.93
2014-01-28,30.69,31.28,30.54,31.11,3101600,31.11
2014-01-27,31.18,31.55,29.51,30.52,7574900,30.52
2014-01-24,31.40,31.40,29.83,31.13,10599200,31.13
2014-01-23,33.12,33.14,31.57,31.81,6679300,31.81
2014-01-22,33.01,33.34,32.92,33.19,3059900,33.19
2014-01-21,32.94,33.41,32.72,32.92,2967000,32.92
2014-01-17,32.50,32.96,32.39,32.69,3985800,32.69
2014-01-16,32.36,32.49,32.00,32.49,2051000,32.49
2014-01-15,32.08,32.50,31.97,32.35,3254800,32.35
2014-01-14,32.20,32.39,31.86,32.07,2345100,32.07
2014-01-13,32.40,32.83,31.90,32.09,4091800,32.09
2014-01-10,32.18,32.54,32.07,32.28,3605800,32.28
2014-01-09,31.50,32.00,31.31,31.94,2642200,31.94
2014-01-08,31.72,31.89,31.34,31.52,2395600,31.52
2014-01-07,31.76,31.85,31.17,31.75,5468700,31.75
2014-01-06,32.28,32.68,31.42,31.48,6741900,31.48
2014-01-03,31.56,32.23,31.48,32.05,4700700,32.05
2014-01-02,31.50,31.99,31.06,31.28,6886800,31.28
2013-12-31,31.29,31.94,31.29,31.50,3389900,31.50
2013-12-30,31.50,31.94,31.29,31.29,3337600,31.29
2013-12-27,31.33,31.57,31.22,31.35,2040100,31.35
2013-12-26,31.25,31.46,31.11,31.22,2071600,31.22
2013-12-24,30.92,31.27,30.81,31.01,1619600,31.01
2013-12-23,30.47,31.03,30.31,30.86,5132700,30.86
2013-12-20,30.21,30.38,29.90,30.24,3822500,30.24
2013-12-19,30.37,30.49,29.94,30.13,5564300,30.13
2013-12-18,29.95,30.47,29.86,30.32,5719800,30.32
2013-12-17,29.25,29.92,28.90,29.81,6752500,29.81
2013-12-16,29.25,29.51,29.13,29.24,3281700,29.24
2013-12-13,29.06,29.23,28.90,29.04,3266900,29.04
2013-12-12,29.14,29.19,28.72,28.97,4158100,28.97
2013-12-11,29.40,29.69,28.82,29.15,4827100,29.15
2013-12-10,28.69,29.26,28.50,29.21,3708200,29.21
2013-12-09,28.36,28.85,28.17,28.51,3052600,28.51
2013-12-06,28.20,28.68,28.10,28.24,3984900,28.24
2013-12-05,28.10,28.17,27.64,27.75,2463000,27.75
2013-12-04,28.35,28.51,28.03,28.17,5307500,28.17
2013-12-03,29.15,29.19,28.50,28.53,3191800,28.53
2013-12-02,28.80,29.48,28.70,29.10,5221600,29.10
2013-11-29,28.66,28.71,28.31,28.58,1464300,28.58
2013-11-27,28.22,28.55,28.10,28.43,3574700,28.43
2013-11-26,28.14,28.49,28.02,28.14,3301600,28.14
2013-11-25,27.47,28.06,27.43,28.04,4982700,28.04
2013-11-22,27.15,27.26,26.64,27.26,3207300,27.26
2013-11-21,26.40,26.91,26.16,26.74,2133100,26.74
2013-11-20,26.60,26.72,26.15,26.29,3677900,26.29
2013-11-19,27.34,27.44,26.43,26.47,3635300,26.47
2013-11-18,27.57,27.81,27.26,27.34,4844700,27.34
2013-11-15,27.59,27.88,27.43,27.56,3320300,27.56
2013-11-14,27.15,27.58,26.95,27.57,3545600,27.57
2013-11-13,25.60,27.21,25.60,26.97,4963300,26.97
2013-11-12,26.50,26.59,25.62,25.79,4398400,25.79
2013-11-11,25.91,26.87,25.61,26.62,5184500,26.62
2013-11-08,26.01,26.41,25.60,25.91,8483300,25.91
2013-11-07,27.50,27.63,25.98,26.11,7139300,26.11
2013-11-06,27.50,27.63,27.03,27.45,3625900,27.45
2013-11-05,27.44,27.53,26.96,27.32,2477300,27.32
2013-11-04,27.30,27.72,27.25,27.45,3643500,27.45
2013-11-01,26.37,27.01,26.30,26.99,3953000,26.99
2013-10-31,26.20,26.58,25.94,26.28,3914800,26.28
2013-10-30,27.34,27.55,26.22,26.27,5523400,26.27
2013-10-29,26.46,27.45,26.42,27.43,4776300,27.43
2013-10-28,26.67,26.69,26.08,26.47,5078800,26.47
2013-10-25,26.94,27.23,26.53,26.71,4854100,26.71
2013-10-24,27.60,27.62,26.84,26.96,6563500,26.96
2013-10-23,28.39,28.41,27.58,27.61,6406000,27.38
2013-10-22,27.88,28.73,27.75,28.53,6506200,28.29
2013-10-21,27.82,27.95,27.51,27.84,3499800,27.61
2013-10-18,27.30,27.90,27.12,27.82,9190300,27.59
2013-10-17,26.85,27.38,26.66,27.25,7999300,27.02
2013-10-16,27.00,27.34,26.63,27.02,7462900,26.79
2013-10-15,26.75,27.03,26.67,26.89,5998100,26.67
2013-10-14,26.20,26.80,25.60,26.75,6297100,26.53
2013-10-11,25.88,26.58,25.82,26.57,4384200,26.35
2013-10-10,25.10,25.92,25.10,25.92,3610400,25.70
2013-10-09,25.25,25.40,24.54,24.77,9200800,24.56
2013-10-08,26.28,26.59,25.37,25.46,7294100,25.25
2013-10-07,25.95,26.32,25.88,26.31,4297400,26.09
2013-10-04,25.56,26.46,25.47,26.35,7300400,26.13
2013-10-03,25.42,25.57,25.19,25.56,6611500,25.35
2013-10-02,24.85,25.38,24.73,25.35,2848900,25.14
2013-10-01,25.00,25.07,24.80,24.98,3289700,24.77
2013-09-30,24.54,24.95,24.50,24.89,2575500,24.68
2013-09-27,25.00,25.10,24.78,25.00,3513700,24.79
2013-09-26,25.00,25.15,24.90,25.00,2810000,24.79
2013-09-25,24.73,25.61,24.41,24.95,7515000,24.74
