Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,86.19,86.95,86.12,86.32,1745400,86.32
2014-01-28,86.27,87.19,86.22,86.95,1733700,86.95
2014-01-27,86.02,86.73,85.78,85.95,1997100,85.95
2014-01-24,87.10,87.78,85.92,85.93,1544200,85.93
2014-01-23,88.68,88.89,87.69,87.91,1469800,87.91
2014-01-22,89.31,89.58,89.08,89.13,1228500,89.13
2014-01-21,87.96,89.75,87.94,89.27,2718000,89.27
2014-01-17,90.04,90.14,89.59,89.77,2555100,89.77
2014-01-16,90.85,91.03,90.12,90.35,1191400,90.35
2014-01-15,91.11,91.23,90.41,90.88,1801600,90.88
2014-01-14,90.18,91.30,90.18,90.91,1548500,90.91
2014-01-13,91.39,91.76,89.97,90.11,1807800,90.11
2014-01-10,91.92,92.02,91.16,91.80,1458600,91.80
2014-01-09,92.78,93.09,91.59,91.80,2392100,91.80
2014-01-08,93.18,93.33,92.13,92.45,1349200,92.45
2014-01-07,92.79,93.86,92.79,93.20,1418500,93.20
2014-01-06,94.42,94.69,93.57,93.76,1078500,93.76
2014-01-03,94.73,95.11,93.62,93.84,1488300,93.84
2014-01-02,96.41,96.41,94.67,95.00,1070700,95.00
2013-12-31,96.36,96.82,96.26,96.63,690500,96.63
2013-12-30,95.62,96.38,95.51,96.14,470200,96.14
2013-12-27,95.89,96.16,95.47,95.75,439000,95.75
2013-12-26,95.31,96.07,95.04,95.82,944900,95.82
2013-12-24,94.69,95.28,94.51,95.22,323400,95.22
2013-12-23,94.94,95.13,94.43,94.58,585400,94.58
2013-12-20,93.86,94.90,93.86,94.44,1839900,94.44
2013-12-19,92.46,93.83,92.38,93.63,993600,93.63
2013-12-18,92.57,92.88,91.91,92.83,1996200,92.83
2013-12-17,93.06,93.25,92.39,92.54,828800,92.10
2013-12-16,93.40,93.54,93.02,93.12,870400,92.68
2013-12-13,92.96,93.41,92.77,92.98,684700,92.54
2013-12-12,93.37,93.84,92.81,92.85,1163700,92.41
2013-12-11,94.27,94.38,93.32,93.44,1357300,93.00
2013-12-10,94.47,95.00,94.12,94.12,1011200,93.67
2013-12-09,94.98,95.11,94.43,94.77,721900,94.32
2013-12-06,94.12,95.09,93.90,94.85,682600,94.40
2013-12-05,93.75,94.04,92.99,93.09,1341300,92.65
2013-12-04,94.86,95.94,93.39,94.10,1450500,93.65
2013-12-03,95.13,96.19,94.94,95.40,1359900,94.95
2013-12-02,96.35,96.45,95.37,95.45,1399300,95.00
2013-11-29,97.47,97.79,96.40,96.45,541400,95.99
2013-11-27,97.11,97.44,97.00,97.34,653300,96.88
2013-11-26,97.04,97.39,96.82,97.11,902200,96.65
2013-11-25,97.02,97.28,96.93,97.04,496000,96.58
2013-11-22,95.96,96.90,95.86,96.84,466600,96.38
2013-11-21,94.91,96.33,94.74,96.12,934500,95.66
2013-11-20,94.60,95.17,94.23,94.56,1133200,94.11
2013-11-19,94.74,95.02,94.54,94.70,509700,94.25
2013-11-18,94.75,95.15,94.22,94.72,645000,94.27
2013-11-15,94.69,94.99,94.64,94.82,700500,94.37
2013-11-14,94.01,94.80,93.62,94.78,884600,94.33
2013-11-13,92.80,93.98,92.55,93.97,826100,93.52
2013-11-12,94.17,94.39,92.60,92.91,1279100,92.47
2013-11-11,94.12,94.73,93.99,94.54,656400,94.09
2013-11-08,93.52,94.37,93.52,94.32,964800,93.87
2013-11-07,94.00,94.20,93.45,93.54,1003800,93.10
2013-11-06,93.00,94.00,93.00,93.90,1188200,93.45
2013-11-05,92.50,92.84,92.22,92.83,750900,92.39
2013-11-04,92.43,92.70,92.24,92.59,460400,92.15
2013-11-01,92.10,92.27,91.83,92.09,799900,91.65
2013-10-31,92.87,92.89,92.07,92.08,938300,91.64
