Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,56.96,58.43,56.87,57.63,2240800,57.63
2014-01-28,56.92,57.49,56.84,57.45,1784500,57.45
2014-01-27,57.36,57.86,56.52,57.00,1431900,57.00
2014-01-24,58.87,58.92,57.18,57.21,2039400,57.21
2014-01-23,59.27,59.73,58.21,59.05,2290000,59.05
2014-01-22,59.84,60.31,59.73,60.23,1738200,60.23
2014-01-21,59.49,59.70,58.80,59.66,1728600,59.66
2014-01-17,59.11,59.49,58.74,59.13,1448900,59.13
2014-01-16,58.35,59.69,58.35,59.52,1567000,59.52
2014-01-15,57.97,59.45,57.74,59.34,3266200,59.34
2014-01-14,57.67,57.99,57.03,57.74,1013300,57.74
2014-01-13,57.45,58.14,57.35,57.45,1771000,57.45
2014-01-10,56.62,58.27,56.60,57.70,2561500,57.70
2014-01-09,56.47,56.70,56.12,56.55,1133300,56.55
2014-01-08,56.69,56.74,56.10,56.27,1516900,56.27
2014-01-07,56.64,57.00,56.39,56.68,1309800,56.68
2014-01-06,57.65,57.76,56.52,56.61,2063900,56.61
2014-01-03,58.01,58.05,57.07,57.28,1319600,57.28
2014-01-02,58.21,58.48,57.61,57.82,1501000,57.82
2013-12-31,58.24,58.55,58.09,58.35,953900,58.35
2013-12-30,57.18,58.43,57.18,58.22,1267500,58.22
2013-12-27,57.10,57.78,56.92,57.72,1412800,57.72
2013-12-26,57.26,57.32,56.91,57.13,1938400,57.13
2013-12-24,57.22,57.27,56.80,57.04,999500,57.04
2013-12-23,56.87,57.16,56.51,57.04,2337800,57.04
2013-12-20,56.40,57.10,56.35,56.54,5227500,56.54
2013-12-19,56.47,56.73,56.28,56.48,1630000,56.48
2013-12-18,56.39,56.61,55.93,56.49,1960400,56.49
2013-12-17,56.19,56.49,55.95,56.37,1795400,56.37
2013-12-16,56.64,56.76,55.92,56.20,1995900,56.20
2013-12-13,56.93,57.14,56.11,56.40,2834700,56.40
2013-12-12,57.34,57.56,57.01,57.13,2123100,56.78
2013-12-11,57.56,57.82,57.13,57.37,1867500,57.02
2013-12-10,57.97,58.12,57.52,57.72,1464800,57.37
2013-12-09,58.08,58.36,57.75,57.91,1365200,57.56
2013-12-06,58.48,58.48,57.34,57.89,2457300,57.54
2013-12-05,58.19,58.45,58.05,58.27,1264400,57.91
2013-12-04,57.87,58.38,57.47,58.25,2174700,57.89
2013-12-03,58.22,58.47,57.86,58.14,1639600,57.78
2013-12-02,58.81,59.11,58.27,58.48,1614000,58.12
