Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,126.87,130.02,126.50,128.59,2103200,128.59
2014-01-28,126.61,128.71,126.53,128.63,1567700,128.63
2014-01-27,128.32,128.68,124.03,125.95,2528900,125.95
2014-01-24,131.10,131.22,126.06,126.31,3021900,126.31
2014-01-23,134.50,135.49,131.52,132.08,2392800,132.08
2014-01-22,136.50,136.55,134.80,134.88,1585800,134.88
2014-01-21,138.04,138.50,135.76,136.41,1625000,136.41
2014-01-17,138.96,139.07,137.51,137.74,1319100,137.74
2014-01-16,137.05,138.55,137.05,137.84,931200,137.84
2014-01-15,137.49,138.25,137.36,137.79,1105400,137.79
2014-01-14,137.00,137.49,136.37,137.13,1095800,137.13
2014-01-13,137.59,138.42,135.76,136.15,1400400,136.15
2014-01-10,139.36,139.54,137.80,138.10,1033600,138.10
2014-01-09,140.15,140.62,137.94,138.67,866900,138.67
2014-01-08,139.59,140.23,138.83,139.35,976900,139.35
2014-01-07,138.87,140.25,138.80,139.89,879500,139.89
2014-01-06,140.22,141.67,138.25,138.72,1353700,138.72
2014-01-03,138.77,140.00,138.34,139.16,1092300,139.16
2014-01-02,140.43,140.98,138.28,138.56,1533500,138.56
2013-12-31,140.00,141.39,139.96,140.97,762700,140.97
2013-12-30,139.81,140.49,139.30,139.93,714000,139.93
2013-12-27,140.43,140.43,139.29,139.83,616000,139.83
2013-12-26,139.48,140.22,139.14,139.85,625000,139.85
2013-12-24,138.99,139.84,138.13,139.40,407400,139.40
2013-12-23,138.76,139.50,138.16,138.66,1273300,138.66
2013-12-20,136.75,138.47,136.56,137.75,1831200,137.75
2013-12-19,137.13,138.00,136.28,137.20,2284000,137.20
2013-12-18,133.26,136.31,133.00,136.03,1515600,136.03
2013-12-17,132.86,133.89,132.67,133.25,1128000,133.25
2013-12-16,131.10,133.62,131.10,133.09,1647000,133.09
2013-12-13,130.26,130.47,129.35,130.01,860500,130.01
2013-12-12,130.33,131.01,129.05,129.54,1116400,129.54
2013-12-11,132.75,132.80,130.29,130.66,1121500,130.66
2013-12-10,131.43,133.48,131.25,132.86,1151500,132.86
2013-12-09,130.16,132.84,130.01,131.66,1253100,131.66
2013-12-06,131.39,131.72,130.17,130.48,1128700,130.48
2013-12-05,128.87,130.13,128.49,129.60,1100900,129.60
2013-12-04,129.50,130.14,127.81,129.02,1777200,129.02
2013-12-03,132.29,132.67,129.19,130.03,1673600,130.03
2013-12-02,132.55,134.05,131.61,132.98,878400,132.98
2013-11-29,132.99,133.31,132.17,132.36,377900,132.36
2013-11-27,131.51,132.79,131.00,132.63,708300,132.63
2013-11-26,130.80,131.41,130.50,130.98,750200,130.98
2013-11-25,130.90,131.61,130.54,130.80,872100,130.80
2013-11-22,129.01,130.40,128.70,130.37,695200,130.37
2013-11-21,128.99,129.89,128.86,129.26,687300,129.26
2013-11-20,130.64,131.00,128.30,128.74,908300,128.74
2013-11-19,131.86,132.49,129.50,130.00,926900,130.00
2013-11-18,132.38,133.86,132.26,132.59,1425400,131.96
2013-11-15,132.27,132.86,131.10,132.04,1388800,131.42
2013-11-14,131.55,132.91,131.38,132.49,1092100,131.87
2013-11-13,129.21,131.69,128.60,131.55,1131900,130.93
2013-11-12,132.39,132.55,129.80,130.10,1066900,129.49
2013-11-11,130.89,130.94,130.02,130.10,868500,129.49
2013-11-08,129.30,130.94,129.30,130.70,1379300,130.08
2013-11-07,132.44,132.98,128.76,128.89,2206800,128.28
2013-11-06,132.06,132.75,130.71,132.48,1468000,131.86
2013-11-05,129.85,132.55,128.40,131.72,2123600,131.10
2013-11-04,129.08,130.84,129.05,129.91,2250600,129.30
2013-11-01,127.42,129.15,127.00,128.85,2493500,128.24
2013-10-31,125.63,128.08,124.47,127.02,2277100,126.42
2013-10-30,127.55,128.17,124.99,125.44,3201900,124.85
2013-10-29,124.84,128.27,122.52,127.90,8651800,127.30
2013-10-28,135.63,136.31,134.59,134.91,1381500,134.27
2013-10-25,137.92,137.92,133.89,135.59,2242000,134.95
2013-10-24,136.19,137.90,135.50,137.86,1337500,137.21
2013-10-23,137.15,137.19,134.80,135.54,1734000,134.90
2013-10-22,137.60,139.17,137.45,138.18,1114100,137.53
2013-10-21,136.68,137.43,136.13,136.91,597100,136.26
2013-10-18,134.66,136.87,134.41,136.44,1045500,135.80
2013-10-17,132.84,134.32,132.48,133.98,777100,133.35
2013-10-16,133.20,133.41,131.57,133.29,1204300,132.66
2013-10-15,133.71,134.42,132.00,132.52,1913600,131.90
2013-10-14,131.42,134.55,131.14,134.07,1210800,133.44
2013-10-11,131.96,132.63,131.20,132.31,938300,131.69
2013-10-10,131.19,133.22,130.91,132.65,1033400,132.02
2013-10-09,129.57,130.47,128.15,129.34,969600,128.73
2013-10-08,131.29,132.62,129.34,129.47,1362500,128.86
2013-10-07,131.84,132.48,131.11,131.15,957900,130.53
2013-10-04,131.92,133.68,131.40,133.21,787400,132.58
2013-10-03,134.60,134.91,131.00,131.76,1247300,131.14
2013-10-02,131.98,134.77,131.82,134.64,1608900,134.01
2013-10-01,132.01,134.09,132.00,132.73,1222700,132.10
2013-09-30,132.15,133.87,131.74,132.87,925100,132.24
2013-09-27,132.98,133.80,132.60,133.54,893000,132.91
2013-09-26,134.21,135.08,133.53,134.19,896300,133.56
2013-09-25,133.92,134.71,132.46,133.70,980500,133.07
2013-09-24,133.16,135.19,132.62,133.93,1364700,133.30
2013-09-23,134.52,134.55,132.89,133.61,917000,132.98
