Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,15.24,15.34,15.16,15.17,4935200,15.17
2014-01-28,15.20,15.45,15.20,15.40,3885300,15.34
2014-01-27,15.28,15.33,15.18,15.18,3600400,15.12
2014-01-24,15.35,15.48,15.17,15.26,5935800,15.20
2014-01-23,15.13,15.52,15.07,15.41,19282400,15.35
2014-01-22,15.26,15.30,15.13,15.19,7805700,15.13
2014-01-21,14.86,15.24,14.76,15.21,12843100,15.15
2014-01-17,14.83,14.90,14.66,14.89,11343200,14.83
2014-01-16,14.61,14.92,14.54,14.83,20798700,14.77
2014-01-15,14.27,14.74,14.22,14.65,11655300,14.59
2014-01-14,14.18,14.42,14.15,14.34,6243500,14.28
2014-01-13,14.10,14.32,14.08,14.24,6496300,14.18
2014-01-10,13.76,14.19,13.75,14.19,10395500,14.13
2014-01-09,13.80,13.88,13.75,13.88,2832000,13.83
2014-01-08,13.99,14.02,13.78,13.80,3385200,13.75
2014-01-07,13.99,14.11,13.96,14.07,2562100,14.02
2014-01-06,14.03,14.08,13.90,13.99,2330000,13.94
2014-01-03,13.98,14.10,13.98,14.04,2265600,13.99
2014-01-02,14.00,14.08,13.91,14.01,2420300,13.96
2013-12-31,13.96,14.06,13.92,14.04,2122100,13.99
2013-12-30,14.01,14.09,13.96,14.02,2814800,13.97
2013-12-27,13.85,14.00,13.84,14.00,1386900,13.95
2013-12-26,13.89,13.99,13.89,13.90,1195300,13.79
2013-12-24,13.78,13.92,13.73,13.86,514700,13.75
2013-12-23,13.78,13.91,13.77,13.81,1414100,13.70
2013-12-20,13.66,13.85,13.66,13.80,3063700,13.69
2013-12-19,13.90,13.96,13.65,13.76,2284000,13.65
2013-12-18,13.96,14.04,13.68,13.98,2980400,13.87
2013-12-17,13.76,13.91,13.70,13.90,2660600,13.79
2013-12-16,13.81,13.85,13.73,13.79,6006500,13.68
2013-12-13,13.56,13.81,13.55,13.78,5147400,13.67
2013-12-12,13.60,13.66,13.46,13.55,6336100,13.44
2013-12-11,13.84,13.88,13.57,13.59,7053000,13.48
2013-12-10,13.99,14.09,13.84,13.84,6329500,13.73
2013-12-09,13.96,14.04,13.90,13.98,5277000,13.87
2013-12-06,14.05,14.08,13.87,13.93,3026000,13.82
2013-12-05,14.12,14.12,13.92,14.04,5153400,13.92
2013-12-04,14.32,14.38,14.26,14.28,2971800,14.16
2013-12-03,14.46,14.54,14.34,14.37,3044900,14.25
2013-12-02,14.49,14.57,14.42,14.53,5963800,14.41
2013-11-29,14.40,14.45,14.28,14.31,2254000,14.19
2013-11-27,14.38,14.54,14.22,14.46,7815100,14.34
2013-11-26,14.26,14.61,14.07,14.61,39188600,14.49
2013-11-25,14.12,14.25,14.07,14.25,6878400,14.07
2013-11-22,14.00,14.17,14.00,14.12,4181600,13.95
2013-11-21,14.02,14.08,13.96,14.05,8040000,13.88
2013-11-20,13.93,14.11,13.92,14.02,6824300,13.85
2013-11-19,14.01,14.13,13.92,13.98,5133000,13.81
2013-11-18,14.27,14.30,14.00,14.05,4403600,13.88
2013-11-15,14.24,14.35,14.17,14.34,6192800,14.16
2013-11-14,14.18,14.38,14.12,14.34,10073100,14.16
2013-11-13,13.87,14.25,13.66,14.23,11835500,14.05
2013-11-12,13.76,13.92,13.69,13.84,10139400,13.67
2013-11-11,13.47,13.79,13.44,13.73,4027300,13.56
2013-11-08,13.88,13.97,13.35,13.48,11628600,13.31
2013-11-07,13.94,14.05,13.77,13.87,9064300,13.70
2013-11-06,13.90,13.95,13.68,13.82,10258700,13.65
