Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,10.09,10.35,10.00,10.07,2200800,10.07
2014-01-28,10.13,10.22,10.12,10.12,1514600,10.12
2014-01-27,10.22,10.22,10.10,10.14,2435000,10.14
2014-01-24,10.57,10.57,10.19,10.24,4198300,10.24
2014-01-23,10.48,10.59,10.46,10.55,2506300,10.55
2014-01-22,10.60,10.61,10.46,10.52,2703900,10.52
2014-01-21,10.77,10.78,10.57,10.59,2168900,10.59
2014-01-17,10.70,10.78,10.68,10.73,640100,10.73
2014-01-16,10.67,10.78,10.67,10.72,2329100,10.72
2014-01-15,10.68,10.76,10.63,10.69,1851300,10.69
2014-01-14,10.57,10.74,10.48,10.63,5245200,10.63
2014-01-13,10.80,10.86,10.56,10.57,3571000,10.57
2014-01-10,10.84,10.97,10.69,10.79,3665000,10.79
2014-01-09,11.11,11.12,10.78,10.84,4383000,10.84
2014-01-08,11.04,11.25,11.03,11.10,3497400,11.10
2014-01-07,11.17,11.22,11.09,11.17,1701600,11.17
2014-01-06,11.15,11.23,11.08,11.09,1422100,11.09
2014-01-03,11.20,11.25,11.13,11.16,1429400,11.16
2014-01-02,11.19,11.23,11.08,11.15,1741000,11.15
2013-12-31,11.28,11.38,11.20,11.21,1443600,11.21
2013-12-30,11.32,11.36,11.22,11.26,1351100,11.26
2013-12-27,11.32,11.39,11.31,11.34,1155300,11.34
2013-12-26,11.31,11.33,11.24,11.29,1013700,11.29
2013-12-24,11.18,11.26,11.15,11.25,494700,11.25
2013-12-23,11.19,11.25,11.13,11.20,1012200,11.20
2013-12-20,11.13,11.20,11.08,11.13,4364500,11.13
2013-12-19,11.20,11.27,11.09,11.11,2196000,11.11
2013-12-18,11.17,11.27,11.08,11.19,1335400,11.19
2013-12-17,11.14,11.23,11.10,11.22,1742900,11.22
2013-12-16,11.03,11.15,11.00,11.13,1528600,11.13
2013-12-13,10.95,11.05,10.91,11.00,1585400,11.00
2013-12-12,10.98,11.10,10.91,10.93,4146300,10.93
2013-12-11,11.15,11.15,11.01,11.02,1684000,11.02
2013-12-10,11.04,11.15,11.01,11.10,2114000,11.10
2013-12-09,10.96,11.08,10.91,11.05,2561000,11.05
2013-12-06,10.87,10.91,10.79,10.80,1102500,10.80
2013-12-05,10.79,10.81,10.72,10.77,1152200,10.77
2013-12-04,10.77,10.91,10.74,10.81,1253800,10.81
2013-12-03,10.88,10.94,10.88,10.90,977300,10.77
2013-12-02,10.99,11.01,10.85,10.91,2158100,10.78
2013-11-29,11.07,11.07,10.97,10.99,417900,10.86
2013-11-27,10.96,11.10,10.94,11.03,2638800,10.90
2013-11-26,10.83,10.86,10.73,10.82,1431000,10.70
2013-11-25,10.84,10.85,10.80,10.80,636400,10.68
2013-11-22,10.84,10.84,10.76,10.82,1080000,10.70
2013-11-21,10.72,10.79,10.68,10.78,1234800,10.66
2013-11-20,10.70,10.75,10.61,10.66,1654900,10.54
2013-11-19,10.70,10.72,10.63,10.67,1672600,10.55
2013-11-18,10.76,10.86,10.69,10.70,3756500,10.58
2013-11-15,10.94,10.95,10.80,10.83,2555200,10.71
2013-11-14,10.62,10.99,10.58,10.94,5376900,10.81
2013-11-13,10.39,10.53,10.38,10.53,1595700,10.41
2013-11-12,10.43,10.47,10.36,10.45,1850100,10.33
2013-11-11,10.43,10.59,10.33,10.44,2337400,10.32
2013-11-08,10.35,10.53,10.30,10.40,2617800,10.28
2013-11-07,10.49,10.54,10.30,10.33,3147500,10.21
2013-11-06,10.62,10.63,10.46,10.48,3875600,10.36
2013-11-05,10.62,10.67,10.59,10.59,1712700,10.47
2013-11-04,10.62,10.64,10.54,10.63,4456100,10.51
