Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,31.87,32.37,31.64,32.02,889000,32.02
2014-01-28,31.39,32.21,31.39,32.08,926100,32.08
2014-01-27,31.46,31.73,30.86,31.40,1167000,31.40
2014-01-24,31.95,31.96,30.83,31.47,2307400,31.47
2014-01-23,32.81,32.90,32.37,32.71,541300,32.71
2014-01-22,33.05,33.53,32.99,32.99,414800,32.99
2014-01-21,33.06,33.19,32.41,32.94,592400,32.94
2014-01-17,33.12,33.29,32.71,33.00,495600,33.00
2014-01-16,32.68,33.42,32.50,33.14,1073500,33.14
2014-01-15,32.81,32.91,32.51,32.79,320500,32.79
2014-01-14,32.56,33.10,32.55,32.73,623300,32.73
2014-01-13,33.18,33.38,32.26,32.62,848700,32.62
2014-01-10,33.22,33.49,32.93,33.40,768400,33.40
2014-01-09,33.96,33.98,33.16,33.32,763900,33.32
2014-01-08,33.65,33.82,33.21,33.81,1158100,33.81
2014-01-07,33.88,34.86,33.14,33.76,3294700,33.76
2014-01-06,35.50,35.70,34.78,34.88,1062500,34.88
2014-01-03,35.84,36.33,35.23,35.49,1116400,35.49
2014-01-02,36.71,36.71,35.71,35.83,813900,35.83
2013-12-31,36.70,36.88,36.29,36.72,777300,36.72
2013-12-30,36.27,36.92,36.14,36.68,711900,36.68
2013-12-27,36.30,36.47,35.95,36.29,241400,36.29
2013-12-26,36.02,36.43,36.00,36.38,316100,36.32
2013-12-24,36.03,36.38,35.78,35.85,128000,35.79
2013-12-23,36.31,36.44,35.85,36.07,583000,36.01
2013-12-20,35.44,36.42,35.08,36.33,1589000,36.27
2013-12-19,35.38,35.42,34.90,35.34,533900,35.28
2013-12-18,34.89,35.52,34.52,35.46,608300,35.40
2013-12-17,34.81,35.84,34.53,34.81,1174900,34.75
2013-12-16,33.50,35.08,33.50,34.99,1119600,34.93
2013-12-13,33.65,33.91,33.38,33.52,423700,33.46
2013-12-12,33.55,34.01,33.36,33.68,1081300,33.62
2013-12-11,33.88,34.37,33.66,33.75,1142900,33.69
2013-12-10,33.50,34.43,33.21,33.95,1328000,33.89
2013-12-09,33.23,33.89,33.16,33.61,988500,33.55
2013-12-06,33.42,33.65,32.88,33.32,730100,33.26
2013-12-05,32.71,33.50,32.58,33.25,720100,33.19
2013-12-04,32.53,33.29,32.53,32.80,745800,32.74
2013-12-03,32.85,33.02,32.38,32.53,1557800,32.47
2013-12-02,33.45,33.45,32.74,32.88,1422500,32.82
2013-11-29,33.63,33.76,32.86,32.89,331400,32.83
2013-11-27,33.50,33.97,33.34,33.50,1243900,33.44
2013-11-26,33.42,33.67,33.27,33.45,565200,33.39
2013-11-25,33.05,33.51,32.86,33.26,786400,33.20
2013-11-22,32.65,32.84,32.45,32.70,654100,32.64
2013-11-21,32.57,32.85,32.44,32.71,966600,32.65
2013-11-20,32.60,32.60,32.14,32.47,737900,32.41
2013-11-19,32.86,33.00,32.14,32.60,1112400,32.54
2013-11-18,33.60,33.91,32.99,33.06,601600,33.00
2013-11-15,33.03,33.72,33.01,33.58,690900,33.52
2013-11-14,32.85,33.05,32.52,33.00,796700,32.94
2013-11-13,32.92,33.25,32.69,32.79,714000,32.73
2013-11-12,33.30,33.50,32.77,33.02,855800,32.96
2013-11-11,32.43,33.71,32.43,33.29,1246900,33.23
2013-11-08,31.38,32.56,31.35,32.56,9036900,32.50
2013-11-07,33.25,33.50,32.30,32.44,1489600,32.38
2013-11-06,33.23,34.37,33.21,33.30,955500,33.24
2013-11-05,31.60,33.59,31.60,33.27,1045200,33.21
2013-11-04,32.52,32.87,31.60,32.40,1136600,32.34
2013-11-01,32.27,33.02,32.27,33.01,723100,32.95
2013-10-31,32.30,32.76,32.00,32.24,446100,32.18
2013-10-30,31.93,32.32,31.86,32.28,375200,32.22
2013-10-29,31.98,32.02,31.59,31.97,303500,31.91
2013-10-28,31.83,32.26,31.67,31.96,432600,31.90
