Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,26.19,26.38,26.02,26.13,7285700,26.13
2014-01-28,26.20,26.70,26.20,26.52,4908800,26.52
2014-01-27,26.09,26.37,25.89,26.14,7424700,26.14
2014-01-24,26.74,26.84,26.19,26.20,9372900,26.20
2014-01-23,27.17,27.32,26.88,27.02,8602900,27.02
2014-01-22,27.20,27.38,27.16,27.22,7842500,27.22
2014-01-21,27.35,27.52,26.91,27.04,9569800,27.04
2014-01-17,27.39,27.39,27.06,27.23,11725900,27.23
2014-01-16,27.46,27.51,26.76,27.24,27360000,27.24
2014-01-15,28.94,29.25,28.83,29.23,12041300,29.23
2014-01-14,28.62,28.98,28.41,28.88,8011700,28.88
2014-01-13,28.83,28.98,28.33,28.43,6856500,28.43
2014-01-10,28.76,28.94,28.63,28.88,4576200,28.88
2014-01-09,28.30,28.68,28.22,28.66,4581300,28.66
2014-01-08,28.27,28.41,28.05,28.23,5024000,28.23
2014-01-07,28.30,28.43,28.20,28.35,3842500,28.35
2014-01-06,28.56,28.74,28.08,28.22,5073200,28.22
2014-01-03,28.27,28.78,28.26,28.43,4632500,28.43
2014-01-02,28.61,28.67,28.19,28.25,4479900,28.25
2013-12-31,28.43,28.80,28.43,28.77,4025200,28.77
2013-12-30,28.32,28.46,28.26,28.34,3721800,28.34
2013-12-27,28.53,28.56,28.22,28.29,3043300,28.29
2013-12-26,28.37,28.50,28.33,28.43,2574000,28.43
2013-12-24,28.28,28.39,28.27,28.36,1590400,28.36
2013-12-23,28.30,28.40,28.18,28.24,3210900,28.24
2013-12-20,27.85,28.26,27.77,28.08,9628100,28.08
2013-12-19,27.87,27.97,27.77,27.88,6828500,27.88
2013-12-18,27.72,28.02,27.40,27.93,9028000,27.93
2013-12-17,27.93,27.96,27.54,27.67,4254800,27.67
2013-12-16,27.73,27.94,27.73,27.84,7021800,27.84
2013-12-13,27.43,27.88,27.40,27.57,6276200,27.57
2013-12-12,27.25,27.44,27.25,27.28,4254300,27.28
2013-12-11,27.97,27.98,27.32,27.35,6193300,27.35
2013-12-10,28.03,28.25,27.98,27.99,4781400,27.99
2013-12-09,27.85,28.13,27.85,28.08,4215200,28.08
2013-12-06,27.77,27.90,27.67,27.75,5065100,27.75
2013-12-05,27.24,27.68,27.20,27.58,5863500,27.58
2013-12-04,27.28,27.53,27.02,27.20,4615900,27.20
2013-12-03,27.37,27.67,27.26,27.41,6621200,27.41
2013-12-02,27.27,27.58,27.26,27.33,3905300,27.33
2013-11-29,27.31,27.45,27.20,27.27,2250900,27.27
2013-11-27,27.20,27.36,27.09,27.30,3021900,27.30
2013-11-26,27.28,27.33,27.02,27.11,4646000,27.11
2013-11-25,27.34,27.53,27.33,27.40,3127600,27.25
2013-11-22,27.06,27.35,27.01,27.35,3930700,27.20
2013-11-21,26.94,27.10,26.77,27.05,4638400,26.90
2013-11-20,26.95,27.00,26.75,26.91,4638000,26.76
2013-11-19,27.19,27.25,26.75,26.90,6256500,26.75
2013-11-18,27.07,27.48,27.03,27.23,6664600,27.08
2013-11-15,27.04,27.08,26.83,27.00,7559700,26.85
2013-11-14,26.99,27.14,26.94,27.00,7416300,26.85
2013-11-13,26.67,26.89,26.58,26.89,4599000,26.74
2013-11-12,26.86,26.91,26.64,26.78,4712400,26.63
2013-11-11,26.60,26.95,26.50,26.94,5805900,26.79
2013-11-08,26.26,26.63,26.22,26.61,6094700,26.46
2013-11-07,26.33,26.64,26.20,26.23,5239200,26.09
2013-11-06,26.47,26.56,26.20,26.25,6704000,26.11
2013-11-05,26.44,26.52,26.30,26.46,4330000,26.32
2013-11-04,26.49,26.64,26.35,26.48,5185300,26.34
2013-11-01,26.09,26.36,26.06,26.28,4104400,26.14
2013-10-31,26.25,26.32,25.97,26.06,5827500,25.92
2013-10-30,26.63,26.74,26.14,26.19,6982400,26.05
2013-10-29,26.74,26.85,26.59,26.66,4561400,26.51
2013-10-28,26.63,26.81,26.51,26.69,4872400,26.54
2013-10-25,26.43,26.61,26.32,26.61,4378000,26.46
2013-10-24,26.23,26.46,26.05,26.45,6261200,26.31
2013-10-23,26.15,26.40,26.05,26.17,8278600,26.03
2013-10-22,26.07,26.29,26.01,26.09,4221800,25.95
2013-10-21,25.64,26.03,25.58,26.03,5582800,25.89
2013-10-18,25.48,25.75,25.40,25.70,9432900,25.56
2013-10-17,25.72,25.72,25.28,25.37,11195900,25.23
2013-10-16,26.21,26.21,25.38,25.89,10794300,25.75
2013-10-15,26.00,26.18,25.95,26.10,7196500,25.96
2013-10-14,25.76,26.09,25.73,26.02,7246600,25.88
2013-10-11,26.06,26.08,25.74,25.83,8675800,25.69
2013-10-10,25.74,26.08,25.71,26.07,5338600,25.93
2013-10-09,25.32,25.59,25.21,25.46,6183000,25.32
2013-10-08,25.39,25.59,25.08,25.25,8348500,25.11
2013-10-07,25.40,25.60,25.27,25.36,5537800,25.22
2013-10-04,25.26,25.64,25.04,25.57,6913500,25.43
2013-10-03,26.02,26.04,25.47,25.68,4935500,25.54
2013-10-02,25.97,26.09,25.70,26.07,5577900,25.93
2013-10-01,25.75,26.25,25.74,26.15,4839700,26.01
2013-09-30,25.56,25.91,25.46,25.74,5232700,25.60
2013-09-27,25.85,26.05,25.65,25.85,5758300,25.71
2013-09-26,26.01,26.11,25.86,25.98,4022900,25.84
2013-09-25,26.11,26.23,25.89,25.94,5161100,25.80
2013-09-24,26.18,26.38,25.84,26.08,7372900,25.94
2013-09-23,26.39,26.40,26.09,26.20,5712100,26.06
2013-09-20,26.80,26.87,26.33,26.42,6537600,26.28
2013-09-19,26.76,26.90,26.55,26.75,5905100,26.60
2013-09-18,26.28,26.75,26.11,26.69,8047600,26.54
2013-09-17,26.04,26.23,25.56,26.21,8137400,26.07
2013-09-16,26.38,26.51,26.14,26.21,5130500,26.07
2013-09-13,25.84,26.06,25.74,26.06,4612900,25.92
2013-09-12,26.12,26.12,25.62,25.79,6802000,25.65
2013-09-11,26.08,26.17,25.97,26.17,3824000,26.03
2013-09-10,25.85,26.06,25.77,26.06,5684800,25.92
2013-09-09,25.52,25.76,25.38,25.66,4280000,25.52
2013-09-06,25.50,25.68,25.37,25.45,4377400,25.31
2013-09-05,25.27,25.50,25.27,25.43,2988700,25.29
2013-09-04,24.91,25.54,24.90,25.29,6542000,25.15
2013-09-03,24.92,25.03,24.68,24.91,6513500,24.77
2013-08-30,24.86,24.91,24.46,24.61,4309600,24.48
2013-08-29,24.66,24.93,24.55,24.83,3495400,24.69
2013-08-28,24.67,24.81,24.48,24.73,4482200,24.59
2013-08-27,25.16,25.23,24.81,24.81,6062200,24.52
2013-08-26,25.38,25.62,25.35,25.45,5789700,25.16
2013-08-23,25.27,25.40,25.07,25.36,4489100,25.07
2013-08-22,24.68,25.26,24.60,25.18,3834400,24.89
2013-08-21,24.79,24.83,24.56,24.63,4890500,24.35
2013-08-20,24.96,25.03,24.74,24.82,5686200,24.53
2013-08-19,25.08,25.15,24.86,24.89,3828200,24.60
2013-08-16,25.17,25.22,24.88,25.16,4494500,24.87
2013-08-15,25.06,25.30,24.79,25.16,5436100,24.87
2013-08-14,25.20,25.39,25.16,25.30,5592000,25.01
2013-08-13,25.40,25.50,25.14,25.32,5833100,25.03
2013-08-12,25.52,25.67,25.36,25.40,6570200,25.11
2013-08-09,25.83,25.85,25.47,25.70,6271700,25.40
2013-08-08,25.57,25.98,25.52,25.82,6918900,25.52
2013-08-07,25.49,25.50,25.27,25.41,7798600,25.12
2013-08-06,25.78,25.85,25.33,25.61,8726200,25.32
2013-08-05,26.26,26.26,25.70,25.86,10513000,25.56
2013-08-02,26.68,26.68,25.61,26.05,23905500,25.75
2013-08-01,25.05,25.52,24.96,25.44,7092100,25.15
2013-07-31,24.69,25.03,24.69,24.81,6747300,24.52
2013-07-30,24.83,24.85,24.56,24.71,4229500,24.43
2013-07-29,24.65,24.83,24.61,24.65,4986800,24.37
2013-07-26,24.82,24.86,24.43,24.68,7119000,24.40
2013-07-25,24.91,25.01,24.70,24.96,4548900,24.67
2013-07-24,25.30,25.36,24.75,24.94,6157400,24.65
2013-07-23,25.42,25.43,25.24,25.27,4918700,24.98
2013-07-22,25.40,25.63,25.27,25.32,4459200,25.03
2013-07-19,25.56,25.70,25.29,25.39,6974900,25.10
2013-07-18,25.12,25.79,25.05,25.55,10105800,25.26
2013-07-17,25.14,25.21,24.55,25.10,11236200,24.81
2013-07-16,24.42,24.73,24.31,24.64,7161500,24.36
2013-07-15,24.43,24.65,24.27,24.34,8738000,24.06
2013-07-12,24.31,24.79,24.28,24.36,5777800,24.08
2013-07-11,24.44,24.51,24.11,24.39,5648400,24.11
2013-07-10,24.05,24.10,23.75,23.91,6564100,23.64
2013-07-09,23.50,24.15,23.46,24.06,10029900,23.78
2013-07-08,23.38,23.40,23.09,23.27,4922200,23.00
2013-07-05,23.19,23.35,23.02,23.26,5362500,22.99
2013-07-03,23.02,23.10,22.89,23.03,2798000,22.77
2013-07-02,23.15,23.39,22.95,23.11,8764900,22.84
2013-07-01,23.33,23.50,23.09,23.22,6105300,22.95
2013-06-28,23.43,23.55,23.17,23.19,8782300,22.92
2013-06-27,23.36,23.57,23.23,23.46,6067300,23.19
2013-06-26,23.39,23.56,22.98,23.23,9296700,22.96
2013-06-25,22.90,23.23,22.79,23.14,9244300,22.87
2013-06-24,23.23,23.24,22.40,22.65,13780300,22.39
2013-06-21,24.12,24.12,23.34,23.47,15667800,23.20
2013-06-20,24.28,24.28,23.80,23.96,12476500,23.68
2013-06-19,25.27,25.34,24.60,24.60,7453100,24.32
2013-06-18,24.87,25.29,24.79,25.29,4558900,25.00
2013-06-17,25.07,25.11,24.62,24.84,8150600,24.55
2013-06-14,25.12,25.44,24.92,24.94,7345500,24.65
2013-06-13,24.80,25.11,24.76,25.06,6833300,24.77
2013-06-12,25.04,25.11,24.77,24.85,7237700,24.56
2013-06-11,24.86,25.20,24.73,24.77,6526900,24.49
2013-06-10,25.16,25.31,25.03,25.08,6823500,24.79
2013-06-07,24.96,25.34,24.84,25.02,7539100,24.73
2013-06-06,24.23,24.75,24.12,24.73,9287100,24.45
2013-06-05,24.63,24.66,24.20,24.22,8778200,23.94
2013-06-04,25.16,25.44,24.73,24.74,9815400,24.46
2013-06-03,25.30,25.41,24.86,25.18,5727000,24.89
2013-05-31,25.32,25.82,25.20,25.21,6715200,24.92
2013-05-30,25.30,25.66,25.25,25.46,4258900,25.17
2013-05-29,25.05,25.54,24.85,25.19,8679900,24.90
2013-05-28,25.82,25.99,25.20,25.30,10423000,24.86
2013-05-24,25.22,25.55,25.11,25.50,4221900,25.06
2013-05-23,25.36,25.42,25.13,25.35,7205100,24.91
2013-05-22,26.16,26.31,25.67,25.76,5790500,25.31
2013-05-21,26.22,26.36,26.10,26.14,4090100,25.69
2013-05-20,25.88,26.20,25.88,26.12,4314900,25.67
2013-05-17,25.77,26.00,25.66,25.92,5560100,25.47
2013-05-16,25.85,25.94,25.58,25.70,5021000,25.25
2013-05-15,25.64,26.00,25.57,25.90,5145500,25.45
2013-05-14,25.35,25.80,25.29,25.76,6520600,25.31
2013-05-13,25.33,25.43,25.07,25.31,4835900,24.87
2013-05-10,25.47,25.54,25.22,25.43,6223900,24.99
2013-05-09,25.62,25.74,25.36,25.43,7946100,24.99
2013-05-08,25.28,25.65,25.11,25.63,6135800,25.19
2013-05-07,25.27,25.33,25.10,25.33,4930400,24.89
2013-05-06,24.82,25.26,24.81,25.23,6723600,24.79
2013-05-03,24.59,24.98,24.59,24.81,5641400,24.38
2013-05-02,24.12,24.54,24.11,24.31,3948100,23.89
2013-05-01,24.55,24.59,24.03,24.07,6127800,23.65
2013-04-30,24.57,24.61,24.35,24.59,5072200,24.16
2013-04-29,24.49,24.69,24.29,24.61,4925000,24.18
2013-04-26,24.39,24.45,24.18,24.37,4879000,23.95
2013-04-25,24.13,24.42,24.01,24.30,6614900,23.88
2013-04-24,23.85,24.02,23.61,23.99,5594900,23.57
2013-04-23,23.97,24.03,23.66,23.80,6026600,23.39
2013-04-22,23.80,23.91,23.50,23.80,5500800,23.39
2013-04-19,23.83,23.85,23.51,23.70,7674100,23.29
2013-04-18,23.63,23.96,23.55,23.76,10623300,23.35
2013-04-17,23.88,24.06,23.30,23.51,12484600,23.10
2013-04-16,23.73,24.42,23.65,24.14,12122100,23.72
2013-04-15,24.36,24.39,23.45,23.47,8411300,23.06
2013-04-12,24.32,24.65,24.26,24.51,7435000,24.08
2013-04-11,24.32,24.40,24.17,24.28,5827300,23.86
