Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,28.89,28.91,28.31,28.59,7558700,28.59
2014-01-28,29.16,29.21,28.87,28.95,6374800,28.95
2014-01-27,29.20,29.32,29.04,29.08,7468100,29.08
2014-01-24,29.43,29.55,29.14,29.15,6053400,29.15
2014-01-23,29.42,29.47,29.29,29.45,6163600,29.45
2014-01-22,29.98,29.98,29.49,29.50,4476000,29.50
2014-01-21,30.13,30.18,29.56,29.85,6060400,29.85
2014-01-17,30.36,30.37,29.98,30.00,6205300,30.00
2014-01-16,30.48,30.57,30.19,30.33,4404400,30.33
2014-01-15,30.73,30.77,30.23,30.53,11728100,30.53
2014-01-14,30.95,31.00,30.53,30.69,5584900,30.69
2014-01-13,30.99,31.25,30.86,30.87,4951800,30.87
2014-01-10,31.05,31.21,30.83,31.02,3666200,31.02
2014-01-09,31.25,31.28,30.70,30.79,4052200,30.79
2014-01-08,31.35,31.41,31.14,31.24,4356800,31.24
2014-01-07,31.76,31.80,31.37,31.41,5032100,31.41
2014-01-06,31.73,31.79,31.53,31.67,2925100,31.67
2014-01-03,31.78,31.81,31.50,31.60,2137300,31.60
2014-01-02,31.74,31.82,31.51,31.65,4443900,31.65
2013-12-31,31.94,32.07,31.73,31.85,5122800,31.85
2013-12-30,31.84,32.10,31.79,31.96,4185700,31.96
2013-12-27,31.83,32.04,31.63,32.01,3690800,32.01
2013-12-26,31.81,31.92,31.64,31.85,3547200,31.85
2013-12-24,31.27,31.84,31.27,31.69,2965900,31.69
2013-12-23,31.06,31.40,31.06,31.36,5691000,31.36
2013-12-20,31.43,31.43,30.92,31.04,9061800,31.04
2013-12-19,31.62,31.69,30.40,31.36,13237300,31.36
2013-12-18,31.54,31.93,31.26,31.84,7107300,31.84
2013-12-17,31.00,31.61,30.96,31.44,6360800,31.44
2013-12-16,30.80,31.07,30.80,30.95,5084000,30.95
2013-12-13,30.75,30.93,30.38,30.73,6050400,30.73
2013-12-12,30.65,30.80,30.32,30.76,5381300,30.76
2013-12-11,31.50,31.55,30.65,30.71,7078700,30.71
2013-12-10,31.54,31.82,31.49,31.51,6332600,31.51
2013-12-09,31.07,31.67,31.01,31.52,5799500,31.52
2013-12-06,30.99,31.27,30.95,31.07,5759000,31.07
2013-12-05,30.47,30.87,30.39,30.65,5890700,30.65
2013-12-04,30.20,30.98,30.05,30.84,6771700,30.84
2013-12-03,30.16,30.43,29.93,30.37,5753200,30.37
2013-12-02,30.63,30.70,30.24,30.30,5119300,30.30
2013-11-29,30.71,31.03,30.66,30.70,2340600,30.70
2013-11-27,30.70,30.92,30.55,30.72,4176500,30.72
2013-11-26,30.68,30.86,30.54,30.68,6665000,30.68
2013-11-25,30.78,31.22,30.60,30.70,5267700,30.70
2013-11-22,30.97,30.99,30.60,30.67,4876500,30.67
2013-11-21,31.30,31.33,30.91,31.08,5369800,31.08
2013-11-20,32.08,32.37,31.75,31.80,5437600,31.26
2013-11-19,32.30,32.30,31.85,32.01,4567600,31.47
2013-11-18,32.19,32.31,31.98,32.19,4606900,31.64
2013-11-15,31.87,32.20,31.86,32.10,3779800,31.55
2013-11-14,31.55,31.91,31.55,31.84,4252100,31.30
2013-11-13,31.41,31.50,31.29,31.48,4161600,30.95
2013-11-12,31.58,31.75,31.35,31.43,5193600,30.90
2013-11-11,31.45,31.63,31.26,31.51,3243700,30.97
2013-11-08,31.83,31.91,30.86,31.33,10076600,30.80
2013-11-07,33.00,33.05,31.61,31.81,13537300,31.27
2013-11-06,33.60,33.93,33.57,33.89,4627800,33.31
2013-11-05,33.67,33.78,33.30,33.38,5697200,32.81
2013-11-04,33.78,33.83,33.58,33.76,3476100,33.19
2013-11-01,33.84,34.06,33.50,33.58,3978400,33.01
2013-10-31,33.56,33.87,33.31,33.86,4128200,33.29
2013-10-30,33.87,33.88,33.50,33.53,2943800,32.96
