Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,116.14,116.89,115.71,116.00,5522100,116.00
2014-01-28,116.72,117.03,116.07,116.84,4303700,116.84
2014-01-27,116.26,117.25,115.88,116.43,6179500,116.43
2014-01-24,117.87,118.14,116.26,116.29,7094900,116.29
2014-01-23,119.84,119.85,118.26,118.39,6205800,118.39
2014-01-22,120.51,120.76,119.97,120.43,4977500,120.43
2014-01-21,120.74,120.89,119.51,120.36,5602300,120.36
2014-01-17,119.03,120.38,118.74,119.29,7199700,119.29
2014-01-16,119.11,119.29,118.19,118.83,5041100,118.83
2014-01-15,119.69,120.07,119.05,119.18,5829300,119.18
2014-01-14,119.40,119.75,118.80,119.57,6904600,119.57
2014-01-13,120.81,120.90,119.01,119.25,6504200,119.25
2014-01-10,122.50,122.84,120.37,121.01,8127500,121.01
2014-01-09,123.42,123.42,122.02,123.29,5643500,123.29
2014-01-08,124.44,124.46,122.75,123.29,8282500,123.29
2014-01-07,124.42,125.32,123.65,125.07,4563300,125.07
2014-01-06,124.59,124.80,123.52,124.02,4252300,124.02
2014-01-03,124.60,124.89,123.86,124.35,3506000,124.35
2014-01-02,124.46,124.88,123.71,124.14,4540300,124.14
2013-12-31,124.68,125.17,123.93,124.91,3475600,124.91
2013-12-30,124.79,125.21,123.90,124.23,4688500,124.23
2013-12-27,125.00,125.65,124.69,125.23,3455300,125.23
2013-12-26,123.60,124.99,123.55,124.81,3415200,124.81
2013-12-24,122.77,123.55,122.70,123.51,1587800,123.51
2013-12-23,123.41,123.59,122.63,122.80,4062400,122.80
2013-12-20,122.82,123.79,122.40,122.78,9455200,122.78
2013-12-19,121.57,123.40,121.06,123.22,6540600,123.22
2013-12-18,119.33,121.77,119.21,121.60,8206400,121.60
2013-12-17,120.12,120.23,118.25,118.74,6824000,118.74
2013-12-16,120.46,120.70,119.81,120.22,7304500,120.22
2013-12-13,120.44,121.14,119.38,119.90,5268100,119.90
2013-12-12,121.78,122.10,120.57,120.99,7220500,120.99
2013-12-11,123.82,123.89,121.80,122.10,7245500,122.10
2013-12-10,123.79,123.94,122.70,123.66,5602700,123.66
2013-12-09,122.27,123.88,122.16,123.34,7706500,123.34
2013-12-06,122.05,122.36,121.65,122.29,4179100,122.29
2013-12-05,121.27,122.00,120.71,121.10,4706800,121.10
2013-12-04,122.10,122.83,121.19,121.77,4391800,121.77
2013-12-03,122.31,122.90,121.87,122.52,5410200,122.52
2013-12-02,122.87,123.06,122.05,122.34,5384000,122.34
2013-11-29,122.83,123.30,122.00,122.44,3721000,122.44
2013-11-27,122.62,122.74,121.64,122.42,3906700,122.42
2013-11-26,123.41,123.70,122.65,122.78,4597500,122.78
2013-11-25,123.77,124.10,123.22,123.74,3925300,123.74
2013-11-22,123.54,124.19,122.42,124.03,3887400,124.03
2013-11-21,122.36,123.60,122.36,123.46,4884300,123.46
2013-11-20,122.16,122.75,121.60,122.00,4571300,122.00
2013-11-19,120.55,122.38,120.27,122.06,5891800,122.06
2013-11-18,120.71,120.89,120.07,120.56,4788700,120.56
2013-11-15,119.78,120.27,119.13,120.06,6008000,120.06
2013-11-14,119.58,119.93,119.32,119.56,5470900,119.56
2013-11-13,119.58,120.15,119.19,120.09,6212000,119.09
2013-11-12,121.03,121.25,119.63,120.00,6914200,119.00
2013-11-11,121.18,121.50,120.71,121.08,3427600,120.07
2013-11-08,119.67,121.21,119.58,121.19,11331000,120.18
2013-11-07,121.60,121.88,119.42,119.91,10131200,118.91
2013-11-06,119.30,121.41,118.82,121.14,8373200,120.13
2013-11-05,117.60,118.90,117.07,118.45,6623300,117.46
2013-11-04,118.59,118.60,117.32,118.10,6670300,117.12
2013-11-01,119.04,119.44,117.00,118.01,9344200,117.03
2013-10-31,120.15,121.33,119.83,119.96,7752500,118.96
2013-10-30,121.54,121.96,119.91,120.30,4999100,119.30
2013-10-29,121.33,122.01,121.16,121.50,4241700,120.49
2013-10-28,120.56,121.15,120.09,120.91,5497700,119.90
2013-10-25,120.59,121.22,120.27,120.59,4273300,119.59
2013-10-24,120.67,121.00,119.91,120.56,4188100,119.56
2013-10-23,120.29,120.64,119.84,120.13,4961900,119.13
2013-10-22,120.14,120.79,119.71,120.64,6444900,119.64
2013-10-21,119.63,120.19,119.31,119.82,4360700,118.82
2013-10-18,119.61,119.85,119.13,119.65,6231100,118.65
2013-10-17,119.10,119.61,118.67,119.52,5254800,118.52
2013-10-16,119.42,119.72,118.34,119.16,5614200,118.17
2013-10-15,118.56,119.07,117.77,118.15,6414700,117.17
2013-10-14,117.33,118.75,116.32,118.58,4789800,117.59
2013-10-11,116.57,117.71,115.93,117.67,6535800,116.69
2013-10-10,115.24,116.38,114.44,116.38,11133000,115.41
2013-10-09,116.55,116.80,115.32,116.13,8861700,115.16
2013-10-08,117.89,118.09,116.71,116.73,6744200,115.76
2013-10-07,117.43,118.50,117.21,117.87,5677400,116.89
2013-10-04,118.50,118.54,117.52,118.13,6538500,117.15
2013-10-03,120.62,120.66,117.93,118.25,10203700,117.27
2013-10-02,121.04,121.18,119.76,120.83,5899800,119.82
2013-10-01,121.27,121.74,120.84,121.32,4702300,120.31
2013-09-30,121.60,122.02,120.50,121.50,6421800,120.49
2013-09-27,123.23,123.26,122.51,122.64,4518800,121.62
2013-09-26,124.10,124.44,123.02,123.49,5022600,122.46
2013-09-25,124.77,125.03,124.07,124.07,4498900,123.04
