Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,59.73,61.37,59.69,60.71,8335100,60.71
2014-01-28,60.86,61.15,59.35,59.57,6388000,59.57
2014-01-27,60.00,60.90,59.69,60.24,5402700,60.24
2014-01-24,61.24,61.41,59.95,59.97,5971000,59.97
2014-01-23,62.39,62.50,61.26,61.75,6622700,61.75
2014-01-22,64.00,64.00,62.89,63.02,3514700,63.02
2014-01-21,64.52,65.00,63.57,63.73,4856200,63.73
2014-01-17,64.13,64.37,63.65,64.02,3698100,64.02
2014-01-16,63.65,64.20,63.31,63.99,2847300,63.99
2014-01-15,63.54,63.83,63.42,63.73,3328500,63.73
2014-01-14,62.76,63.67,62.67,63.55,3096600,63.55
2014-01-13,63.04,63.46,62.50,62.66,3568500,62.66
2014-01-10,63.82,64.07,63.10,63.54,3750600,63.54
2014-01-09,63.99,64.24,63.25,63.94,6626800,63.94
2014-01-08,62.46,63.22,62.08,63.13,5204400,63.13
2014-01-07,63.08,63.20,62.10,62.33,6102800,62.33
2014-01-06,63.94,63.94,62.87,62.96,3689300,62.96
2014-01-03,63.78,64.19,63.55,63.78,2804400,63.78
2014-01-02,64.24,64.54,63.67,63.71,3994900,63.71
2013-12-31,64.71,65.00,64.39,64.97,2837400,64.97
2013-12-30,64.26,64.70,64.12,64.65,2190900,64.65
2013-12-27,64.44,64.46,63.92,64.25,2039900,64.25
2013-12-26,64.00,64.28,63.78,64.25,2276500,64.25
2013-12-24,62.72,63.85,62.71,63.83,1760200,63.83
2013-12-23,62.89,62.97,62.56,62.74,3031600,62.74
2013-12-20,62.76,62.98,62.32,62.55,5857000,62.55
2013-12-19,61.85,62.74,61.78,62.71,4279600,62.71
2013-12-18,61.40,62.19,60.62,62.19,4157100,62.19
2013-12-17,60.67,61.41,60.41,61.18,3591800,61.18
2013-12-16,60.52,61.17,60.52,60.84,4326900,60.84
2013-12-13,60.16,60.40,59.96,60.24,2728600,60.24
2013-12-12,60.22,60.41,59.85,59.95,2699000,59.95
2013-12-11,61.70,61.70,60.20,60.29,3854500,60.29
2013-12-10,61.25,61.63,61.11,61.44,3350500,61.44
2013-12-09,61.48,61.60,61.09,61.39,2412300,61.39
2013-12-06,60.62,61.37,60.58,61.34,2677400,61.34
2013-12-05,60.16,60.56,59.97,60.11,2525400,60.11
2013-12-04,60.20,60.60,59.88,60.26,3328000,60.26
2013-12-03,61.45,61.50,60.32,60.50,5018100,60.50
2013-12-02,61.76,62.24,61.59,61.74,2836600,61.74
2013-11-29,61.59,61.80,61.34,61.38,1350800,61.38
2013-11-27,61.50,61.81,61.30,61.54,1598200,61.54
2013-11-26,61.61,61.74,61.16,61.32,2147900,61.32
2013-11-25,62.00,62.19,61.38,61.58,3772100,61.58
2013-11-22,61.58,61.72,61.28,61.70,2968500,61.70
2013-11-21,61.03,61.61,60.97,61.60,2863500,61.60
2013-11-20,61.60,61.60,60.59,60.79,3915200,60.79
2013-11-19,61.73,61.82,61.27,61.49,3612700,61.49
2013-11-18,62.09,62.24,61.62,61.70,4452700,61.70
2013-11-15,61.79,62.12,61.57,62.11,7327500,62.11
2013-11-14,61.68,61.80,61.28,61.79,5139500,61.79
2013-11-13,61.37,61.54,60.37,60.94,6692500,60.94
2013-11-12,61.97,62.34,61.77,62.05,4900500,61.60
2013-11-11,61.94,62.09,61.74,62.09,2867900,61.64
2013-11-08,60.78,62.00,60.62,62.00,5001700,61.55
2013-11-07,61.05,61.46,60.71,60.85,5453500,60.41
2013-11-06,60.44,60.83,60.20,60.77,3412200,60.33
2013-11-05,59.83,60.40,59.76,60.30,5299700,59.86
2013-11-04,60.23,60.75,59.71,60.31,12716000,59.87
2013-11-01,61.14,61.57,60.84,61.09,4118700,60.65
2013-10-31,61.00,61.83,60.91,61.20,4350100,60.76
2013-10-30,61.46,61.72,60.66,61.02,3724400,60.58
2013-10-29,61.60,61.74,61.33,61.48,3298300,61.03
2013-10-28,61.89,61.90,61.33,61.56,3711600,61.11
2013-10-25,62.57,62.69,61.42,61.90,8823300,61.45
2013-10-24,60.23,61.58,60.00,61.38,6697300,60.93
2013-10-23,60.40,60.55,59.90,60.22,3994200,59.78
2013-10-22,59.82,60.38,59.33,60.17,5717500,59.73
2013-10-21,59.46,59.62,59.12,59.46,3020900,59.03
2013-10-18,59.82,59.87,59.33,59.62,3694200,59.19
2013-10-17,59.11,59.66,58.87,59.64,2581000,59.21
2013-10-16,58.57,59.28,58.30,59.06,3132200,58.63
2013-10-15,58.20,58.70,58.03,58.14,3170500,57.72
2013-10-14,57.48,58.43,57.48,58.36,3293200,57.94
2013-10-11,58.36,58.48,57.47,57.93,4457800,57.51
2013-10-10,57.58,58.33,57.41,58.29,3070400,57.87
2013-10-09,57.14,57.17,56.46,56.94,4052000,56.53
2013-10-08,58.00,58.00,57.04,57.07,3626600,56.66
2013-10-07,58.10,58.75,57.89,58.11,2629600,57.69
2013-10-04,57.75,58.72,57.50,58.65,2244800,58.22
2013-10-03,58.70,58.88,57.72,57.76,4152000,57.34
2013-10-02,58.34,59.04,58.29,58.99,3309800,58.56
2013-10-01,58.57,58.71,58.20,58.69,2623200,58.26
2013-09-30,58.37,58.88,58.24,58.56,3093900,58.14
2013-09-27,59.23,59.38,58.94,59.01,2361000,58.58
2013-09-26,59.32,59.79,59.22,59.51,2671200,59.08
2013-09-25,59.23,59.73,59.20,59.32,2532700,58.89
2013-09-24,59.41,59.91,59.18,59.32,2496900,58.89
2013-09-23,59.49,59.88,59.25,59.41,2388100,58.98
2013-09-20,60.38,60.74,59.42,59.42,8992500,58.99
2013-09-19,60.44,60.86,60.27,60.33,3291800,59.89
2013-09-18,59.48,60.57,59.12,60.44,5385200,60.00
2013-09-17,59.64,59.92,59.29,59.62,4320100,59.19
2013-09-16,59.74,59.84,59.24,59.70,4281100,59.27
2013-09-13,58.24,59.02,58.17,58.88,3302100,58.45
2013-09-12,58.93,58.96,57.66,58.06,4502500,57.64
2013-09-11,58.20,58.83,58.09,58.83,3123300,58.40
2013-09-10,57.96,58.44,57.65,58.04,3818700,57.62
2013-09-09,57.35,57.83,57.35,57.50,3674000,57.08
2013-09-06,57.70,57.99,56.53,57.11,5178900,56.70
2013-09-05,57.65,57.86,57.20,57.61,3008700,57.19
2013-09-04,56.23,57.55,56.23,57.23,4086400,56.81
2013-09-03,57.07,57.33,56.09,56.39,3924700,55.98
2013-08-30,56.69,56.86,56.45,56.62,3173600,56.21
2013-08-29,56.64,56.92,56.50,56.66,2404700,56.25
2013-08-28,56.58,56.94,56.26,56.79,3816200,56.38
2013-08-27,56.92,57.24,56.64,56.75,3035500,56.34
2013-08-26,57.85,58.16,57.55,57.57,2641300,57.15
2013-08-23,57.56,58.00,57.34,57.90,2674500,57.48
2013-08-22,57.32,57.64,57.17,57.55,1962900,57.13
2013-08-21,57.40,57.62,57.06,57.15,2918200,56.74
2013-08-20,57.42,57.81,57.31,57.53,2715100,57.11
2013-08-19,58.13,58.30,57.47,57.53,3659000,57.11
2013-08-16,58.66,58.85,58.16,58.28,3752100,57.86
2013-08-15,58.89,58.93,58.37,58.74,3971200,58.31
2013-08-14,59.73,59.83,59.20,59.37,3702400,58.94
2013-08-13,59.85,59.97,59.06,59.71,3896900,59.28
2013-08-12,59.56,59.98,59.29,59.88,4669300,59.00
2013-08-09,59.66,59.98,59.29,59.74,3504300,58.86
2013-08-08,59.91,60.15,59.31,59.76,3870600,58.88
2013-08-07,59.14,59.78,59.05,59.60,4073700,58.72
2013-08-06,59.58,59.73,59.04,59.20,3910500,58.33
2013-08-05,59.72,59.95,59.30,59.59,4821500,58.71
2013-08-02,59.84,60.18,59.34,59.92,12017900,59.04
2013-08-01,58.23,58.61,58.10,58.45,4470600,57.59
2013-07-31,57.85,58.74,57.61,57.69,5915800,56.84
2013-07-30,57.71,57.81,57.16,57.68,4308800,56.83
2013-07-29,57.33,57.66,57.12,57.54,3196300,56.69
2013-07-26,57.39,57.68,57.11,57.66,3748300,56.81
2013-07-25,57.03,57.69,57.01,57.59,4136100,56.74
2013-07-24,56.93,57.50,56.50,57.38,6104200,56.54
2013-07-23,59.72,60.40,57.00,57.12,14793400,56.28
2013-07-22,56.98,57.45,56.91,57.17,5455800,56.33
2013-07-19,57.39,57.39,56.90,57.14,5516500,56.30
2013-07-18,56.94,57.88,56.93,57.47,10416700,56.62
2013-07-17,54.71,57.68,54.68,57.25,17334300,56.41
2013-07-16,54.68,54.74,54.10,54.38,3436300,53.58
2013-07-15,54.47,54.83,54.36,54.63,2919900,53.83
2013-07-12,54.57,54.62,54.06,54.41,3272600,53.61
2013-07-11,54.62,54.79,54.13,54.54,4336000,53.74
2013-07-10,53.97,54.18,53.63,53.92,4305500,53.13
2013-07-09,53.89,54.00,53.61,53.91,4611200,53.12
2013-07-08,53.49,53.87,53.42,53.76,3222000,52.97
2013-07-05,52.64,53.05,52.46,53.00,3444300,52.22
2013-07-03,52.57,52.59,52.19,52.40,2293200,51.63
2013-07-02,52.69,53.04,52.28,52.54,3518400,51.77
2013-07-01,52.24,53.32,52.04,52.72,4344600,51.94
2013-06-28,53.47,53.54,52.49,52.50,7750500,51.73
2013-06-27,53.85,54.10,53.39,53.57,4184600,52.78
2013-06-26,53.26,53.67,52.73,53.53,4695000,52.74
2013-06-25,53.10,53.12,52.39,52.88,4867700,52.10
2013-06-24,52.52,53.01,52.02,52.66,7949100,51.89
2013-06-21,53.05,53.13,52.28,52.91,12159200,52.13
2013-06-20,52.76,53.13,52.36,52.59,8918600,51.82
2013-06-19,53.97,54.30,53.46,53.47,6379000,52.68
2013-06-18,53.97,54.07,53.70,54.02,5331600,53.23
2013-06-17,52.98,53.94,52.97,53.70,7475600,52.91
2013-06-14,53.09,53.70,52.16,52.68,11281800,51.90
2013-06-13,53.46,54.49,53.36,53.88,10082900,53.09
2013-06-12,55.43,55.64,54.18,54.23,4767900,53.43
2013-06-11,54.98,55.36,54.51,54.85,3895500,54.04
2013-06-10,55.66,55.72,54.95,55.52,4413200,54.70
2013-06-07,55.18,55.72,54.93,55.44,3640700,54.62
2013-06-06,54.66,54.84,53.88,54.79,4062400,53.98
2013-06-05,55.62,55.78,54.46,54.61,6941600,53.81
2013-06-04,56.13,56.47,55.39,55.79,3659800,54.97
2013-06-03,55.84,56.15,55.42,56.13,4430600,55.30
2013-05-31,56.06,57.25,55.79,55.79,5857600,54.97
2013-05-30,56.08,56.63,55.79,56.30,3764600,55.47
2013-05-29,55.60,56.22,55.33,56.02,4544300,55.20
2013-05-28,56.00,56.17,55.65,55.89,5120700,55.07
2013-05-24,55.07,55.48,54.56,55.35,3074500,54.54
2013-05-23,54.38,55.55,53.81,55.35,6737300,54.54
2013-05-22,56.29,56.78,55.33,55.57,6485700,54.75
2013-05-21,56.07,56.48,55.83,56.38,4982500,55.55
2013-05-20,55.88,56.29,55.66,55.93,3987600,55.11
2013-05-17,55.64,55.95,55.25,55.89,4832900,55.07
2013-05-16,55.51,55.81,55.25,55.49,4727900,54.67
2013-05-15,55.01,55.64,54.97,55.55,4513400,54.73
2013-05-14,54.50,55.25,54.42,55.16,5948200,54.35
2013-05-13,55.00,55.00,54.43,54.45,6000800,53.65
2013-05-10,55.14,55.70,55.00,55.46,21829400,54.20
2013-05-09,54.72,55.47,54.64,55.38,22099600,54.12
2013-05-08,54.57,54.84,54.36,54.70,4819900,53.46
2013-05-07,54.01,54.83,54.00,54.65,5651600,53.41
2013-05-06,53.93,54.16,53.73,53.89,3252100,52.67
2013-05-03,54.14,54.44,53.90,53.94,5364700,52.72
2013-05-02,53.17,53.98,52.57,53.51,7219300,52.29
2013-05-01,54.12,54.35,53.30,53.37,7415000,52.16
2013-04-30,54.00,54.73,53.81,54.51,9095300,53.27
2013-04-29,53.07,54.11,52.93,54.10,7621200,52.87
2013-04-26,53.11,53.17,52.56,52.90,5686500,51.70
2013-04-25,52.75,53.52,52.61,53.29,8910300,52.08
2013-04-24,52.50,52.95,52.25,52.75,7854700,51.55
2013-04-23,50.70,52.54,50.11,52.49,15005900,51.30
2013-04-22,49.41,50.74,49.28,50.41,14781500,49.27
2013-04-19,48.90,49.30,48.74,49.19,10348100,48.07
2013-04-18,49.23,49.54,48.23,48.59,8460900,47.49
2013-04-17,49.22,49.28,48.59,49.15,5872100,48.03
2013-04-16,49.23,49.79,49.22,49.60,6178900,48.47
2013-04-15,49.54,49.72,48.74,48.78,8481900,47.67
2013-04-12,50.15,50.28,49.32,49.82,5945000,48.69
2013-04-11,49.78,50.47,49.76,50.29,8125800,49.15
2013-04-10,49.41,49.85,49.29,49.74,6940500,48.61
2013-04-09,48.91,49.42,48.75,49.23,5399100,48.11
2013-04-08,48.67,48.85,48.21,48.80,5262400,47.69
2013-04-05,48.50,48.79,48.30,48.69,5925500,47.58
2013-04-04,48.88,49.25,48.56,49.04,5812200,47.93
2013-04-03,48.94,49.15,48.55,48.79,6498900,47.68
2013-04-02,49.32,49.32,48.85,49.03,5698300,47.92
2013-04-01,48.88,49.20,48.80,49.01,4619300,47.90
2013-03-28,48.90,49.32,48.90,49.16,4722100,48.04
2013-03-27,48.77,49.08,48.56,48.89,4898000,47.78
2013-03-26,49.09,49.20,48.52,48.97,5295600,47.86
2013-03-25,49.28,49.50,48.86,49.11,5626800,47.99
