Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,15.32,15.40,15.22,15.35,1922800,15.35
2014-01-28,15.20,15.43,15.18,15.37,2400300,15.37
2014-01-27,15.48,15.57,15.14,15.15,2999000,15.15
2014-01-24,15.63,15.64,15.42,15.47,2437400,15.47
2014-01-23,15.71,15.81,15.60,15.69,3324200,15.69
2014-01-22,15.70,15.80,15.54,15.75,4044600,15.75
2014-01-21,15.67,15.69,15.35,15.67,3886600,15.67
2014-01-17,15.73,15.75,15.50,15.57,1745400,15.57
2014-01-16,15.62,15.72,15.48,15.71,2783400,15.71
2014-01-15,15.61,15.77,15.60,15.65,1899400,15.65
2014-01-14,15.57,15.66,15.51,15.63,2804500,15.63
2014-01-13,15.68,15.74,15.46,15.51,1721300,15.51
2014-01-10,15.74,15.87,15.63,15.70,1932500,15.70
2014-01-09,15.71,15.73,15.44,15.68,2641600,15.68
2014-01-08,15.57,15.73,15.37,15.67,4740300,15.67
2014-01-07,15.54,15.61,15.45,15.54,4315900,15.54
2014-01-06,15.46,15.62,15.45,15.50,2866900,15.50
2014-01-03,15.30,15.47,15.28,15.46,2685000,15.46
2014-01-02,15.31,15.39,15.21,15.32,1941400,15.32
2013-12-31,15.42,15.51,15.30,15.37,1667200,15.37
2013-12-30,15.38,15.51,15.38,15.43,2152700,15.43
2013-12-27,15.34,15.42,15.26,15.39,1359400,15.39
2013-12-26,15.46,15.50,15.30,15.36,1678400,15.36
2013-12-24,15.40,15.49,15.31,15.39,752800,15.39
2013-12-23,15.39,15.46,15.30,15.40,2558200,15.40
2013-12-20,15.18,15.39,15.09,15.35,3930900,15.35
2013-12-19,15.15,15.28,14.95,15.15,3977000,15.15
2013-12-18,15.00,15.32,14.89,15.23,2872600,15.23
2013-12-17,14.97,15.14,14.90,15.03,2696800,15.03
2013-12-16,15.12,15.13,14.95,14.95,3729500,14.95
2013-12-13,15.23,15.45,15.05,15.09,2454400,15.09
2013-12-12,15.40,15.44,15.24,15.30,2185000,15.17
2013-12-11,15.97,15.99,15.38,15.40,2982300,15.26
2013-12-10,16.03,16.22,15.89,15.96,2246900,15.82
2013-12-09,15.98,16.11,15.90,16.04,2115200,15.90
2013-12-06,16.02,16.10,15.93,16.01,2521700,15.87
2013-12-05,15.82,15.99,15.66,15.91,1724100,15.77
2013-12-04,15.92,15.94,15.69,15.84,2720200,15.70
2013-12-03,15.81,15.88,15.73,15.85,3195700,15.71
2013-12-02,16.01,16.11,15.75,15.89,3233400,15.75
2013-11-29,16.21,16.26,15.97,15.99,841100,15.85
2013-11-27,16.09,16.23,16.04,16.20,2146000,16.06
2013-11-26,16.13,16.18,16.01,16.02,5419000,15.88
2013-11-25,16.28,16.33,16.13,16.16,2396600,16.02
2013-11-22,16.16,16.28,16.02,16.28,5931900,16.14
2013-11-21,16.26,16.28,16.13,16.23,3185300,16.09
2013-11-20,16.44,16.65,16.14,16.18,3758300,16.04
2013-11-19,16.79,16.79,16.27,16.44,2469400,16.29
2013-11-18,16.69,16.79,16.44,16.47,4171800,16.32
2013-11-15,16.51,16.64,16.44,16.60,2792400,16.45
