Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,22.59,23.28,22.34,23.11,11727500,23.11
2014-01-28,22.26,23.20,21.95,23.00,19823800,23.00
2014-01-27,21.01,21.48,20.20,20.94,10671600,20.94
2014-01-24,21.54,21.79,20.80,20.88,9587100,20.88
2014-01-23,21.79,22.04,21.70,21.96,5503500,21.96
2014-01-22,21.44,22.08,21.32,21.97,5227000,21.97
2014-01-21,21.66,21.80,21.32,21.48,3649600,21.48
2014-01-17,21.83,21.86,21.57,21.59,5221200,21.59
2014-01-16,21.53,21.97,21.23,21.92,5325100,21.92
2014-01-15,21.58,21.71,21.32,21.59,5063900,21.59
2014-01-14,21.56,21.73,21.32,21.59,4574600,21.59
2014-01-13,21.97,22.14,21.42,21.55,6764200,21.55
2014-01-10,21.87,22.56,21.75,22.15,7838900,22.15
2014-01-09,21.86,22.00,21.58,21.75,4988400,21.75
2014-01-08,21.26,21.75,21.15,21.58,5760100,21.58
2014-01-07,21.48,21.53,21.20,21.34,4804900,21.34
2014-01-06,21.92,21.93,21.17,21.27,6655500,21.27
2014-01-03,21.95,22.18,21.73,21.75,3724900,21.75
2014-01-02,21.81,22.04,21.64,21.83,6127200,21.83
2013-12-31,22.02,22.35,21.94,22.32,6111300,22.32
2013-12-30,21.67,22.00,21.36,21.93,5684000,21.93
2013-12-27,21.55,21.73,21.38,21.67,4570400,21.67
2013-12-26,21.33,21.73,21.32,21.37,5170100,21.37
2013-12-24,21.05,21.58,20.77,21.29,3768200,21.29
2013-12-23,20.73,21.30,20.73,21.13,8671300,21.13
2013-12-20,20.11,20.63,20.11,20.58,8153600,20.58
2013-12-19,19.93,20.25,19.93,20.16,7487800,20.16
2013-12-18,19.35,20.30,19.07,20.11,15790400,20.11
2013-12-17,18.96,19.11,18.68,18.91,6291600,18.91
2013-12-16,19.05,19.47,19.00,19.15,3902900,19.15
2013-12-13,19.06,19.20,18.89,18.96,3759900,18.96
2013-12-12,18.93,19.18,18.83,18.99,5193500,18.99
2013-12-11,19.49,19.51,18.90,19.01,7448100,19.01
2013-12-10,19.62,20.14,19.47,19.53,6771200,19.53
2013-12-09,19.10,19.85,19.09,19.45,7182900,19.45
2013-12-06,19.12,19.34,18.94,19.08,4490200,19.08
2013-12-05,18.94,19.10,18.72,18.79,6756800,18.79
2013-12-04,18.92,19.33,18.74,19.08,7900600,19.08
2013-12-03,19.24,19.53,19.01,19.13,5580700,19.13
2013-12-02,19.82,19.82,19.29,19.33,5209700,19.33
2013-11-29,20.05,20.10,19.63,19.88,3141900,19.88
2013-11-27,19.98,20.43,19.95,20.06,8665500,20.06
2013-11-26,19.15,19.95,19.14,19.93,10844400,19.93
2013-11-25,19.05,19.16,18.66,19.05,6835700,19.05
2013-11-22,19.48,19.68,18.95,19.05,8926900,19.05
2013-11-21,19.13,19.51,18.70,19.44,8783100,19.44
2013-11-20,19.65,19.72,18.97,19.06,8063700,19.06
2013-11-19,19.23,19.40,19.04,19.29,4735300,19.29
2013-11-18,19.60,19.77,19.16,19.30,7776300,19.30
2013-11-15,19.62,19.97,19.53,19.59,7190800,19.59
2013-11-14,19.08,19.90,18.91,19.59,10749400,19.59
2013-11-13,18.74,19.18,18.57,19.05,9686600,19.05
2013-11-12,18.42,19.27,18.12,18.91,19194100,18.91
2013-11-11,18.16,18.21,17.67,18.06,10780700,18.06
2013-11-08,18.33,18.35,17.86,18.14,20501200,18.14
2013-11-07,18.92,19.24,18.44,18.55,8049100,18.55
2013-11-06,18.46,18.77,18.26,18.73,10499500,18.73
2013-11-05,18.72,18.93,18.14,18.41,8004900,18.41
2013-11-04,18.63,19.28,18.59,18.82,6850300,18.82
2013-11-01,18.99,19.05,18.18,18.51,8982800,18.51
2013-10-31,19.53,19.53,18.94,18.95,6530100,18.95
2013-10-30,19.96,19.97,19.36,19.52,4760200,19.52
2013-10-29,19.73,19.99,19.51,19.97,4777500,19.97
2013-10-28,19.79,20.00,19.49,19.66,4904100,19.66
2013-10-25,19.93,19.98,19.60,19.77,5116000,19.77
2013-10-24,19.57,20.23,19.57,19.87,6940100,19.87
2013-10-23,19.17,19.97,19.14,19.47,7991400,19.47
2013-10-22,18.83,19.34,18.77,19.23,6641200,19.23
2013-10-21,19.16,19.25,18.31,18.67,5181900,18.67
2013-10-18,19.23,19.28,18.90,19.02,5978300,19.02
2013-10-17,17.99,19.25,17.97,19.14,12642700,19.14
2013-10-16,17.89,18.31,17.60,18.05,11696600,18.05
2013-10-15,18.21,18.24,17.65,17.69,10394300,17.69
2013-10-14,18.30,18.49,17.97,18.25,6561400,18.25
2013-10-11,18.30,18.81,18.29,18.65,4495700,18.65
2013-10-10,18.25,18.61,18.09,18.29,6603500,18.29
2013-10-09,18.03,18.25,17.66,17.93,10650100,17.93
2013-10-08,18.54,18.75,17.95,17.99,5988200,17.99
2013-10-07,18.26,18.84,18.25,18.50,6564000,18.50
2013-10-04,19.08,19.15,18.28,18.54,8108300,18.54
2013-10-03,19.49,19.69,18.98,19.07,8795300,19.07
