Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,51.52,51.80,50.80,50.88,1318200,50.88
2014-01-28,51.87,52.21,51.63,51.99,1469600,51.99
2014-01-27,52.72,52.83,51.58,51.85,1739800,51.85
2014-01-24,53.35,53.35,52.41,52.43,2042100,52.43
2014-01-23,52.42,53.42,52.28,53.40,1720400,53.40
2014-01-22,53.46,54.23,53.24,53.92,2322900,53.92
2014-01-21,54.13,54.40,52.74,52.96,1504400,52.96
2014-01-17,54.32,54.49,53.52,53.60,1747300,53.60
2014-01-16,56.39,56.39,54.39,54.42,2021600,54.42
2014-01-15,56.60,57.09,56.26,56.39,2151700,56.39
2014-01-14,54.33,55.34,54.12,55.25,1750900,55.25
2014-01-13,56.74,56.74,54.25,54.26,2746400,54.26
2014-01-10,57.52,57.68,56.60,56.76,1595800,56.76
2014-01-09,57.92,58.38,57.28,57.34,1611600,57.34
2014-01-08,58.46,58.87,58.00,58.22,1344200,58.22
2014-01-07,57.82,58.74,57.63,58.58,1192900,58.58
2014-01-06,57.64,58.17,57.56,57.82,885700,57.82
2014-01-03,57.70,58.42,57.51,57.59,788500,57.59
2014-01-02,58.00,58.36,57.53,57.68,656800,57.68
2013-12-31,57.73,58.37,57.73,58.10,518300,58.10
2013-12-30,57.49,57.98,57.36,57.67,666400,57.67
2013-12-27,57.80,57.99,57.35,57.53,416200,57.53
2013-12-26,57.50,58.00,57.27,57.67,750700,57.67
2013-12-24,57.33,57.86,57.31,57.55,267300,57.55
2013-12-23,57.40,57.55,57.06,57.22,625500,57.22
2013-12-20,55.96,57.42,55.94,57.11,1686000,57.11
2013-12-19,56.51,56.62,55.97,56.06,1115300,56.06
2013-12-18,55.64,56.60,55.39,56.51,1682900,56.51
2013-12-17,55.92,56.16,55.00,55.30,1488000,55.30
2013-12-16,55.80,56.13,55.25,55.85,1293200,55.85
2013-12-13,55.77,56.26,55.39,55.66,844100,55.66
2013-12-12,56.08,56.36,55.71,55.78,900600,55.78
2013-12-11,56.01,56.68,55.94,56.13,1346000,56.13
2013-12-10,55.48,56.06,55.11,56.04,1058800,56.04
2013-12-09,55.26,55.76,55.26,55.60,763600,55.60
2013-12-06,55.16,55.42,54.94,55.21,777300,55.21
2013-12-05,54.46,55.15,54.23,54.75,1292700,54.75
2013-12-04,55.07,55.51,54.05,54.48,1516200,54.48
2013-12-03,56.50,56.65,55.29,55.49,1241400,55.37
2013-12-02,56.71,57.18,56.31,56.64,1311800,56.51
