Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,49.89,51.24,49.18,50.30,3014600,50.30
2014-01-28,51.50,52.86,51.38,52.12,1134500,52.12
2014-01-27,52.40,52.53,51.50,51.51,1266300,51.51
2014-01-24,52.35,52.77,51.91,52.35,2246800,52.35
2014-01-23,52.24,52.55,51.98,52.45,1249900,52.45
2014-01-22,53.12,53.22,51.57,52.26,1763700,52.26
2014-01-21,52.15,53.14,52.12,53.03,2377500,53.03
2014-01-17,52.69,53.00,51.32,51.77,1410800,51.77
2014-01-16,52.64,53.12,52.46,52.83,2754300,52.83
2014-01-15,51.23,52.87,51.23,52.51,2190000,52.51
2014-01-14,50.65,51.31,50.37,51.20,1641800,51.20
2014-01-13,50.17,50.88,49.95,50.21,1421500,50.21
2014-01-10,50.03,50.47,49.72,50.00,1846500,50.00
2014-01-09,49.76,50.23,49.10,49.70,894000,49.70
2014-01-08,49.78,50.07,49.00,49.48,1603200,49.48
2014-01-07,50.30,50.75,49.79,49.86,2426200,49.86
2014-01-06,50.51,50.64,49.53,49.73,1147000,49.73
2014-01-03,49.82,50.26,49.15,49.83,1215000,49.83
2014-01-02,49.63,50.83,49.30,49.47,2584000,49.47
2013-12-31,48.75,49.42,48.70,49.12,1259300,49.12
2013-12-30,48.88,49.50,48.88,48.96,1296500,48.96
2013-12-27,49.00,49.19,48.76,49.10,1156100,49.10
2013-12-26,49.26,49.80,48.77,49.10,1114200,49.10
2013-12-24,48.38,49.16,48.13,49.10,1132800,49.10
2013-12-23,47.50,48.55,47.42,48.50,2032200,48.50
2013-12-20,45.89,47.41,45.89,47.41,1642000,47.41
2013-12-19,46.24,46.40,45.57,46.29,1159700,46.29
2013-12-18,45.88,46.71,45.46,46.49,1577400,46.49
2013-12-17,44.86,46.32,44.76,46.16,1608400,46.16
2013-12-16,44.50,45.04,44.42,44.89,1732100,44.89
2013-12-13,44.77,45.51,44.41,44.64,1317900,44.64
2013-12-12,45.34,45.39,44.37,44.62,1606800,44.62
2013-12-11,46.00,46.26,45.15,45.48,1712900,45.48
2013-12-10,45.60,47.10,45.50,46.74,1818200,45.96
2013-12-09,45.93,46.08,45.46,45.63,1475000,44.87
2013-12-06,46.59,46.92,45.81,46.01,1507100,45.24
2013-12-05,45.00,46.65,44.94,46.29,2677200,45.52
2013-12-04,44.12,45.90,43.91,45.00,2242200,44.25
2013-12-03,44.98,44.99,43.04,44.53,4793800,43.79
2013-12-02,47.08,47.17,45.42,45.93,1419900,45.16
2013-11-29,47.50,47.65,47.11,47.24,877500,46.45
2013-11-27,46.78,47.25,46.61,47.23,1006100,46.44
2013-11-26,46.78,46.89,46.33,46.56,1485200,45.78
2013-11-25,46.71,47.19,46.28,46.67,1166200,45.89
2013-11-22,47.49,47.69,46.50,46.92,1198600,46.14
2013-11-21,47.12,47.74,46.78,47.54,1238800,46.75
2013-11-20,47.26,47.76,46.78,47.03,1249100,46.25
2013-11-19,48.32,48.32,47.10,47.30,1438200,46.51
2013-11-18,47.97,48.57,47.78,48.17,1907300,47.37
2013-11-15,47.07,48.05,46.80,47.97,2173300,47.17
2013-11-14,46.77,47.47,46.25,47.12,1803800,46.33
2013-11-13,46.24,46.82,45.70,46.29,3913200,45.52
2013-11-12,46.13,46.62,45.77,46.38,1759300,45.61
2013-11-11,45.62,46.53,45.31,46.40,1195100,45.63
2013-11-08,46.51,46.70,45.22,45.81,2036100,45.05
2013-11-07,47.26,47.43,46.12,46.63,2771500,45.85
2013-11-06,47.88,48.08,47.12,47.25,2126800,46.46
2013-11-05,47.98,48.20,47.55,47.91,2255600,47.11
2013-11-04,48.16,48.42,47.30,47.90,2146900,47.10
2013-11-01,48.00,48.57,47.56,48.50,2271200,47.69
2013-10-31,49.22,49.25,46.65,47.66,5565200,46.86
2013-10-30,53.00,53.00,48.50,49.17,10980800,48.35
2013-10-29,58.20,58.23,57.26,58.03,1659100,57.06
2013-10-28,57.80,58.35,57.16,58.25,1873900,57.28
2013-10-25,57.30,58.10,56.99,57.91,1124700,56.94
2013-10-24,56.33,57.30,56.12,57.30,896100,56.34
2013-10-23,56.24,56.39,55.56,56.37,1211200,55.43
2013-10-22,55.56,56.73,55.37,56.22,1379900,55.28
2013-10-21,56.36,56.55,55.75,56.24,649900,55.30
2013-10-18,57.34,57.34,55.90,56.24,1216300,55.30
2013-10-17,55.15,57.47,54.82,57.28,1627600,56.32
2013-10-16,54.30,55.04,54.07,54.99,789700,54.07
2013-10-15,54.36,54.92,54.34,54.39,1091900,53.48
2013-10-14,54.81,55.22,54.25,54.62,944100,53.71
2013-10-11,54.81,55.61,53.99,55.25,1436300,54.33
2013-10-10,53.17,54.10,53.17,53.89,826800,52.99
2013-10-09,52.63,53.30,52.43,52.81,876700,51.93
2013-10-08,53.81,54.03,52.50,52.50,1150300,51.62
2013-10-07,52.19,54.08,52.11,53.94,1595900,53.04
2013-10-04,53.05,53.63,52.19,52.50,1877100,51.62
2013-10-03,54.69,55.12,52.68,52.82,1969400,51.94
2013-10-02,54.50,55.10,54.17,54.56,1304000,53.65
2013-10-01,53.22,54.63,52.11,54.42,1757000,53.51
2013-09-30,54.45,54.51,53.09,53.10,1622300,52.21
2013-09-27,55.81,55.95,54.32,54.65,1379000,53.74
2013-09-26,55.55,56.34,55.55,56.03,1093300,55.09
2013-09-25,55.51,56.00,54.99,55.52,1205700,54.59
2013-09-24,55.60,56.23,55.10,55.77,1563800,54.84
2013-09-23,55.00,56.13,54.90,55.74,1623600,54.81
2013-09-20,56.92,56.99,55.07,55.13,1312500,54.21
2013-09-19,57.50,57.85,56.80,56.94,986300,55.99
2013-09-18,54.82,58.03,54.58,57.64,1180300,56.68
2013-09-17,54.75,55.38,54.59,55.05,1213900,54.13
2013-09-16,55.21,55.44,54.52,54.62,1035500,53.71
2013-09-13,54.20,54.99,54.10,54.51,968500,53.60
2013-09-12,54.85,55.27,53.79,54.26,2742700,53.35
2013-09-11,52.98,54.56,52.82,54.56,1814400,53.65
2013-09-10,52.95,53.40,52.63,53.37,1847100,51.71
2013-09-09,52.13,52.85,51.98,52.67,1596500,51.03
2013-09-06,52.08,52.38,51.52,51.88,2235400,50.27
2013-09-05,52.99,52.99,51.01,51.58,2742300,49.98
2013-09-04,53.82,54.11,52.75,52.78,1294300,51.14
2013-09-03,56.11,56.28,53.93,54.10,1421100,52.42
2013-08-30,55.82,56.48,55.33,55.60,1239000,53.87
2013-08-29,54.85,56.03,54.80,55.68,1277000,53.95
2013-08-28,55.31,55.52,54.05,55.27,1938600,53.55
2013-08-27,54.18,55.43,54.06,55.41,1177700,53.69
2013-08-26,54.78,54.78,54.07,54.63,842500,52.93
2013-08-23,53.40,54.75,53.36,54.73,1085500,53.03
2013-08-22,52.76,53.43,52.56,53.30,1086300,51.64
2013-08-21,52.73,53.52,52.00,52.58,1104000,50.95
2013-08-20,51.44,52.74,51.31,52.69,1460600,51.05
2013-08-19,51.91,52.30,50.98,51.06,1805200,49.47
2013-08-16,53.15,53.22,52.02,52.30,1342000,50.68
2013-08-15,54.00,54.00,53.23,53.38,1320500,51.72
2013-08-14,54.12,54.42,53.74,54.25,1665800,52.57
2013-08-13,55.10,55.28,53.81,54.58,1868700,52.88
2013-08-12,56.27,56.37,55.12,55.20,1138100,53.49
2013-08-09,55.25,56.61,55.12,56.27,1001900,54.52
2013-08-08,55.83,55.96,55.04,55.42,809300,53.70
2013-08-07,55.32,55.91,55.06,55.64,1765100,53.91
2013-08-06,55.32,55.77,55.11,55.46,1267100,53.74
2013-08-05,54.20,55.06,53.92,55.01,1345300,53.30
2013-08-02,54.83,55.24,54.10,54.33,1795100,52.64
2013-08-01,55.29,55.49,54.31,54.70,4392600,53.00
2013-07-31,56.74,56.99,54.62,55.29,3991300,53.57
2013-07-30,57.35,57.92,56.63,56.73,2161100,54.97
2013-07-29,59.16,59.16,56.92,57.32,3107300,55.54
2013-07-26,63.74,65.43,56.07,58.28,5710200,56.47
2013-07-25,63.12,63.29,62.51,62.99,1247700,61.03
2013-07-24,64.40,64.48,62.64,63.14,1260500,61.18
2013-07-23,64.32,64.70,63.96,64.25,836200,62.25
2013-07-22,64.16,64.91,63.84,64.50,1036600,62.50
2013-07-19,64.36,64.78,63.85,64.40,570300,62.40
2013-07-18,63.92,64.53,63.67,64.36,609400,62.36
2013-07-17,63.94,64.40,63.21,63.98,1174000,61.99
2013-07-16,63.78,64.06,63.10,63.87,998400,61.89
2013-07-15,63.51,63.92,63.04,63.65,587900,61.67
2013-07-12,64.32,64.39,63.04,63.53,1524100,61.56
2013-07-11,62.04,64.60,61.91,64.58,3198900,62.57
2013-07-10,61.21,61.93,61.07,61.25,1895200,59.35
2013-07-09,59.39,60.50,59.36,60.38,1176500,58.50
2013-07-08,59.36,59.76,59.24,59.30,1399400,57.46
2013-07-05,60.26,60.45,58.41,59.42,1252500,57.57
2013-07-03,60.18,60.41,59.67,60.17,785000,58.30
2013-07-02,59.95,60.73,59.84,60.21,1268800,58.34
2013-07-01,61.59,61.82,59.93,60.00,1218900,58.14
2013-06-28,60.96,61.56,59.96,61.00,1883300,59.11
2013-06-27,59.65,60.80,59.65,60.27,1508300,58.40
2013-06-26,58.35,59.45,58.27,59.35,2026000,57.51
2013-06-25,58.18,58.49,57.67,58.22,2144400,56.41
2013-06-24,57.76,58.65,57.44,57.73,2406200,55.94
2013-06-21,56.48,58.55,56.48,58.34,1964000,56.53
2013-06-20,58.92,59.01,56.02,56.28,2037600,54.53
