Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,50.05,50.09,48.79,49.16,2130000,49.16
2014-01-28,51.31,51.43,50.47,50.69,1795000,50.69
2014-01-27,51.03,51.61,50.63,51.49,1694000,51.49
2014-01-24,50.81,51.33,50.43,51.04,2345800,51.04
2014-01-23,53.87,53.98,51.69,51.88,3373800,51.88
2014-01-22,54.55,54.83,53.94,54.75,1289100,54.75
2014-01-21,54.53,54.92,54.05,54.49,1006900,54.49
2014-01-17,54.49,54.53,53.74,54.10,1116600,54.10
2014-01-16,54.62,54.83,53.30,54.32,2079100,54.32
2014-01-15,54.86,55.29,54.55,54.93,1147500,54.93
2014-01-14,54.65,55.52,54.64,55.25,943800,55.25
2014-01-13,55.58,55.98,54.44,54.57,1155600,54.57
2014-01-10,55.35,56.08,55.33,55.91,888100,55.91
2014-01-09,55.27,55.68,54.98,55.30,1162600,55.30
2014-01-08,56.70,56.70,55.25,55.74,1610900,55.74
2014-01-07,56.53,56.79,55.89,56.70,1070900,56.70
2014-01-06,56.70,56.99,56.36,56.71,1076000,56.71
2014-01-03,56.28,56.94,56.28,56.47,1097200,56.47
2014-01-02,56.80,57.29,56.11,56.12,1257000,56.12
2013-12-31,56.40,56.94,56.16,56.92,929500,56.92
2013-12-30,56.78,57.40,56.30,56.37,1111500,56.37
2013-12-27,56.18,56.91,55.99,56.81,1343700,56.81
2013-12-26,56.29,56.63,55.83,55.93,833600,55.93
2013-12-24,55.36,56.48,55.16,56.11,727400,56.11
2013-12-23,55.85,56.04,55.09,55.39,2111900,55.39
2013-12-20,55.10,56.07,54.82,55.83,1978900,55.83
2013-12-19,55.59,55.75,54.78,55.62,2331800,55.62
2013-12-18,56.20,56.20,55.02,55.91,1769300,55.91
2013-12-17,56.22,56.35,55.64,56.09,1173100,56.09
2013-12-16,56.26,56.72,55.88,56.15,1092700,56.15
2013-12-13,56.43,56.67,56.01,56.19,1218100,56.19
2013-12-12,56.87,56.90,55.91,56.40,1950800,56.40
2013-12-11,58.20,58.30,56.74,56.85,1583500,56.85
2013-12-10,58.60,59.02,58.13,58.26,1024800,58.26
2013-12-09,58.87,59.20,58.30,58.85,1232700,58.85
2013-12-06,59.50,59.52,58.51,58.87,1481700,58.87
2013-12-05,59.93,60.05,59.20,59.32,1193500,59.32
2013-12-04,59.61,60.31,59.24,60.24,1163900,60.24
2013-12-03,59.49,60.38,59.26,59.74,1550100,59.74
2013-12-02,60.17,60.71,59.86,59.92,1381200,59.92
2013-11-29,60.00,60.78,59.49,60.05,566000,60.05
2013-11-27,59.18,60.14,58.75,59.94,1148300,59.94
2013-11-26,59.26,59.55,58.53,59.35,1397800,59.35
2013-11-25,60.68,60.68,59.22,59.41,1116900,59.41
2013-11-22,60.56,60.97,60.12,60.89,1016700,60.89
2013-11-21,61.21,61.26,60.31,60.70,1170900,60.70
2013-11-20,60.89,61.67,60.80,61.06,958200,61.06
2013-11-19,60.19,61.10,59.78,60.86,1388800,60.86
2013-11-18,61.62,61.63,60.09,60.28,1208200,60.28
2013-11-15,61.32,61.76,60.79,61.42,1268300,61.42
2013-11-14,61.28,61.65,60.78,60.92,1223000,60.92
2013-11-13,60.85,61.58,60.52,61.22,1372200,61.22
2013-11-12,61.40,61.56,60.69,61.03,915200,61.03
2013-11-11,61.56,62.25,61.53,61.59,1049700,61.59
2013-11-08,60.52,61.92,60.52,61.74,2084600,61.74
2013-11-07,60.72,61.11,60.13,60.37,1748500,60.37
2013-11-06,59.92,60.64,59.56,60.35,1653000,60.35
2013-11-05,60.21,60.45,59.28,59.31,1967000,59.31
2013-11-04,60.21,60.71,60.06,60.48,1554700,60.48
2013-11-01,61.24,61.32,60.13,60.27,1715200,60.27
2013-10-31,62.69,63.25,61.88,61.93,1834100,61.05
2013-10-30,62.74,63.13,62.43,62.73,1489100,61.84
2013-10-29,63.15,63.37,62.13,62.59,1534200,61.71
2013-10-28,61.30,63.31,61.11,63.01,2118200,62.12
2013-10-25,60.54,61.56,60.14,61.27,1740100,60.40
2013-10-24,62.00,62.01,60.08,60.96,3314300,60.10
2013-10-23,64.25,64.25,62.63,63.23,1865700,62.34
2013-10-22,63.54,64.65,63.47,64.63,1449000,63.72
2013-10-21,63.24,63.94,62.96,63.30,1041200,62.41
2013-10-18,62.94,63.51,62.92,63.15,976400,62.26
2013-10-17,63.01,63.30,62.07,62.50,1116900,61.62
2013-10-16,62.47,63.28,62.25,63.14,1245300,62.25
2013-10-15,63.57,63.57,62.76,63.00,678400,62.11
2013-10-14,62.99,63.93,62.97,63.88,697800,62.98
2013-10-11,63.08,63.75,62.64,63.57,869800,62.67
2013-10-10,62.69,63.39,62.43,63.23,649300,62.34
2013-10-09,62.01,62.60,61.63,62.07,876600,61.19
2013-10-08,62.45,62.75,62.00,62.09,944700,61.21
2013-10-07,62.82,63.03,62.39,62.63,519100,61.75
2013-10-04,62.43,63.58,62.08,63.45,1017000,62.55
2013-10-03,62.67,62.67,61.98,62.43,646500,61.55
2013-10-02,62.12,62.84,61.79,62.71,623300,61.82
2013-10-01,62.13,63.21,62.13,62.41,952600,61.53
2013-09-30,61.95,62.66,61.94,62.32,798700,61.44
2013-09-27,62.91,63.15,62.58,62.77,616800,61.88
2013-09-26,63.48,63.51,62.91,63.28,743200,62.39
2013-09-25,62.94,63.66,62.56,63.38,1454100,62.48
2013-09-24,62.89,63.16,61.82,62.13,1695600,61.25
2013-09-23,62.50,63.36,62.31,62.95,1014500,62.06
2013-09-20,64.18,64.26,62.54,62.61,1741000,61.73
2013-09-19,65.49,65.50,63.85,64.27,1035900,63.36
2013-09-18,65.16,65.62,64.36,65.43,523500,64.51
2013-09-17,64.46,65.26,64.32,65.01,745600,64.09
2013-09-16,65.13,65.13,64.30,64.39,693500,63.48
2013-09-13,64.77,64.81,64.20,64.41,732100,63.50
2013-09-12,65.18,65.40,64.58,64.88,1109600,63.96
2013-09-11,65.25,65.56,64.67,65.29,640300,64.37
2013-09-10,65.35,65.55,64.65,65.18,711300,64.26
2013-09-09,64.48,65.36,64.28,65.02,1373900,64.10
2013-09-06,64.31,64.67,63.38,64.33,975200,63.42
2013-09-05,63.33,64.30,63.29,63.90,1140600,63.00
2013-09-04,63.50,63.79,63.05,63.41,1233400,62.51
2013-09-03,64.79,64.81,63.05,63.46,1198700,62.56
2013-08-30,64.25,64.59,63.92,64.03,891300,63.13
2013-08-29,64.96,65.43,64.10,64.17,1032200,63.26
2013-08-28,65.15,65.84,64.98,65.27,881200,64.35
2013-08-27,65.09,65.63,64.83,65.00,722900,64.08
2013-08-26,66.00,66.34,65.36,65.53,512100,64.60
2013-08-23,65.53,66.28,65.14,65.84,688100,64.91
2013-08-22,64.33,65.57,64.28,65.40,843300,64.48
2013-08-21,65.07,65.17,64.39,64.39,789600,63.48
2013-08-20,65.59,65.92,65.09,65.32,890900,64.40
2013-08-19,65.94,66.01,65.44,65.59,818700,64.66
2013-08-16,66.82,66.97,65.56,66.04,877300,65.11
2013-08-15,66.84,66.96,66.29,66.80,916700,65.86
2013-08-14,67.72,67.87,67.00,67.17,978800,66.22
2013-08-13,67.37,67.92,67.30,67.62,1795600,66.66
2013-08-12,67.46,68.32,67.32,67.70,2139000,66.74
2013-08-09,68.78,69.15,67.65,68.20,787000,67.24
2013-08-08,68.76,69.34,67.94,68.88,2380800,67.91
2013-08-07,67.17,68.89,66.99,68.61,1732600,67.64
2013-08-06,67.61,67.87,66.91,67.35,785800,66.40
2013-08-05,67.98,67.98,67.14,67.61,731600,66.65
2013-08-02,68.11,68.24,67.13,67.96,801600,67.00
2013-08-01,67.90,68.80,67.78,68.79,1043500,66.96
2013-07-31,67.87,68.04,67.14,67.44,1482400,65.64
2013-07-30,67.55,68.00,67.27,67.87,1316700,66.06
2013-07-29,67.76,68.08,67.19,67.44,806200,65.64
2013-07-26,68.62,68.90,67.27,67.93,1499800,66.12
2013-07-25,70.46,70.46,68.17,69.29,2275200,67.44
2013-07-24,72.41,72.55,71.12,71.50,940200,69.59
2013-07-23,72.47,72.89,71.94,72.15,904700,70.23
2013-07-22,72.75,73.00,72.06,72.20,501900,70.27
2013-07-19,72.40,72.67,71.82,72.65,695000,70.71
2013-07-18,71.50,72.39,71.27,72.24,859500,70.31
2013-07-17,70.99,71.63,70.89,71.07,1059200,69.17
2013-07-16,71.85,71.91,70.25,70.55,1623100,68.67
2013-07-15,72.14,72.78,71.83,71.99,846900,70.07
2013-07-12,71.11,72.16,70.96,72.11,1738400,70.19
2013-07-11,71.10,71.60,69.90,71.04,2316100,69.15
2013-07-10,70.34,70.77,69.89,70.01,879800,68.14
2013-07-09,70.00,70.45,69.55,70.04,1201200,68.17
2013-07-08,69.50,69.92,69.36,69.53,745600,67.68
2013-07-05,68.22,69.43,68.07,69.25,578900,67.40
2013-07-03,68.36,68.36,67.62,67.90,443500,66.09
