Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,58.71,59.57,58.21,59.01,3097500,59.01
2014-01-28,58.91,59.52,58.75,59.29,2483400,59.29
2014-01-27,59.47,59.50,58.46,58.67,3576200,58.67
2014-01-24,59.61,59.89,59.15,59.52,3788100,59.52
2014-01-23,60.32,60.59,59.84,60.12,2484400,60.12
2014-01-22,60.09,60.72,59.59,60.41,3092700,60.41
2014-01-21,59.62,60.14,59.00,59.68,2750700,59.68
2014-01-17,59.45,59.58,58.70,59.01,3312000,59.01
2014-01-16,59.11,59.58,58.95,59.37,3042200,59.37
2014-01-15,59.91,60.30,59.12,59.21,3030900,59.21
2014-01-14,59.15,60.10,59.12,59.78,2414400,59.78
2014-01-13,60.49,60.79,59.02,59.18,3198800,59.18
2014-01-10,60.96,61.06,60.26,60.53,2283400,60.53
2014-01-09,61.28,61.52,59.99,60.78,2826200,60.78
2014-01-08,61.48,61.79,60.94,61.31,3503800,61.31
2014-01-07,60.92,61.99,60.78,61.48,3499200,61.48
2014-01-06,60.50,60.65,60.07,60.25,2565900,60.25
2014-01-03,61.30,61.68,60.80,61.03,1735600,61.03
2014-01-02,61.69,61.84,60.92,61.16,2056900,61.16
2013-12-31,61.84,62.19,61.38,61.87,2336400,61.87
2013-12-30,61.75,62.40,61.56,61.80,2724100,61.80
2013-12-27,61.42,61.88,61.13,61.69,1472900,61.69
2013-12-26,61.16,61.46,60.60,61.12,2125300,61.12
2013-12-24,60.74,61.45,60.59,61.26,847800,61.26
2013-12-23,61.31,61.85,60.71,60.81,1940000,60.81
2013-12-20,60.94,61.11,60.13,60.94,3954400,60.94
2013-12-19,59.35,61.12,59.15,60.75,3620000,60.75
2013-12-18,59.70,59.88,58.03,59.34,4353500,59.34
2013-12-17,60.26,60.28,59.60,59.65,3026400,59.65
2013-12-16,59.62,60.56,59.54,60.40,2800500,60.40
2013-12-13,59.43,59.87,59.00,59.22,3039700,59.22
2013-12-12,59.80,60.30,59.39,59.42,2967000,59.42
2013-12-11,60.40,60.55,59.30,59.57,3354600,59.57
2013-12-10,60.48,61.51,60.45,60.82,3200800,60.60
2013-12-09,60.68,60.99,60.13,60.70,2434800,60.48
2013-12-06,61.84,61.90,60.18,60.48,3129000,60.26
2013-12-05,60.61,61.90,60.43,61.36,3845900,61.14
2013-12-04,61.26,61.80,60.77,60.81,3597300,60.59
2013-12-03,60.74,61.93,60.46,61.45,3588500,61.23
2013-12-02,60.89,60.91,60.30,60.54,3362700,60.32
