Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,47.30,47.55,47.07,47.12,1653600,47.12
2014-01-28,47.25,47.60,47.04,47.40,1544300,47.40
2014-01-27,47.00,47.58,46.87,47.19,2498600,47.19
2014-01-24,47.57,47.69,46.92,46.92,2714700,46.92
2014-01-23,47.69,48.14,47.57,47.65,2740600,47.65
2014-01-22,47.47,48.02,47.34,47.80,2320500,47.80
2014-01-21,47.15,47.70,47.06,47.70,3183600,47.70
2014-01-17,47.08,47.38,46.76,46.90,1802500,46.90
2014-01-16,46.40,46.93,46.15,46.93,2628300,46.93
2014-01-15,46.36,46.77,46.13,46.37,2201000,46.37
2014-01-14,45.77,46.33,45.64,46.27,2785700,46.27
2014-01-13,45.62,45.76,45.26,45.48,2597200,45.48
2014-01-10,45.47,46.15,45.39,45.51,2407700,45.51
2014-01-09,45.16,45.29,44.74,45.14,2518900,45.14
2014-01-08,45.34,45.52,44.95,45.07,2822300,45.07
2014-01-07,45.43,45.67,45.43,45.48,2487100,45.48
2014-01-06,45.64,45.64,45.35,45.41,2094300,45.41
2014-01-03,45.55,45.71,45.29,45.44,2218100,45.44
2014-01-02,46.06,46.49,45.41,45.43,2415000,45.43
2013-12-31,46.24,46.51,46.14,46.30,1140700,46.30
2013-12-30,45.92,46.33,45.92,46.29,1909600,46.29
2013-12-27,45.81,46.20,45.72,45.97,816900,45.97
2013-12-26,46.54,46.65,46.01,46.16,915300,45.80
2013-12-24,46.03,46.75,45.93,46.53,629400,46.17
2013-12-23,46.69,46.82,46.09,46.14,1765500,45.79
2013-12-20,46.25,46.98,46.22,46.58,3111000,46.22
2013-12-19,46.01,46.19,45.41,46.12,2140100,45.77
2013-12-18,45.57,46.12,45.16,46.08,2693900,45.73
2013-12-17,45.85,46.01,45.45,45.63,1595700,45.28
2013-12-16,45.81,46.25,45.80,45.96,1410200,45.61
2013-12-13,45.59,45.85,45.45,45.68,1487500,45.33
2013-12-12,45.31,45.78,45.09,45.45,2391200,45.10
2013-12-11,45.58,45.63,44.97,45.23,2632300,44.88
2013-12-10,46.12,46.22,45.40,45.49,2850400,45.14
2013-12-09,45.90,46.33,45.87,46.22,1792900,45.86
2013-12-06,45.69,46.07,45.53,45.89,3734100,45.54
2013-12-05,45.84,45.86,45.21,45.40,2160300,45.05
2013-12-04,45.74,46.28,45.63,46.03,1292200,45.68
2013-12-03,46.03,46.22,45.72,46.02,2191500,45.67
2013-12-02,46.21,46.51,46.00,46.11,3088000,45.76
2013-11-29,45.73,46.35,45.73,46.21,1418300,45.85
2013-11-27,45.44,46.03,45.42,45.83,3083700,45.48
2013-11-26,45.62,45.78,45.27,45.41,3877000,45.06
2013-11-25,46.13,46.23,45.51,45.53,4881900,45.18
2013-11-22,47.11,47.11,45.94,46.00,7138500,45.65
2013-11-21,47.59,47.72,47.18,47.31,2669300,46.95
2013-11-20,48.48,48.53,47.47,47.52,1447700,47.15
2013-11-19,48.89,48.98,48.33,48.38,2071800,48.01
2013-11-18,49.19,49.20,48.70,48.89,1285100,48.51
2013-11-15,48.30,49.18,48.30,49.17,1941700,48.79
2013-11-14,48.16,48.67,47.84,48.59,1841200,48.22
2013-11-13,47.95,48.37,47.63,48.07,2591500,47.70
2013-11-12,48.75,49.02,48.07,48.23,2146300,47.86
2013-11-11,49.07,49.31,48.71,48.98,755900,48.60
2013-11-08,49.29,49.33,48.14,49.05,2606200,48.67
2013-11-07,49.65,49.85,49.29,49.47,1565600,49.09
2013-11-06,49.28,49.70,49.20,49.62,1451800,49.24
2013-11-05,49.45,49.77,49.14,49.26,1712500,48.88
2013-11-04,49.56,49.68,49.05,49.57,1266700,49.19
2013-11-01,49.19,49.55,49.04,49.47,1474700,49.09
2013-10-31,48.97,49.51,48.41,49.03,1910300,48.65
2013-10-30,49.64,49.95,48.77,48.95,2012700,48.57
2013-10-29,49.19,49.48,48.92,49.11,1753200,48.73
2013-10-28,49.23,49.53,48.90,49.22,1334000,48.84
2013-10-25,48.63,49.47,48.49,49.41,1248300,49.03
2013-10-24,48.71,48.78,48.12,48.76,3067400,48.39
2013-10-23,48.92,49.41,48.65,48.68,1210300,48.31
2013-10-22,48.34,49.14,48.25,48.97,1513300,48.59
