Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,74.91,76.07,74.49,74.69,1933300,74.69
2014-01-28,74.50,75.63,74.30,75.22,1986500,75.22
2014-01-27,74.70,75.17,73.00,74.38,2386800,74.38
2014-01-24,75.34,75.82,74.52,74.63,2957500,74.63
2014-01-23,77.02,77.02,74.83,76.20,3160100,76.20
2014-01-22,79.65,79.75,77.18,77.85,3149400,77.85
2014-01-21,80.65,81.25,79.48,79.64,2314800,79.64
2014-01-17,79.65,80.39,79.20,79.88,1024000,79.88
2014-01-16,79.73,80.29,79.46,79.83,813800,79.83
2014-01-15,79.36,80.18,79.32,79.81,1381900,79.81
2014-01-14,78.32,79.53,78.32,79.29,1080800,79.29
2014-01-13,79.11,79.57,77.99,78.17,1070500,78.17
2014-01-10,79.91,80.43,79.27,79.43,973100,79.43
2014-01-09,79.49,79.99,78.95,79.30,1045300,79.30
2014-01-08,79.13,79.48,78.16,79.20,1776600,79.20
2014-01-07,79.74,79.97,79.22,79.45,1442700,79.45
2014-01-06,80.76,80.94,79.22,79.76,1291200,79.76
2014-01-03,80.46,80.94,80.12,80.17,941700,80.17
2014-01-02,80.31,80.53,79.88,80.28,1612900,80.28
2013-12-31,79.88,80.84,79.84,80.70,2192500,80.70
2013-12-30,78.99,79.93,78.88,79.90,1547900,79.90
2013-12-27,79.00,79.44,78.87,79.06,839200,79.06
2013-12-26,78.30,79.03,78.30,78.97,1650100,78.97
2013-12-24,77.01,78.24,77.01,78.22,1063600,78.22
2013-12-23,76.50,77.15,76.11,77.05,1611800,77.05
2013-12-20,75.40,76.63,75.24,75.93,3920200,75.93
2013-12-19,74.57,75.43,74.37,75.01,2837400,75.01
2013-12-18,74.07,74.83,73.25,74.64,2012100,74.64
2013-12-17,73.75,74.27,73.30,74.03,3408600,74.03
2013-12-16,73.26,74.02,73.21,73.43,1580000,73.43
2013-12-13,74.54,74.54,72.62,72.67,2751300,72.67
2013-12-12,74.10,74.54,73.80,73.86,1930900,73.86
2013-12-11,75.50,75.50,74.44,74.55,1659800,74.20
2013-12-10,75.24,75.76,75.02,75.31,1476400,74.96
2013-12-09,76.22,76.24,75.14,75.36,1455300,75.01
2013-12-06,75.50,76.56,75.11,76.21,1321100,75.85
2013-12-05,74.30,75.18,74.13,74.31,1351000,73.96
2013-12-04,74.79,75.41,74.13,74.58,1384600,74.23
2013-12-03,76.04,76.65,75.05,75.43,1103400,75.08
2013-12-02,77.21,77.83,76.37,76.46,1228500,76.10
2013-11-29,76.84,77.51,76.83,77.03,471900,76.67
2013-11-27,75.83,76.84,75.57,76.64,891600,76.28
2013-11-26,75.48,76.47,75.37,75.45,1278500,75.10
2013-11-25,76.51,76.65,75.76,75.89,1056100,75.53
2013-11-22,76.65,76.87,76.23,76.43,1269300,76.07
2013-11-21,76.19,76.70,75.71,76.45,909000,76.09
2013-11-20,76.86,76.87,75.70,75.87,1270100,75.51
2013-11-19,77.82,77.95,76.22,76.67,1766700,76.31
2013-11-18,78.76,78.98,77.64,77.86,1328000,77.49
2013-11-15,79.17,79.76,78.53,78.71,1251900,78.34
2013-11-14,79.86,80.10,78.88,79.24,1590900,78.87
2013-11-13,78.76,79.93,78.68,79.72,901000,79.35
2013-11-12,78.78,79.68,78.54,79.07,885200,78.70
2013-11-11,78.94,79.19,78.47,79.01,744100,78.64
2013-11-08,77.23,79.15,77.11,79.11,2174200,78.74
2013-11-07,78.29,78.69,76.71,76.81,1936800,76.45
2013-11-06,77.96,78.86,77.45,77.92,1169000,77.55
2013-11-05,77.54,78.11,77.19,77.73,754700,77.37
2013-11-04,78.36,78.51,77.13,77.69,1147700,77.33
2013-11-01,79.00,79.08,77.50,78.22,1112800,77.85
2013-10-31,78.28,79.40,78.11,78.79,1609900,78.42
2013-10-30,78.67,79.57,77.73,78.39,1548300,78.02
2013-10-29,76.76,78.52,76.40,78.44,2570000,78.07
2013-10-28,77.88,77.89,75.71,76.26,3926700,75.90
2013-10-25,77.31,79.04,76.12,77.94,7580000,77.57
2013-10-24,82.50,82.60,81.57,82.18,1644300,81.79
2013-10-23,81.95,82.96,81.76,82.60,1272200,82.21
2013-10-22,81.60,82.77,81.19,82.55,1223100,82.16
2013-10-21,81.93,82.47,80.78,81.22,1033700,80.84
2013-10-18,81.67,82.01,80.87,81.61,1011300,81.23
