Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,165.92,166.16,163.54,164.65,1640200,164.65
2014-01-28,163.38,167.50,162.29,167.22,1646300,167.22
2014-01-27,165.17,165.49,161.26,162.10,1903000,162.10
2014-01-24,168.05,169.04,165.12,165.53,2822700,165.53
2014-01-23,169.78,171.74,168.23,169.17,2241400,169.17
2014-01-22,170.20,172.30,169.25,171.72,1794300,171.72
2014-01-21,169.16,170.55,168.14,169.23,1597500,169.23
2014-01-17,170.96,171.88,168.92,168.96,1662900,168.96
2014-01-16,170.10,171.17,168.70,170.10,1671200,170.10
2014-01-15,169.46,173.28,169.40,170.36,2044400,170.36
2014-01-14,164.06,168.73,163.63,168.60,1610900,168.41
2014-01-13,167.41,168.27,162.97,163.46,1336300,163.28
2014-01-10,167.46,168.10,165.99,166.81,1474900,166.62
2014-01-09,167.41,168.89,165.48,167.00,1769700,166.81
2014-01-08,166.02,167.83,165.05,166.78,1428900,166.59
2014-01-07,165.07,166.91,163.71,166.85,1643400,166.66
2014-01-06,164.77,165.33,162.34,164.02,1824600,163.84
2014-01-03,165.75,166.65,163.81,164.56,1346900,164.38
2014-01-02,166.57,167.96,164.06,165.02,1471700,164.84
2013-12-31,167.34,168.85,166.47,167.84,1054900,167.65
2013-12-30,168.95,170.50,166.20,167.35,1405700,167.16
2013-12-27,168.14,169.48,167.68,169.16,842600,168.97
2013-12-26,168.46,169.54,167.67,168.02,886100,167.83
2013-12-24,167.82,168.27,166.23,168.26,489100,168.07
2013-12-23,169.26,169.84,166.83,167.62,1514000,167.43
2013-12-20,166.12,169.32,165.45,168.52,3132900,168.33
2013-12-19,161.67,165.91,161.18,165.33,2536800,165.15
2013-12-18,159.64,162.38,158.33,162.00,2982700,161.82
2013-12-17,160.52,160.52,157.51,159.65,1735900,159.47
2013-12-16,159.34,161.97,159.34,159.74,2060100,159.56
2013-12-13,157.67,159.35,156.49,159.02,2244300,158.84
2013-12-12,156.43,159.32,156.24,158.36,1906500,158.18
