Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,63.50,64.48,63.02,64.16,931700,64.16
2014-01-28,64.26,65.01,64.03,64.47,1515500,63.77
2014-01-27,64.73,65.10,63.33,64.26,1165900,63.56
2014-01-24,65.10,65.20,64.38,64.73,1146600,64.03
2014-01-23,65.61,66.36,65.27,65.30,1085300,64.59
2014-01-22,65.22,65.74,65.12,65.72,715700,65.01
2014-01-21,64.85,65.41,64.50,65.16,795700,64.45
2014-01-17,64.61,64.73,63.84,63.99,856300,63.30
2014-01-16,64.25,64.62,63.89,64.44,767500,63.74
2014-01-15,64.49,64.65,64.20,64.44,834100,63.74
2014-01-14,64.00,64.80,63.51,64.30,998000,63.60
2014-01-13,64.05,64.42,63.57,63.82,873100,63.13
2014-01-10,64.04,64.45,63.66,63.95,586300,63.26
2014-01-09,63.67,64.14,63.49,64.01,814700,63.31
2014-01-08,64.75,64.89,63.30,63.67,1506600,62.98
2014-01-07,64.63,64.94,64.31,64.75,847800,64.05
2014-01-06,65.03,65.20,64.45,64.51,762200,63.81
2014-01-03,65.35,65.72,64.75,65.03,658800,64.32
2014-01-02,66.20,66.20,64.91,65.24,1126300,64.53
2013-12-31,65.96,66.92,65.96,66.30,1007400,65.58
2013-12-30,65.48,66.24,65.32,65.95,1435900,65.23
2013-12-27,64.20,65.34,64.06,65.19,912800,64.48
2013-12-26,64.01,64.70,63.82,64.21,775900,63.51
2013-12-24,63.57,64.32,63.56,63.75,697900,63.06
2013-12-23,62.65,63.78,62.51,63.57,1157000,62.88
2013-12-20,62.78,63.30,62.15,62.68,2619100,62.00
2013-12-19,61.75,62.86,61.50,62.78,1089300,62.10
2013-12-18,61.63,62.15,61.15,62.15,855000,61.48
2013-12-17,61.42,61.95,61.15,61.71,919900,61.04
2013-12-16,61.66,62.17,61.45,61.53,943200,60.86
2013-12-13,61.18,61.99,61.03,61.60,779000,60.93
2013-12-12,61.24,61.59,60.77,61.20,773300,60.54
2013-12-11,61.82,61.99,61.15,61.26,1033100,60.59
2013-12-10,62.25,62.90,61.86,61.95,810600,61.28
2013-12-09,62.25,62.71,61.83,62.25,793800,61.57
2013-12-06,61.50,62.30,61.40,62.13,774100,61.46
2013-12-05,61.95,62.12,61.29,61.47,992000,60.80
2013-12-04,62.35,62.90,61.85,62.05,1049700,61.38
2013-12-03,62.32,62.92,62.32,62.75,829300,62.07
2013-12-02,62.90,63.00,62.37,62.64,839100,61.96
2013-11-29,63.02,63.41,62.80,62.97,213700,62.29
2013-11-27,63.00,63.45,62.66,62.94,578400,62.26
2013-11-26,62.91,63.11,62.56,62.87,915500,62.19
2013-11-25,62.48,63.54,62.41,62.94,1169900,62.26
2013-11-22,62.28,62.80,62.01,62.51,988000,61.83
2013-11-21,61.57,62.30,61.38,62.15,779600,61.48
2013-11-20,61.50,61.70,61.16,61.38,943900,60.71
2013-11-19,61.88,61.92,61.01,61.10,801000,60.44
2013-11-18,62.20,62.38,61.84,62.08,846900,61.41
2013-11-15,61.52,62.11,61.43,62.10,1157500,61.43
2013-11-14,61.00,61.82,60.89,61.49,1336800,60.82
2013-11-13,61.00,61.12,60.57,60.88,1232000,60.22
2013-11-12,61.48,61.83,61.03,61.15,680600,60.49
2013-11-11,61.64,61.85,61.28,61.57,675700,60.90
2013-11-08,61.93,62.07,61.00,61.81,1807800,61.14
2013-11-07,63.02,63.04,61.77,62.11,1469700,61.44
2013-11-06,62.55,62.93,62.36,62.84,1442400,62.16
2013-11-05,62.38,62.94,62.24,62.55,9206900,61.87
2013-11-04,63.27,63.70,62.63,63.48,887700,62.79
2013-11-01,63.30,63.76,62.86,63.24,884100,62.55
2013-10-31,63.39,64.34,62.22,63.28,835000,62.59
2013-10-30,62.78,64.20,62.78,63.39,1358700,62.70
2013-10-29,63.40,63.62,62.80,62.98,961700,62.30
2013-10-28,64.73,64.80,63.32,63.78,1673500,62.40
2013-10-25,64.15,64.77,63.86,64.48,963600,63.09
2013-10-24,63.29,64.12,63.20,64.01,950300,62.63
2013-10-23,63.60,63.70,62.54,63.29,712000,61.93
2013-10-22,63.72,63.88,63.06,63.70,805200,62.33
2013-10-21,62.35,63.48,62.34,63.39,1435100,62.02
2013-10-18,62.50,62.70,62.11,62.12,1199800,60.78
2013-10-17,61.12,62.42,60.98,62.25,1053800,60.91
2013-10-16,60.60,61.32,60.35,61.12,965500,59.80
2013-10-15,61.54,61.54,60.34,60.51,790800,59.21
2013-10-14,60.11,61.63,60.00,61.47,1060900,60.14
2013-10-11,60.08,60.58,59.71,60.45,911000,59.15
2013-10-10,60.01,60.45,59.86,59.97,1238200,58.68
2013-10-09,59.25,59.81,59.13,59.39,868500,58.11
2013-10-08,60.46,60.50,59.26,59.27,1523800,57.99
2013-10-07,60.44,61.12,60.21,60.46,909300,59.16
2013-10-04,60.77,61.13,60.43,60.74,558600,59.43
2013-10-03,61.18,61.38,60.40,60.77,988100,59.46
2013-10-02,61.59,61.85,61.11,61.50,881300,60.17
2013-10-01,61.00,61.79,60.73,61.75,854500,60.42
2013-09-30,60.26,61.04,60.10,61.04,855200,59.72
2013-09-27,61.25,61.30,60.50,60.90,936000,59.59
