Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,66.27,66.66,64.90,65.47,1838800,65.47
2014-01-28,65.48,67.25,65.44,66.95,1355300,66.95
2014-01-27,66.35,66.87,64.19,65.46,1964200,65.46
2014-01-24,65.93,66.49,65.26,66.30,2167100,66.30
2014-01-23,66.20,67.81,66.04,66.50,2054100,66.50
2014-01-22,67.74,68.18,66.47,67.06,2703100,67.06
2014-01-21,68.17,68.30,65.14,67.67,7071000,67.67
2014-01-17,69.51,72.05,69.45,70.69,3305700,70.69
2014-01-16,69.05,69.55,67.78,68.48,1914100,68.48
2014-01-15,69.54,70.77,69.22,69.42,1986800,69.42
2014-01-14,68.18,69.65,68.05,69.33,1866400,69.33
2014-01-13,69.65,70.23,67.47,67.87,2339200,67.87
2014-01-10,69.82,70.40,68.91,69.60,1406500,69.60
2014-01-09,70.59,70.84,69.10,69.55,1471600,69.55
2014-01-08,71.45,72.19,70.10,70.31,2458800,70.31
2014-01-07,69.26,71.72,69.08,71.45,2951200,71.45
2014-01-06,69.13,69.20,67.71,68.96,1680900,68.96
2014-01-03,69.22,69.72,68.82,69.20,1315500,69.20
2014-01-02,69.08,69.69,68.56,69.21,1398900,69.21
2013-12-31,68.91,69.76,68.81,69.66,1183600,69.66
2013-12-30,69.00,69.33,68.34,68.84,932500,68.84
2013-12-27,68.97,69.45,68.51,68.76,831300,68.76
2013-12-26,68.56,69.34,68.48,69.03,602100,69.03
2013-12-24,68.62,68.79,68.00,68.50,462900,68.50
2013-12-23,67.99,68.76,67.62,68.68,1092900,68.68
2013-12-20,68.16,68.21,67.25,67.61,3162100,67.61
2013-12-19,67.71,67.79,66.51,66.80,1482400,66.80
2013-12-18,66.64,67.61,65.46,67.55,2010200,67.55
2013-12-17,65.96,66.55,65.29,66.39,1829000,66.39
2013-12-16,63.49,66.99,63.28,65.88,4400600,65.88
2013-12-13,62.94,63.67,62.29,62.73,1141600,62.73
2013-12-12,62.38,62.75,62.10,62.54,2368400,62.54
2013-12-11,63.04,63.39,62.16,62.31,2108200,62.31
2013-12-10,63.25,64.01,63.19,63.20,1245300,63.20
2013-12-09,63.62,64.13,63.27,63.50,1093400,63.50
2013-12-06,64.16,64.23,63.38,63.48,1523100,63.48
2013-12-05,62.67,63.87,62.39,63.58,1999500,63.58
2013-12-04,62.16,63.15,61.92,62.84,1398000,62.84
2013-12-03,62.04,62.88,62.03,62.56,1231600,62.56
2013-12-02,63.60,63.77,62.38,62.61,1457000,62.61
2013-11-29,63.21,64.20,63.20,63.69,1056500,63.69
2013-11-27,62.55,63.86,62.55,63.30,1537800,63.30
2013-11-26,61.18,62.80,61.16,62.33,1954800,62.33
2013-11-25,62.21,62.55,61.30,61.39,1559300,61.39
2013-11-22,62.71,62.71,61.85,62.05,1882900,62.05
2013-11-21,61.12,62.66,61.11,62.59,2023400,62.59
2013-11-20,61.48,62.30,60.71,61.11,2716100,61.11
2013-11-19,60.76,61.17,60.21,60.70,2005200,60.70
2013-11-18,61.24,62.00,60.89,61.05,2053400,60.90
2013-11-15,61.23,61.49,60.84,61.19,1783100,61.04
2013-11-14,61.65,61.75,60.62,61.04,1828400,60.89
2013-11-13,61.68,61.81,61.15,61.72,1980700,61.57
2013-11-12,61.31,62.06,60.57,62.02,2357600,61.87
2013-11-11,59.61,61.33,59.12,61.25,2417300,61.10
2013-11-08,59.16,60.69,59.10,59.88,2491700,59.73
2013-11-07,59.82,60.49,58.10,58.91,3106300,58.77
2013-11-06,59.57,59.95,59.15,59.81,2665600,59.66
2013-11-05,60.07,60.32,59.27,59.58,3593100,59.43
2013-11-04,60.08,60.88,59.29,60.24,3588500,60.09
2013-11-01,58.98,60.19,58.21,60.11,5497600,59.96
2013-10-31,58.61,59.89,57.63,58.97,16006300,58.83
2013-10-30,50.80,51.00,49.73,49.96,7170700,49.84
2013-10-29,50.16,50.88,50.05,50.68,3729200,50.56
2013-10-28,50.53,50.86,49.80,49.93,3029600,49.81
2013-10-25,50.83,51.21,50.12,50.45,1826900,50.33
2013-10-24,48.90,50.55,48.53,50.50,3085200,50.38
2013-10-23,49.42,50.20,48.99,49.20,4201300,49.08
2013-10-22,48.47,49.07,48.13,48.91,3625800,48.79
2013-10-21,48.45,48.66,47.95,48.19,2959700,48.07
2013-10-18,48.39,48.96,47.91,48.43,2981200,48.31
2013-10-17,47.70,48.33,47.42,48.21,2747700,48.09
2013-10-16,48.34,48.62,47.67,47.90,3651900,47.78
2013-10-15,48.41,48.50,47.49,47.89,6077200,47.77
2013-10-14,49.75,49.83,47.26,48.51,13257700,48.39
2013-10-11,51.32,51.95,51.03,51.73,2269500,51.60
2013-10-10,50.63,51.69,50.58,51.39,2664600,51.26
2013-10-09,50.62,50.69,48.85,49.99,4059700,49.87
2013-10-08,51.67,51.95,49.71,50.63,4302300,50.51
2013-10-07,51.39,52.31,51.13,51.77,2288900,51.64
2013-10-04,52.07,52.26,51.48,51.67,3586900,51.54
2013-10-03,53.40,53.80,52.06,52.15,2173300,52.02
2013-10-02,52.51,54.12,52.50,53.46,3287200,53.33
2013-10-01,51.69,52.89,51.69,52.86,2179200,52.73
2013-09-30,51.54,52.34,51.42,51.81,2621800,51.68
2013-09-27,51.84,52.30,51.25,52.21,2880600,52.08
2013-09-26,51.66,52.45,51.12,52.02,2012200,51.89
2013-09-25,52.48,52.53,51.50,51.59,1788200,51.46
2013-09-24,51.77,52.44,51.39,52.19,3012100,52.06
2013-09-23,52.64,53.17,51.81,51.86,2802100,51.73
2013-09-20,53.30,54.03,52.79,52.82,6033000,52.69
2013-09-19,53.65,53.82,52.67,53.12,3515200,52.99
2013-09-18,52.13,53.59,51.53,53.47,4296000,53.34
2013-09-17,52.75,53.66,52.24,52.26,3860100,52.13
2013-09-16,51.82,52.84,51.77,52.42,4292300,52.29
2013-09-13,51.21,51.45,50.71,51.19,2190500,51.06
2013-09-12,52.04,52.50,51.06,51.18,3606900,51.05
2013-09-11,51.55,52.50,51.50,52.09,3976400,51.96
2013-09-10,50.83,52.49,50.83,51.84,4634600,51.71
2013-09-09,50.76,51.55,50.53,50.64,5147900,50.52
2013-09-06,48.43,50.09,48.17,49.68,4194100,49.56
2013-09-05,48.91,49.13,48.01,48.18,2585700,48.06
2013-09-04,47.42,49.12,47.34,48.91,3431600,48.79
