Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,132.83,134.00,131.55,131.85,2647600,131.85
2014-01-28,131.99,134.64,131.99,134.34,3169700,134.34
2014-01-27,134.69,135.78,131.08,131.95,4738700,131.95
2014-01-24,139.16,139.39,134.57,134.58,3089300,134.58
2014-01-23,141.61,141.99,139.35,140.24,1836300,140.24
2014-01-22,142.75,142.84,141.63,142.30,1337100,142.30
2014-01-21,141.71,142.62,140.80,142.15,2509000,142.15
2014-01-17,140.61,141.87,140.09,140.51,2293000,140.51
2014-01-16,141.92,142.50,140.95,141.81,1928100,141.81
2014-01-15,142.78,143.14,141.94,142.55,2692200,142.55
2014-01-14,140.95,142.83,139.73,142.70,2344500,142.70
2014-01-13,141.35,142.75,140.24,140.49,1565200,140.49
2014-01-10,141.20,142.74,140.41,142.63,1714700,142.63
2014-01-09,140.51,141.77,139.95,141.51,1451600,141.51
2014-01-08,141.04,141.38,139.99,140.37,1632800,140.37
2014-01-07,139.34,140.98,138.99,140.64,1702000,140.64
2014-01-06,142.70,143.00,138.26,138.72,2995000,138.72
2014-01-03,140.33,141.15,139.91,140.05,2779600,140.05
2014-01-02,142.90,144.39,139.57,139.77,3360000,139.77
2013-12-31,143.01,144.13,143.00,143.77,1102600,143.77
2013-12-30,143.48,143.88,142.86,143.05,889300,143.05
2013-12-27,143.28,143.86,142.74,143.43,923500,143.43
2013-12-26,142.65,143.52,142.33,143.30,1246400,143.30
2013-12-24,142.24,142.38,141.14,142.00,750600,142.00
2013-12-23,143.31,143.44,141.62,142.19,1461000,142.19
2013-12-20,139.52,143.73,139.23,142.71,3350200,142.71
2013-12-19,139.61,140.02,137.76,139.69,2688900,139.69
2013-12-18,138.10,140.24,137.36,139.72,4825100,139.72
2013-12-17,139.80,140.17,138.50,139.09,2679700,139.09
2013-12-16,139.59,140.97,138.88,139.85,3549800,139.85
2013-12-13,138.01,138.88,137.01,137.90,2583700,137.90
2013-12-12,136.56,137.53,136.27,136.34,1795700,136.34
2013-12-11,138.88,139.00,136.35,136.51,1451900,136.51
2013-12-10,139.66,140.18,138.22,138.49,1538700,138.49
2013-12-09,139.82,140.00,139.11,139.81,1349300,139.66
2013-12-06,139.99,140.17,139.07,139.39,1216500,139.24
2013-12-05,137.90,139.67,137.67,138.22,1161200,138.07
2013-12-04,137.66,140.00,136.81,138.71,1187900,138.56
2013-12-03,139.46,140.00,137.68,138.04,1927300,137.89
2013-12-02,139.15,140.96,138.73,140.21,1953400,140.06
2013-11-29,140.45,140.55,138.51,138.70,733100,138.55
2013-11-27,138.70,140.28,138.51,139.86,1358600,139.71
2013-11-26,137.30,138.62,137.01,137.81,1495000,137.66
2013-11-25,137.81,137.98,136.71,137.22,1234500,137.07
2013-11-22,138.10,138.45,135.94,137.07,1680100,136.92
2013-11-21,135.32,138.86,135.25,138.38,2920800,138.23
2013-11-20,134.35,135.74,134.19,134.58,1716000,134.44
2013-11-19,137.17,137.32,133.93,134.00,2960600,133.86
2013-11-18,138.59,139.77,136.79,137.14,2965700,136.99
2013-11-15,138.46,139.94,137.89,138.65,3644900,138.50
2013-11-14,135.41,136.50,135.04,136.44,3123700,136.29
2013-11-13,134.12,135.89,133.33,135.29,3447600,135.14
2013-11-12,131.80,136.10,130.81,134.63,4789000,134.49
2013-11-11,131.98,133.17,131.60,132.52,1805000,132.38
2013-11-08,130.29,132.73,130.28,132.57,2676700,132.43
2013-11-07,133.05,133.35,130.25,130.55,2846400,130.41
2013-11-06,136.81,136.98,131.92,132.77,5439500,132.63
2013-11-05,134.37,136.89,133.79,136.23,2670600,136.08
2013-11-04,134.65,136.06,134.09,135.12,2474500,134.98
2013-11-01,131.77,134.74,131.58,134.65,3728600,134.51
2013-10-31,132.02,132.56,129.81,131.00,3417500,130.86
2013-10-30,133.05,133.84,132.12,132.81,2302000,132.67
2013-10-29,133.29,133.39,132.00,133.14,1826700,133.00
2013-10-28,131.42,133.64,131.23,132.53,3100600,132.39
2013-10-25,131.96,132.55,131.17,132.06,2464100,131.92
2013-10-24,130.48,131.99,130.07,131.57,2299400,131.43
2013-10-23,128.67,130.10,128.26,129.82,2649900,129.68
2013-10-22,128.87,132.30,128.86,129.69,4792200,129.55
2013-10-21,126.22,127.87,125.92,127.41,2227800,127.27
2013-10-18,125.27,126.63,124.71,126.44,2023900,126.30
2013-10-17,121.98,125.27,121.57,125.19,4344800,125.06
2013-10-16,119.87,124.35,119.70,123.26,4127600,123.13
2013-10-15,116.91,122.50,116.85,120.08,6195500,119.95
2013-10-14,115.29,115.48,114.33,115.37,899800,115.25
2013-10-11,114.46,115.89,114.01,115.87,1041400,115.75
2013-10-10,113.90,115.11,113.22,115.06,1246900,114.94
2013-10-09,112.33,113.14,111.25,112.58,1518900,112.46
2013-10-08,113.58,114.00,111.96,112.08,1164200,111.96
2013-10-07,113.75,114.36,112.61,113.69,1264700,113.57
2013-10-04,113.44,114.98,113.03,114.73,1143100,114.61
2013-10-03,114.87,115.17,111.80,113.55,2162800,113.43
2013-10-02,114.51,115.36,113.92,115.28,1198500,115.16
2013-10-01,114.24,115.32,113.87,115.26,1456300,115.14
2013-09-30,112.57,114.75,112.44,114.11,1709900,113.99
2013-09-27,113.02,113.93,112.92,113.77,1052100,113.65
2013-09-26,113.97,114.73,112.87,113.56,1660200,113.44
2013-09-25,115.04,115.13,112.92,113.57,2426100,113.45
2013-09-24,114.85,115.88,114.59,114.72,1291200,114.60
2013-09-23,115.17,116.00,114.12,114.91,2022300,114.79
2013-09-20,117.48,118.31,116.71,116.83,2624800,116.70
2013-09-19,114.63,117.38,114.54,116.83,3291200,116.70
2013-09-18,113.20,116.95,112.50,116.25,6671000,116.13
2013-09-17,109.89,111.48,109.79,110.68,2575500,110.56
2013-09-16,108.85,111.00,108.56,109.57,2673200,109.45
2013-09-13,108.72,108.90,106.38,107.24,2974200,107.12
2013-09-12,110.10,110.12,107.74,108.39,2306500,108.27
2013-09-11,110.53,110.67,109.52,110.25,1356400,110.13
2013-09-10,109.78,111.50,109.74,110.59,1677300,110.47
2013-09-09,108.40,109.19,107.63,109.10,2203000,108.98
2013-09-06,109.34,109.79,107.40,108.16,1511800,108.04
2013-09-05,107.47,109.47,107.47,109.05,1460500,108.78
2013-09-04,107.44,107.90,107.12,107.61,1665800,107.35
2013-09-03,108.45,108.73,106.78,107.60,1555100,107.34
2013-08-30,108.76,108.79,106.84,107.36,1194400,107.10
2013-08-29,108.50,109.50,108.26,108.58,927400,108.31
2013-08-28,108.45,109.35,107.93,108.50,1119400,108.23
2013-08-27,110.50,111.12,107.70,108.45,2348200,108.18
2013-08-26,110.80,113.34,110.75,112.04,2502600,111.77
2013-08-23,110.61,110.89,109.72,110.69,1193400,110.42
2013-08-22,108.23,110.79,108.11,110.61,1348700,110.34
2013-08-21,108.99,109.05,107.51,108.07,1555900,107.81
2013-08-20,108.60,109.90,108.03,109.21,1525900,108.94
2013-08-19,108.33,109.20,108.04,108.67,1804400,108.40
2013-08-16,108.05,108.96,107.43,108.68,1782900,108.41
2013-08-15,108.00,108.43,107.34,108.04,2224200,107.78
2013-08-14,108.61,109.09,107.72,108.63,1219200,108.36
2013-08-13,108.88,109.73,108.20,108.61,1603500,108.34
2013-08-12,107.58,109.31,107.47,109.04,1720300,108.77
