Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,11.70,11.83,11.70,11.74,5350200,11.74
2014-01-28,11.78,11.83,11.66,11.83,5607200,11.83
2014-01-27,11.83,11.86,11.58,11.64,2351400,11.64
2014-01-24,11.97,12.01,11.81,11.81,2756600,11.81
2014-01-23,12.26,12.26,11.96,12.06,3245700,12.06
2014-01-22,12.22,12.30,12.12,12.23,4015600,12.23
2014-01-21,12.11,12.28,11.99,12.17,6585600,12.17
2014-01-17,11.87,12.32,11.83,11.93,8851200,11.93
2014-01-16,12.15,12.16,11.87,11.88,7248000,11.88
2014-01-15,12.22,12.33,12.18,12.20,5528700,12.20
2014-01-14,12.13,12.20,11.98,12.18,4346300,12.18
2014-01-13,12.27,12.28,12.05,12.08,3311800,12.08
2014-01-10,12.22,12.48,12.14,12.27,9540800,12.27
2014-01-09,12.11,12.26,12.09,12.24,5629100,12.24
2014-01-08,11.86,12.11,11.80,12.09,3599600,12.09
2014-01-07,11.75,11.90,11.67,11.84,2865000,11.84
2014-01-06,11.69,11.74,11.63,11.66,4107800,11.66
2014-01-03,11.55,11.67,11.53,11.65,1846000,11.65
2014-01-02,11.60,11.70,11.52,11.56,3170900,11.56
2013-12-31,11.66,11.73,11.62,11.65,1216100,11.65
2013-12-30,11.65,11.70,11.61,11.63,1391900,11.63
2013-12-27,11.65,11.70,11.58,11.65,1318000,11.65
2013-12-26,11.70,11.77,11.61,11.63,807600,11.63
2013-12-24,11.67,11.72,11.61,11.68,541000,11.68
2013-12-23,11.43,11.72,11.42,11.68,2005900,11.68
2013-12-20,11.46,11.50,11.34,11.38,4171400,11.38
2013-12-19,11.33,11.46,11.31,11.41,1351500,11.41
2013-12-18,11.26,11.42,11.17,11.39,1745800,11.39
2013-12-17,11.27,11.27,11.16,11.22,2253800,11.22
2013-12-16,11.24,11.30,11.15,11.28,2782400,11.28
2013-12-13,11.19,11.29,11.16,11.21,1954000,11.21
2013-12-12,11.06,11.28,11.06,11.17,2240000,11.17
2013-12-11,11.18,11.19,11.04,11.06,2038600,11.06
2013-12-10,11.27,11.37,11.21,11.24,1191500,11.19
2013-12-09,11.31,11.46,11.30,11.34,1727000,11.29
2013-12-06,11.12,11.38,11.09,11.31,2701800,11.26
2013-12-05,10.95,11.06,10.94,11.00,1961100,10.95
2013-12-04,10.96,11.18,10.94,11.01,3043800,10.96
2013-12-03,11.03,11.06,10.93,11.00,2417400,10.95
2013-12-02,11.17,11.25,11.05,11.06,3654200,11.01
2013-11-29,11.29,11.33,11.19,11.21,1547400,11.16
2013-11-27,11.46,11.49,11.29,11.31,3014300,11.26
2013-11-26,11.58,11.60,11.42,11.42,1927000,11.37
2013-11-25,11.49,11.66,11.46,11.59,2553800,11.54
2013-11-22,11.33,11.53,11.26,11.50,2717500,11.45
2013-11-21,11.13,11.36,11.07,11.30,2169700,11.25
2013-11-20,11.20,11.20,11.04,11.07,2472300,11.02
2013-11-19,11.16,11.25,11.12,11.17,2319000,11.12
2013-11-18,11.23,11.28,11.10,11.19,2532900,11.14
2013-11-15,11.24,11.26,11.17,11.21,2088300,11.16
2013-11-14,11.19,11.26,11.12,11.26,973800,11.21
2013-11-13,11.03,11.19,10.97,11.19,1915100,11.14
2013-11-12,11.32,11.40,11.04,11.08,3366400,11.03
2013-11-11,11.28,11.34,11.11,11.33,1974800,11.28
2013-11-08,10.90,11.30,10.90,11.30,3163000,11.25
2013-11-07,11.00,11.15,10.84,10.91,2969200,10.86
2013-11-06,11.04,11.07,10.95,11.01,2010300,10.96
2013-11-05,11.00,11.03,10.91,11.00,3407200,10.95
2013-11-04,10.91,11.04,10.89,11.01,4242500,10.96
2013-11-01,10.64,10.92,10.60,10.91,6323100,10.86
2013-10-31,10.70,10.71,10.62,10.65,2795100,10.60
2013-10-30,10.84,10.88,10.72,10.73,1527100,10.68
2013-10-29,10.83,10.87,10.71,10.86,1673600,10.81
2013-10-28,10.74,10.89,10.70,10.82,1766900,10.77
2013-10-25,10.92,10.95,10.74,10.77,1910200,10.72
2013-10-24,10.84,10.92,10.71,10.90,2772200,10.85
2013-10-23,10.78,10.87,10.72,10.83,3778700,10.78
2013-10-22,10.87,10.95,10.78,10.85,4428600,10.80
2013-10-21,10.80,10.89,10.66,10.88,9462400,10.83
2013-10-18,11.03,11.23,10.65,11.01,11813400,10.96
2013-10-17,11.35,11.50,11.29,11.44,3226800,11.39
2013-10-16,11.33,11.51,11.29,11.40,1878900,11.35
2013-10-15,11.33,11.38,11.22,11.23,2353400,11.18
2013-10-14,11.29,11.43,11.26,11.37,1181700,11.32
2013-10-11,11.14,11.35,10.95,11.34,2276500,11.29
2013-10-10,11.06,11.21,11.04,11.19,2801900,11.14
2013-10-09,10.97,11.03,10.87,10.90,4045700,10.85
2013-10-08,11.06,11.13,10.98,11.00,2326700,10.95
2013-10-07,11.13,11.19,11.06,11.07,2034500,11.02
2013-10-04,11.02,11.28,11.01,11.24,2786900,11.19
2013-10-03,11.00,11.07,10.91,11.02,3134800,10.97
2013-10-02,11.05,11.07,10.95,11.01,3140200,10.96
2013-10-01,11.01,11.20,10.95,11.15,4420500,11.10
2013-09-30,10.99,11.04,10.89,10.99,5104600,10.94
2013-09-27,11.05,11.17,11.03,11.05,3835300,11.00
2013-09-26,11.31,11.38,11.08,11.15,2717200,11.10
2013-09-25,11.24,11.41,11.15,11.29,2107900,11.24
2013-09-24,11.25,11.35,11.15,11.27,2431700,11.22
2013-09-23,11.44,11.44,11.10,11.27,3759600,11.22
2013-09-20,11.38,11.45,11.22,11.44,3526100,11.39
2013-09-19,11.58,11.62,11.25,11.36,4945900,11.31
2013-09-18,11.50,11.74,11.48,11.57,4955100,11.52
2013-09-17,11.40,11.51,11.37,11.50,1775600,11.45
2013-09-16,11.38,11.43,11.24,11.40,2474200,11.35
2013-09-13,11.27,11.35,11.16,11.28,1547100,11.23
2013-09-12,11.25,11.51,11.20,11.28,4404500,11.23
2013-09-11,11.13,11.26,11.07,11.16,1838500,11.11
2013-09-10,11.20,11.29,11.13,11.20,3556400,11.10
2013-09-09,11.38,11.47,11.22,11.31,2191200,11.21
2013-09-06,11.29,11.48,11.14,11.37,2822900,11.27
2013-09-05,11.22,11.35,11.19,11.28,2161100,11.18
2013-09-04,11.07,11.28,11.02,11.22,2266300,11.12
2013-09-03,11.19,11.39,10.93,11.05,3464000,10.95
2013-08-30,11.32,11.33,11.04,11.06,1297200,10.96
2013-08-29,11.22,11.42,11.19,11.35,1318500,11.25
2013-08-28,11.27,11.35,11.17,11.22,1771800,11.12
2013-08-27,11.48,11.50,11.26,11.26,2014100,11.16
2013-08-26,11.74,11.83,11.59,11.63,1820800,11.53
2013-08-23,11.96,11.99,11.70,11.75,2079900,11.65
2013-08-22,11.80,12.02,11.78,11.92,1139900,11.81
2013-08-21,11.85,11.94,11.66,11.78,1591000,11.68
2013-08-20,11.68,11.93,11.65,11.87,1256200,11.76
2013-08-19,11.86,11.87,11.66,11.69,1606300,11.59
2013-08-16,11.88,12.05,11.85,11.91,1176500,11.80
2013-08-15,11.99,12.03,11.84,11.93,1125800,11.82
2013-08-14,12.11,12.21,12.05,12.08,1320600,11.97
2013-08-13,12.07,12.14,11.96,12.12,1566300,12.01
2013-08-12,12.00,12.17,11.96,12.06,2825000,11.95
2013-08-09,12.14,12.19,11.99,12.02,2677600,11.91
2013-08-08,12.26,12.41,12.13,12.15,1377000,12.04
2013-08-07,12.24,12.25,12.08,12.21,1642800,12.10
2013-08-06,12.50,12.57,12.24,12.30,1955900,12.19
2013-08-05,12.50,12.64,12.45,12.53,1504000,12.42
2013-08-02,12.53,12.67,12.49,12.53,2797800,12.42
2013-08-01,12.43,12.68,12.40,12.53,5596600,12.42
2013-07-31,12.48,12.74,12.31,12.33,3826400,12.22
2013-07-30,12.31,12.54,12.31,12.46,2981100,12.35
2013-07-29,12.33,12.40,12.04,12.29,2968600,12.18
2013-07-26,12.40,12.42,12.24,12.33,1881700,12.22
2013-07-25,12.54,12.68,12.40,12.47,2903100,12.36
2013-07-24,12.42,12.57,12.39,12.55,3465800,12.44
2013-07-23,12.35,12.40,12.17,12.37,2621700,12.26
2013-07-22,11.89,12.32,11.85,12.29,3645000,12.18
2013-07-19,11.65,12.20,11.62,12.10,6590200,11.99
2013-07-18,11.99,12.21,11.90,12.14,7178800,12.03
2013-07-17,12.07,12.08,11.95,11.99,5017400,11.88
2013-07-16,12.27,12.31,11.76,12.00,7567500,11.89
2013-07-15,12.20,12.33,12.06,12.28,3040300,12.17
2013-07-12,11.87,12.14,11.87,12.14,3070700,12.03
2013-07-11,12.22,12.26,11.69,11.86,4805300,11.75
2013-07-10,12.27,12.29,12.05,12.11,2616100,12.00
2013-07-09,12.37,12.37,12.07,12.28,2147000,12.17
2013-07-08,12.41,12.48,12.24,12.27,2783900,12.16
2013-07-05,11.98,12.38,11.93,12.37,4336100,12.26
2013-07-03,11.64,11.85,11.55,11.84,2325700,11.73
2013-07-02,11.24,11.79,11.22,11.70,6999900,11.60
2013-07-01,11.20,11.41,11.18,11.23,3396300,11.13
2013-06-28,11.33,11.33,11.15,11.20,5468000,11.10
2013-06-27,11.23,11.39,11.20,11.33,3873200,11.23
2013-06-26,11.17,11.25,11.09,11.14,4167500,11.04
2013-06-25,10.87,11.19,10.79,11.06,5127800,10.96
2013-06-24,10.64,10.94,10.51,10.73,6366600,10.63
2013-06-21,10.84,10.88,10.60,10.75,40610500,10.65
2013-06-20,10.68,10.93,10.59,10.75,6635000,10.65
2013-06-19,11.00,11.00,10.75,10.78,4596400,10.68
2013-06-18,10.76,11.05,10.72,10.98,6632200,10.88
2013-06-17,10.94,11.07,10.80,10.94,7152900,10.84
2013-06-14,11.22,11.22,10.91,10.97,3070900,10.87
2013-06-13,11.11,11.28,10.98,11.22,2959700,11.12
2013-06-12,11.39,11.41,11.08,11.11,2424700,11.01
2013-06-11,11.38,11.54,11.31,11.33,2244700,11.18
2013-06-10,11.35,11.60,11.30,11.51,3028300,11.36
2013-06-07,11.33,11.42,11.21,11.33,3630400,11.18
2013-06-06,11.15,11.30,10.99,11.29,3598300,11.14
2013-06-05,11.36,11.45,11.14,11.25,5289000,11.10
2013-06-04,11.44,11.55,11.30,11.41,3096500,11.26
2013-06-03,11.49,11.56,11.22,11.47,2670200,11.32
2013-05-31,11.63,11.72,11.48,11.48,2480600,11.33
2013-05-30,11.49,11.81,11.47,11.67,2641400,11.52
2013-05-29,11.43,11.63,11.38,11.49,1994600,11.34
2013-05-28,11.30,11.56,11.26,11.52,2988500,11.37
2013-05-24,11.02,11.14,10.95,11.13,1541800,10.98
2013-05-23,11.08,11.14,10.92,11.10,3153300,10.95
2013-05-22,11.40,11.60,11.14,11.19,3181400,11.04
2013-05-21,11.45,11.48,11.36,11.40,1552300,11.25
2013-05-20,11.32,11.52,11.29,11.45,1470100,11.30
2013-05-17,11.29,11.37,11.22,11.36,2962000,11.21
2013-05-16,11.26,11.40,11.20,11.23,1311300,11.08
2013-05-15,11.23,11.44,11.17,11.30,2081400,11.15
2013-05-14,11.03,11.26,11.02,11.26,2081600,11.11
2013-05-13,10.84,11.01,10.80,11.00,2706200,10.85
2013-05-10,10.86,10.91,10.67,10.90,2332600,10.76
2013-05-09,10.93,10.97,10.80,10.83,1385200,10.69
2013-05-08,10.86,10.95,10.78,10.92,1713200,10.78
2013-05-07,10.74,10.96,10.72,10.89,1786000,10.75
2013-05-06,10.53,10.72,10.53,10.71,2133700,10.57
2013-05-03,10.44,10.57,10.42,10.51,2011600,10.37
2013-05-02,10.25,10.35,10.22,10.30,2301500,10.16
2013-05-01,10.40,10.40,10.19,10.20,3200900,10.06
2013-04-30,10.53,10.60,10.36,10.40,3581900,10.26
2013-04-29,10.50,10.62,10.43,10.55,2543800,10.41
2013-04-26,10.48,10.48,10.29,10.46,3552100,10.32
2013-04-25,10.41,10.59,10.40,10.48,2088400,10.34
2013-04-24,10.20,10.38,10.15,10.38,2078000,10.24
2013-04-23,10.02,10.24,9.98,10.17,2212500,10.04
2013-04-22,9.95,10.05,9.85,9.94,3342000,9.81
2013-04-19,9.84,10.01,9.47,9.90,4538800,9.77
2013-04-18,9.85,9.96,9.68,9.72,3916600,9.59
2013-04-17,9.98,10.04,9.80,9.85,2826500,9.72
2013-04-16,10.09,10.11,9.96,10.06,2111000,9.93
2013-04-15,10.25,10.32,9.97,9.99,3060900,9.86
2013-04-12,10.31,10.42,10.21,10.24,2604000,10.10
2013-04-11,10.49,10.49,10.38,10.40,2527100,10.26
2013-04-10,10.42,10.61,10.40,10.49,2508200,10.35
2013-04-09,10.38,10.45,10.28,10.38,2361500,10.24
2013-04-08,10.29,10.40,10.18,10.37,2280700,10.23
2013-04-05,10.08,10.31,10.05,10.30,2299800,10.16
2013-04-04,10.27,10.36,10.16,10.23,3255500,10.09
2013-04-03,10.41,10.44,10.20,10.23,3316700,10.09
2013-04-02,10.53,10.60,10.42,10.43,2139000,10.29
2013-04-01,10.70,10.72,10.49,10.52,2448000,10.38
2013-03-28,10.79,10.83,10.63,10.68,3602400,10.54
2013-03-27,10.88,10.88,10.74,10.79,2695300,10.65
2013-03-26,10.95,10.96,10.84,10.96,1372000,10.81
2013-03-25,10.98,11.02,10.82,10.87,2268800,10.73
2013-03-22,10.99,11.00,10.87,10.93,2255700,10.78
2013-03-21,11.06,11.11,10.92,10.97,1737300,10.82
2013-03-20,11.14,11.16,11.05,11.11,1934100,10.96
2013-03-19,11.06,11.15,10.95,11.08,2351100,10.93
2013-03-18,10.95,11.11,10.88,11.00,2785300,10.85
2013-03-15,11.22,11.23,11.10,11.18,3703300,11.03
2013-03-14,11.22,11.31,11.16,11.23,2005600,11.08
2013-03-13,11.12,11.17,11.04,11.16,2770300,11.01
2013-03-12,11.26,11.29,11.11,11.17,1830800,10.97
2013-03-11,11.13,11.28,11.10,11.26,2432800,11.06
2013-03-08,11.33,11.34,11.04,11.14,2470700,10.94
2013-03-07,10.91,11.25,10.89,11.23,4319000,11.03
2013-03-06,10.90,10.99,10.83,10.87,3003400,10.68
2013-03-05,10.82,10.94,10.78,10.83,2060700,10.64
2013-03-04,10.63,10.78,10.59,10.77,2093200,10.58
2013-03-01,10.54,10.70,10.44,10.66,3005900,10.47
2013-02-28,10.52,10.70,10.50,10.63,1993100,10.44
2013-02-27,10.33,10.56,10.27,10.52,1688400,10.33
2013-02-26,10.39,10.50,10.25,10.32,3042100,10.14
2013-02-25,10.62,10.68,10.31,10.33,3254800,10.15
2013-02-22,10.51,10.58,10.45,10.55,1791700,10.36
2013-02-21,10.60,10.73,10.39,10.44,3414000,10.26
2013-02-20,10.65,10.74,10.54,10.65,5025900,10.46
2013-02-19,10.65,10.73,10.61,10.65,1841900,10.46
2013-02-15,10.80,10.82,10.60,10.62,3619900,10.43
2013-02-14,10.77,10.86,10.75,10.79,2770500,10.60
2013-02-13,10.85,10.96,10.74,10.79,3712000,10.60
2013-02-12,10.70,10.84,10.66,10.82,2652100,10.63
2013-02-11,10.63,10.72,10.58,10.69,1681300,10.50
2013-02-08,10.61,10.64,10.55,10.62,1961000,10.43
2013-02-07,10.71,10.78,10.51,10.60,2006400,10.41
2013-02-06,10.48,10.73,10.40,10.72,3662500,10.53
2013-02-05,10.34,10.61,10.31,10.54,2996700,10.35
2013-02-04,10.27,10.35,10.19,10.29,2202600,10.11
2013-02-01,10.27,10.50,10.24,10.36,3219800,10.18
2013-01-31,10.19,10.24,10.13,10.21,1934400,10.03
2013-01-30,10.15,10.25,10.06,10.23,3196800,10.05
2013-01-29,10.14,10.27,10.12,10.17,2140800,9.99
2013-01-28,10.15,10.21,10.04,10.16,1791900,9.98
2013-01-25,10.18,10.21,10.03,10.13,2364800,9.95
2013-01-24,10.07,10.25,10.04,10.14,3812700,9.96
2013-01-23,10.06,10.07,9.92,10.02,3134300,9.84
2013-01-22,9.97,10.10,9.90,10.09,4883300,9.91
2013-01-18,10.00,10.15,9.70,9.97,8988500,9.79
2013-01-17,10.14,10.34,10.12,10.27,2999800,10.09
2013-01-16,10.03,10.21,10.01,10.13,2680800,9.95
2013-01-15,9.89,10.08,9.86,10.06,2274100,9.88
2013-01-14,9.93,10.00,9.87,9.96,2904700,9.78
2013-01-11,10.07,10.07,9.86,9.97,4167400,9.79
2013-01-10,10.13,10.24,10.06,10.10,3253600,9.92
2013-01-09,10.38,10.39,9.94,10.05,7572100,9.87
2013-01-08,10.41,10.47,10.26,10.39,3739300,10.21
2013-01-07,10.41,10.53,10.35,10.43,4403600,10.25
2013-01-04,10.10,10.47,10.05,10.46,5265000,10.28
2013-01-03,10.11,10.15,10.01,10.06,10670300,9.88
2013-01-02,10.15,10.17,9.98,10.11,5203800,9.93
2012-12-31,9.73,9.93,9.71,9.91,1983800,9.73
2012-12-28,9.70,9.87,9.70,9.77,1398600,9.60
2012-12-27,9.96,9.98,9.66,9.82,2040600,9.65
2012-12-26,10.00,10.07,9.90,9.92,1418900,9.74
2012-12-24,10.00,10.08,9.81,9.98,840400,9.80
2012-12-21,10.02,10.11,9.91,10.02,3855000,9.84
2012-12-20,10.09,10.22,10.05,10.16,1900800,9.98
2012-12-19,10.10,10.21,10.00,10.09,1891300,9.91
2012-12-18,9.80,10.12,9.73,10.11,3399800,9.93
2012-12-17,9.44,9.78,9.38,9.77,2614500,9.60
2012-12-14,9.45,9.59,9.38,9.40,1999400,9.23
2012-12-13,9.55,9.65,9.47,9.50,2210800,9.33
2012-12-12,9.50,9.65,9.43,9.54,2355300,9.37
2012-12-11,9.43,9.50,9.36,9.45,2896500,9.27
2012-12-10,9.35,9.44,9.29,9.37,4634100,9.19
2012-12-07,9.43,9.44,9.33,9.41,1813300,9.23
2012-12-06,9.40,9.47,9.31,9.38,3412100,9.20
2012-12-05,9.40,9.50,9.30,9.40,3434200,9.22
2012-12-04,9.48,9.50,9.18,9.34,7579400,9.17
2012-12-03,9.56,9.66,9.40,9.48,4777700,9.30
2012-11-30,9.59,9.61,9.44,9.46,7245600,9.28
2012-11-29,9.66,9.67,9.46,9.56,3728900,9.38
2012-11-28,9.53,9.61,9.40,9.58,3638600,9.40
2012-11-27,9.60,9.78,9.53,9.58,3963800,9.40
2012-11-26,9.80,9.83,9.61,9.66,6250800,9.48
2012-11-23,9.65,9.85,9.60,9.85,965700,9.67
2012-11-21,9.70,9.72,9.53,9.60,1943400,9.42
2012-11-20,9.59,9.72,9.53,9.67,2154900,9.49
2012-11-19,9.41,9.63,9.40,9.59,3642200,9.41
2012-11-16,9.17,9.32,9.12,9.31,4330100,9.14
2012-11-15,9.15,9.30,9.09,9.16,4405900,8.99
2012-11-14,9.18,9.27,9.12,9.15,5197400,8.98
2012-11-13,9.16,9.38,9.10,9.16,5962600,8.99
2012-11-12,9.07,9.34,9.05,9.27,3733500,9.10
2012-11-09,8.99,9.13,8.91,9.04,3776300,8.87
2012-11-08,9.20,9.30,8.99,9.00,3469800,8.83
2012-11-07,9.40,9.49,9.11,9.16,4573000,8.99
2012-11-06,9.30,9.62,9.25,9.56,5085300,9.38
2012-11-05,9.20,9.25,9.06,9.22,2429200,9.05
2012-11-02,9.47,9.47,9.26,9.28,2477400,9.11
2012-11-01,9.30,9.44,9.15,9.38,4311100,9.20
2012-10-31,9.25,9.36,9.22,9.31,2673900,9.14
2012-10-26,9.35,9.39,9.19,9.20,2861800,9.03
2012-10-25,9.37,9.45,9.26,9.34,2746700,9.17
2012-10-24,9.26,9.45,9.22,9.26,3722800,9.09
2012-10-23,9.24,9.37,9.16,9.28,3623000,9.11
2012-10-22,9.23,9.43,9.18,9.41,5362300,9.23
2012-10-19,9.44,9.71,8.90,9.33,8415900,9.16
2012-10-18,9.67,9.75,9.54,9.68,6921600,9.50
2012-10-17,9.44,9.70,9.41,9.66,3513700,9.48
2012-10-16,9.63,9.68,9.34,9.38,3994000,9.20
2012-10-15,9.55,9.67,9.47,9.59,2810300,9.41
2012-10-12,9.83,9.85,9.40,9.52,7330200,9.34
2012-10-11,9.81,10.00,9.77,9.95,4414900,9.76
2012-10-10,9.69,9.77,9.58,9.71,3761100,9.53
2012-10-09,9.80,9.90,9.70,9.70,3214600,9.52
2012-10-08,9.88,9.92,9.75,9.84,2103700,9.66
2012-10-05,9.99,10.06,9.90,9.93,3191700,9.74
2012-10-04,9.76,9.98,9.72,9.91,2578700,9.72
2012-10-03,9.75,9.78,9.65,9.73,2643700,9.55
2012-10-02,9.75,9.84,9.65,9.71,2717900,9.53
2012-10-01,9.71,9.88,9.68,9.71,6421600,9.53
2012-09-28,9.69,9.74,9.61,9.63,5676900,9.45
2012-09-27,9.61,9.76,9.53,9.73,3404400,9.55
2012-09-26,9.60,9.65,9.48,9.55,4145200,9.37
2012-09-25,9.86,9.95,9.65,9.66,3096300,9.48
2012-09-24,9.65,9.97,9.62,9.86,6691200,9.68
2012-09-21,10.00,10.03,9.84,9.85,5123200,9.67
2012-09-20,10.01,10.01,9.88,9.93,3837600,9.74
2012-09-19,10.05,10.19,10.00,10.11,3283600,9.92
2012-09-18,10.03,10.10,9.94,10.05,3331500,9.86
2012-09-17,10.21,10.21,9.98,10.03,4531700,9.84
2012-09-14,10.07,10.26,10.05,10.23,6842400,10.04
2012-09-13,9.79,10.06,9.68,10.01,5567700,9.82
2012-09-12,9.61,9.85,9.58,9.80,7292300,9.62
2012-09-11,9.38,9.61,9.34,9.57,5867100,9.38
2012-09-10,9.34,9.45,9.33,9.40,3873300,9.21
2012-09-07,9.37,9.39,9.18,9.37,5837400,9.18
2012-09-06,9.10,9.37,9.06,9.32,6643500,9.14
2012-09-05,8.98,9.06,8.91,9.02,5079500,8.84
2012-09-04,8.96,9.09,8.91,8.99,3776300,8.81
2012-08-31,9.04,9.09,8.92,8.96,4234700,8.78
2012-08-30,8.90,8.99,8.83,8.98,5331100,8.80
2012-08-29,8.68,8.98,8.66,8.97,6375600,8.79
2012-08-28,8.57,8.74,8.54,8.66,4250900,8.49
2012-08-27,8.69,8.70,8.55,8.61,4339300,8.44
2012-08-24,8.28,8.50,8.27,8.42,4111000,8.25
2012-08-23,8.51,8.51,8.30,8.32,2231400,8.16
2012-08-22,8.55,8.68,8.47,8.52,3027600,8.35
2012-08-21,8.64,8.73,8.53,8.59,2481100,8.42
2012-08-20,8.63,8.71,8.60,8.63,1754600,8.46
2012-08-17,8.66,8.71,8.60,8.65,2136800,8.48
2012-08-16,8.52,8.69,8.49,8.64,3180400,8.47
2012-08-15,8.47,8.58,8.46,8.54,1584200,8.37
2012-08-14,8.48,8.67,8.47,8.50,3741800,8.33
2012-08-13,8.33,8.48,8.27,8.42,4048500,8.25
2012-08-10,8.33,8.35,8.24,8.35,3799500,8.19
2012-08-09,8.42,8.49,8.32,8.33,4152900,8.17
2012-08-08,8.35,8.51,8.33,8.47,2488700,8.30
2012-08-07,8.27,8.48,8.27,8.41,3535700,8.24
2012-08-06,8.34,8.40,8.23,8.24,3029800,8.08
2012-08-03,8.21,8.33,8.00,8.29,3808400,8.13
2012-08-02,8.11,8.27,7.96,8.06,4408500,7.90
2012-08-01,8.27,8.38,8.20,8.23,3619400,8.07
2012-07-31,8.13,8.29,8.13,8.23,2747900,8.07
2012-07-30,8.20,8.22,8.12,8.16,2556200,8.00
2012-07-27,8.16,8.34,8.03,8.22,5080200,8.06
2012-07-26,8.11,8.13,7.95,8.00,4310000,7.84
2012-07-25,8.08,8.18,7.94,7.96,5454500,7.80
2012-07-24,7.93,8.06,7.87,7.97,5432100,7.81
2012-07-23,7.95,8.04,7.71,7.91,10621700,7.75
2012-07-20,8.04,8.38,7.85,8.09,29445600,7.93
2012-07-19,8.89,8.94,8.50,8.55,5121600,8.38
2012-07-18,8.86,8.95,8.74,8.87,4861200,8.69
2012-07-17,8.76,8.92,8.70,8.90,5308700,8.72
2012-07-16,8.81,8.84,8.66,8.70,7655200,8.53
2012-07-13,8.65,8.87,8.61,8.82,9994600,8.65
2012-07-12,8.47,8.64,8.41,8.61,6290100,8.44
2012-07-11,8.26,8.58,8.26,8.56,5712100,8.39
2012-07-10,8.42,8.48,8.19,8.24,3807100,8.08
2012-07-09,8.49,8.52,8.27,8.33,2559300,8.17
2012-07-06,8.39,8.54,8.33,8.51,2324200,8.34
2012-07-05,8.67,8.71,8.46,8.50,4317900,8.33
2012-07-03,8.73,8.79,8.64,8.74,2510300,8.57
2012-07-02,8.70,8.74,8.52,8.72,4562100,8.55
2012-06-29,8.73,8.73,8.45,8.65,4444900,8.48
2012-06-28,8.25,8.34,8.09,8.32,4474300,8.16
2012-06-27,8.28,8.36,8.14,8.32,4295400,8.16
2012-06-26,7.96,8.41,7.92,8.21,21410500,8.05
2012-06-25,8.04,8.04,7.83,7.91,2817100,7.75
2012-06-22,8.15,8.18,8.01,8.13,4398600,7.97
2012-06-21,8.43,8.52,8.03,8.05,4725800,7.89
2012-06-20,8.42,8.50,8.31,8.41,4212200,8.24
2012-06-19,8.21,8.48,8.18,8.42,5983900,8.25
2012-06-18,7.99,8.17,7.95,8.13,5132500,7.97
2012-06-15,7.96,8.09,7.90,8.09,6732100,7.93
2012-06-14,7.74,7.98,7.74,7.94,4066800,7.78
2012-06-13,7.71,7.92,7.65,7.77,6343700,7.62
2012-06-12,7.51,7.75,7.44,7.74,6566700,7.58
2012-06-11,8.05,8.07,7.64,7.66,5228000,7.50
2012-06-08,7.90,8.03,7.76,7.96,7529500,7.79
2012-06-07,7.98,8.08,7.87,7.99,6204500,7.82
2012-06-06,7.64,7.87,7.55,7.87,10373700,7.70
2012-06-05,7.55,7.71,7.52,7.55,10231000,7.39
2012-06-04,8.02,8.08,7.56,7.61,6707300,7.45
2012-06-01,8.35,8.35,7.99,8.05,5244200,7.88
2012-05-31,8.49,8.54,8.36,8.48,7167100,8.30
2012-05-30,8.66,8.69,8.45,8.45,4100700,8.27
2012-05-29,8.80,8.84,8.63,8.80,3893400,8.62
2012-05-25,8.66,8.77,8.62,8.71,2513200,8.53
2012-05-24,8.70,8.71,8.52,8.66,5493400,8.48
2012-05-23,8.64,8.71,8.48,8.61,5336200,8.43
2012-05-22,8.57,8.79,8.55,8.71,5564800,8.53
2012-05-21,8.70,8.75,8.51,8.52,5353900,8.34
2012-05-18,8.59,8.66,8.40,8.44,2684500,8.26
2012-05-17,8.62,8.71,8.50,8.51,3524200,8.33
2012-05-16,8.81,8.92,8.59,8.60,3697100,8.42
2012-05-15,8.96,8.99,8.70,8.74,3425300,8.56
2012-05-14,8.94,9.11,8.93,8.97,3520700,8.78
2012-05-11,8.99,9.20,8.85,9.08,2979900,8.89
2012-05-10,9.07,9.21,9.03,9.09,3574600,8.90
2012-05-09,9.04,9.09,8.83,8.94,6396900,8.75
2012-05-08,9.14,9.22,9.06,9.20,2843500,9.01
2012-05-07,9.11,9.35,9.11,9.22,3262700,9.03
2012-05-04,9.24,9.28,9.02,9.15,4275700,8.96
2012-05-03,9.27,9.39,9.21,9.28,5731300,9.08
2012-05-02,9.22,9.31,9.11,9.26,5548000,9.07
2012-05-01,9.18,9.44,9.13,9.28,7060300,9.08
2012-04-30,9.19,9.22,9.05,9.18,4401800,8.99
2012-04-27,9.26,9.27,9.11,9.24,2255600,9.05
2012-04-26,9.10,9.28,9.07,9.20,3591300,9.01
2012-04-25,9.19,9.23,9.01,9.14,3345100,8.95
2012-04-24,8.97,9.16,8.94,9.07,4029500,8.88
