Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,30.98,31.33,30.67,30.73,19159900,30.73
2014-01-28,31.14,31.53,31.02,31.27,12628100,31.27
2014-01-27,31.17,31.45,30.86,31.05,15223800,31.05
2014-01-24,31.51,31.59,31.18,31.27,14916500,31.27
2014-01-23,31.87,32.02,31.56,31.74,15457200,31.74
2014-01-22,31.93,32.32,31.75,32.07,13263000,32.07
2014-01-21,32.06,32.10,31.68,31.92,17228000,31.92
2014-01-17,32.23,32.42,31.95,32.04,17798000,32.04
2014-01-16,32.61,32.74,32.38,32.47,7975700,32.47
2014-01-15,32.35,32.97,32.15,32.61,15744900,32.61
2014-01-14,32.35,32.41,31.76,32.30,30085500,32.30
2014-01-13,33.22,33.42,32.25,32.35,22378800,32.35
2014-01-10,33.40,33.52,32.94,33.46,19534600,33.46
2014-01-09,33.97,34.09,33.19,33.50,25197900,33.50
2014-01-08,34.86,34.91,34.30,34.39,7901700,34.39
2014-01-07,34.97,35.25,34.84,34.97,5887700,34.97
2014-01-06,35.31,35.42,34.79,34.80,10612200,34.80
2014-01-03,35.50,35.75,35.16,35.20,6138500,35.20
2014-01-02,35.47,35.75,35.27,35.63,11035500,35.63
2013-12-31,35.00,35.21,34.99,35.17,6649600,35.17
2013-12-30,34.57,35.23,34.51,35.02,7546500,35.02
2013-12-27,35.07,35.14,34.86,34.96,11248300,34.96
2013-12-26,34.77,35.04,34.56,34.98,5422400,34.98
2013-12-24,34.59,34.80,34.35,34.79,2714300,34.79
2013-12-23,34.50,34.60,34.24,34.59,6592900,34.59
2013-12-20,34.09,34.56,33.98,34.30,20909100,34.30
2013-12-19,33.50,34.07,33.32,33.97,14270300,33.97
2013-12-18,33.06,33.51,32.65,33.46,14051800,33.46
2013-12-17,32.99,32.99,32.44,32.86,9955400,32.86
2013-12-16,33.18,33.25,32.77,32.84,8359300,32.84
2013-12-13,32.72,33.16,32.43,32.93,8325500,32.93
2013-12-12,32.41,32.82,32.25,32.66,9865700,32.66
2013-12-11,33.18,33.29,32.62,32.69,9252500,32.69
2013-12-10,32.89,33.34,32.89,33.16,8126800,33.16
2013-12-09,33.36,33.40,33.00,33.10,7737300,33.10
2013-12-06,33.30,33.44,32.76,33.14,8753200,33.14
2013-12-05,32.87,32.98,32.56,32.74,9883300,32.74
2013-12-04,32.95,33.31,32.75,32.91,12886600,32.91
2013-12-03,33.30,33.59,32.96,33.22,8420000,33.22
2013-12-02,33.52,33.78,33.46,33.53,9328400,33.53
2013-11-29,33.40,33.80,33.28,33.49,5016500,33.49
2013-11-27,33.32,33.55,33.02,33.50,7536500,33.50
2013-11-26,32.88,33.44,32.88,33.20,10033100,33.20
2013-11-25,33.47,33.64,33.15,33.20,5333200,33.20
2013-11-22,33.46,33.51,33.27,33.40,6969600,33.40
2013-11-21,33.18,33.51,33.09,33.26,7878900,33.26
2013-11-20,33.30,33.47,32.96,33.12,8550300,33.12
2013-11-19,33.67,33.82,33.17,33.26,10285900,33.26
2013-11-18,34.12,34.28,33.50,33.75,9427600,33.75
2013-11-15,34.08,34.40,34.00,34.19,7596000,34.19
2013-11-14,33.80,34.36,33.59,34.13,9606300,34.13
2013-11-13,32.90,33.74,32.86,33.69,11256600,33.69
2013-11-12,33.28,33.36,32.85,33.17,13788900,33.17
2013-11-11,33.74,33.84,33.40,33.46,6687900,33.46
2013-11-08,33.04,33.89,32.87,33.84,13808300,33.84
2013-11-07,33.89,34.10,32.64,32.80,19983100,32.80
2013-11-06,34.42,35.44,33.78,33.92,17613200,33.92
2013-11-05,31.71,34.15,31.71,34.09,9557500,34.09
2013-11-04,34.50,34.52,33.95,34.15,6574400,34.15
2013-11-01,34.50,34.50,34.04,34.37,8492300,34.37
2013-10-31,34.07,34.45,33.97,34.08,11359300,34.08
2013-10-30,34.84,34.95,33.76,33.94,16362000,33.94
2013-10-29,34.68,34.96,34.56,34.82,6008300,34.82
2013-10-28,34.88,35.03,34.71,34.83,8458700,34.83
2013-10-25,35.30,35.33,34.80,34.86,15476400,34.86
2013-10-24,34.91,35.23,34.78,35.18,12017700,35.18
2013-10-23,34.61,34.93,34.53,34.77,7647900,34.77
2013-10-22,34.54,35.04,34.43,34.87,9596800,34.87
2013-10-21,34.21,34.56,34.20,34.40,6972100,34.40
2013-10-18,34.55,34.59,34.22,34.26,8056800,34.26
2013-10-17,33.83,34.42,33.74,34.32,8908900,34.32
2013-10-16,33.73,34.11,33.63,33.94,7124800,33.94
2013-10-15,33.46,33.73,33.36,33.42,9302800,33.42
2013-10-14,32.99,33.78,32.94,33.69,8285600,33.69
2013-10-11,32.89,33.24,32.64,33.23,6911200,33.23
2013-10-10,32.55,33.02,32.32,32.87,11045000,32.87
2013-10-09,32.40,32.62,32.01,32.20,10553500,32.20
2013-10-08,33.11,33.22,32.40,32.44,8865800,32.44
2013-10-07,33.71,33.72,33.02,33.09,7760500,33.09
2013-10-04,33.33,33.83,33.20,33.65,10079100,33.65
2013-10-03,33.56,33.73,33.00,33.15,13198300,33.15
2013-10-02,33.63,33.97,33.54,33.71,20347800,33.71
2013-10-01,33.62,34.12,33.43,33.98,16656900,33.98
2013-09-30,33.07,33.58,32.80,33.51,12143100,33.51
2013-09-27,32.78,33.43,32.73,33.26,9957100,33.26
2013-09-26,32.70,33.04,32.65,33.02,5901000,33.02
2013-09-25,32.39,32.80,32.25,32.67,11223700,32.67
2013-09-24,32.86,32.94,32.50,32.55,7639900,32.55
