Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,75.77,78.85,75.58,77.06,3896900,77.06
2014-01-28,75.89,77.19,75.75,76.80,2504400,76.80
2014-01-27,76.14,76.58,75.14,75.58,1909000,75.58
2014-01-24,76.54,77.04,75.52,76.25,2680600,76.25
2014-01-23,77.77,78.06,76.96,77.40,1832300,77.40
2014-01-22,78.15,78.69,77.72,78.12,1893900,78.12
2014-01-21,77.80,78.08,77.24,77.92,2222600,77.92
2014-01-17,77.72,78.27,77.03,77.13,2650100,77.13
2014-01-16,77.74,78.03,77.17,77.72,3237900,77.72
2014-01-15,78.67,79.18,77.65,77.67,5375100,77.67
2014-01-14,78.92,79.72,78.92,79.53,1817100,79.53
2014-01-13,80.75,81.11,78.72,78.87,2913200,78.87
2014-01-10,81.11,81.46,80.50,80.90,2363400,80.90
2014-01-09,81.87,82.16,80.86,81.34,2864200,81.34
2014-01-08,81.61,81.79,80.58,81.69,3145200,81.69
2014-01-07,79.98,81.23,79.92,80.86,2034400,80.86
2014-01-06,79.53,80.09,78.99,79.92,2680800,79.92
2014-01-03,80.86,81.72,79.97,80.28,1922700,80.28
2014-01-02,82.95,83.00,80.69,81.12,2752600,81.12
2013-12-31,82.90,83.29,82.45,83.00,1489300,83.00
2013-12-30,83.07,83.54,82.59,82.61,1471400,82.61
2013-12-27,82.77,83.39,82.27,83.07,1333500,83.07
2013-12-26,81.28,82.85,81.16,82.60,1548600,82.60
2013-12-24,80.25,81.26,80.02,81.14,1036100,81.14
2013-12-23,80.72,81.40,80.14,80.22,2309000,80.22
2013-12-20,80.68,81.42,80.16,80.17,3826500,80.17
2013-12-19,80.42,81.08,80.14,80.54,2118200,80.54
2013-12-18,79.60,80.90,78.67,80.83,2749700,80.83
2013-12-17,81.15,81.18,78.95,79.51,3307600,79.51
2013-12-16,78.00,79.73,77.52,79.35,2790000,79.35
2013-12-13,78.50,79.30,78.41,78.95,2665500,78.95
2013-12-12,78.94,79.43,77.88,78.56,2650000,78.31
2013-12-11,79.67,79.87,78.81,78.94,2470200,78.69
2013-12-10,80.60,81.30,79.58,79.94,2505500,79.69
2013-12-09,80.91,81.21,80.02,80.51,2083000,80.25
2013-12-06,82.43,82.79,80.46,80.86,2295600,80.60
2013-12-05,81.83,82.38,81.40,81.47,2106600,81.21
2013-12-04,80.98,82.65,80.98,82.21,2304500,81.95
2013-12-03,80.63,81.54,80.25,81.15,3157300,80.89
2013-12-02,81.01,81.60,80.33,80.91,1959000,80.65
2013-11-29,81.62,82.51,81.10,81.13,1352500,80.87
2013-11-27,83.54,83.54,81.09,81.48,2484000,81.22
2013-11-26,82.82,84.33,82.20,83.61,2394700,83.34
2013-11-25,82.22,83.28,81.70,82.63,2001200,82.37
2013-11-22,82.66,83.35,81.60,83.33,2224700,83.06
2013-11-21,81.45,82.49,81.15,82.33,1915800,82.07
2013-11-20,81.90,82.75,80.99,81.31,1631500,81.05
2013-11-19,81.75,82.27,80.93,81.89,1814800,81.63
2013-11-18,83.15,83.32,81.59,81.91,2078100,81.65
2013-11-15,81.90,82.86,81.52,82.86,3378400,82.60
2013-11-14,80.76,81.80,80.49,81.70,2215500,81.44
2013-11-13,79.37,80.88,79.36,80.78,1978200,80.52
2013-11-12,80.95,81.34,79.72,79.94,2233700,79.69
2013-11-11,80.38,81.24,80.19,80.87,2127300,80.61
2013-11-08,78.92,80.33,78.89,80.30,2156700,80.04
2013-11-07,81.03,81.39,78.68,78.78,3303300,78.53
