Date,Open,High,Low,Close,Volume,Adj Close
2014-01-24,13.19,13.33,13.19,13.31,13955500,13.31
2014-01-23,13.21,13.29,13.20,13.27,5195800,13.27
2014-01-22,13.23,13.26,13.19,13.25,3090400,13.25
2014-01-21,13.37,13.39,13.20,13.24,3035100,13.24
2014-01-17,13.38,13.38,13.31,13.33,2386200,13.33
2014-01-16,13.33,13.37,13.30,13.36,3008200,13.36
2014-01-15,13.28,13.34,13.27,13.31,8634600,13.31
2014-01-14,13.31,13.31,13.26,13.30,5217500,13.30
2014-01-13,13.36,13.36,13.26,13.26,2419400,13.26
2014-01-10,13.35,13.37,13.28,13.34,6345200,13.34
2014-01-09,13.48,13.48,13.37,13.40,1527400,13.40
2014-01-08,13.47,13.50,13.42,13.45,2529100,13.45
2014-01-07,13.41,13.57,13.40,13.51,8418700,13.51
2014-01-06,13.41,13.44,13.27,13.32,2874100,13.32
2014-01-03,13.33,13.42,13.31,13.39,2202800,13.39
2014-01-02,13.06,13.30,13.03,13.30,2117100,13.30
2013-12-31,13.13,13.14,13.08,13.10,1434400,13.10
2013-12-30,13.02,13.12,13.01,13.09,1516200,13.09
2013-12-27,13.05,13.09,13.01,13.05,3960700,13.05
2013-12-26,13.03,13.04,12.99,13.01,1069700,13.01
2013-12-24,12.91,13.01,12.91,12.99,640100,12.99
2013-12-23,12.97,13.01,12.89,12.93,3428500,12.93
2013-12-20,12.82,12.99,12.82,12.98,3033500,12.98
2013-12-19,12.96,12.99,12.83,12.83,2164200,12.83
2013-12-18,12.99,12.99,12.90,12.97,1414300,12.97
2013-12-17,12.95,12.99,12.88,12.93,1788100,12.93
2013-12-16,13.00,13.08,12.95,12.98,1624300,12.98
2013-12-13,13.04,13.06,12.95,12.96,2100000,12.96
2013-12-12,12.97,13.02,12.88,13.00,5653100,13.00
2013-12-11,13.14,13.14,12.96,12.97,3849500,12.97
2013-12-10,13.05,13.12,13.05,13.10,7206200,13.10
2013-12-09,13.11,13.13,13.06,13.08,2938700,13.08
2013-12-06,13.09,13.15,13.03,13.08,3930300,13.08
2013-12-05,13.08,13.11,13.05,13.09,5761200,13.09
2013-12-04,13.05,13.14,13.05,13.10,5021400,13.10
2013-12-03,13.06,13.15,13.06,13.14,3342900,13.14
2013-12-02,13.07,13.19,13.07,13.10,4910500,13.10
2013-11-29,13.15,13.15,13.09,13.09,734000,13.09
2013-11-27,13.18,13.19,13.07,13.09,8473500,13.09
2013-11-26,13.06,13.16,13.06,13.13,4663800,13.13
2013-11-25,13.10,13.22,13.07,13.09,3817700,13.09
2013-11-22,13.06,13.10,13.05,13.09,7255300,13.09
2013-11-21,13.08,13.16,13.06,13.08,3841800,13.08
2013-11-20,13.03,13.12,12.99,13.09,2650500,13.09
2013-11-19,13.04,13.06,12.91,12.98,9463700,12.98
2013-11-18,13.15,13.22,13.05,13.07,7383300,13.07
2013-11-15,13.21,13.27,13.15,13.16,5078000,13.16
2013-11-14,13.23,13.27,13.20,13.21,6151400,13.21
2013-11-13,13.25,13.35,13.09,13.24,28924700,13.24
2013-11-12,12.47,12.58,12.42,12.53,2373300,12.53
2013-11-11,12.44,12.59,12.42,12.54,2882900,12.54
2013-11-08,12.14,12.63,12.14,12.48,6291600,12.48
2013-11-07,12.69,12.69,11.70,12.16,8847400,12.16
2013-11-06,12.46,12.72,12.40,12.64,7093600,12.64
2013-11-05,12.72,12.78,12.56,12.57,2265500,12.57
2013-11-04,12.78,12.85,12.73,12.73,3021100,12.73
2013-11-01,12.81,12.92,12.64,12.79,2797800,12.79
2013-10-31,12.84,13.03,12.78,12.82,7489500,12.82
2013-10-30,12.91,12.95,12.78,12.80,3408900,12.80
2013-10-29,12.89,12.94,12.85,12.92,2431900,12.92
2013-10-28,12.87,12.93,12.80,12.91,1333200,12.91
2013-10-25,12.76,12.88,12.72,12.88,904800,12.88
2013-10-24,12.88,12.94,12.71,12.76,1637900,12.76
2013-10-23,12.76,12.92,12.71,12.87,2790200,12.87
2013-10-22,12.83,12.91,12.74,12.75,2411900,12.75
2013-10-21,13.03,13.03,12.72,12.77,4176200,12.77
2013-10-18,13.09,13.11,12.96,12.99,4560800,12.99
2013-10-17,12.98,13.03,12.95,12.98,4131900,12.98
2013-10-16,13.00,13.04,12.96,12.99,3488400,12.99
2013-10-15,12.99,13.02,12.95,12.96,1748100,12.96
2013-10-14,12.96,13.05,12.92,13.00,1480300,13.00
2013-10-11,12.90,13.08,12.89,13.04,2022300,13.04
2013-10-10,13.11,13.17,12.90,12.97,3845500,12.97
2013-10-09,12.95,13.17,12.88,13.02,2968200,13.02
