Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,85.68,86.01,84.84,85.12,1326900,85.12
2014-01-28,85.90,86.52,85.73,86.36,1124600,86.36
2014-01-27,86.20,86.60,85.04,85.81,938100,85.81
2014-01-24,86.81,86.81,85.32,86.01,1001500,86.01
2014-01-23,87.63,88.04,86.32,87.23,1011900,87.23
2014-01-22,87.30,88.10,86.46,88.09,928000,88.09
2014-01-21,86.49,87.41,86.23,87.25,1144100,87.25
2014-01-17,85.22,85.99,84.89,85.65,870400,85.65
2014-01-16,85.12,85.78,84.19,84.89,683700,84.89
2014-01-15,85.21,85.41,84.73,84.98,848300,84.98
2014-01-14,83.96,85.60,83.96,85.21,982700,85.21
2014-01-13,85.13,85.69,83.22,83.70,1671900,83.70
2014-01-10,84.81,86.27,84.70,85.55,1362200,85.55
2014-01-09,84.94,85.03,84.38,84.92,1223800,84.92
2014-01-08,84.62,85.51,84.02,84.45,1936900,84.45
2014-01-07,81.44,83.60,81.34,83.58,1552400,83.58
2014-01-06,82.57,83.02,81.80,81.95,970000,81.95
2014-01-03,82.59,83.71,82.33,83.05,746600,83.05
2014-01-02,83.95,84.28,82.03,82.25,953100,82.25
2013-12-31,84.08,84.87,83.64,84.08,581600,84.08
2013-12-30,84.03,84.54,83.33,84.03,814200,84.03
2013-12-27,83.15,84.16,83.02,83.96,938100,83.96
2013-12-26,83.21,83.44,82.64,83.14,420500,83.14
2013-12-24,81.34,83.53,81.34,83.03,501700,83.03
2013-12-23,82.67,82.70,81.44,81.53,613900,81.53
2013-12-20,81.63,82.40,81.35,82.03,1549500,82.03
2013-12-19,81.55,81.86,80.68,81.67,754000,81.67
2013-12-18,81.03,81.62,80.03,81.52,1181800,81.52
2013-12-17,81.13,81.26,80.08,80.84,838000,80.84
2013-12-16,80.38,81.39,80.22,81.26,1250100,81.26
2013-12-13,79.62,80.03,78.63,79.52,973800,79.52
2013-12-12,78.52,80.67,78.52,79.81,1350300,79.81
2013-12-11,79.51,79.82,78.19,78.42,1000500,78.42
2013-12-10,79.71,81.03,79.20,79.34,1227000,79.34
2013-12-09,79.94,80.56,79.05,79.49,1139000,79.49
2013-12-06,81.35,81.35,79.51,79.83,788800,79.83
2013-12-05,81.00,81.00,79.66,80.23,1172700,80.23
2013-12-04,79.75,81.09,78.90,80.97,1581700,80.97
2013-12-03,78.07,79.83,77.71,79.67,1466300,79.67
2013-12-02,77.30,79.16,76.36,78.05,1078900,78.05
2013-11-29,77.26,77.67,76.31,77.00,324900,77.00
2013-11-27,78.53,78.67,76.44,77.35,757300,77.35
2013-11-26,77.09,78.79,77.09,78.72,1379500,78.72
2013-11-25,78.76,78.96,76.76,77.24,1241000,77.24
2013-11-22,79.63,79.63,78.70,78.97,953000,78.97
2013-11-21,79.10,79.32,78.41,79.00,878600,79.00
2013-11-20,78.98,79.33,78.49,78.85,846700,78.85
2013-11-19,78.76,79.32,77.61,78.55,1360600,78.55
2013-11-18,79.44,79.56,78.20,78.80,1212300,78.80
2013-11-15,79.08,79.52,78.13,79.27,1481200,79.27
2013-11-14,78.20,78.50,76.72,78.06,1341400,78.06
2013-11-13,75.79,77.14,75.17,76.96,1397100,76.96
2013-11-12,78.49,78.49,76.42,76.72,1082700,76.22
2013-11-11,78.15,78.68,77.82,78.38,1079500,77.87
2013-11-08,76.08,78.07,75.74,78.02,1009000,77.51
2013-11-07,78.10,78.21,75.31,75.67,1283200,75.18
2013-11-06,78.28,78.52,77.04,77.65,706200,77.14
2013-11-05,77.41,77.92,76.72,77.78,697600,77.27
2013-11-04,77.79,78.00,77.35,77.85,675300,77.34
2013-11-01,77.64,78.02,76.61,77.43,1070700,76.93
2013-10-31,77.45,78.39,77.08,77.55,792600,77.04
2013-10-30,78.85,79.12,76.81,77.51,992200,77.00
2013-10-29,77.17,78.69,77.11,78.66,1061600,78.15
2013-10-28,76.83,77.45,76.61,77.17,861700,76.67
2013-10-25,76.37,77.33,75.83,76.57,674500,76.07
2013-10-24,74.87,75.94,74.53,75.88,1022200,75.39
2013-10-23,76.55,76.73,74.56,75.00,1044300,74.51
2013-10-22,76.90,77.89,76.47,76.89,635000,76.39
2013-10-21,76.83,76.92,76.23,76.49,732000,75.99
2013-10-18,76.70,77.73,76.28,76.76,1172800,76.26
2013-10-17,75.15,75.94,74.90,75.84,976600,75.35
2013-10-16,75.31,75.80,74.60,75.26,780300,74.77
2013-10-15,74.73,75.38,74.08,74.58,964600,74.09
2013-10-14,73.37,75.25,73.17,75.11,783800,74.62
2013-10-11,73.00,74.19,72.33,73.98,897000,73.50
2013-10-10,72.09,73.17,71.95,73.17,1260300,72.69
2013-10-09,72.09,72.13,70.59,71.11,1035400,70.65
2013-10-08,72.19,73.64,71.74,71.82,1334100,71.35
2013-10-07,72.54,72.90,71.93,72.09,847500,71.62
2013-10-04,72.72,74.29,72.08,73.70,1334200,73.22
2013-10-03,71.90,72.72,71.15,72.62,1170000,72.15
2013-10-02,70.63,71.92,69.96,71.91,1187100,71.44
2013-10-01,68.91,71.34,68.87,70.92,1087100,70.46
2013-09-30,68.49,69.07,67.95,68.95,844600,68.50
2013-09-27,69.14,69.38,68.55,69.07,706300,68.62
2013-09-26,69.44,69.81,69.05,69.47,670000,69.02
2013-09-25,68.88,69.62,68.26,69.04,1268800,68.59
2013-09-24,69.45,69.54,68.69,68.80,947000,68.35
2013-09-23,70.00,70.02,68.92,69.41,1184200,68.96
2013-09-20,71.26,71.36,70.12,70.32,1301500,69.86
2013-09-19,69.95,70.96,69.28,70.82,1427000,70.36
2013-09-18,69.14,69.88,68.52,69.64,628300,69.19
2013-09-17,68.88,69.73,68.31,69.01,739000,68.56
2013-09-16,69.64,69.80,68.54,68.91,1055200,68.46
2013-09-13,66.97,69.49,66.24,68.99,2629700,68.54
2013-09-12,66.93,67.46,65.84,66.56,983700,66.13
2013-09-11,66.47,67.12,66.05,67.12,933700,66.68
2013-09-10,66.06,66.16,65.21,66.12,812900,65.69
2013-09-09,64.48,66.41,64.35,65.74,806300,65.31
2013-09-06,64.74,65.01,63.84,64.36,565400,63.94
2013-09-05,64.03,64.83,63.92,64.50,685600,64.08
2013-09-04,62.84,64.46,62.83,63.96,862100,63.54
2013-09-03,63.99,64.00,62.39,62.91,1153800,62.50
2013-08-30,63.52,63.52,62.84,63.04,819600,62.63
2013-08-29,63.95,64.00,63.00,63.27,818400,62.86
2013-08-28,63.32,64.68,63.28,64.16,960100,63.74
2013-08-27,63.20,64.05,63.00,63.22,629400,62.81
2013-08-26,64.93,65.15,63.95,64.07,736600,63.65
2013-08-23,64.83,65.07,64.06,64.67,701000,64.25
2013-08-22,64.06,64.71,64.00,64.55,995300,64.13
2013-08-21,64.95,65.25,63.84,63.90,748700,63.48
2013-08-20,64.04,65.31,64.00,64.94,1140900,64.52
2013-08-19,64.75,64.97,63.96,64.02,787300,63.60
2013-08-16,65.49,65.65,64.35,64.76,1285200,64.34
2013-08-15,65.54,66.26,65.18,65.50,983300,65.07
2013-08-14,67.01,67.70,66.45,66.49,1083700,66.06
2013-08-13,67.03,67.46,66.57,67.26,1172700,66.82
2013-08-12,67.12,67.74,66.50,67.30,1002800,66.36
2013-08-09,67.85,68.20,66.64,67.91,1354000,66.97
