Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,25.67,25.79,25.46,25.57,707500,25.57
2014-01-28,25.87,26.01,25.75,25.82,658400,25.82
2014-01-27,26.24,26.41,25.70,25.84,665800,25.84
2014-01-24,26.44,26.44,26.09,26.15,764800,26.15
2014-01-23,26.42,26.56,26.36,26.42,516800,26.42
2014-01-22,26.47,26.59,26.37,26.48,534500,26.48
2014-01-21,26.52,26.60,26.17,26.36,812700,26.36
2014-01-17,26.57,26.76,26.40,26.40,705100,26.40
2014-01-16,26.62,26.87,26.56,26.62,487700,26.62
2014-01-15,26.81,27.03,26.70,26.71,690900,26.71
2014-01-14,26.53,26.77,26.38,26.75,413700,26.75
2014-01-13,26.70,26.93,26.41,26.48,638800,26.48
2014-01-10,26.55,26.88,26.52,26.76,738700,26.76
2014-01-09,26.71,26.75,26.23,26.43,858300,26.43
2014-01-08,27.43,27.43,27.01,27.20,956000,26.72
2014-01-07,27.22,27.68,27.11,27.51,912100,27.02
2014-01-06,27.19,27.24,26.92,27.17,721800,26.69
2014-01-03,26.98,27.10,26.85,27.08,647200,26.60
2014-01-02,26.90,27.02,26.65,26.98,532400,26.50
2013-12-31,27.23,27.35,26.95,27.03,709500,26.55
2013-12-30,27.05,27.29,26.91,27.25,500400,26.77
2013-12-27,27.06,27.11,26.82,27.07,388800,26.59
2013-12-26,27.14,27.28,26.97,27.04,473100,26.56
2013-12-24,26.77,27.10,26.77,26.99,279600,26.51
2013-12-23,27.15,27.22,26.98,27.07,651700,26.59
2013-12-20,26.92,27.07,26.87,26.98,1409900,26.50
2013-12-19,27.24,27.31,26.83,26.84,1043000,26.37
2013-12-18,26.69,27.37,26.44,27.35,2568400,26.87
2013-12-17,26.39,26.64,26.21,26.61,612700,26.14
2013-12-16,26.16,26.47,26.16,26.34,685300,25.88
2013-12-13,25.98,26.37,25.95,26.13,736800,25.67
2013-12-12,26.22,26.34,25.88,25.91,1286100,25.45
2013-12-11,26.90,26.92,26.27,26.30,733100,25.84
2013-12-10,27.13,27.30,26.90,26.91,598300,26.44
2013-12-09,27.00,27.20,26.86,27.13,576500,26.65
2013-12-06,26.93,27.17,26.86,27.00,863500,26.52
2013-12-05,26.70,26.76,26.53,26.73,762700,26.26
2013-12-04,26.74,27.28,26.65,26.84,484800,26.37
2013-12-03,26.87,27.09,26.76,26.93,881700,26.45
2013-12-02,27.21,27.25,26.82,26.93,994000,26.45
2013-11-29,27.61,27.61,27.15,27.17,375400,26.69
2013-11-27,27.46,27.63,27.35,27.61,398300,27.12
2013-11-26,27.54,27.65,27.35,27.44,815000,26.96
2013-11-25,27.86,27.86,27.50,27.54,858200,27.05
2013-11-22,28.08,28.08,27.69,27.87,551400,27.38
2013-11-21,27.86,28.19,27.70,28.08,1013700,27.58
2013-11-20,27.98,28.40,27.56,27.70,1026900,27.21
2013-11-19,28.31,28.34,27.92,27.97,1475500,27.48
2013-11-18,28.64,28.73,28.31,28.39,1219800,27.89
2013-11-15,28.42,28.60,28.23,28.53,2305600,28.03
2013-11-14,28.22,28.57,28.03,28.36,1972000,27.86
2013-11-13,27.90,28.27,27.61,28.13,1461400,27.63
2013-11-12,27.78,27.98,27.56,27.96,1683600,27.47
2013-11-11,27.66,27.93,27.53,27.85,2199300,27.36
2013-11-08,27.53,27.70,27.04,27.64,1822800,27.15
2013-11-07,27.83,28.05,27.55,27.57,11801100,27.08
2013-11-06,29.50,29.62,29.06,29.13,976000,28.62
2013-11-05,29.10,29.66,29.00,29.25,899300,28.73
2013-11-04,29.54,29.84,29.17,29.78,1104900,29.25
2013-11-01,29.42,29.82,29.18,29.40,747500,28.88
2013-10-31,29.26,29.62,29.00,29.38,864900,28.86
2013-10-30,29.41,29.59,29.12,29.22,693100,28.70
2013-10-29,29.44,29.51,29.24,29.44,679400,28.92
2013-10-28,29.66,29.66,29.26,29.52,730400,29.00
2013-10-25,29.58,29.68,29.36,29.57,891700,29.05
2013-10-24,29.58,29.68,29.33,29.49,769300,28.97
2013-10-23,30.09,30.09,29.50,29.56,1067100,29.04
2013-10-22,30.08,30.54,30.00,30.47,872700,29.46
2013-10-21,30.16,30.20,29.85,29.98,622000,28.99
2013-10-18,30.37,30.54,30.04,30.16,673400,29.16
2013-10-17,29.22,30.26,28.86,30.22,902700,29.22
2013-10-16,28.74,29.25,28.57,29.25,536300,28.28
2013-10-15,28.55,28.84,28.48,28.54,464700,27.59
2013-10-14,28.49,28.75,28.37,28.72,484300,27.77
2013-10-11,28.17,28.68,28.00,28.66,532600,27.71
2013-10-10,27.64,28.26,27.61,28.21,661900,27.28
2013-10-09,27.68,27.92,27.32,27.36,570000,26.45
2013-10-08,28.08,28.24,27.59,27.64,492200,26.72
2013-10-07,27.69,28.22,27.60,28.04,438500,27.11
2013-10-04,27.90,28.08,27.66,27.88,529900,26.96
2013-10-03,28.25,28.25,27.62,27.90,714700,26.98
2013-10-02,28.44,28.68,28.20,28.27,985300,27.33
2013-10-01,28.01,29.03,28.01,28.63,1277900,27.68
2013-09-30,28.16,28.45,28.13,28.30,769400,27.36
2013-09-27,28.27,28.46,28.13,28.42,514500,27.48
2013-09-26,28.06,28.37,27.94,28.35,316200,27.41
2013-09-25,28.05,28.24,27.78,28.05,545900,27.12
2013-09-24,28.26,28.44,28.02,28.03,713500,27.10
2013-09-23,27.81,28.89,27.80,28.26,1049700,27.32
2013-09-20,28.81,28.93,27.76,27.81,1175300,26.89
2013-09-19,28.70,28.82,28.32,28.73,982900,27.78
2013-09-18,27.91,28.80,27.54,28.67,842000,27.72
2013-09-17,27.51,28.00,27.13,27.99,1006000,27.06
2013-09-16,27.85,27.98,27.40,27.61,431700,26.70
2013-09-13,27.26,27.54,27.18,27.42,409800,26.51
2013-09-12,27.50,27.79,27.24,27.27,387700,26.37
2013-09-11,27.36,27.51,27.11,27.51,472200,26.60
2013-09-10,27.23,27.34,27.05,27.31,575900,26.41
2013-09-09,26.94,27.22,26.78,27.18,777300,26.28
2013-09-06,26.73,27.22,26.60,26.84,611600,25.95
2013-09-05,26.93,26.97,26.45,26.47,746300,25.59
2013-09-04,26.69,27.04,26.43,26.95,1339800,26.06
2013-09-03,27.38,27.38,26.00,26.54,1780700,25.66
2013-08-30,27.49,27.67,26.97,27.02,628500,26.13
2013-08-29,27.27,27.58,27.21,27.43,247000,26.52
2013-08-28,27.39,27.50,27.16,27.40,430900,26.49
2013-08-27,27.39,27.65,27.16,27.47,766400,26.56
2013-08-26,27.98,27.98,27.50,27.61,403700,26.70
2013-08-23,27.56,27.94,27.32,27.89,472000,26.97
2013-08-22,27.30,27.44,27.03,27.44,402000,26.53
2013-08-21,27.23,27.61,26.97,27.13,517200,26.23
2013-08-20,26.51,27.52,26.51,27.43,760700,26.52
2013-08-19,26.80,26.83,26.38,26.41,629100,25.54
2013-08-16,27.56,27.64,26.63,26.76,1215100,25.87
2013-08-15,28.08,28.09,27.41,27.64,584100,26.72
2013-08-14,28.36,28.56,28.27,28.38,594600,27.44
2013-08-13,28.93,29.09,28.29,28.40,651400,27.46
2013-08-12,28.94,29.04,28.51,29.00,998800,28.04
2013-08-09,28.94,29.70,28.87,29.34,666800,28.37
2013-08-08,28.87,29.01,28.60,29.00,745900,28.04
2013-08-07,28.32,28.86,28.21,28.80,653800,27.85
2013-08-06,28.76,29.09,27.94,28.42,850700,27.48
2013-08-05,28.85,29.09,28.70,28.94,676800,27.98
2013-08-02,29.07,29.16,28.86,28.99,546200,28.03
2013-08-01,28.70,29.12,28.64,29.04,1525800,28.08
2013-07-31,28.67,28.92,28.13,28.49,953400,27.55
2013-07-30,28.47,28.76,28.43,28.61,573700,27.66
2013-07-29,28.35,28.45,28.10,28.35,568400,27.41
2013-07-26,28.24,28.41,28.05,28.40,451300,27.46
2013-07-25,28.00,28.31,27.68,28.31,1747900,27.37
2013-07-24,28.83,28.90,27.69,28.02,1950300,27.09
2013-07-23,29.19,29.31,29.00,29.25,890500,27.83
2013-07-22,29.07,29.19,28.90,29.12,485700,27.70
2013-07-19,29.00,29.14,28.71,29.00,1142300,27.59
2013-07-18,28.75,28.99,28.62,28.95,508400,27.54
2013-07-17,28.64,28.77,28.46,28.62,648800,27.23
2013-07-16,28.47,28.69,28.41,28.60,905100,27.21
2013-07-15,28.23,28.45,28.09,28.45,686900,27.07
2013-07-12,28.00,28.25,27.91,28.20,754200,26.83
2013-07-11,27.65,28.10,27.65,27.98,1047700,26.62
2013-07-10,27.01,27.43,26.93,27.17,781700,25.85
2013-07-09,26.59,27.17,26.42,27.09,988700,25.77
2013-07-08,26.28,26.73,26.18,26.49,543900,25.20
2013-07-05,26.37,26.40,25.52,26.25,696000,24.97
2013-07-03,26.28,26.39,25.85,26.15,599000,24.88
2013-07-02,26.22,26.80,26.19,26.47,994200,25.18
2013-07-01,26.47,26.58,26.14,26.28,1112500,25.00
2013-06-28,26.13,26.37,25.86,26.28,1353600,25.00
2013-06-27,25.72,26.35,25.60,26.19,1101300,24.92
2013-06-26,25.48,25.75,25.28,25.51,1388400,24.27
2013-06-25,24.71,25.37,24.40,25.21,1272900,23.98
2013-06-24,24.39,24.98,23.75,24.29,1799900,23.11
2013-06-21,24.69,24.93,24.30,24.60,3312900,23.40
2013-06-20,25.64,25.64,24.45,24.58,1663500,23.38
2013-06-19,26.88,26.96,25.77,25.81,1314500,24.55
2013-06-18,26.75,27.13,26.75,26.84,1240500,25.53
2013-06-17,27.09,27.38,26.69,26.75,861500,25.45
2013-06-14,26.76,27.24,26.61,26.95,1162700,25.64
2013-06-13,26.44,26.88,26.35,26.76,1574300,25.46
2013-06-12,27.04,27.07,26.37,26.41,864300,25.12
2013-06-11,27.18,27.24,26.76,26.88,806900,25.57
2013-06-10,27.89,27.94,27.39,27.40,983200,26.07
2013-06-07,28.09,28.09,27.47,27.79,992200,26.44
2013-06-06,27.54,27.97,27.34,27.90,1308600,26.54
2013-06-05,27.91,28.13,27.44,27.65,812500,26.30
2013-06-04,28.81,28.93,27.93,27.99,1416600,26.63
2013-06-03,29.19,29.19,28.60,28.74,1442600,27.34
2013-05-31,29.64,29.88,29.10,29.18,1676000,27.76
2013-05-30,29.96,30.26,29.55,29.65,1034100,28.21
2013-05-29,30.46,30.46,29.61,29.92,1248900,28.46
2013-05-28,31.21,31.29,30.43,30.60,1016200,29.11
2013-05-24,31.20,31.24,30.80,30.86,677900,29.36
2013-05-23,31.12,31.46,30.70,31.30,1094400,29.78
2013-05-22,32.25,32.64,31.10,31.38,1031700,29.85
2013-05-21,31.38,32.26,31.36,32.26,1119800,30.69
2013-05-20,30.94,31.31,30.94,31.31,697600,29.79
2013-05-17,30.82,31.06,30.81,30.99,425300,29.48
2013-05-16,30.74,30.94,30.62,30.76,920600,29.26
2013-05-15,30.34,30.70,30.20,30.69,673700,29.20
2013-05-14,30.20,30.59,30.20,30.47,525400,28.99
2013-05-13,29.88,30.26,29.82,30.17,512900,28.70
2013-05-10,30.03,30.14,29.77,29.91,803700,28.45
2013-05-09,30.50,30.50,30.00,30.12,1428800,28.65
2013-05-08,30.31,30.54,30.09,30.51,811500,29.03
2013-05-07,29.84,30.42,29.15,30.31,1164200,28.84
2013-05-06,29.67,29.86,29.63,29.83,663400,28.38
2013-05-03,29.73,29.90,29.48,29.66,506300,28.22
2013-05-02,29.23,29.60,29.13,29.55,738100,28.11
2013-05-01,29.35,29.50,29.14,29.27,958500,27.85
2013-04-30,28.90,29.41,28.81,29.41,1425900,27.98
2013-04-29,28.68,29.00,28.68,28.88,1180600,27.47
2013-04-26,28.44,28.68,28.38,28.63,925300,27.24
2013-04-25,28.30,28.57,28.09,28.35,907700,26.97
2013-04-24,28.06,28.45,27.97,28.32,1075300,26.94
2013-04-23,28.37,28.50,28.07,28.38,842500,26.55
2013-04-22,28.09,28.31,27.76,28.26,1120800,26.44
2013-04-19,27.57,27.98,27.44,27.98,1910700,26.18
2013-04-18,27.81,27.85,27.45,27.57,844200,25.79
2013-04-17,27.94,27.94,27.57,27.79,804400,26.00
2013-04-16,27.74,28.10,27.62,28.09,776000,26.28
2013-04-15,27.99,28.24,27.47,27.49,973200,25.72
2013-04-12,28.21,28.25,27.97,28.18,687100,26.36
2013-04-11,27.77,28.28,27.77,28.28,913300,26.46
2013-04-10,27.50,27.77,27.50,27.74,768300,25.95
2013-04-09,27.66,27.68,27.41,27.45,667600,25.68
2013-04-08,27.24,27.63,27.07,27.61,692100,25.83
2013-04-05,27.00,27.23,26.77,27.19,1224500,25.44
2013-04-04,27.36,27.52,27.14,27.36,1094200,25.60
2013-04-03,27.59,27.62,27.13,27.27,909700,25.51
2013-04-02,27.76,27.94,27.45,27.52,1086400,25.75
2013-04-01,27.43,27.72,27.22,27.72,1086800,25.93
2013-03-28,27.40,27.50,27.28,27.44,3152400,25.67
2013-03-27,26.69,27.34,26.54,27.33,1281000,25.57
2013-03-26,26.65,26.84,26.52,26.83,1502500,25.10
2013-03-25,26.56,26.71,26.28,26.47,1169400,24.76
2013-03-22,26.39,26.48,26.15,26.48,954000,24.77
2013-03-21,26.29,26.53,26.25,26.30,1182300,24.61
2013-03-20,26.55,26.55,26.22,26.41,2148600,24.71
2013-03-19,25.64,26.62,25.60,26.54,20368300,24.83
2013-03-18,27.05,27.37,26.95,27.19,961200,25.44
2013-03-15,26.86,27.29,26.66,27.22,1000200,25.47
2013-03-14,26.65,26.92,26.63,26.86,466700,25.13
2013-03-13,26.49,26.66,26.41,26.59,402000,24.88
2013-03-12,26.60,26.66,26.39,26.51,504200,24.80
2013-03-11,26.28,26.56,26.20,26.53,662400,24.82
2013-03-08,26.35,26.38,26.08,26.34,887100,24.64
2013-03-07,26.28,26.28,26.14,26.19,1179000,24.50
2013-03-06,26.58,26.67,26.17,26.18,890600,24.49
2013-03-05,26.50,26.70,26.34,26.52,774800,24.81
2013-03-04,26.15,26.50,26.04,26.49,1304200,24.78
2013-03-01,26.55,26.69,25.60,26.19,1872300,24.50
2013-02-28,26.95,27.00,26.68,26.70,2171000,24.98
2013-02-27,26.42,27.34,26.42,26.92,1964600,25.19
2013-02-26,26.41,26.64,26.01,26.33,1469400,24.63
2013-02-25,26.95,27.02,26.29,26.31,1119800,24.62
2013-02-22,26.73,26.96,26.72,26.75,646000,25.03
2013-02-21,26.58,26.68,26.31,26.64,1108700,24.92
2013-02-20,26.94,27.07,26.56,26.57,966300,24.86
2013-02-19,26.75,27.08,26.71,27.08,998400,25.34
2013-02-15,26.44,26.65,26.36,26.64,390100,24.92
2013-02-14,26.41,26.56,26.40,26.49,337900,24.78
2013-02-13,26.46,26.50,26.32,26.49,500400,24.78
2013-02-12,26.04,26.40,26.02,26.37,576900,24.67
2013-02-11,26.09,26.09,25.93,26.02,486700,24.34
2013-02-08,25.90,26.05,25.87,26.03,529500,24.35
2013-02-07,26.10,26.23,25.70,25.80,809100,24.14
2013-02-06,25.73,26.08,25.72,26.07,1056400,24.39
2013-02-05,25.49,25.78,25.26,25.76,1223800,24.10
2013-02-04,25.45,25.64,25.32,25.42,707500,23.78
2013-02-01,25.35,25.59,25.21,25.58,1148700,23.93
2013-01-31,25.25,25.25,25.04,25.22,1178400,23.60
2013-01-30,25.40,25.44,24.98,25.21,900500,23.59
2013-01-29,25.40,25.50,25.33,25.35,759800,23.72
2013-01-28,25.89,25.99,25.79,25.82,857900,23.72
2013-01-25,25.79,26.04,25.67,25.96,932300,23.85
2013-01-24,25.61,25.74,25.53,25.67,895500,23.58
2013-01-23,25.73,25.73,25.44,25.60,734400,23.52
2013-01-22,25.56,25.79,25.42,25.63,1336100,23.54
2013-01-18,25.13,25.60,25.03,25.54,1119200,23.46
2013-01-17,24.72,25.17,24.67,25.11,1595200,23.06
2013-01-16,24.30,24.70,24.25,24.66,675400,22.65
2013-01-15,24.15,24.36,24.15,24.29,1443200,22.31
2013-01-14,24.02,24.41,24.00,24.30,1072800,22.32
2013-01-11,24.05,24.05,23.90,23.94,571200,21.99
2013-01-10,24.20,24.43,23.96,24.03,841600,22.07
2013-01-09,24.11,24.25,24.04,24.10,613100,22.14
2013-01-08,24.26,24.35,23.99,24.02,838900,22.06
2013-01-07,24.25,24.45,24.19,24.22,473200,22.25
2013-01-04,24.16,24.33,24.03,24.29,523100,22.31
2013-01-03,23.99,24.32,23.93,24.15,627500,22.18
2013-01-02,23.79,23.99,23.66,23.99,720500,22.04
2012-12-31,22.96,23.42,22.95,23.42,603000,21.51
2012-12-28,22.97,23.14,22.91,22.97,373000,21.10
2012-12-27,23.19,23.33,22.81,23.04,510500,21.16
2012-12-26,23.27,23.40,23.11,23.17,474100,21.28
2012-12-24,23.05,23.28,22.94,23.25,401800,21.36
2012-12-21,22.81,23.18,22.66,22.98,1435500,21.11
2012-12-20,23.05,23.25,23.03,23.21,608800,21.32
2012-12-19,23.03,23.34,22.88,23.01,427200,21.14
