Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,34.01,34.08,33.41,33.49,1385400,33.49
2014-01-28,34.08,34.22,33.90,34.17,1228500,34.17
2014-01-27,34.10,34.25,33.66,33.99,1061200,33.99
2014-01-24,34.18,34.32,33.84,33.86,1298600,33.86
2014-01-23,34.23,34.41,33.90,34.37,1048000,34.37
2014-01-22,34.39,34.76,34.35,34.45,955200,34.45
2014-01-21,34.62,34.81,34.00,34.30,2126200,34.30
2014-01-17,34.40,34.95,34.32,34.59,2463500,34.59
2014-01-16,34.17,34.67,34.15,34.52,1200200,34.52
2014-01-15,34.50,34.68,34.18,34.28,1313400,34.28
2014-01-14,34.20,34.56,34.13,34.53,1901700,34.53
2014-01-13,33.83,34.40,33.83,34.08,2275400,34.08
2014-01-10,33.23,33.94,33.05,33.91,1849200,33.91
2014-01-09,33.08,33.14,32.71,33.09,2460300,33.09
2014-01-08,33.36,33.37,32.73,33.04,1188000,33.04
2014-01-07,33.94,34.03,33.42,33.43,1538600,33.43
2014-01-06,33.60,33.82,33.25,33.78,1956500,33.78
2014-01-03,33.35,33.68,33.31,33.49,583800,33.49
2014-01-02,33.35,33.58,33.29,33.38,1005300,33.38
2013-12-31,33.42,33.70,33.22,33.44,620400,33.44
2013-12-30,33.28,33.58,33.28,33.41,460400,33.41
2013-12-27,33.47,33.53,33.25,33.34,365600,33.34
2013-12-26,33.22,33.39,33.15,33.33,770700,33.33
2013-12-24,33.15,33.48,33.15,33.29,581500,33.29
2013-12-23,33.07,33.31,33.03,33.23,1123400,33.23
2013-12-20,32.68,33.03,32.53,33.02,1296000,33.02
2013-12-19,32.89,33.00,32.58,32.67,1192200,32.67
2013-12-18,32.10,32.85,32.03,32.82,724100,32.82
2013-12-17,32.52,32.67,32.06,32.09,901000,32.09
2013-12-16,32.59,32.90,32.51,32.57,635600,32.57
2013-12-13,32.49,32.65,32.38,32.52,676200,32.52
2013-12-12,32.48,32.55,32.25,32.45,783800,32.45
2013-12-11,32.60,32.80,32.40,32.56,814500,32.56
2013-12-10,33.13,33.15,32.72,32.74,360800,32.74
2013-12-09,32.74,33.32,32.74,33.23,702900,33.23
2013-12-06,32.85,33.11,32.75,32.79,983800,32.79
2013-12-05,33.02,33.11,32.56,32.66,1055100,32.66
2013-12-04,33.17,33.43,33.02,33.10,804000,33.10
2013-12-03,32.99,33.41,32.89,33.36,1192500,33.36
2013-12-02,33.47,33.75,33.10,33.10,2363700,33.10
2013-11-29,33.56,33.60,33.30,33.42,312500,33.42
2013-11-27,33.55,33.76,33.34,33.50,686400,33.50
2013-11-26,33.53,34.12,33.38,33.80,794500,33.62
2013-11-25,33.80,33.82,33.43,33.47,795500,33.30
2013-11-22,33.85,33.85,32.96,33.76,1850900,33.59
2013-11-21,33.34,33.95,33.25,33.86,1587200,33.68
2013-11-20,32.43,32.96,32.28,32.66,967700,32.49
2013-11-19,32.64,32.74,32.36,32.48,776900,32.31
2013-11-18,32.77,32.98,32.66,32.73,1498500,32.56
2013-11-15,33.00,33.02,32.61,32.68,1086300,32.51
2013-11-14,32.59,33.05,32.27,33.01,978100,32.84
