Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,95.18,98.59,94.20,96.52,2280400,96.52
2014-01-28,96.00,96.74,95.70,96.02,1192600,96.02
2014-01-27,96.12,96.77,94.85,96.04,1585200,96.04
2014-01-24,95.30,96.32,94.91,96.00,1729400,96.00
2014-01-23,95.91,97.84,95.80,96.19,1744300,96.19
2014-01-22,96.14,96.49,95.56,96.14,1346100,96.14
2014-01-21,96.69,96.94,95.27,95.66,1407600,95.66
2014-01-17,96.00,97.17,95.83,96.57,1597200,96.57
2014-01-16,96.72,97.10,95.13,96.16,1130900,96.16
2014-01-15,96.79,97.65,96.52,97.13,1440500,97.13
2014-01-14,96.04,96.91,95.50,96.79,1005900,96.79
2014-01-13,96.94,97.75,95.97,96.03,1863600,96.03
2014-01-10,97.00,98.77,95.01,96.96,4074500,96.96
2014-01-09,99.80,100.40,98.99,98.99,2261100,98.99
2014-01-08,100.66,100.66,98.95,99.40,2332700,99.40
2014-01-07,98.72,101.35,98.50,100.55,2561700,100.55
2014-01-06,102.30,102.38,99.96,100.76,1850200,100.76
2014-01-03,102.86,103.04,101.58,101.76,1234400,101.76
2014-01-02,102.76,103.88,102.30,102.84,1393500,102.84
2013-12-31,102.67,103.53,102.05,103.22,856800,103.22
2013-12-30,103.15,103.42,102.32,102.48,553100,102.48
2013-12-27,103.17,103.98,102.78,103.05,480400,103.05
2013-12-26,103.29,103.78,102.85,103.53,403300,103.26
2013-12-24,103.21,103.79,103.08,103.26,351400,102.99
2013-12-23,102.39,103.60,102.02,103.07,714200,102.80
2013-12-20,101.95,102.59,101.11,101.89,1065000,101.62
2013-12-19,100.22,101.86,99.20,101.69,1853600,101.42
2013-12-18,99.63,101.11,98.62,100.73,992700,100.47
2013-12-17,100.18,100.25,98.76,99.07,763100,98.81
2013-12-16,99.90,100.85,98.99,100.11,907700,99.85
2013-12-13,100.85,102.03,99.62,99.91,862000,99.65
2013-12-12,101.68,102.40,99.69,100.47,1482500,100.21
2013-12-11,103.99,104.74,101.70,101.93,1627900,101.66
2013-12-10,104.04,104.47,103.44,103.63,1061300,103.36
2013-12-09,103.78,104.95,103.78,104.42,1004400,104.15
2013-12-06,103.03,104.15,102.87,104.00,1261800,103.73
2013-12-05,103.49,104.06,101.82,101.91,1264500,101.64
2013-12-04,104.64,104.73,102.45,103.76,1356600,103.49
2013-12-03,104.90,105.12,103.90,104.76,1162500,104.49
2013-12-02,104.01,105.80,103.81,105.25,993500,104.98
2013-11-29,103.81,104.69,103.81,103.99,427900,103.72
2013-11-27,103.52,104.05,103.03,103.78,1068400,103.51
2013-11-26,103.60,104.59,103.38,103.89,1585700,103.62
2013-11-25,101.52,103.50,101.35,103.48,870900,103.21
2013-11-22,99.80,101.59,99.76,101.25,1628200,100.99
2013-11-21,100.19,101.60,99.62,99.72,2007400,99.46
