Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,64.58,66.64,63.51,65.24,1262400,65.24
2014-01-28,62.81,66.04,62.09,65.32,1240900,65.32
2014-01-27,63.25,64.12,60.05,62.50,1775700,62.50
2014-01-24,65.00,65.60,63.55,63.94,2074600,63.94
2014-01-23,64.97,66.19,63.89,65.60,1035000,65.60
2014-01-22,64.54,65.36,64.16,64.86,1275800,64.86
2014-01-21,64.19,64.56,62.25,64.55,1628200,64.55
2014-01-17,63.55,64.10,61.86,61.87,1921400,61.87
2014-01-16,62.18,63.93,61.89,63.48,1864500,63.48
2014-01-15,63.50,63.60,60.82,62.42,3442000,62.42
2014-01-14,60.00,63.46,58.82,63.46,2365000,63.46
2014-01-13,60.00,60.93,57.88,59.11,2294100,59.11
2014-01-10,57.29,59.99,57.29,59.97,4091100,59.97
2014-01-09,55.00,56.26,54.29,56.17,1228300,56.17
2014-01-08,52.33,55.27,52.02,54.74,2062500,54.74
2014-01-07,52.52,53.50,51.69,51.96,1140200,51.96
2014-01-06,52.50,54.36,51.38,52.31,1328100,52.31
2014-01-03,51.23,52.23,50.56,51.99,960100,51.99
2014-01-02,50.32,52.10,49.66,51.23,978200,51.23
2013-12-31,50.74,51.25,50.24,50.63,603400,50.63
2013-12-30,49.77,50.65,48.89,50.57,615100,50.57
2013-12-27,51.16,51.25,49.56,49.71,713100,49.71
2013-12-26,50.84,51.68,49.89,50.68,636200,50.68
2013-12-24,51.23,51.88,50.36,50.82,391900,50.82
2013-12-23,51.94,52.47,50.70,51.28,1228600,51.28
2013-12-20,50.30,51.95,50.18,51.34,4603700,51.34
2013-12-19,49.00,50.44,48.55,50.11,1378800,50.11
2013-12-18,47.52,49.22,47.51,49.11,1253000,49.11
2013-12-17,49.70,49.70,47.42,47.54,1473200,47.54
2013-12-16,49.09,50.50,48.91,49.65,1542300,49.65
2013-12-13,48.55,49.21,48.37,48.89,973700,48.89
2013-12-12,47.42,49.34,47.41,48.50,1124000,48.50
2013-12-11,47.64,48.38,47.35,47.57,1444600,47.57
2013-12-10,46.35,48.40,45.77,47.82,1851700,47.82
2013-12-09,46.99,47.48,45.39,46.15,1093500,46.15
2013-12-06,46.77,47.07,45.66,46.59,1116200,46.59
2013-12-05,46.01,46.80,45.28,46.55,1041700,46.55
2013-12-04,45.62,46.64,45.39,46.14,715100,46.14
2013-12-03,46.69,47.92,45.57,45.85,1465100,45.85
2013-12-02,46.63,47.32,45.70,47.24,1371400,47.24
2013-11-29,47.18,47.39,46.52,46.60,586800,46.60
2013-11-27,47.61,47.96,46.14,46.71,1185000,46.71
2013-11-26,47.57,48.11,46.86,47.52,1136200,47.52
2013-11-25,48.63,48.99,47.30,47.69,906000,47.69
2013-11-22,48.28,50.14,48.10,48.52,1994900,48.52
2013-11-21,47.08,48.41,46.92,47.94,1073400,47.94
2013-11-20,46.00,47.45,45.81,46.83,1466000,46.83
2013-11-19,47.04,47.84,45.58,45.92,2237700,45.92
2013-11-18,47.95,48.45,46.61,46.96,3381200,46.96
2013-11-15,45.00,47.83,44.82,47.51,3555400,47.51
2013-11-14,44.48,45.43,43.21,45.01,2629800,45.01
2013-11-13,40.34,44.85,40.08,43.95,4031400,43.95
2013-11-12,39.00,40.94,38.97,40.90,2072200,40.90
2013-11-11,38.00,39.74,37.76,39.43,2433600,39.43
2013-11-08,36.97,38.33,36.59,37.56,2633800,37.56
2013-11-07,35.40,38.29,35.21,36.97,3834100,36.97
2013-11-06,40.00,40.50,37.24,37.50,3769400,37.50
2013-11-05,40.51,41.09,39.56,40.00,2327900,40.00
2013-11-04,40.40,41.20,40.29,40.85,1969400,40.85
2013-11-01,39.04,40.66,38.81,40.40,1471800,40.40
2013-10-31,38.00,40.10,36.82,39.00,2288000,39.00
2013-10-30,40.60,40.94,38.02,38.59,1118800,38.59
2013-10-29,39.81,40.80,39.32,40.64,763900,40.64
2013-10-28,40.67,40.85,38.97,39.43,1143100,39.43
2013-10-25,39.80,40.61,39.23,40.59,878500,40.59
2013-10-24,39.08,40.51,38.72,39.82,939400,39.82
2013-10-23,38.29,38.97,37.90,38.92,734200,38.92
2013-10-22,37.55,38.70,36.75,38.51,901800,38.51
2013-10-21,38.12,38.51,36.75,37.17,991300,37.17
2013-10-18,38.52,38.52,37.15,38.04,2070300,38.04
2013-10-17,38.98,39.07,37.80,38.35,1575200,38.35
2013-10-16,37.71,39.24,37.49,39.11,1595000,39.11
2013-10-15,36.76,38.20,36.03,37.19,979300,37.19
2013-10-14,36.73,37.46,36.10,37.34,1017300,37.34
2013-10-11,36.91,37.26,36.39,37.05,1197700,37.05
2013-10-10,35.50,37.42,35.46,37.23,1306600,37.23
2013-10-09,35.80,35.91,33.01,34.71,3455000,34.71
2013-10-08,38.30,38.92,35.35,35.63,2534700,35.63
2013-10-07,39.80,39.80,38.11,38.27,1266200,38.27
2013-10-04,40.84,41.95,39.92,40.11,1324500,40.11
2013-10-03,40.67,41.24,39.01,40.82,2970100,40.82
2013-10-02,39.40,40.88,39.40,40.38,1336300,40.38
2013-10-01,38.27,40.01,38.01,40.00,1818500,40.00
2013-09-30,37.08,38.87,36.93,38.15,1322600,38.15
