Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,27.07,27.31,26.72,26.74,1665800,26.74
2014-01-28,27.16,27.54,27.11,27.24,1783300,27.24
2014-01-27,27.40,27.82,27.15,27.20,2440400,27.20
2014-01-24,27.64,27.77,27.19,27.41,3826100,27.41
2014-01-23,27.73,27.90,27.39,27.88,1742800,27.88
2014-01-22,27.61,28.08,27.60,27.87,1663300,27.87
2014-01-21,27.56,27.65,26.56,27.49,2571700,27.49
2014-01-17,27.53,27.93,27.44,27.51,2700900,27.51
2014-01-16,27.49,27.67,26.96,27.44,3517800,27.44
2014-01-15,27.46,27.76,27.31,27.49,7404200,27.49
2014-01-14,27.79,27.89,27.48,27.49,2239400,27.49
2014-01-13,27.78,27.89,27.03,27.69,4228200,27.69
2014-01-10,28.01,28.04,27.56,27.86,2413400,27.86
2014-01-09,28.22,28.30,27.49,28.00,2333400,28.00
2014-01-08,28.89,29.19,27.82,28.21,4142500,28.21
2014-01-07,29.34,29.45,28.27,28.77,3511700,28.77
2014-01-06,29.54,29.88,29.06,29.28,1202100,29.28
2014-01-03,29.59,29.76,29.26,29.43,1073600,29.43
2014-01-02,30.26,30.48,29.22,29.49,1886400,29.49
2013-12-31,30.60,30.71,30.13,30.35,775100,30.35
2013-12-30,30.45,30.73,30.40,30.49,796600,30.49
2013-12-27,30.72,30.72,30.32,30.55,491400,30.55
2013-12-26,30.60,30.80,30.26,30.59,1024900,30.59
2013-12-24,29.77,30.59,29.58,30.55,1011900,30.55
2013-12-23,29.88,30.39,29.79,30.10,1598300,29.83
2013-12-20,29.32,29.83,29.24,29.81,2260300,29.54
2013-12-19,29.35,29.61,29.07,29.23,1179400,28.97
2013-12-18,28.84,29.55,28.65,29.35,1842500,29.09
2013-12-17,29.29,29.48,28.73,28.87,1547100,28.61
2013-12-16,29.51,29.79,29.25,29.52,1581600,29.26
2013-12-13,29.12,29.62,29.08,29.49,1230900,29.23
2013-12-12,29.05,29.22,28.70,29.05,1897800,28.79
2013-12-11,28.54,29.44,28.47,29.17,2517400,28.91
2013-12-10,28.87,29.02,28.53,28.54,756700,28.28
2013-12-09,28.64,28.93,28.55,28.67,939900,28.41
2013-12-06,28.39,28.84,28.37,28.65,1054800,28.39
2013-12-05,28.42,28.84,28.14,28.24,1457300,27.99
2013-12-04,27.78,28.50,27.55,28.41,2304600,28.16
2013-12-03,27.87,28.13,27.61,27.83,864800,27.58
2013-12-02,28.12,28.23,27.82,28.02,1159300,27.77
2013-11-29,28.21,28.34,28.03,28.12,432700,27.87
2013-11-27,28.17,28.35,27.81,28.18,1754100,27.93
2013-11-26,28.38,28.40,27.96,28.08,1286100,27.83
2013-11-25,28.45,28.59,28.16,28.33,1103400,28.08
2013-11-22,28.55,28.59,28.21,28.40,1064200,28.15
2013-11-21,28.72,28.94,28.45,28.57,2417700,28.31
2013-11-20,29.73,29.82,28.64,28.71,1653300,28.45
2013-11-19,29.98,30.05,29.05,29.69,2436100,29.42
2013-11-18,30.21,30.70,29.75,30.05,2283900,29.78
2013-11-15,28.52,30.31,28.45,30.15,7286400,29.88
2013-11-14,26.49,29.29,26.41,28.49,5242900,28.23
2013-11-13,26.85,26.95,26.31,26.45,1700600,26.21
2013-11-12,26.98,27.08,26.86,27.00,924000,26.76
2013-11-11,26.86,27.10,26.81,27.00,830300,26.76
2013-11-08,26.50,26.95,26.42,26.92,1366200,26.68
2013-11-07,26.29,26.80,26.29,26.50,1782500,26.26
2013-11-06,26.07,26.36,25.95,26.30,1436400,26.06
2013-11-05,25.93,26.03,25.52,26.03,1765300,25.80
2013-11-04,26.16,26.31,25.78,25.97,1394900,25.74
2013-11-01,26.51,26.52,25.75,26.11,2753200,25.88
2013-10-31,27.60,27.96,25.95,26.54,1475100,26.30
2013-10-30,26.53,26.62,26.30,26.39,1106600,26.15
2013-10-29,26.72,26.86,26.46,26.55,697500,26.31
2013-10-28,27.08,27.22,26.60,26.63,988900,26.39
2013-10-25,26.82,27.12,26.72,27.12,900700,26.88
2013-10-24,26.55,26.76,26.47,26.75,659300,26.51
2013-10-23,26.73,26.81,26.49,26.55,731400,26.31
2013-10-22,26.63,26.96,26.58,26.83,837000,26.59
2013-10-21,26.55,26.72,26.38,26.55,1414600,26.31
2013-10-18,25.99,26.51,25.93,26.50,1741400,26.26
2013-10-17,25.44,26.00,25.39,25.98,2149300,25.75
2013-10-16,25.49,25.65,25.36,25.55,1846500,25.32
2013-10-15,25.48,25.54,25.28,25.39,3347400,25.16
2013-10-14,25.52,25.66,25.17,25.48,3666800,25.25
2013-10-11,25.36,25.45,25.03,25.30,2450700,25.07
2013-10-10,25.94,26.42,25.60,25.86,2243800,25.63
2013-10-09,25.86,25.95,25.51,25.69,877000,25.46
2013-10-08,26.21,26.41,25.86,25.86,2188900,25.63
2013-10-07,25.93,26.33,25.85,26.19,887800,25.96
2013-10-04,26.00,26.22,25.83,26.10,1424500,25.87
2013-10-03,26.51,26.54,25.97,26.00,1247100,25.77
2013-10-02,26.89,26.89,26.47,26.59,1333900,26.35
2013-10-01,27.00,27.18,26.86,26.98,1124800,26.74
2013-09-30,27.52,27.53,26.97,27.02,1520600,26.78
2013-09-27,27.81,27.89,27.59,27.72,867800,27.47
2013-09-26,28.05,28.27,27.76,27.89,1493200,27.64
2013-09-25,28.87,29.06,28.01,28.03,2227800,27.78
2013-09-24,28.43,28.95,28.37,28.93,2899000,28.67
2013-09-23,28.31,28.42,27.82,28.41,2231500,28.16
2013-09-20,29.04,29.12,28.55,28.68,2519800,28.16
2013-09-19,28.27,29.08,28.24,29.02,2668200,28.49
2013-09-18,27.27,28.19,27.25,28.17,2601600,27.65
2013-09-17,26.89,27.23,26.80,27.22,1609900,26.72
2013-09-16,26.85,26.94,26.68,26.88,2161000,26.39
2013-09-13,26.68,26.78,26.42,26.59,1135900,26.10
2013-09-12,26.06,26.72,26.05,26.58,3680600,26.09
2013-09-11,25.87,26.11,25.87,25.89,1328100,25.42
2013-09-10,26.10,26.13,25.80,25.85,1454700,25.38
2013-09-09,25.89,26.26,25.89,25.91,2075100,25.44
2013-09-06,25.80,25.92,25.53,25.84,993600,25.37
2013-09-05,26.29,26.35,25.73,25.74,896200,25.27
2013-09-04,25.83,26.32,25.81,26.30,1388100,25.82
2013-09-03,25.95,26.14,25.64,25.79,1349300,25.32
2013-08-30,26.35,26.38,25.72,25.80,1506500,25.33
2013-08-29,26.46,26.68,26.35,26.37,1121900,25.89
2013-08-28,26.65,26.80,26.52,26.56,1439600,26.07
2013-08-27,26.72,26.75,26.52,26.62,1458500,26.13
2013-08-26,26.99,27.20,26.93,26.99,1010800,26.50
2013-08-23,26.87,27.13,26.85,27.01,1074000,26.52
2013-08-22,26.91,26.96,26.58,26.72,1089600,26.23
2013-08-21,26.89,27.03,26.76,26.90,921800,26.41
2013-08-20,26.77,27.03,26.64,26.98,740300,26.49
2013-08-19,26.76,26.77,26.34,26.74,1454200,26.25
2013-08-16,27.00,27.10,26.65,26.80,843900,26.31
2013-08-15,27.51,27.59,27.05,27.06,1088000,26.56
2013-08-14,27.72,27.79,27.54,27.71,1004400,27.20
2013-08-13,27.99,28.09,27.61,27.73,1729400,27.22
2013-08-12,28.13,28.18,27.86,27.95,1209400,27.44
2013-08-09,27.96,28.37,27.96,28.20,1084900,27.68
2013-08-08,27.85,28.11,27.40,27.98,1881600,27.47
2013-08-07,28.19,28.25,27.93,28.13,1168600,27.62
2013-08-06,28.50,28.54,28.13,28.27,904400,27.75
2013-08-05,28.16,28.53,28.12,28.50,1122100,27.98
2013-08-02,27.82,28.29,27.78,28.25,1292700,27.73
2013-08-01,27.46,28.36,27.20,27.91,1658300,27.40
2013-07-31,27.78,28.15,27.73,27.80,1305100,27.29
2013-07-30,28.05,28.14,27.67,27.78,1081600,27.27
2013-07-29,27.85,28.00,27.75,27.91,1394900,27.40
2013-07-26,28.30,28.42,27.72,27.85,1245800,27.34
2013-07-25,28.18,28.49,28.16,28.40,635900,27.88
2013-07-24,28.42,28.53,27.90,28.16,809600,27.64
2013-07-23,28.58,28.78,28.38,28.42,719300,27.90
2013-07-22,28.77,28.84,28.35,28.50,1199900,27.98
2013-07-19,28.95,29.01,28.43,28.76,1289200,28.23
2013-07-18,28.81,29.08,28.75,28.96,907400,28.43
2013-07-17,28.71,28.96,28.67,28.87,1096300,28.34
2013-07-16,28.34,28.88,28.33,28.72,1373700,28.19
2013-07-15,28.18,28.45,28.07,28.38,1416200,27.86
2013-07-12,28.83,28.97,28.15,28.23,1417800,27.71
2013-07-11,27.60,28.84,27.57,28.81,2260500,28.28
2013-07-10,27.36,27.47,27.23,27.36,1192900,26.86
2013-07-09,27.22,27.43,27.07,27.36,1584600,26.86
2013-07-08,26.91,27.09,26.77,27.08,823000,26.58
2013-07-05,27.06,27.13,26.70,26.85,701600,26.36
2013-07-03,26.91,27.05,26.71,27.00,720400,26.51
2013-07-02,26.83,27.20,26.75,27.13,1622800,26.63
2013-07-01,26.64,27.03,26.59,26.91,1931600,26.42
2013-06-28,26.67,26.78,26.47,26.61,1716300,26.12
2013-06-27,26.58,26.87,26.40,26.75,1126200,26.26
2013-06-26,26.55,26.74,26.40,26.57,1429800,26.08
2013-06-25,26.44,26.58,25.95,26.36,1956500,25.88
2013-06-24,26.63,26.65,25.91,26.27,2038300,25.79
2013-06-21,27.56,27.56,26.70,26.84,3044800,26.35
2013-06-20,28.41,28.43,27.46,27.57,2786800,26.80
2013-06-19,28.84,29.01,28.57,28.59,1415900,27.79
2013-06-18,29.18,29.18,28.75,28.83,2010800,28.03
2013-06-17,28.91,29.22,28.70,29.20,3505900,28.38
2013-06-14,28.86,29.00,28.68,28.93,1848700,28.12
2013-06-13,28.79,29.07,28.56,28.89,2613700,28.08
2013-06-12,29.34,29.35,28.84,28.88,2613700,28.07
2013-06-11,28.28,29.20,28.23,29.15,3760700,28.34
2013-06-10,29.65,29.69,28.38,28.50,5851900,27.70
2013-06-07,28.22,29.35,27.72,28.95,16608800,28.14
2013-06-06,34.10,34.41,33.89,34.40,1152000,33.44
2013-06-05,34.31,34.82,34.09,34.09,1518400,33.14
2013-06-04,35.28,35.33,34.40,34.50,2895000,33.54
2013-06-03,35.86,35.89,34.57,35.29,2628800,34.30
2013-05-31,36.27,36.54,35.82,35.84,1006800,34.84
2013-05-30,36.40,36.68,36.34,36.34,719000,35.33
2013-05-29,36.99,36.99,36.34,36.34,847800,35.33
2013-05-28,36.72,37.52,36.72,37.10,1437400,36.06
2013-05-24,36.96,36.99,36.60,36.72,918000,35.70
2013-05-23,37.55,37.64,37.00,37.03,1555900,36.00
2013-05-22,38.55,38.81,37.71,37.75,659600,36.70
2013-05-21,38.24,38.67,38.15,38.54,549400,37.46
2013-05-20,39.00,39.12,38.14,38.22,1050100,37.15
2013-05-17,38.40,38.97,38.37,38.96,799300,37.87
2013-05-16,38.99,39.14,38.36,38.40,910400,37.33
2013-05-15,39.29,39.33,39.01,39.10,864200,38.01
2013-05-14,39.44,39.56,39.13,39.32,893600,38.22
2013-05-13,39.47,39.71,39.23,39.35,920900,38.25
2013-05-10,39.53,39.59,39.45,39.54,894300,38.44
2013-05-09,39.18,39.63,39.18,39.46,1231100,38.36
2013-05-08,38.87,39.27,38.79,39.27,658900,38.17
2013-05-07,38.70,38.92,38.55,38.91,903700,37.82
2013-05-06,38.67,38.84,38.56,38.67,640700,37.59
2013-05-03,38.60,39.11,38.52,38.65,1492200,37.57
2013-05-02,37.60,38.39,37.56,38.32,890000,37.25
2013-05-01,37.79,37.90,37.14,37.62,1166200,36.57
2013-04-30,37.10,37.87,36.90,37.86,1014600,36.80
2013-04-29,37.60,37.60,37.18,37.19,602800,36.15
2013-04-26,37.50,37.76,37.21,37.45,427500,36.40
2013-04-25,37.35,37.76,37.25,37.54,731600,36.49
2013-04-24,37.42,37.58,37.13,37.22,551400,36.18
2013-04-23,36.98,37.38,36.76,37.36,896800,36.32
2013-04-22,36.73,37.00,36.35,36.81,638400,35.78
2013-04-19,36.48,36.75,36.18,36.67,822600,35.65
2013-04-18,36.54,36.63,36.07,36.50,754700,35.48
2013-04-17,36.77,36.77,35.95,36.44,1035700,35.42
2013-04-16,36.44,36.97,36.41,36.97,840600,35.94
2013-04-15,37.07,37.20,36.25,36.25,759600,35.24
2013-04-12,37.69,37.76,36.92,37.20,1711400,36.16
2013-04-11,37.15,37.83,37.03,37.78,1298600,36.73
2013-04-10,36.60,37.27,36.40,37.16,1017300,36.12
2013-04-09,36.45,36.71,36.08,36.51,498700,35.49
2013-04-08,36.11,36.44,35.93,36.44,426500,35.42
2013-04-05,36.10,36.17,35.63,36.13,631700,35.12
2013-04-04,36.16,36.84,36.03,36.44,957100,35.42
2013-04-03,36.27,36.40,35.70,36.10,917700,35.09
2013-04-02,36.10,36.55,36.10,36.27,1056700,35.26
2013-04-01,36.25,36.28,35.89,36.02,869900,35.01
2013-03-28,35.56,36.32,35.41,36.31,1393300,35.30
2013-03-27,35.45,35.76,35.34,35.65,541600,34.65
2013-03-26,35.80,36.00,35.49,35.69,1558100,34.69
2013-03-25,35.70,35.91,35.50,35.66,820900,34.66
2013-03-22,35.79,35.96,35.42,35.55,661100,34.56
2013-03-21,35.82,35.98,35.49,35.67,729700,34.67
2013-03-20,36.41,36.65,36.17,36.28,745200,35.00
2013-03-19,36.40,36.49,36.02,36.31,910800,35.03
