Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,79.88,80.14,77.99,78.32,3482300,78.32
2014-01-28,79.68,80.18,78.02,79.01,5558600,79.01
2014-01-27,79.41,79.83,78.11,78.29,3004300,78.29
2014-01-24,80.66,81.03,79.21,79.21,2112900,79.21
2014-01-23,82.24,82.24,81.13,81.54,1448300,81.54
2014-01-22,83.04,83.08,82.67,82.87,1173900,82.87
2014-01-21,83.08,83.33,82.53,83.03,1499700,83.03
2014-01-17,82.75,83.03,82.58,82.66,1931600,82.66
2014-01-16,82.48,83.08,82.34,82.84,1154800,82.84
2014-01-15,82.34,82.77,82.29,82.51,2223300,82.51
2014-01-14,81.40,82.23,81.12,82.23,1761900,82.23
2014-01-13,81.99,82.49,80.97,81.11,2199800,81.11
2014-01-10,82.34,82.54,81.89,82.47,1795700,82.47
2014-01-09,82.34,82.87,81.93,82.08,1783300,82.08
2014-01-08,82.71,82.77,81.95,82.06,2308500,82.06
2014-01-07,82.78,83.05,82.47,82.60,2856500,82.60
2014-01-06,83.89,84.03,82.54,82.71,2225700,82.71
2014-01-03,83.21,84.12,83.15,83.74,1393300,83.74
2014-01-02,83.97,84.10,83.07,83.19,1390800,83.19
2013-12-31,83.75,84.32,83.75,84.08,1252600,84.08
2013-12-30,83.46,83.56,83.28,83.44,1215600,83.44
2013-12-27,83.50,83.95,83.50,83.59,999000,83.59
2013-12-26,83.56,83.84,83.40,83.71,1046000,83.29
2013-12-24,82.66,83.61,82.56,83.34,828100,82.92
2013-12-23,82.42,82.76,82.28,82.70,1189400,82.29
2013-12-20,81.97,82.58,81.72,81.87,3449600,81.46
2013-12-19,81.09,82.15,80.87,81.82,2230800,81.41
2013-12-18,80.11,81.22,79.18,81.19,2231300,80.78
2013-12-17,79.96,80.35,79.84,79.96,1931100,79.56
2013-12-16,79.22,80.49,79.10,79.99,1893400,79.59
2013-12-13,78.60,79.37,78.46,78.95,1505200,78.55
2013-12-12,78.61,78.84,78.24,78.43,2056800,78.04
2013-12-11,79.93,79.99,78.58,78.70,1895500,78.31
2013-12-10,79.77,80.60,79.67,79.86,1741100,79.46
2013-12-09,80.46,80.67,79.80,79.84,2057700,79.44
2013-12-06,79.49,80.62,79.46,80.49,2565300,80.09
2013-12-05,77.92,79.23,77.79,78.91,2277700,78.51
2013-12-04,77.87,78.50,77.30,78.12,2096700,77.73
2013-12-03,78.54,78.98,77.96,78.21,2418900,77.82
2013-12-02,79.40,79.80,79.02,79.08,1899800,78.68
2013-11-29,79.47,79.84,79.47,79.58,792200,79.18
2013-11-27,79.54,79.68,79.24,79.50,1184600,79.10
2013-11-26,79.30,79.54,79.16,79.28,1556000,78.88
2013-11-25,79.61,79.84,79.19,79.24,1113300,78.84
2013-11-22,79.09,79.53,78.92,79.50,1717000,79.10
2013-11-21,78.79,79.42,78.74,79.17,1597800,78.77
2013-11-20,79.52,79.53,78.55,78.64,1486400,78.25
2013-11-19,79.35,79.70,79.03,79.17,1566600,78.77
2013-11-18,79.96,79.97,79.25,79.45,1571100,79.05
2013-11-15,79.81,79.92,79.58,79.65,2535700,79.25
2013-11-14,79.50,79.78,79.20,79.55,2103400,79.15
2013-11-13,78.52,79.33,78.39,79.25,1962400,78.85
2013-11-12,79.06,79.27,78.64,78.83,1312400,78.43
2013-11-11,79.09,79.36,79.01,79.09,991100,78.69
2013-11-08,78.36,79.28,78.22,79.08,1903600,78.68
2013-11-07,78.81,79.28,78.30,78.36,1727100,77.97
2013-11-06,79.68,79.68,79.16,79.25,1444300,78.85
2013-11-05,78.94,79.33,78.51,79.15,1422100,78.75
2013-11-04,79.25,79.29,79.02,79.22,1317300,78.82
2013-11-01,79.05,79.35,78.51,78.98,1442000,78.58
2013-10-31,78.52,79.36,78.30,78.79,1901900,78.39
2013-10-30,79.34,79.38,78.34,78.46,1434900,78.07
2013-10-29,78.74,79.52,78.54,79.24,1513600,78.84
2013-10-28,78.40,78.69,78.20,78.45,1533300,78.06
2013-10-25,78.62,78.62,77.70,78.55,3112700,78.16
2013-10-24,78.94,79.50,78.25,78.51,2289600,78.12
2013-10-23,77.85,78.70,77.77,78.47,2210900,78.08
2013-10-22,77.90,78.55,77.40,78.04,2283100,77.65
2013-10-21,77.36,77.56,76.87,77.56,1783400,77.17
2013-10-18,77.29,77.83,77.15,77.42,1717600,77.03
2013-10-17,75.73,76.92,75.53,76.86,1452500,76.47
2013-10-16,75.82,76.61,75.45,75.90,2428000,75.52
2013-10-15,76.84,77.23,75.69,75.76,2734500,75.38
2013-10-14,76.42,77.36,76.30,77.25,881400,76.86
2013-10-11,76.33,77.27,76.26,76.93,1516400,76.54
2013-10-10,74.95,76.58,74.85,76.52,2076400,76.14
2013-10-09,74.20,74.57,73.60,74.23,1452600,73.86
2013-10-08,75.09,75.31,74.04,74.06,1904200,73.69
2013-10-07,74.63,75.35,74.54,74.89,1229300,74.51
2013-10-04,74.81,75.58,74.74,75.34,1346700,74.96
2013-10-03,75.31,75.69,74.48,74.91,1888300,74.53
2013-10-02,75.78,76.10,74.98,75.54,1993200,75.16
2013-10-01,76.39,76.81,76.08,76.41,1863100,76.03
2013-09-30,76.08,76.60,76.04,76.27,1863700,75.89
2013-09-27,76.69,76.91,76.43,76.73,1505700,76.35
2013-09-26,77.12,77.45,76.54,77.28,1914800,76.89
2013-09-25,77.90,77.99,77.22,77.24,2484500,76.43
2013-09-24,76.39,78.56,76.33,78.00,3670700,77.19
2013-09-23,76.16,76.48,75.58,76.23,1516100,75.44
2013-09-20,76.36,77.04,76.28,76.49,2770000,75.69
2013-09-19,76.38,76.64,76.06,76.33,1514500,75.53
2013-09-18,75.59,76.30,75.21,76.15,1862700,75.36
2013-09-17,75.00,75.49,74.80,75.49,1452800,74.70
2013-09-16,75.18,75.56,75.01,75.10,1544200,74.32
2013-09-13,74.02,74.53,73.66,74.37,1150300,73.59
2013-09-12,74.36,74.86,73.81,73.94,1510400,73.17
2013-09-11,74.41,74.59,74.00,74.32,1252700,73.55
2013-09-10,73.94,74.62,73.76,74.43,1536100,73.65
2013-09-09,73.17,73.83,72.99,73.56,1554800,72.79
2013-09-06,72.76,73.43,71.97,72.88,1303400,72.12
2013-09-05,72.74,73.38,72.30,72.57,1361500,71.81
2013-09-04,71.56,73.03,71.51,72.82,1349200,72.06
2013-09-03,72.18,72.60,71.07,71.49,1877400,70.74
2013-08-30,71.92,71.92,71.24,71.47,1444900,70.72
2013-08-29,71.41,72.26,71.15,71.76,1185000,71.01
2013-08-28,71.28,71.88,71.18,71.60,1280000,70.85
2013-08-27,72.14,72.51,71.41,71.51,1452500,70.76
