Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,178.64,179.59,177.91,178.38,7934900,178.38
2014-01-28,179.20,180.33,179.16,180.12,4905800,180.12
2014-01-27,180.13,180.56,178.16,178.96,8580500,178.96
2014-01-24,182.65,182.72,179.90,179.90,12046900,179.90
2014-01-23,184.47,184.47,182.89,183.87,4297500,183.87
2014-01-22,185.60,185.64,184.99,185.39,4456200,185.39
2014-01-21,185.78,185.85,184.13,185.26,3283100,185.26
2014-01-17,185.20,185.53,184.41,184.75,3661600,184.75
2014-01-16,185.39,185.57,184.91,185.46,6712600,185.46
2014-01-15,185.16,186.02,185.09,185.78,3368900,185.78
2014-01-14,183.34,184.85,183.02,184.73,5433000,184.73
2014-01-13,184.76,185.26,182.42,182.78,4853400,182.78
2014-01-10,185.05,185.30,184.09,185.23,3335300,185.23
2014-01-09,185.20,185.21,183.88,184.75,3412400,184.75
2014-01-08,184.53,184.90,183.97,184.66,6402100,184.66
2014-01-07,184.19,184.86,184.04,184.56,2632300,184.56
2014-01-06,184.54,184.63,183.15,183.43,3459500,183.43
2014-01-03,184.30,184.68,183.70,183.93,5826100,183.93
2014-01-02,185.04,185.14,183.56,184.01,6724900,184.01
2013-12-31,185.21,185.74,185.02,185.65,4572500,185.65
2013-12-30,184.95,185.08,184.66,184.88,3620700,184.88
2013-12-27,185.25,185.29,184.74,184.97,3772900,184.97
2013-12-26,184.44,185.04,184.41,185.01,4893700,185.01
2013-12-24,183.64,184.12,183.59,184.12,3528300,184.12
2013-12-23,183.55,183.73,183.14,183.59,7156100,183.59
2013-12-20,182.67,184.02,182.66,183.53,6391700,182.57
2013-12-19,182.21,182.72,181.74,182.56,3692700,181.61
2013-12-18,179.94,182.75,178.22,182.67,7918500,181.72
2013-12-17,180.36,180.41,179.24,179.56,3573400,178.62
2013-12-16,179.97,180.81,179.92,180.17,3671000,179.23
2013-12-13,179.50,179.65,178.78,179.10,2530700,178.16
2013-12-12,179.63,179.85,178.75,179.17,3904200,178.23
2013-12-11,181.82,181.88,179.50,179.72,4390000,178.78
2013-12-10,182.02,182.38,181.66,181.83,2571200,180.88
2013-12-09,182.50,182.69,182.19,182.39,4571800,181.44
2013-12-06,181.69,182.12,181.17,181.99,5079600,181.04
2013-12-05,180.40,180.73,179.79,179.99,3855500,179.05
2013-12-04,180.09,181.48,179.34,180.67,2675500,179.73
2013-12-03,180.98,181.39,180.18,180.88,3898900,179.93
2013-12-02,182.11,182.43,181.26,181.57,2579500,180.62
2013-11-29,182.32,182.77,181.82,181.96,1813300,181.01
2013-11-27,181.90,182.25,181.67,182.14,3374300,181.19
2013-11-26,181.75,182.23,181.41,181.69,1920000,180.74
2013-11-25,182.14,182.17,181.39,181.66,2688500,180.71
2013-11-22,180.99,181.84,180.78,181.84,2624000,180.89
2013-11-21,180.02,181.05,179.86,180.90,1755900,179.95
2013-11-20,180.39,180.91,178.99,179.51,3832800,178.57
2013-11-19,180.33,180.87,179.73,180.08,1802000,179.14
2013-11-18,181.37,181.50,180.03,180.52,2576600,179.58
2013-11-15,180.57,181.12,180.35,181.12,1648400,180.17
2013-11-14,179.54,180.42,179.25,180.35,2535700,179.41
2013-11-13,177.07,179.39,177.07,179.28,2456500,178.34
2013-11-12,177.96,178.34,177.35,177.90,2271100,176.97
2013-11-11,178.13,178.51,177.90,178.30,1840900,177.37
2013-11-08,175.89,178.30,175.83,178.30,4735800,177.37
2013-11-07,178.50,178.63,175.74,175.91,8237200,174.99
2013-11-06,178.04,178.48,177.52,178.16,2535300,177.23
2013-11-05,177.12,177.73,176.54,177.31,2757000,176.38
2013-11-04,177.69,177.87,177.12,177.81,2893100,176.88
2013-11-01,177.02,177.58,176.22,177.21,22659800,176.28
2013-10-31,177.16,177.86,176.50,176.69,5436700,175.77
2013-10-30,178.39,178.49,176.63,177.37,6921200,176.44
2013-10-29,177.58,178.24,177.37,178.24,2846000,177.31
2013-10-28,176.86,177.46,176.68,177.19,3058100,176.26
2013-10-25,176.47,176.99,176.15,176.99,2537100,176.07
2013-10-24,175.83,176.34,175.48,176.20,2003500,175.28
2013-10-23,175.79,175.85,174.94,175.62,4419500,174.70
2013-10-22,175.88,176.89,175.64,176.30,4468900,175.38
2013-10-21,175.41,175.71,174.97,175.36,3645800,174.44
2013-10-18,174.83,175.47,174.47,175.33,3021800,174.41
2013-10-17,172.30,174.25,172.29,174.15,3914200,173.24
2013-10-16,171.65,173.10,171.58,173.04,3491000,172.14
2013-10-15,171.43,172.07,170.41,170.58,4564200,169.69
2013-10-14,170.19,172.02,169.99,171.97,3840700,171.07
2013-10-11,169.85,171.25,169.71,171.20,3216200,170.31
2013-10-10,168.20,170.17,168.15,170.14,5110500,169.25
2013-10-09,166.71,167.11,165.44,166.49,8633600,165.62
2013-10-08,168.33,168.52,166.27,166.42,6609500,165.55
2013-10-07,168.34,169.37,168.17,168.34,3166900,167.46
2013-10-04,168.63,169.97,168.46,169.79,3407500,168.90
2013-10-03,169.70,169.85,167.76,168.55,8531600,167.67
2013-10-02,169.25,170.13,168.76,170.01,7750300,169.12
2013-10-01,169.05,170.42,168.93,170.27,6662800,169.38
2013-09-30,168.37,169.47,168.06,168.90,7161400,168.02
