Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,57.93,58.34,56.62,56.70,2124100,56.70
2014-01-28,57.87,58.75,57.85,58.23,1739800,58.23
2014-01-27,58.19,58.65,57.73,57.82,1413400,57.82
2014-01-24,58.66,58.90,58.16,58.16,1204900,58.16
2014-01-23,59.00,59.10,58.40,59.06,1086800,59.06
2014-01-22,60.00,60.03,59.22,59.40,1098500,59.40
2014-01-21,60.21,60.34,59.26,59.66,1301800,59.66
2014-01-17,59.92,60.55,59.65,59.93,1932800,59.93
2014-01-16,60.64,60.72,59.88,60.11,1285300,60.11
2014-01-15,59.68,60.90,59.68,60.87,1488400,60.87
2014-01-14,59.48,60.27,59.48,59.75,1575400,59.75
2014-01-13,60.85,61.14,59.33,59.49,1488000,59.49
2014-01-10,61.26,61.56,60.59,61.11,1181800,61.11
2014-01-09,60.71,61.61,60.39,61.49,2069800,61.49
2014-01-08,60.75,60.75,59.68,60.49,1922900,60.49
2014-01-07,61.48,61.92,60.29,60.76,1911200,60.76
2014-01-06,62.25,62.31,61.25,61.41,1693200,61.41
2014-01-03,61.95,62.56,61.73,62.17,807000,62.17
2014-01-02,61.67,62.20,61.34,61.95,1177800,61.95
2013-12-31,61.89,62.14,61.67,61.80,692300,61.80
2013-12-30,61.43,62.09,61.43,61.85,650700,61.85
2013-12-27,61.05,61.75,61.05,61.42,527400,61.42
2013-12-26,61.72,62.00,61.58,61.61,609600,61.61
2013-12-24,61.48,61.81,61.07,61.60,576600,61.60
2013-12-23,61.34,61.87,61.24,61.54,1124800,61.54
2013-12-20,60.41,61.61,60.36,61.19,2002600,61.19
2013-12-19,60.32,60.59,60.00,60.24,841000,60.24
2013-12-18,59.83,60.36,59.31,60.34,1614600,60.34
2013-12-17,60.94,60.95,59.79,59.83,1427500,59.83
2013-12-16,60.26,60.77,60.23,60.55,826400,60.55
2013-12-13,60.32,60.85,60.07,60.09,1046400,60.09
2013-12-12,60.79,61.14,60.19,60.37,1146000,60.37
2013-12-11,61.22,61.58,60.65,60.79,1544500,60.79
2013-12-10,60.64,61.31,60.53,61.27,1374400,61.27
2013-12-09,60.54,60.98,60.42,60.70,1230600,60.70
2013-12-06,61.39,61.50,60.18,60.36,1730100,60.36
2013-12-05,61.31,61.33,60.78,61.05,855800,61.05
2013-12-04,61.34,61.69,60.93,61.35,1203000,61.35
2013-12-03,61.66,62.33,61.12,61.87,1018000,61.87
2013-12-02,62.09,62.56,61.75,61.79,1147800,61.79
2013-11-29,62.93,62.95,62.09,62.21,586200,62.21
2013-11-27,62.75,63.17,62.43,62.71,1181900,62.71
2013-11-26,62.79,63.40,62.57,62.90,1335700,62.60
2013-11-25,62.27,62.79,62.04,62.55,1104000,62.25
2013-11-22,61.93,62.25,61.81,62.10,1180900,61.80
2013-11-21,61.63,62.27,61.63,62.14,927700,61.84
2013-11-20,62.13,62.53,61.64,61.76,1249000,61.47
2013-11-19,62.28,62.91,61.82,61.87,2123000,61.57
2013-11-18,63.02,63.04,62.24,62.48,1954700,62.18
2013-11-15,62.41,63.35,62.13,62.80,3027600,62.50
2013-11-14,63.19,63.72,62.44,63.43,3057900,63.13
2013-11-13,62.78,63.60,62.77,63.38,3679500,63.08
2013-11-12,61.96,62.61,61.51,61.82,2601600,61.53
2013-11-11,60.82,62.06,60.64,61.84,1661700,61.55
2013-11-08,60.22,61.43,60.14,61.02,1331100,60.73
