Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,27.81,28.00,27.50,27.64,1739500,27.64
2014-01-28,27.56,28.05,27.51,27.90,1361100,27.90
2014-01-27,27.86,27.89,27.26,27.50,1687000,27.50
2014-01-24,28.54,28.54,27.70,27.89,2469000,27.89
2014-01-23,28.89,28.92,28.50,28.68,1460800,28.68
2014-01-22,28.83,29.11,28.74,28.86,878500,28.86
2014-01-21,28.84,29.06,28.66,28.76,924600,28.76
2014-01-17,28.99,29.09,28.72,28.79,649100,28.79
2014-01-16,29.20,29.20,28.84,28.96,803700,28.96
2014-01-15,29.45,29.63,29.21,29.21,1001500,29.21
2014-01-14,29.05,29.56,28.89,29.50,728300,29.50
2014-01-13,29.06,29.44,28.75,28.87,679900,28.87
2014-01-10,29.20,29.29,28.89,29.21,837900,29.21
2014-01-09,29.37,29.45,29.10,29.18,1005000,29.18
2014-01-08,29.19,29.42,29.05,29.31,1369600,29.31
2014-01-07,29.53,29.68,29.24,29.26,1627400,29.26
2014-01-06,30.08,30.17,29.47,29.55,1744400,29.55
2014-01-03,29.92,30.46,29.88,30.10,1301100,30.10
2014-01-02,29.63,30.10,29.54,29.85,1931500,29.85
2013-12-31,29.30,29.63,29.03,29.55,1002700,29.55
2013-12-30,28.73,29.29,28.65,29.23,659200,29.23
2013-12-27,29.22,29.22,28.62,28.83,850300,28.83
2013-12-26,28.99,29.12,28.75,28.96,340900,28.96
2013-12-24,29.00,29.07,28.89,28.96,280300,28.96
2013-12-23,28.95,29.21,28.82,29.00,730200,29.00
2013-12-20,29.12,29.18,28.68,28.88,2172400,28.88
2013-12-19,28.15,29.03,28.15,29.00,2555200,29.00
2013-12-18,28.56,29.04,28.10,28.26,2807100,28.26
2013-12-17,28.95,28.95,28.66,28.77,1430200,28.52
2013-12-16,28.73,28.94,28.68,28.94,1364300,28.69
2013-12-13,28.53,28.71,28.36,28.69,1426600,28.44
2013-12-12,28.19,28.46,28.10,28.44,1991800,28.19
2013-12-11,27.82,28.31,27.82,28.19,1974300,27.95
2013-12-10,27.95,28.00,27.59,27.75,2262200,27.51
2013-12-09,27.14,27.94,27.14,27.93,1310600,27.69
2013-12-06,27.51,27.51,26.98,27.09,1641100,26.85
2013-12-05,27.28,27.44,27.22,27.25,918400,27.01
2013-12-04,27.38,27.52,26.97,27.35,649400,27.11
2013-12-03,27.38,27.41,27.04,27.40,1806400,27.16
