Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,31.37,32.04,31.35,31.99,2207000,31.99
2014-01-28,31.67,32.07,31.51,31.70,1977500,31.70
2014-01-27,31.76,31.90,31.26,31.76,2075200,31.76
2014-01-24,32.46,32.50,31.29,31.67,2099500,31.67
2014-01-23,32.90,33.11,32.37,32.69,2197400,32.69
2014-01-22,33.48,33.50,32.96,33.11,2496500,33.11
2014-01-21,32.37,33.03,32.37,32.96,1347000,32.96
2014-01-17,32.85,33.00,32.65,32.86,1430900,32.86
2014-01-16,33.47,33.48,32.52,32.85,2966600,32.85
2014-01-15,32.28,34.77,32.28,33.62,5988200,33.62
2014-01-14,31.33,31.95,30.74,31.79,6514100,31.79
2014-01-13,31.74,31.99,31.50,31.92,2378500,31.92
2014-01-10,32.16,32.38,31.62,31.66,2012900,31.66
2014-01-09,32.24,32.36,31.75,32.14,1393400,32.14
2014-01-08,31.90,32.28,31.75,32.09,2083400,32.09
2014-01-07,31.29,32.08,31.22,31.89,2720200,31.89
2014-01-06,31.44,31.44,30.93,31.19,1543300,31.19
2014-01-03,30.98,31.59,30.98,31.28,1001700,31.28
2014-01-02,31.94,31.95,30.83,30.91,1800600,30.91
2013-12-31,31.19,31.90,31.15,31.89,1945100,31.89
2013-12-30,30.69,31.25,30.65,31.09,1304300,31.09
2013-12-27,30.60,30.75,30.50,30.68,846300,30.68
2013-12-26,30.24,30.68,30.20,30.51,1065300,30.51
2013-12-24,30.53,30.60,30.12,30.19,720300,30.19
2013-12-23,30.55,30.78,30.30,30.47,1767900,30.47
2013-12-20,29.63,30.56,29.44,30.41,2791700,30.41
2013-12-19,29.88,30.17,29.77,29.80,2186200,29.80
2013-12-18,29.76,29.89,29.32,29.87,4875700,29.87
2013-12-17,30.47,30.47,29.68,29.76,3403200,29.76
2013-12-16,31.18,31.37,30.46,30.50,3412300,30.50
2013-12-13,30.84,31.19,30.77,31.07,1823200,31.07
2013-12-12,31.00,31.19,30.65,30.77,1259800,30.77
2013-12-11,32.28,32.37,30.97,31.00,3009300,31.00
2013-12-10,32.39,32.74,32.25,32.28,1305600,32.20
2013-12-09,32.29,32.71,32.29,32.39,1624100,32.31
2013-12-06,32.94,33.26,32.15,32.24,1884200,32.16
2013-12-05,32.84,33.26,32.62,32.67,1088800,32.59
2013-12-04,33.25,33.42,32.56,32.96,1942600,32.88
2013-12-03,33.74,33.84,33.26,33.34,1237700,33.26
2013-12-02,33.85,34.17,33.30,33.89,1411600,33.81
2013-11-29,33.62,34.16,33.47,33.83,477600,33.75
2013-11-27,33.60,34.13,33.22,33.48,2004700,33.40
2013-11-26,33.84,34.09,33.28,33.39,2023800,33.31
2013-11-25,33.89,34.01,33.69,33.80,946900,33.72
2013-11-22,34.32,34.37,33.76,33.87,1786500,33.79
2013-11-21,33.87,34.33,33.85,34.29,2051400,34.21
2013-11-20,33.98,34.12,33.52,33.81,1505700,33.73
2013-11-19,34.11,34.11,33.69,33.85,856400,33.77
2013-11-18,34.72,34.91,34.06,34.25,1312500,34.17
2013-11-15,34.32,34.74,34.32,34.63,1281800,34.54
2013-11-14,34.36,34.50,34.00,34.33,1586900,34.24
2013-11-13,34.09,34.50,34.04,34.33,1153900,34.24
2013-11-12,34.71,34.85,34.28,34.50,967900,34.41
2013-11-11,34.71,34.88,34.47,34.80,505400,34.71
2013-11-08,34.33,34.83,34.10,34.81,1015100,34.72
2013-11-07,34.64,34.86,34.32,34.39,2022400,34.30
2013-11-06,34.60,34.93,34.46,34.54,894000,34.45
2013-11-05,34.85,34.92,34.31,34.53,2101100,34.44
2013-11-04,34.90,35.36,34.54,35.15,1163900,35.06
2013-11-01,34.45,34.98,34.16,34.86,1261600,34.77
2013-10-31,34.90,34.95,34.36,34.54,1677200,34.45
2013-10-30,34.62,35.12,34.40,34.96,1761600,34.87
2013-10-29,34.39,34.59,34.29,34.57,1435800,34.48
2013-10-28,33.80,34.35,33.62,34.32,3061800,34.23
2013-10-25,33.72,34.30,32.29,33.75,7245000,33.67
2013-10-24,35.31,36.24,35.31,35.70,3092500,35.61
2013-10-23,35.92,36.04,35.29,35.47,2741700,35.38
2013-10-22,36.36,36.70,36.15,36.29,2343800,36.20
2013-10-21,35.73,36.16,35.52,36.13,2079700,36.04
2013-10-18,34.81,35.68,34.81,35.65,1726300,35.56
2013-10-17,33.82,34.87,33.75,34.78,1158100,34.69
2013-10-16,33.67,34.05,33.50,33.90,1692400,33.82
2013-10-15,33.35,33.48,32.76,33.46,1728200,33.38
2013-10-14,32.60,33.41,32.60,33.41,932200,33.33
2013-10-11,32.57,33.13,32.55,33.01,747100,32.93
2013-10-10,32.49,32.88,32.46,32.68,1279700,32.60
2013-10-09,32.43,32.55,31.79,32.02,1244500,31.94
2013-10-08,32.74,32.80,31.93,31.95,1080700,31.87
2013-10-07,32.89,33.07,32.70,32.76,559600,32.68
2013-10-04,33.16,33.43,33.03,33.27,616200,33.19
2013-10-03,33.97,33.98,32.79,33.24,1264000,33.16
2013-10-02,33.21,34.01,33.08,34.00,1570200,33.92
2013-10-01,32.56,33.57,32.52,33.35,1274200,33.27
2013-09-30,32.53,32.77,32.29,32.64,796500,32.56
2013-09-27,32.90,33.19,32.74,32.88,1105600,32.80
2013-09-26,32.68,32.90,32.61,32.85,658400,32.77
2013-09-25,32.61,32.79,32.38,32.59,1029300,32.51
2013-09-24,32.72,33.06,32.51,32.63,994000,32.55
2013-09-23,33.21,33.30,32.60,32.75,1185000,32.67
2013-09-20,34.00,34.01,33.25,33.37,1784800,33.29
2013-09-19,33.53,33.85,33.53,33.75,1330000,33.67
2013-09-18,32.38,33.62,32.38,33.47,1614200,33.39
2013-09-17,32.41,32.61,32.23,32.43,1018900,32.35
2013-09-16,32.10,32.28,31.94,32.25,1528500,32.17
2013-09-13,31.43,31.78,31.43,31.70,861900,31.62
2013-09-12,31.20,31.78,31.20,31.42,781300,31.34
2013-09-11,31.17,31.60,31.07,31.26,758200,31.18
2013-09-10,31.01,31.43,30.87,31.35,806800,31.19
2013-09-09,30.33,31.02,30.29,30.83,953700,30.68
2013-09-06,30.52,30.61,30.07,30.19,1059800,30.04
2013-09-05,30.48,30.54,30.06,30.37,1440600,30.22
2013-09-04,29.77,30.35,29.59,30.34,1825400,30.19
2013-09-03,30.24,30.50,29.42,29.79,1726000,29.64
2013-08-30,30.51,30.56,29.80,29.86,1407100,29.71
2013-08-29,29.77,30.61,29.77,30.45,2412500,30.30
2013-08-28,29.76,30.09,29.58,29.69,1088200,29.54
2013-08-27,30.20,30.39,29.78,29.82,858400,29.67
2013-08-26,30.87,30.96,30.62,30.67,925800,30.52
2013-08-23,30.79,30.90,30.21,30.76,851400,30.61
2013-08-22,30.19,30.96,30.15,30.66,1225900,30.51
2013-08-21,30.60,30.77,30.09,30.10,1239200,29.95
2013-08-20,30.66,30.90,30.58,30.75,1079300,30.60
2013-08-19,31.00,31.02,30.58,30.60,1128200,30.45
2013-08-16,30.77,31.49,30.77,30.95,1200800,30.79
2013-08-15,31.03,31.05,30.61,30.77,1268500,30.62
2013-08-14,30.60,31.75,30.50,31.25,1676900,31.09
2013-08-13,30.65,30.92,30.39,30.56,881500,30.41
2013-08-12,30.41,30.91,30.37,30.55,880500,30.40
2013-08-09,30.69,30.93,30.48,30.57,1100000,30.42
2013-08-08,30.54,30.99,30.31,30.70,1962200,30.55
2013-08-07,30.81,30.90,30.37,30.40,998600,30.25
2013-08-06,31.71,31.84,30.87,30.98,1088600,30.82
2013-08-05,32.04,32.21,31.64,31.90,960100,31.74
2013-08-02,31.73,32.20,31.38,32.18,887500,32.02
2013-08-01,31.68,32.10,31.63,31.83,1612700,31.67
2013-07-31,30.84,31.59,30.74,31.28,1249000,31.12
