Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,24.00,24.47,23.83,23.95,1794000,23.95
2014-01-28,23.99,24.72,23.99,24.22,1658000,24.22
2014-01-27,24.53,24.80,23.61,24.00,3570500,24.00
2014-01-24,25.60,25.63,24.23,24.56,3645700,24.56
2014-01-23,26.30,26.31,25.61,25.77,1826400,25.77
2014-01-22,26.30,26.50,26.17,26.30,1439300,26.30
2014-01-21,25.91,26.25,25.65,26.24,2245200,26.24
2014-01-17,25.81,25.92,25.63,25.72,1403700,25.72
2014-01-16,25.75,25.83,25.61,25.83,1138000,25.83
2014-01-15,25.89,25.91,25.61,25.75,1656200,25.75
2014-01-14,25.50,25.75,25.36,25.75,1156700,25.75
2014-01-13,25.88,26.11,25.21,25.41,1744900,25.41
2014-01-10,25.83,26.10,25.72,25.95,2223600,25.95
2014-01-09,25.87,25.88,25.46,25.83,1751500,25.83
2014-01-08,25.54,25.79,25.19,25.78,2775100,25.78
2014-01-07,25.47,25.66,25.25,25.66,2230400,25.66
2014-01-06,25.12,25.56,25.11,25.39,2607200,25.39
2014-01-03,24.79,25.43,24.70,25.20,3134600,25.20
2014-01-02,24.12,24.82,24.12,24.67,3288600,24.67
2013-12-31,24.13,24.48,24.00,24.34,1458600,24.34
2013-12-30,24.25,24.25,24.00,24.00,1339400,24.00
2013-12-27,24.44,24.54,24.10,24.15,1088500,24.15
2013-12-26,24.65,24.65,24.25,24.43,1631100,24.43
2013-12-24,24.40,24.47,24.23,24.44,568200,24.44
2013-12-23,24.77,24.81,24.16,24.35,1558900,24.35
2013-12-20,24.21,24.53,24.00,24.47,2287800,24.47
2013-12-19,24.43,24.79,23.93,23.98,3621500,23.98
2013-12-18,24.78,24.95,24.01,24.53,10522800,24.53
2013-12-17,23.97,24.86,23.69,24.79,14987700,24.79
2013-12-16,25.25,25.87,24.91,25.08,2643000,25.08
2013-12-13,24.50,25.15,24.42,24.98,1783900,24.98
2013-12-12,24.20,24.41,24.08,24.25,1373900,24.25
2013-12-11,24.78,25.07,24.05,24.20,1827800,24.20
2013-12-10,24.00,24.82,23.92,24.74,2199700,24.74
2013-12-09,23.32,24.00,23.30,24.00,1722200,24.00
2013-12-06,23.35,23.57,23.11,23.23,1090800,23.23
2013-12-05,23.25,23.42,23.01,23.08,1110400,23.08
2013-12-04,23.70,23.84,23.25,23.44,803400,23.44
2013-12-03,23.89,23.94,23.57,23.80,1520400,23.80
2013-12-02,23.83,24.13,23.74,23.91,2325500,23.91
2013-11-29,23.83,23.95,23.60,23.73,491700,23.73
2013-11-27,23.82,24.03,23.64,23.82,859500,23.82
2013-11-26,23.77,24.08,23.75,23.80,1018200,23.80
2013-11-25,23.45,23.88,23.37,23.70,2076600,23.70
2013-11-22,22.88,23.46,22.81,23.30,1329300,23.30
