Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,80.00,80.00,78.77,79.37,2043700,79.37
2014-01-28,81.68,82.10,81.00,81.54,1662000,80.18
2014-01-27,82.56,82.63,80.52,81.58,1683700,80.22
2014-01-24,82.60,82.80,81.82,82.39,1473100,81.02
2014-01-23,82.69,82.98,82.52,82.64,1170600,81.26
2014-01-22,82.48,82.80,82.39,82.69,991000,81.31
2014-01-21,81.85,82.49,81.82,82.24,1393900,80.87
2014-01-17,81.87,81.87,81.23,81.31,1183600,79.95
2014-01-16,81.44,81.90,81.05,81.53,1458800,80.17
2014-01-15,80.80,80.90,80.40,80.53,1036300,79.19
2014-01-14,80.59,80.80,80.00,80.41,832200,79.07
2014-01-13,80.37,81.18,80.27,80.34,1024200,79.00
2014-01-10,80.25,80.35,79.88,80.20,543000,78.86
2014-01-09,80.30,80.35,79.80,80.25,836300,78.91
2014-01-08,79.86,80.23,79.50,80.05,1270100,78.71
2014-01-07,80.69,80.72,79.95,80.55,808600,79.21
2014-01-06,80.50,80.79,80.28,80.44,753800,79.10
2014-01-03,80.42,80.65,80.00,80.29,844900,78.95
2014-01-02,80.85,80.91,80.00,80.25,1176900,78.91
2013-12-31,80.65,80.92,80.42,80.66,867500,79.31
2013-12-30,80.32,80.76,80.30,80.62,1050200,79.28
2013-12-27,80.10,80.48,79.83,80.25,914200,78.91
2013-12-26,79.90,80.66,79.90,80.02,975500,78.69
2013-12-24,79.57,80.30,79.56,79.83,677400,78.50
2013-12-23,79.50,80.16,79.31,79.57,1166200,78.24
2013-12-20,78.39,79.26,78.15,79.26,1583600,77.94
2013-12-19,77.76,78.59,77.13,78.39,1820900,77.08
2013-12-18,78.04,78.26,77.59,77.92,1719200,76.62
2013-12-17,78.65,78.65,77.70,78.14,1432300,76.84
2013-12-16,79.75,79.75,78.53,78.60,934700,77.29
2013-12-13,78.96,79.41,78.64,79.01,723600,77.69
2013-12-12,78.78,79.07,78.43,78.86,902200,77.54
2013-12-11,79.60,79.62,78.59,78.78,1138500,77.47
2013-12-10,80.00,80.44,79.40,79.62,1012100,78.29
2013-12-09,80.54,80.73,80.03,80.21,977100,78.87
2013-12-06,79.42,80.66,79.31,80.49,1252100,79.15
2013-12-05,80.00,80.10,79.23,79.35,1153800,78.03
2013-12-04,81.09,81.45,79.70,80.12,2252400,78.78
2013-12-03,81.12,81.64,80.98,81.62,629200,80.26
2013-12-02,81.90,81.91,81.22,81.27,642700,79.91
2013-11-29,81.46,81.98,81.31,81.97,339500,80.60
2013-11-27,81.20,81.81,81.08,81.43,541500,80.07
2013-11-26,81.98,82.00,80.90,81.14,888800,79.79
2013-11-25,81.60,82.43,81.57,81.98,669100,80.61
2013-11-22,81.85,82.09,81.50,81.65,607600,80.29
2013-11-21,81.15,82.00,81.01,81.85,849000,80.48
2013-11-20,81.46,81.75,80.65,81.01,831100,79.66
2013-11-19,81.88,82.04,81.04,81.23,906100,79.88
2013-11-18,82.00,82.45,81.76,82.07,1005700,80.70
2013-11-15,81.66,82.16,81.41,82.00,1360800,80.63
2013-11-14,81.15,81.98,80.49,81.34,1312100,79.98
2013-11-13,80.38,80.79,80.11,80.67,978700,79.32
2013-11-12,80.25,80.83,80.22,80.60,616700,79.26
2013-11-11,80.79,80.88,80.17,80.43,670600,79.09
2013-11-08,80.40,80.84,80.10,80.56,1042000,79.22
2013-11-07,81.00,81.10,80.31,80.64,729500,79.30
2013-11-06,80.86,81.00,80.50,80.96,773500,79.61
2013-11-05,80.49,81.15,80.35,80.81,690300,79.46
2013-11-04,81.29,81.30,80.43,80.99,669400,79.64
2013-11-01,80.86,81.13,80.60,80.99,990200,79.64
2013-10-31,81.00,81.26,80.10,80.70,862500,79.35
2013-10-30,81.67,81.86,80.75,81.03,1194300,79.68
2013-10-29,81.52,81.77,81.00,81.67,1443100,80.31
2013-10-28,84.21,84.21,82.33,82.63,1851200,79.92
2013-10-25,84.45,84.49,84.00,84.02,922400,81.27
2013-10-24,83.77,84.10,83.67,84.08,1083400,81.33
2013-10-23,84.00,84.16,83.00,83.46,933200,80.73
2013-10-22,84.05,84.50,83.75,83.89,1272200,81.14
2013-10-21,82.82,83.99,82.45,83.99,1641400,81.24
2013-10-18,82.01,82.69,81.40,82.43,1709100,79.73
2013-10-17,80.50,80.70,80.00,80.69,1682600,78.05
2013-10-16,80.00,80.49,79.85,80.14,1162700,77.52
2013-10-15,80.16,80.19,79.42,79.77,826100,77.16
2013-10-14,79.20,80.08,79.04,79.95,992000,77.33
2013-10-11,79.94,80.23,79.12,79.20,1260200,76.61
2013-10-10,80.18,80.48,79.51,79.68,1161800,77.07
2013-10-09,79.02,79.66,78.77,79.61,1236300,77.00
2013-10-08,79.45,79.74,79.06,79.11,777400,76.52
2013-10-07,79.48,79.79,79.17,79.40,714000,76.80
2013-10-04,79.80,80.14,79.50,79.64,543700,77.03
2013-10-03,80.46,80.50,79.36,79.75,825300,77.14
2013-10-02,80.45,80.55,80.05,80.39,684200,77.76
2013-10-01,79.89,80.68,79.36,80.47,1064600,77.84
2013-09-30,79.04,79.89,79.00,79.83,892300,77.22
2013-09-27,80.00,80.10,79.54,79.83,936800,77.22
2013-09-26,79.99,80.20,79.54,80.17,1016300,77.54
2013-09-25,79.25,79.94,79.07,79.89,1034400,77.27
2013-09-24,79.42,79.59,78.91,79.28,958800,76.68
2013-09-23,79.95,80.00,79.11,79.42,1036100,76.82
2013-09-20,80.50,80.65,79.70,80.03,1557100,77.41
2013-09-19,80.64,81.51,79.68,80.28,2902000,77.65
2013-09-18,79.20,81.24,78.31,80.70,5290800,78.06
2013-09-17,78.62,78.88,77.91,78.17,1525100,75.61
2013-09-16,80.04,80.40,78.50,78.55,1798800,75.98
2013-09-13,80.04,80.33,79.61,79.75,1202800,77.14
2013-09-12,80.50,80.58,79.88,80.04,972700,77.42
2013-09-11,81.32,81.50,79.86,80.51,1109100,77.87
2013-09-10,80.64,81.39,80.40,81.32,1577300,78.66
2013-09-09,80.25,80.52,79.60,80.33,1392400,77.70
2013-09-06,80.43,80.70,79.75,80.19,1122500,77.56
2013-09-05,79.40,80.10,79.13,79.94,1667000,77.32
2013-09-04,81.35,81.44,78.92,79.06,3759900,76.47
2013-09-03,82.16,82.39,80.82,81.51,1091500,78.84
2013-08-30,82.79,83.05,81.25,81.56,916900,78.89
2013-08-29,83.35,83.53,82.62,82.80,636300,80.09
2013-08-28,82.95,83.92,82.74,83.35,601400,80.62
2013-08-27,82.50,83.41,82.42,82.96,648000,80.24
2013-08-26,83.57,83.77,82.87,83.07,578000,80.35
2013-08-23,83.03,83.80,83.00,83.45,437200,80.72
2013-08-22,82.75,83.57,82.75,83.00,502800,80.28
2013-08-21,82.32,83.00,82.23,82.62,761200,79.91
2013-08-20,81.40,82.60,81.26,82.32,710300,79.62
2013-08-19,82.09,82.11,81.06,81.42,1340100,78.75
2013-08-16,81.85,82.35,81.76,82.11,862600,79.42
2013-08-15,81.75,82.68,81.53,82.00,1096300,79.31
2013-08-14,83.00,83.35,81.53,82.15,1029600,79.46
2013-08-13,82.50,82.68,81.31,82.13,1071400,79.44
2013-08-12,83.00,83.45,82.54,82.62,958800,79.91
2013-08-09,82.25,83.29,82.07,82.99,1227900,80.27
2013-08-08,82.45,82.76,81.59,82.00,999300,79.31
2013-08-07,83.25,83.29,82.11,82.45,1001800,79.75
2013-08-06,82.87,83.64,82.66,83.36,1074100,80.63
2013-08-05,82.00,82.82,81.95,82.82,1485000,80.11
2013-08-02,82.42,82.66,81.78,81.98,1318800,79.30
2013-08-01,82.98,83.00,82.18,82.66,1019900,79.95
