Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,49.12,49.30,48.76,48.78,991200,48.78
2014-01-28,49.35,49.69,49.07,49.15,1115000,49.15
2014-01-27,49.66,49.90,48.91,49.17,1207500,49.17
2014-01-24,49.91,50.20,49.35,49.71,1647500,49.71
2014-01-23,50.14,50.51,49.98,50.14,1282700,50.14
2014-01-22,50.35,51.19,50.15,51.08,602900,51.08
2014-01-21,50.47,50.68,50.03,50.13,775900,50.13
2014-01-17,50.51,50.85,50.11,50.18,918400,50.18
2014-01-16,50.64,50.91,50.41,50.54,594700,50.54
2014-01-15,50.69,51.14,50.69,50.74,749800,50.74
2014-01-14,50.97,51.34,50.59,50.62,659500,50.62
2014-01-13,51.15,51.26,50.60,50.66,595800,50.66
2014-01-10,51.05,51.34,50.87,51.28,380500,51.28
2014-01-09,51.72,51.72,50.73,51.03,691400,51.03
2014-01-08,51.64,51.69,51.19,51.50,1126800,51.50
2014-01-07,51.68,51.94,51.21,51.69,1452800,51.69
2014-01-06,51.80,52.00,51.27,51.48,714600,51.48
2014-01-03,52.00,52.25,51.19,51.63,1559200,51.63
2014-01-02,52.13,52.25,49.57,51.64,5596800,51.64
2013-12-31,51.72,52.33,51.70,52.25,864400,52.25
2013-12-30,51.75,51.85,51.59,51.60,451000,51.60
2013-12-27,52.11,52.12,51.78,51.88,791100,51.88
2013-12-26,51.81,52.05,51.58,51.98,352500,51.98
2013-12-24,51.52,51.92,51.29,51.71,444500,51.71
2013-12-23,50.42,51.38,50.35,51.34,1295900,51.34
2013-12-20,50.51,50.75,49.97,50.01,2274600,50.01
2013-12-19,50.88,51.10,50.24,50.32,978400,50.32
2013-12-18,50.74,51.13,50.45,50.96,917400,50.96
2013-12-17,50.60,50.60,50.22,50.50,683200,50.50
2013-12-16,50.53,51.04,50.17,50.60,808300,50.60
2013-12-13,50.09,50.48,50.09,50.46,344600,50.46
2013-12-12,50.12,50.21,49.76,50.02,650900,50.02
2013-12-11,50.40,50.46,50.08,50.21,769400,50.21
2013-12-10,49.89,50.71,49.82,50.28,1325900,50.28
2013-12-09,49.95,50.24,49.69,50.00,930100,50.00
2013-12-06,49.84,50.12,49.63,49.80,398900,49.80
2013-12-05,49.48,49.73,49.08,49.59,698400,49.59
2013-12-04,49.09,49.93,49.09,49.60,822100,49.60
2013-12-03,49.45,49.86,49.10,49.35,1472100,49.35
2013-12-02,50.06,50.36,49.39,49.46,1023900,49.46
2013-11-29,49.94,50.14,49.69,49.92,423300,49.92
2013-11-27,50.36,50.57,49.63,49.99,1664200,49.99
2013-11-26,50.61,50.69,50.17,50.41,1097900,50.41
