Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,52.85,53.09,51.79,52.12,4470200,52.12
2014-01-28,52.89,53.50,52.81,53.07,2335900,53.07
2014-01-27,52.93,53.62,52.59,52.70,3039000,52.70
2014-01-24,53.51,53.82,52.56,52.64,2960000,52.64
2014-01-23,53.94,54.38,53.55,53.67,2750900,53.67
2014-01-22,54.68,54.90,54.11,54.31,2199500,54.31
2014-01-21,55.36,55.51,54.24,54.53,3177900,54.53
2014-01-17,56.26,56.26,55.07,55.17,2177500,55.17
2014-01-16,57.13,57.46,55.80,55.84,3000900,55.84
2014-01-15,56.56,57.77,55.85,56.79,2671300,56.79
2014-01-14,56.61,57.03,56.28,56.42,3322800,56.42
2014-01-13,57.75,57.94,56.47,56.61,1986800,56.61
2014-01-10,57.65,58.22,57.05,57.86,2216100,57.86
2014-01-09,58.00,58.50,56.76,57.75,5286200,57.75
2014-01-08,60.80,61.30,60.00,60.19,2264300,60.19
2014-01-07,61.44,62.14,61.44,61.80,1022100,61.80
2014-01-06,61.84,62.00,61.06,61.06,1239500,61.06
2014-01-03,61.63,62.25,61.35,61.48,798600,61.48
2014-01-02,61.68,62.52,61.41,61.59,745300,61.59
2013-12-31,61.32,61.97,61.29,61.85,799900,61.85
2013-12-30,61.07,61.30,60.76,61.10,759200,61.10
2013-12-27,61.78,61.85,60.68,60.87,779600,60.87
2013-12-26,62.59,62.83,61.26,61.88,802700,61.88
2013-12-24,62.13,63.68,61.04,61.25,661600,61.25
2013-12-23,61.50,61.50,60.78,60.98,1250500,60.98
2013-12-20,61.00,61.52,60.91,61.04,1866400,61.04
2013-12-19,61.59,61.65,60.92,60.92,1004200,60.92
2013-12-18,60.81,61.64,60.51,61.57,1342600,61.57
2013-12-17,61.02,61.31,60.58,60.76,1048000,60.76
2013-12-16,55.68,62.04,55.68,60.51,1283300,60.51
2013-12-13,61.07,61.53,60.63,61.17,1290900,61.17
2013-12-12,61.14,61.20,60.15,60.80,1536300,60.80
2013-12-11,61.62,62.20,60.85,60.99,1368300,60.99
2013-12-10,62.23,62.47,61.53,61.78,1492100,61.78
2013-12-09,63.40,63.67,61.98,62.09,1550100,62.09
2013-12-06,63.65,63.65,62.47,63.34,915400,63.34
2013-12-05,61.79,63.01,61.49,62.18,2476300,62.18
2013-12-04,64.03,64.38,62.71,63.25,2084100,63.25
2013-12-03,65.35,65.71,63.14,65.60,961800,65.60
2013-12-02,64.82,67.12,64.82,65.46,932100,65.46
2013-11-29,65.60,66.16,64.79,64.99,693000,64.99
2013-11-27,64.90,65.40,64.57,65.26,901100,65.26
2013-11-26,64.50,65.49,64.45,64.98,1244100,64.98
2013-11-25,64.27,64.75,64.04,64.28,1001900,64.28
2013-11-22,64.59,64.73,63.27,63.94,1609800,63.94
2013-11-21,63.59,65.01,62.91,64.78,1925300,64.78
2013-11-20,64.04,64.98,63.53,64.41,2415000,64.11
2013-11-19,64.00,64.24,63.76,64.02,1867000,63.72
2013-11-18,64.97,65.36,63.99,64.30,1414700,64.00
2013-11-15,64.64,65.09,64.28,64.66,1353400,64.36
2013-11-14,64.25,65.37,64.00,64.83,1753100,64.53
2013-11-13,62.96,64.42,62.96,64.25,1331400,63.95
2013-11-12,63.61,63.72,62.50,63.05,1634900,62.76
2013-11-11,62.89,64.02,62.53,63.66,1377000,63.36
2013-11-08,62.00,63.08,62.00,62.93,1461500,62.64
2013-11-07,63.77,64.24,61.68,61.81,2311300,61.52
2013-11-06,62.94,63.14,62.18,63.03,1700600,62.74
2013-11-05,62.95,63.52,62.55,62.89,1842000,62.60
2013-11-04,62.67,63.27,62.65,63.03,1425700,62.74
2013-11-01,62.77,63.05,62.08,62.56,1432500,62.27
2013-10-31,62.04,62.93,61.73,62.61,2259100,62.32
2013-10-30,61.87,62.66,61.77,62.14,1668200,61.85
2013-10-29,61.37,61.96,61.01,61.96,1035400,61.67
2013-10-28,61.58,61.74,61.17,61.26,1861200,60.97
2013-10-25,61.96,62.44,61.20,61.54,3363400,61.25
2013-10-24,61.21,61.99,61.07,61.94,1550400,61.65
2013-10-23,61.00,61.64,60.71,60.88,2006200,60.60
2013-10-22,60.29,61.26,60.09,61.09,1903700,60.81
2013-10-21,59.43,60.34,59.26,60.31,2155000,60.03
2013-10-18,58.19,59.26,58.04,59.23,2849900,58.95
2013-10-17,57.05,58.02,56.82,57.86,3175700,57.59
2013-10-16,56.64,57.42,56.13,57.16,2759000,56.89
2013-10-15,57.42,57.69,56.49,56.55,2619000,56.29
2013-10-14,56.16,57.52,56.13,57.49,3289700,57.22
2013-10-11,56.03,56.32,54.73,56.31,5382100,56.05
2013-10-10,58.40,58.64,56.15,56.60,6506300,56.34
2013-10-09,58.78,59.45,58.35,59.00,1996400,58.73
2013-10-08,60.10,60.69,58.39,58.59,3109400,58.32
2013-10-07,61.15,61.55,60.47,60.52,2216500,60.24
2013-10-04,61.70,62.14,61.39,62.08,1757500,61.79
2013-10-03,61.51,61.75,61.06,61.63,1512300,61.34
2013-10-02,61.54,61.99,61.10,61.63,2554500,61.34
2013-10-01,61.04,61.87,60.88,61.86,1826700,61.57
2013-09-30,60.61,61.66,60.22,61.10,2828900,60.82
2013-09-27,60.16,61.26,59.75,61.11,1866500,60.83
2013-09-26,59.62,60.62,59.56,60.34,1029900,60.06
2013-09-25,59.76,59.97,59.06,59.46,1802700,59.18
2013-09-24,59.62,59.90,59.13,59.90,1218600,59.62
2013-09-23,59.98,60.13,59.62,59.65,921600,59.37
2013-09-20,60.54,60.54,59.63,59.99,1859000,59.71
2013-09-19,61.12,61.14,60.23,60.40,1124900,60.12
2013-09-18,59.82,61.13,59.46,61.02,1594000,60.74
2013-09-17,59.14,59.98,58.92,59.96,1332200,59.68
2013-09-16,59.43,59.51,58.76,58.95,1106900,58.68
2013-09-13,57.77,58.66,57.55,58.57,1276900,58.30
2013-09-12,58.54,58.54,57.29,57.55,1350100,57.28
2013-09-11,58.32,58.92,58.06,58.70,1479400,58.43
2013-09-10,57.90,58.26,57.53,58.25,1220100,57.98
2013-09-09,56.60,57.80,56.55,57.74,1210700,57.47
2013-09-06,57.12,57.15,56.26,56.45,2112100,56.19
2013-09-05,58.01,58.39,56.81,56.90,4246300,56.63
2013-09-04,57.55,58.47,57.55,58.14,2083100,57.87
2013-09-03,57.97,58.20,57.15,57.43,1502300,57.16
2013-08-30,57.58,57.73,57.08,57.36,1250400,57.09
2013-08-29,57.17,57.84,57.05,57.46,1362500,57.19
2013-08-28,56.91,57.58,56.47,57.20,1260400,56.93
2013-08-27,57.77,57.85,56.74,56.91,2404700,56.64
2013-08-26,59.20,59.49,58.47,58.47,1351200,58.20
2013-08-23,58.68,59.53,58.43,59.21,1756500,58.93
2013-08-22,59.97,59.97,57.01,58.60,3643000,58.33
2013-08-21,60.36,60.52,59.30,59.85,1912700,59.57
2013-08-20,59.24,60.97,59.24,60.66,1797100,60.08
2013-08-19,59.00,59.66,58.84,59.04,1437900,58.47
2013-08-16,59.98,60.07,59.07,59.08,2086600,58.51
2013-08-15,60.34,60.45,59.77,60.07,1931400,59.49
2013-08-14,61.34,61.34,60.72,60.78,2175000,60.20
2013-08-13,61.29,61.36,60.59,61.36,1741700,60.77
2013-08-12,60.93,61.27,60.65,61.19,1517000,60.60
2013-08-09,60.07,61.34,60.00,61.27,2429800,60.68
2013-08-08,60.17,60.80,59.59,60.25,4349600,59.67
2013-08-07,56.19,57.34,56.19,57.30,2850300,56.75
2013-08-06,57.24,57.28,56.05,56.96,3969100,56.41
2013-08-05,58.30,58.55,57.39,57.47,2409500,56.92
2013-08-02,57.40,58.69,57.26,58.40,3418000,57.84
2013-08-01,56.11,57.62,55.91,57.55,1966500,57.00
2013-07-31,55.24,56.01,55.12,55.77,1950400,55.24
2013-07-30,55.65,55.65,54.75,55.32,2108200,54.79
2013-07-29,53.66,55.80,53.61,55.41,4197600,54.88
2013-07-26,53.09,53.77,52.82,53.68,1485900,53.17
2013-07-25,52.51,53.26,52.48,53.25,1086200,52.74
2013-07-24,53.23,53.36,52.49,52.64,1245100,52.14
2013-07-23,52.94,53.45,52.76,53.17,1672500,52.66
2013-07-22,52.41,52.98,52.39,52.91,914600,52.40
2013-07-19,52.51,52.72,52.12,52.49,1327000,51.99
2013-07-18,52.04,52.70,52.03,52.57,1329100,52.07
2013-07-17,51.95,52.41,51.69,51.93,1089800,51.43
2013-07-16,52.22,52.51,51.58,51.81,1404800,51.31
2013-07-15,51.70,52.60,51.64,52.07,1469000,51.57
2013-07-12,52.33,52.33,51.57,51.82,1633100,51.32
2013-07-11,51.24,52.39,51.05,52.33,3639400,51.83
2013-07-10,50.52,50.80,50.08,50.61,2616700,50.13
2013-07-09,50.58,51.06,50.09,50.57,2195100,50.09
2013-07-08,49.85,50.60,49.76,50.37,2309400,49.89
2013-07-05,49.59,49.95,49.05,49.67,2196400,49.19
2013-07-03,49.50,49.50,48.77,49.20,1171500,48.73
2013-07-02,49.59,50.18,49.47,49.79,1487800,49.31
2013-07-01,49.67,50.08,49.55,49.59,2676600,49.11
2013-06-28,49.21,49.87,49.06,49.25,3553700,48.78
2013-06-27,49.89,50.08,49.15,49.19,3301300,48.72
2013-06-26,50.18,50.41,49.40,49.73,1826100,49.25
2013-06-25,49.79,50.14,49.38,49.73,1548300,49.25
2013-06-24,50.99,51.03,49.21,49.29,2583800,48.82
2013-06-21,51.64,51.97,51.18,51.51,4861100,51.02
2013-06-20,51.17,51.63,50.41,51.18,4451100,50.69
2013-06-19,52.32,53.14,51.75,51.82,3004200,51.32
2013-06-18,50.98,52.41,50.96,52.32,1972500,51.82
2013-06-17,50.98,51.27,50.65,51.00,2164300,50.51
2013-06-14,50.74,51.67,50.73,50.79,4201500,50.30
2013-06-13,50.25,51.09,50.18,50.99,1845800,50.50
2013-06-12,50.46,50.83,49.87,50.01,1781700,49.53
2013-06-11,50.29,50.33,49.78,50.07,1388600,49.59
2013-06-10,50.99,51.22,50.44,50.68,1794900,50.19
2013-06-07,50.92,51.24,50.53,50.88,2698000,50.39
2013-06-06,51.48,51.48,49.85,50.66,3993400,50.17
2013-06-05,51.38,51.90,51.16,51.66,3953600,51.17
2013-06-04,50.67,52.47,50.49,51.94,5961800,51.15
2013-06-03,50.03,50.74,49.67,50.73,3799000,49.95
2013-05-31,49.52,50.21,49.29,50.01,3486700,49.24
2013-05-30,49.04,49.90,48.96,49.62,2700900,48.86
2013-05-29,49.16,49.29,48.76,48.89,3257400,48.14
2013-05-28,50.52,50.52,49.74,49.84,2502400,49.08
2013-05-24,50.52,50.80,49.62,49.79,3018900,49.03
2013-05-23,51.11,52.09,50.92,51.19,2456700,50.41
2013-05-22,52.12,52.32,51.21,51.47,2822000,50.68
2013-05-21,51.84,52.13,51.53,51.95,2481200,51.16
2013-05-20,50.30,51.87,50.11,51.81,4614200,51.02
2013-05-17,49.82,50.39,49.28,50.29,3904300,49.52
2013-05-16,50.84,51.05,50.30,50.49,1923300,49.72
2013-05-15,50.76,51.05,50.56,50.86,1985500,50.08
2013-05-14,50.84,50.91,50.53,50.70,2240000,49.92
2013-05-13,51.50,51.50,50.70,50.85,2292700,50.07
2013-05-10,51.49,51.72,50.82,51.64,3671500,50.85
2013-05-09,52.18,52.78,51.84,52.08,5895700,51.28
2013-05-08,52.44,53.33,51.76,53.21,5532700,52.40
2013-05-07,51.24,52.67,50.76,52.63,3190100,51.82
2013-05-06,51.15,51.16,50.45,50.98,1749300,50.20
2013-05-03,50.73,51.27,50.65,51.17,1437300,50.39
2013-05-02,50.10,50.49,49.80,50.35,1680600,49.58
2013-05-01,50.36,50.49,49.90,50.14,1579600,49.37
2013-04-30,50.10,50.41,49.59,50.41,2157400,49.64
2013-04-29,50.52,50.63,49.83,49.94,2398600,49.18
2013-04-26,50.23,50.65,49.76,50.49,2459500,49.72
2013-04-25,48.99,50.84,48.83,50.29,3264700,49.52
2013-04-24,48.39,48.78,48.39,48.74,1179900,47.99
2013-04-23,48.40,49.16,47.84,48.29,1568300,47.55
2013-04-22,48.51,48.67,47.82,48.25,1197400,47.51
2013-04-19,48.11,48.44,47.79,48.42,1668900,47.68
2013-04-18,48.70,49.14,47.78,47.88,2191600,47.15
2013-04-17,49.05,49.17,48.22,48.53,2507500,47.79
2013-04-16,49.21,49.38,48.90,49.35,2000100,48.59
2013-04-15,49.93,50.12,48.89,48.95,2360500,48.20
2013-04-12,49.72,50.73,49.28,50.43,5100800,49.66
2013-04-11,48.86,51.25,48.76,50.25,7654800,49.48
2013-04-10,47.61,48.17,47.42,48.17,3816300,47.43
2013-04-09,46.97,47.41,46.59,47.40,3346400,46.67
2013-04-08,46.11,46.90,45.86,46.89,2284700,46.17
2013-04-05,45.23,46.31,45.17,46.20,1973600,45.49
2013-04-04,45.12,45.83,45.01,45.79,1530000,45.09
2013-04-03,45.95,46.31,45.00,45.12,2521400,44.43
2013-04-02,44.79,46.02,44.67,46.00,2505700,45.30
2013-04-01,44.56,45.07,44.52,44.67,2579700,43.99
2013-03-28,44.11,44.66,43.84,44.66,2290600,43.98
2013-03-27,43.91,44.21,43.15,44.12,1937000,43.44
2013-03-26,44.78,44.90,43.85,44.15,2033800,43.47
2013-03-25,44.22,44.81,44.09,44.74,3277900,44.06
2013-03-22,43.23,44.07,43.17,44.06,2772000,43.39
2013-03-21,43.69,43.82,42.83,43.01,3758300,42.35
2013-03-20,43.75,44.10,43.65,43.82,1922800,43.15
2013-03-19,44.66,44.88,43.12,43.56,3260100,42.89
2013-03-18,44.71,45.19,44.50,44.66,2013000,43.98
2013-03-15,44.92,45.54,44.72,45.21,3356300,44.52
