Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,49.80,49.80,48.81,49.02,3517400,49.02
2014-01-28,49.11,49.80,49.04,49.78,2913400,49.78
2014-01-27,49.47,49.74,49.02,49.11,2919900,49.11
2014-01-24,49.40,50.09,49.37,49.53,3020100,49.53
2014-01-23,50.49,50.60,49.97,50.20,2892100,50.20
2014-01-22,50.08,50.81,49.80,50.63,4170500,50.63
2014-01-21,49.71,50.05,49.63,50.00,4973700,50.00
2014-01-17,49.70,49.76,49.15,49.22,3178200,49.22
2014-01-16,49.36,49.72,49.30,49.51,3076100,49.51
2014-01-15,49.46,49.60,49.20,49.38,2682300,49.38
2014-01-14,49.51,49.56,49.17,49.34,3293100,49.34
2014-01-13,49.47,49.54,49.10,49.27,3944700,49.27
2014-01-10,49.49,49.65,49.22,49.26,2945700,49.26
2014-01-09,49.29,49.45,48.94,49.16,3460400,49.16
2014-01-08,49.88,49.90,48.96,49.11,3675500,49.11
2014-01-07,50.31,50.61,50.06,50.07,3150400,50.07
2014-01-06,49.78,49.85,49.25,49.64,2955000,49.64
2014-01-03,50.19,50.44,49.76,49.80,2215800,49.80
2014-01-02,50.66,50.74,49.84,49.99,2194500,49.99
2013-12-31,50.50,50.89,50.49,50.68,1918300,50.68
2013-12-30,50.51,50.69,50.17,50.67,1632800,50.67
2013-12-27,50.64,50.86,50.51,50.53,1645400,50.53
2013-12-26,50.41,50.59,50.11,50.42,2047700,50.42
2013-12-24,50.10,50.53,50.10,50.30,1026500,50.30
2013-12-23,50.27,50.46,49.96,50.20,2370500,50.20
2013-12-20,49.83,50.12,49.70,49.90,11035900,49.90
2013-12-19,49.91,50.17,49.42,49.78,3499700,49.78
2013-12-18,49.90,50.09,48.88,49.95,4848200,49.95
2013-12-17,49.66,49.75,49.20,49.49,4055500,49.49
2013-12-16,50.20,50.24,49.63,49.75,3806500,49.75
2013-12-13,50.34,50.48,50.06,50.14,1938000,50.14
2013-12-12,50.50,50.81,50.08,50.35,2034600,50.35
2013-12-11,50.70,51.12,50.30,50.57,2808300,50.57
2013-12-10,50.92,51.16,50.50,50.60,2595000,50.60
2013-12-09,50.83,51.10,50.65,50.90,2222100,50.90
2013-12-06,50.85,51.02,50.61,50.80,2019800,50.80
2013-12-05,51.01,51.20,50.45,50.54,2905000,50.54
2013-12-04,51.17,51.33,50.57,50.98,3469300,50.98
2013-12-03,50.75,51.31,50.61,51.20,3383900,51.20
2013-12-02,51.40,51.55,50.69,50.69,2583200,50.69
2013-11-29,51.73,51.82,51.26,51.33,1377700,51.33
2013-11-27,51.72,51.78,51.32,51.54,1838000,51.54
2013-11-26,51.76,52.15,50.76,51.77,3914800,51.77
2013-11-25,52.81,52.89,52.10,52.16,3599700,51.61
2013-11-22,52.24,52.68,52.00,52.56,9390600,52.01
2013-11-21,52.73,52.79,51.55,52.25,7556900,51.70
2013-11-20,52.93,53.27,52.50,52.82,2652900,52.26
2013-11-19,52.95,53.06,52.73,52.89,1961900,52.33
2013-11-18,52.86,53.04,52.59,53.00,1923600,52.44
2013-11-15,52.30,52.87,52.25,52.65,1872300,52.09
2013-11-14,52.24,52.75,52.13,52.39,2163200,51.84
2013-11-13,51.48,52.10,51.28,52.08,2294100,51.53
2013-11-12,51.36,51.98,51.01,51.80,2040700,51.25
2013-11-11,51.49,51.78,51.38,51.51,1586800,50.97
2013-11-08,50.94,51.48,50.39,51.46,2621100,50.92
2013-11-07,51.84,51.85,50.70,51.06,2658900,50.52
2013-11-06,51.87,51.99,51.37,51.81,2357400,51.26
2013-11-05,51.28,51.95,51.19,51.85,3213500,51.30
2013-11-04,51.51,51.51,51.11,51.40,3889200,50.86
2013-11-01,51.12,51.91,51.10,51.39,3887400,50.85
2013-10-31,51.00,51.73,50.91,51.01,2705400,50.47
2013-10-30,50.84,51.33,50.77,51.02,1966500,50.48
2013-10-29,50.76,51.11,50.61,50.70,3747100,50.17
2013-10-28,49.69,50.94,49.63,50.54,3089600,50.01
2013-10-25,49.50,49.64,49.26,49.59,2046300,49.07
2013-10-24,49.54,49.77,49.25,49.59,2499700,49.07
2013-10-23,48.96,49.37,48.69,49.23,3114000,48.71
2013-10-22,48.27,48.84,47.95,48.75,3768100,48.24
2013-10-21,47.59,48.05,47.46,48.04,2292300,47.53
2013-10-18,47.48,47.90,47.42,47.73,2784700,47.23
2013-10-17,46.93,47.84,46.85,47.52,3225400,47.02
2013-10-16,46.60,47.14,46.47,46.98,3141100,46.48
2013-10-15,47.02,47.54,46.39,46.50,4123100,46.01
2013-10-14,45.96,47.16,45.82,47.05,2690500,46.55
2013-10-11,46.03,46.17,45.76,46.11,2246500,45.62
2013-10-10,44.58,46.08,44.58,46.02,2604200,45.53
2013-10-09,44.61,44.86,44.12,44.18,2129500,43.71
2013-10-08,45.07,45.17,44.49,44.51,1610600,44.04
2013-10-07,44.80,45.44,44.77,45.14,2864800,44.66
2013-10-04,45.42,45.62,44.86,44.93,2103100,44.46
2013-10-03,45.09,45.63,44.98,45.47,3474700,44.99
2013-10-02,44.76,45.16,44.67,45.15,2374300,44.67
2013-10-01,44.71,44.88,44.21,44.88,2079000,44.41
2013-09-30,44.81,44.95,44.55,44.78,2423600,44.31
2013-09-27,44.67,45.28,44.37,45.23,4445100,44.75
2013-09-26,44.53,44.85,44.44,44.83,2849100,44.36
2013-09-25,44.83,44.84,44.33,44.41,3102900,43.94
2013-09-24,44.90,45.08,44.60,44.69,2884500,44.22
2013-09-23,45.09,45.11,44.41,44.95,1709200,44.48
2013-09-20,45.18,45.38,44.98,45.11,3234500,44.63
2013-09-19,45.40,45.60,45.02,45.20,2538800,44.72
2013-09-18,44.97,45.53,44.78,45.25,2704400,44.77
2013-09-17,44.49,44.98,44.49,44.97,4494300,44.50
2013-09-16,44.40,44.89,44.39,44.48,2163400,44.01
2013-09-13,43.75,44.21,43.53,44.02,2197300,43.56
2013-09-12,44.05,44.08,43.38,43.44,2607300,42.98
2013-09-11,44.22,44.44,43.96,44.08,2454800,43.62
2013-09-10,44.21,44.56,44.10,44.17,2015300,43.70
2013-09-09,44.15,44.25,43.80,44.08,2286500,43.62
2013-09-06,43.32,44.16,43.20,44.03,3432700,43.57
2013-09-05,42.81,43.35,42.76,43.30,2476000,42.84
2013-09-04,42.08,42.78,42.02,42.66,2924500,42.21
2013-09-03,42.52,42.65,42.01,42.08,1701600,41.64
2013-08-30,42.48,42.62,42.15,42.30,1713600,41.85
2013-08-29,42.00,42.61,41.90,42.43,1778700,41.98
2013-08-28,42.54,42.54,42.00,42.07,2922300,41.63
2013-08-27,43.26,43.49,42.99,43.20,2694600,42.20
2013-08-26,43.48,43.78,43.36,43.51,3225200,42.50
2013-08-23,42.52,43.57,42.52,43.39,10860400,42.39
2013-08-22,42.31,42.59,41.88,42.49,10749700,41.51
2013-08-21,42.04,42.33,41.71,41.92,2090300,40.95
2013-08-20,41.85,42.26,41.56,42.08,1944600,41.11
2013-08-19,42.24,42.44,41.83,41.86,1767600,40.89
2013-08-16,42.46,42.46,42.02,42.16,2441300,41.18
2013-08-15,43.13,43.26,42.33,42.51,2774300,41.53
2013-08-14,43.42,43.58,43.13,43.52,1901000,42.51
2013-08-13,43.58,43.63,42.96,43.48,1676200,42.47
2013-08-12,43.46,43.61,43.21,43.55,1990100,42.54
2013-08-09,43.65,43.68,43.20,43.45,1908300,42.44
2013-08-08,43.29,43.75,43.16,43.60,3448300,42.59
2013-08-07,43.11,43.26,42.77,43.07,3509000,42.07
2013-08-06,43.03,43.14,42.66,43.11,3611100,42.11
2013-08-05,43.22,43.31,43.06,43.21,1990100,42.21
2013-08-02,42.92,43.41,42.76,43.30,4309100,42.30
2013-08-01,42.81,43.16,42.59,43.14,3730100,42.14
2013-07-31,43.23,43.29,42.31,42.53,5410000,41.55
2013-07-30,43.48,43.69,43.12,43.22,3296500,42.22
2013-07-29,43.97,44.00,43.29,43.35,4187400,42.35
2013-07-26,44.40,44.90,43.34,43.94,3072700,42.92
2013-07-25,44.86,46.10,44.42,44.55,3766300,43.52
2013-07-24,44.15,44.89,43.83,44.41,5017500,43.38
2013-07-23,45.20,45.27,43.77,44.08,7379900,43.06
2013-07-22,46.53,46.60,45.86,46.15,2371200,45.08
2013-07-19,46.63,46.68,46.25,46.50,2034400,45.42
2013-07-18,46.24,46.68,46.03,46.53,1988600,45.45
2013-07-17,46.28,46.49,46.08,46.24,1974700,45.17
2013-07-16,46.16,46.52,45.89,46.25,2220300,45.18
2013-07-15,46.12,46.34,46.05,46.25,2100800,45.18
2013-07-12,45.76,46.50,45.76,46.17,1928100,45.10
2013-07-11,46.26,46.81,46.26,46.40,2308300,45.33
2013-07-10,45.98,46.37,44.98,45.75,4314200,44.69
2013-07-09,45.87,46.17,45.65,45.79,2754700,44.73
2013-07-08,44.67,45.65,44.40,45.64,2908700,44.58
2013-07-05,44.40,44.70,43.78,44.27,3494800,43.25
2013-07-03,44.32,44.45,44.05,44.35,1500300,43.32
2013-07-02,44.04,44.57,43.95,44.41,2614700,43.38
2013-07-01,43.67,44.54,43.64,43.95,2595700,42.93
2013-06-28,43.69,44.10,43.54,43.68,5703700,42.67
2013-06-27,43.78,44.45,43.44,43.58,3523600,42.57
2013-06-26,43.90,44.09,42.72,43.78,5688800,42.77
2013-06-25,43.69,45.50,42.38,43.53,8534400,42.52
2013-06-24,43.42,43.95,42.88,43.39,3266200,42.39
2013-06-21,42.97,43.94,42.97,43.74,3862400,42.73
2013-06-20,43.52,43.70,42.62,42.84,3734800,41.85
2013-06-19,44.99,45.07,43.74,43.74,3711400,42.73
2013-06-18,44.67,45.00,44.44,44.92,1950500,43.88
2013-06-17,44.00,44.72,43.89,44.57,2565400,43.54
2013-06-14,43.92,44.41,43.82,43.89,2179800,42.87
2013-06-13,42.95,44.13,42.92,44.07,3539400,43.05
2013-06-12,43.19,43.45,42.85,42.92,2760600,41.93
2013-06-11,43.05,43.62,42.88,42.88,3003000,41.89
2013-06-10,43.83,43.95,43.20,43.26,2781100,42.26
2013-06-07,43.30,43.90,43.20,43.61,2516400,42.60
2013-06-06,42.32,43.14,41.92,43.11,3825400,42.11
2013-06-05,43.00,43.10,42.08,42.32,3281000,41.34
2013-06-04,43.26,43.60,42.86,43.17,6881700,42.17
2013-06-03,42.41,43.23,41.72,43.21,2974800,42.21
2013-05-31,42.73,43.16,42.44,42.44,2931600,41.46
2013-05-30,42.64,43.06,42.63,42.90,2585800,41.91
2013-05-29,42.89,43.02,42.10,42.58,3086900,41.59
2013-05-28,44.10,44.34,43.42,43.67,9221600,42.12
2013-05-24,43.46,43.92,43.12,43.88,6656300,42.32
2013-05-23,43.47,43.73,43.10,43.57,7850700,42.03
2013-05-22,44.28,44.40,43.54,43.60,3519700,42.05
2013-05-21,44.11,44.36,43.77,43.98,2174000,42.42
2013-05-20,44.37,44.44,44.05,44.11,1952800,42.55
2013-05-17,44.20,44.53,44.01,44.27,1968800,42.70
2013-05-16,44.08,44.64,44.00,44.23,2805600,42.66
2013-05-15,43.43,44.34,43.38,44.06,2511700,42.50
2013-05-14,43.41,43.75,43.32,43.48,4007800,41.94
2013-05-13,43.09,43.45,43.00,43.30,2024100,41.77
2013-05-10,42.85,43.13,42.78,43.08,1682800,41.55
2013-05-09,43.17,43.30,42.70,42.77,1861200,41.25
2013-05-08,43.19,43.35,42.99,43.23,2371400,41.70
2013-05-07,42.68,43.26,42.55,43.19,2849400,41.66
2013-05-06,42.72,42.79,42.37,42.59,1870600,41.08
2013-05-03,43.14,43.14,42.54,42.73,2723200,41.22
2013-05-02,42.87,43.12,42.75,43.05,2541900,41.52
2013-05-01,42.90,42.98,42.56,42.67,3076700,41.16
2013-04-30,43.00,43.24,42.78,42.89,2738500,41.37
2013-04-29,42.86,43.09,42.70,42.95,2118200,41.43
2013-04-26,42.65,42.97,42.37,42.83,3817600,41.31
2013-04-25,43.33,43.33,42.47,42.63,2920300,41.12
2013-04-24,41.88,43.39,41.81,43.15,4221600,41.62
2013-04-23,41.68,41.97,41.35,41.82,2468300,40.34
2013-04-22,41.19,41.52,40.96,41.50,1618700,40.03
2013-04-19,41.01,41.56,41.01,41.23,1580600,39.77
2013-04-18,41.11,41.26,40.62,40.87,1658000,39.42
2013-04-17,41.28,41.38,40.84,41.10,1616200,39.64
2013-04-16,40.95,41.42,40.80,41.38,1366300,39.91
2013-04-15,41.17,41.58,40.78,40.78,2092100,39.33
2013-04-12,41.32,41.65,41.12,41.56,1753900,40.09
2013-04-11,41.70,41.78,41.22,41.36,3223500,39.89
2013-04-10,41.24,41.97,41.24,41.77,2052800,40.29
2013-04-09,41.25,41.40,41.05,41.25,5273700,39.79
2013-04-08,40.59,41.16,40.59,41.16,2218900,39.70
2013-04-05,41.03,41.03,40.22,40.57,2157300,39.13
2013-04-04,40.74,41.29,40.74,41.08,1660700,39.62
2013-04-03,41.35,41.35,40.59,40.73,2597500,39.29
2013-04-02,40.54,41.30,40.30,41.22,2849600,39.76
2013-04-01,40.50,40.50,40.02,40.33,1884100,38.90
2013-03-28,40.49,40.62,40.21,40.35,2664000,38.92
