Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,27.55,27.67,27.26,27.34,1360400,27.34
2014-01-28,27.12,27.62,27.08,27.56,1548300,27.56
2014-01-27,27.39,27.51,26.82,27.03,2143200,27.03
2014-01-24,27.94,27.94,27.41,27.41,2389900,27.41
2014-01-23,28.48,28.57,27.94,28.11,2036500,28.11
2014-01-22,28.55,28.72,28.51,28.65,1895700,28.65
2014-01-21,28.10,28.58,27.86,28.46,7195100,28.46
2014-01-17,27.90,28.38,27.53,27.94,2324500,27.94
2014-01-16,27.83,28.40,27.71,27.85,1637700,27.85
2014-01-15,27.61,27.90,27.33,27.87,1637900,27.87
2014-01-14,27.42,27.70,27.40,27.61,1063700,27.61
2014-01-13,28.09,28.19,27.32,27.37,1512800,27.37
2014-01-10,27.95,28.30,27.94,28.18,952300,28.18
2014-01-09,27.96,28.07,27.58,27.91,853000,27.91
2014-01-08,27.88,28.19,27.68,27.80,1490200,27.80
2014-01-07,28.09,28.24,27.84,27.92,804500,27.92
2014-01-06,28.42,28.48,27.92,27.99,901000,27.99
2014-01-03,28.47,28.64,28.26,28.37,870200,28.37
2014-01-02,28.37,28.65,28.24,28.50,1237200,28.50
2013-12-31,28.35,28.58,28.21,28.34,738700,28.34
2013-12-30,28.24,28.61,28.23,28.29,752200,28.29
2013-12-27,28.39,28.67,28.15,28.18,627700,28.18
2013-12-26,28.27,28.56,28.27,28.39,550400,28.39
2013-12-24,28.13,28.28,28.02,28.24,263200,28.24
2013-12-23,28.03,28.29,27.93,28.14,759700,28.14
2013-12-20,27.47,28.21,27.45,27.95,2108400,27.95
2013-12-19,27.82,27.82,27.36,27.41,890600,27.41
2013-12-18,27.54,27.94,26.98,27.91,1212300,27.91
2013-12-17,27.65,27.65,27.17,27.55,1224300,27.55
2013-12-16,27.28,27.55,27.17,27.44,1366600,27.44
2013-12-13,27.56,27.67,27.14,27.20,674400,27.20
2013-12-12,27.10,27.64,26.98,27.45,1164000,27.45
2013-12-11,27.77,27.83,27.00,27.10,1196500,27.04
2013-12-10,28.04,28.09,27.74,27.80,733300,27.74
2013-12-09,28.16,28.25,27.95,28.04,739500,27.97
2013-12-06,28.10,28.14,27.84,28.11,615300,28.04
2013-12-05,27.83,27.98,27.56,27.77,939800,27.71
2013-12-04,27.62,28.12,27.52,27.94,917100,27.88
2013-12-03,28.31,28.39,27.50,27.80,1224300,27.74
2013-12-02,28.66,29.06,28.34,28.41,681900,28.34
2013-11-29,28.54,28.93,28.38,28.66,519500,28.59
2013-11-27,28.76,28.99,28.51,28.54,609600,28.47
2013-11-26,28.86,29.15,28.69,28.69,874300,28.62
2013-11-25,28.92,29.19,28.87,28.92,681900,28.85
2013-11-22,28.37,28.90,28.25,28.89,845800,28.82
2013-11-21,27.89,28.35,27.88,28.29,1163600,28.22
2013-11-20,28.35,28.45,27.75,27.84,864900,27.78
2013-11-19,28.20,28.83,28.15,28.35,967300,28.28
2013-11-18,28.39,28.75,28.19,28.23,656900,28.16
2013-11-15,27.95,28.49,27.95,28.27,1172500,28.20
2013-11-14,28.22,28.28,27.92,28.06,1047300,27.99
2013-11-13,28.04,28.11,27.78,28.11,904400,28.04
2013-11-12,28.71,28.72,28.12,28.17,827200,28.10
2013-11-11,28.88,28.93,28.65,28.75,574900,28.68
2013-11-08,28.40,28.90,28.32,28.88,947000,28.81
2013-11-07,29.26,29.27,28.38,28.46,823000,28.39
2013-11-06,29.11,29.45,28.98,29.08,733800,29.01
2013-11-05,29.04,29.30,28.84,29.11,1038600,29.04
2013-11-04,28.78,29.19,28.74,29.13,995700,29.06
2013-11-01,28.43,28.76,28.40,28.71,5128800,28.64
2013-10-31,28.85,28.93,28.34,28.34,1022600,28.27
2013-10-30,28.87,29.11,28.75,28.85,724800,28.78
2013-10-29,29.15,29.31,28.74,28.82,954300,28.75
2013-10-28,29.22,29.24,29.02,29.14,894300,29.07
2013-10-25,29.33,29.42,29.00,29.15,882400,29.08
2013-10-24,29.37,29.44,29.14,29.35,853700,29.28
2013-10-23,29.39,29.49,29.12,29.32,864900,29.25
2013-10-22,28.94,29.56,28.85,29.48,1293300,29.41
2013-10-21,28.68,28.78,28.60,28.78,586400,28.71
2013-10-18,28.52,28.71,28.45,28.70,760100,28.63
2013-10-17,28.29,28.75,28.26,28.43,929600,28.36
2013-10-16,28.23,28.58,28.11,28.44,1114800,28.37
2013-10-15,28.50,28.51,27.91,28.02,773200,27.95
2013-10-14,28.56,28.59,28.17,28.56,740700,28.49
2013-10-11,28.09,28.78,28.00,28.78,1528000,28.71
