Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,74.44,75.20,73.53,73.93,7135300,73.93
2014-01-28,74.00,75.40,73.89,75.26,4913400,75.26
2014-01-27,74.86,75.55,72.69,73.40,6933500,73.40
2014-01-24,77.67,77.86,73.85,73.91,10522000,73.91
2014-01-23,79.38,79.38,77.30,78.72,5625300,78.72
2014-01-22,80.83,80.94,79.73,80.47,6121200,80.47
2014-01-21,82.32,82.48,81.60,82.03,5106200,82.03
2014-01-17,81.01,81.96,80.51,81.93,4400900,81.93
2014-01-16,80.53,81.15,80.19,80.87,5505200,80.87
2014-01-15,80.66,81.14,80.17,81.01,2634500,81.01
2014-01-14,79.16,80.64,78.59,80.30,3410600,80.30
2014-01-13,80.24,81.10,79.00,79.17,3786600,79.17
2014-01-10,79.93,80.73,79.74,80.59,3615700,80.59
2014-01-09,81.57,81.85,80.35,80.61,4813300,80.61
2014-01-08,79.72,81.24,79.00,81.18,5799300,81.18
2014-01-07,78.04,79.42,77.99,78.98,4349200,78.98
2014-01-06,78.62,78.79,76.76,77.27,4753900,77.27
2014-01-03,79.58,79.67,77.81,78.35,3672800,78.35
2014-01-02,78.63,80.00,78.51,79.58,3861400,79.58
2013-12-31,78.92,78.98,78.20,78.87,2553500,78.87
2013-12-30,78.61,79.12,78.02,78.59,2824300,78.59
2013-12-27,78.99,79.25,78.10,78.24,2752200,78.24
2013-12-26,78.01,79.00,78.01,78.73,2749800,78.73
2013-12-24,76.77,77.99,76.70,77.65,1724600,77.65
2013-12-23,76.77,77.05,76.24,76.72,3015900,76.72
2013-12-20,77.25,77.37,76.20,76.57,4923000,76.57
2013-12-19,77.91,78.13,76.72,77.09,3934200,77.09
2013-12-18,77.59,78.12,76.40,78.06,4228500,78.06
2013-12-17,77.83,77.96,76.56,77.34,3599400,76.99
2013-12-16,77.01,77.91,77.00,77.38,3415600,77.03
2013-12-13,76.87,76.95,75.87,76.57,3326800,76.22
2013-12-12,76.54,77.15,75.90,76.18,3941100,75.84
2013-12-11,77.29,77.70,76.30,76.51,4759000,76.16
2013-12-10,76.46,77.19,76.08,76.57,3707600,76.22
2013-12-09,76.00,77.43,75.96,76.88,5262100,76.53
2013-12-06,76.24,76.26,74.43,75.77,4390100,75.43
2013-12-05,74.38,76.30,74.38,75.46,6668500,75.12
2013-12-04,71.44,74.94,71.40,74.51,8193800,74.17
2013-12-03,71.43,72.63,71.20,71.70,4777500,71.38
2013-12-02,71.70,72.22,71.14,71.63,2614100,71.31
2013-11-29,71.97,72.38,71.54,71.68,2235900,71.36
2013-11-27,70.98,72.00,70.59,71.54,3127400,71.22
2013-11-26,70.13,71.27,70.05,70.77,3200000,70.45
2013-11-25,70.57,71.16,69.67,70.26,2475800,69.94
2013-11-22,70.03,70.56,69.56,70.47,3119800,70.15
2013-11-21,69.44,70.47,69.28,69.98,3414600,69.66
2013-11-20,69.78,70.15,68.89,69.07,2884600,68.76
2013-11-19,70.80,71.12,69.14,69.35,3973900,69.04
2013-11-18,71.66,72.79,70.42,70.77,4063800,70.45
2013-11-15,70.91,71.88,70.51,71.22,4340700,70.90
2013-11-14,72.08,72.47,71.38,71.38,4166800,71.06
2013-11-13,70.70,72.14,70.61,71.95,4800900,71.62
2013-11-12,70.31,71.43,70.07,70.84,4590000,70.52
2013-11-11,69.84,70.77,69.44,70.40,2578200,70.08
2013-11-08,68.63,70.24,68.63,69.80,4122400,69.48
2013-11-07,70.87,71.00,68.19,68.46,6167300,68.15
2013-11-06,69.88,70.99,69.76,70.53,3493200,70.21
2013-11-05,69.69,70.06,69.20,69.74,2526300,69.42
2013-11-04,69.89,70.36,69.31,69.81,3462800,69.49
2013-11-01,70.95,71.10,69.55,69.88,4610900,69.56
2013-10-31,70.95,71.49,69.68,70.22,4911900,69.90
2013-10-30,71.78,72.33,70.72,71.33,3166100,71.01
2013-10-29,70.87,71.49,70.38,71.29,4030800,70.97
2013-10-28,71.92,72.12,70.66,71.18,2884900,70.86
2013-10-25,72.49,72.54,70.90,71.90,6586600,71.57
2013-10-24,71.75,72.77,71.52,72.60,4018700,72.27
2013-10-23,72.35,72.35,70.66,70.95,6151500,70.63
2013-10-22,72.64,73.49,70.30,72.85,8149300,72.52
2013-10-21,72.73,73.24,72.09,73.23,5342100,72.90
2013-10-18,71.85,73.07,71.81,72.52,8659200,72.19
2013-10-17,69.35,71.00,69.02,70.97,6003000,70.65
2013-10-16,69.76,70.21,69.24,69.53,4435200,69.22
2013-10-15,69.26,70.62,68.99,69.11,6465600,68.80
2013-10-14,67.79,68.91,67.45,68.89,3842300,68.58
2013-10-11,66.58,68.35,66.55,68.33,4494800,68.02
2013-10-10,65.89,66.66,65.86,66.28,2923400,65.98
2013-10-09,64.77,65.45,63.88,64.91,4134200,64.62
2013-10-08,65.74,66.35,63.49,64.33,5538100,64.04
2013-10-07,65.70,66.39,65.40,65.69,2073200,65.39
2013-10-04,66.04,66.71,65.91,66.36,3136600,66.06
2013-10-03,66.88,67.16,65.70,66.00,5123400,65.70
2013-10-02,66.68,67.02,66.16,66.61,3162400,66.31
2013-10-01,66.82,67.04,66.12,66.97,3531400,66.67
2013-09-30,64.46,66.87,64.20,66.42,6634200,66.12
2013-09-27,66.65,66.78,65.51,65.88,5319700,65.58
2013-09-26,66.30,67.35,66.25,66.90,4791900,66.60
2013-09-25,66.15,66.63,65.70,65.92,5316300,65.62
2013-09-24,64.67,66.50,64.62,66.10,6042900,65.80
2013-09-23,64.72,65.55,64.40,64.78,4402900,64.49
2013-09-20,65.86,65.86,64.83,65.10,5416200,64.81
2013-09-19,65.06,65.93,64.98,65.60,5874500,65.30
2013-09-18,64.07,64.72,63.19,64.64,5154700,64.35
2013-09-17,63.62,64.36,63.62,64.25,3338000,63.61
2013-09-16,64.14,64.72,63.43,63.65,4520700,63.02
2013-09-13,63.09,63.62,62.51,63.54,3169300,62.91
2013-09-12,63.50,63.73,62.30,62.85,5217700,62.22
2013-09-11,62.99,63.98,62.82,63.48,5036100,62.85
2013-09-10,62.92,63.29,62.52,63.01,7238100,62.38
2013-09-09,59.88,61.53,59.84,61.50,6921500,60.89
2013-09-06,58.97,59.60,58.03,59.24,4198600,58.65
2013-09-05,58.97,59.45,58.80,58.90,3639300,58.31
2013-09-04,58.30,58.95,57.99,58.75,5885700,58.17
2013-09-03,57.06,58.09,56.99,57.92,7055000,57.34
2013-08-30,56.72,56.98,55.96,56.35,2793100,55.79
2013-08-29,55.90,57.13,55.85,56.73,3386500,56.17
2013-08-28,54.72,56.28,54.71,55.98,4277600,55.42
2013-08-27,55.71,56.28,54.36,54.57,5938000,54.03
2013-08-26,57.02,57.45,56.17,56.36,6541700,55.80
2013-08-23,56.94,57.45,56.81,57.00,4298100,56.43
2013-08-22,56.33,57.30,56.33,56.74,3031400,56.18
2013-08-21,56.74,56.79,55.86,56.11,3532700,55.55
2013-08-20,56.94,57.36,56.66,56.85,2433600,56.28
2013-08-19,56.30,57.50,56.30,56.84,4868000,56.27
2013-08-16,56.60,57.06,56.31,56.31,2619200,55.75
2013-08-15,56.27,56.94,55.72,56.64,3158300,56.08
2013-08-14,56.54,56.95,56.35,56.68,2013700,56.12
2013-08-13,56.83,56.95,56.01,56.75,3188100,56.19
2013-08-12,55.96,57.09,55.84,56.43,2964700,55.87
2013-08-09,56.67,56.89,55.88,56.13,2420000,55.57
2013-08-08,56.52,57.08,56.26,56.70,2480300,56.14
2013-08-07,56.64,56.97,55.89,56.19,2814900,55.63
2013-08-06,57.92,58.11,56.75,56.79,3399100,56.23
2013-08-05,57.49,57.86,57.25,57.81,2727100,57.23
2013-08-02,57.14,57.72,56.70,57.49,2893900,56.92
2013-08-01,56.11,57.41,55.97,57.20,5179300,56.63
2013-07-31,56.39,56.45,55.51,55.57,4488100,55.02
2013-07-30,55.15,56.44,55.15,56.27,5014500,55.71
2013-07-29,54.77,55.52,54.62,54.85,3070600,54.30
2013-07-26,54.36,55.08,53.91,54.96,3849400,54.41
2013-07-25,54.81,54.82,52.90,54.40,8785100,53.86
2013-07-24,56.07,56.20,54.58,54.95,5579800,54.40
2013-07-23,56.50,56.55,55.69,55.71,3246700,55.16
2013-07-22,55.64,56.43,55.27,56.15,4093300,55.59
2013-07-19,56.08,56.15,55.55,55.96,3900100,55.40
2013-07-18,55.00,56.43,55.00,56.17,4217100,55.61
2013-07-17,54.92,55.25,54.81,54.91,2615900,54.36
2013-07-16,55.08,55.14,54.52,54.99,3063600,54.44
2013-07-15,54.32,55.23,54.30,54.83,3492100,54.28
2013-07-12,54.50,54.95,53.96,54.12,3386900,53.58
2013-07-11,54.04,54.57,53.85,54.54,5540900,54.00
2013-07-10,53.07,53.38,52.74,53.15,3147000,52.62
2013-07-09,52.68,53.31,51.96,53.11,5198400,52.58
2013-07-08,52.62,53.40,52.42,52.48,5535500,51.96
2013-07-05,52.31,52.66,51.66,52.44,3338500,51.92
2013-07-03,51.23,52.28,50.67,51.79,3343100,51.27
2013-07-02,53.55,53.60,51.50,51.79,6734700,51.27
2013-07-01,53.98,54.45,52.91,52.97,4950700,52.44
2013-06-28,52.54,53.41,52.27,52.93,7232400,52.40
2013-06-27,51.90,52.88,51.85,52.88,8306400,52.35
2013-06-26,51.15,51.81,50.50,51.38,10963200,50.87
2013-06-25,50.70,51.48,50.40,50.71,9670200,50.21
2013-06-24,50.47,50.83,47.95,49.47,17991200,48.98
2013-06-21,54.49,54.50,51.92,52.29,9595700,51.77
2013-06-20,55.26,55.41,53.54,53.88,9242800,53.34
2013-06-19,57.02,57.48,56.37,56.48,3266700,55.92
2013-06-18,57.22,57.54,56.94,57.07,3070800,56.50
2013-06-17,57.31,57.84,56.74,57.11,5189600,56.20
2013-06-14,56.39,57.16,56.02,56.44,3305200,55.54
2013-06-13,55.33,56.66,54.80,56.57,5095700,55.66
2013-06-12,56.47,56.75,55.12,55.38,4931800,54.49
2013-06-11,56.58,56.83,55.69,56.14,5882400,55.24
2013-06-10,57.41,58.39,57.11,57.44,5425200,56.52
2013-06-07,57.29,57.94,56.96,57.27,6303700,56.35
2013-06-06,57.49,57.57,56.25,57.03,7671900,56.12
2013-06-05,58.90,59.00,57.21,57.35,8307600,56.43
2013-06-04,57.99,59.05,57.90,58.46,3959300,57.52
2013-06-03,58.30,58.49,57.04,57.93,3846800,57.00
2013-05-31,58.81,59.35,57.89,57.90,4097100,56.97
2013-05-30,58.77,59.44,58.63,58.74,3046900,57.80
2013-05-29,58.56,59.38,58.21,58.67,4412400,57.73
2013-05-28,58.50,59.57,58.41,58.74,4838200,57.80
2013-05-24,57.50,57.70,56.82,57.55,3464100,56.63
2013-05-23,57.34,58.00,56.49,57.80,7137300,56.87
2013-05-22,59.55,60.54,58.29,58.68,6194700,57.74
2013-05-21,58.83,59.66,58.73,59.48,4145700,58.53
2013-05-20,58.71,59.26,58.59,58.93,4129000,57.99
2013-05-17,58.26,58.75,58.24,58.64,3864700,57.70
2013-05-16,58.17,59.12,57.92,57.96,4212800,57.03
2013-05-15,59.29,59.50,58.20,58.43,4767600,57.49
2013-05-14,58.90,59.97,58.61,59.49,6758800,58.54
2013-05-13,58.25,58.80,57.82,58.70,4944100,57.76
2013-05-10,57.00,58.23,57.00,58.22,4257000,57.29
2013-05-09,56.67,57.50,56.46,57.01,4227000,56.10
2013-05-08,56.83,57.17,56.41,57.01,3435500,56.10
