Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,49.47,49.65,48.79,48.86,2277900,48.86
2014-01-28,49.12,49.97,49.00,49.70,1837400,49.70
2014-01-27,49.75,50.68,48.92,49.05,3031400,49.05
2014-01-24,50.37,50.49,49.75,49.76,3320300,49.76
2014-01-23,50.61,51.16,50.32,50.58,2394000,50.58
2014-01-22,51.01,51.53,50.80,51.17,3421800,51.17
2014-01-21,51.44,51.50,50.76,50.79,3179000,50.79
2014-01-17,50.32,50.86,50.22,50.62,3094600,50.62
2014-01-16,49.89,50.60,49.53,50.57,4603200,50.57
2014-01-15,49.36,49.89,48.85,49.82,1942900,49.82
2014-01-14,48.78,49.43,48.57,49.34,1806500,49.34
2014-01-13,49.63,49.63,48.59,48.75,2818300,48.75
2014-01-10,49.14,49.29,48.74,49.28,924500,49.28
2014-01-09,49.13,49.21,48.81,48.99,1263900,48.99
2014-01-08,48.76,49.19,48.73,49.13,2036900,49.13
2014-01-07,48.65,49.13,48.48,48.66,1766300,48.66
2014-01-06,48.83,48.90,48.25,48.45,2163000,48.45
2014-01-03,49.00,49.17,48.64,48.65,1248200,48.65
2014-01-02,49.03,49.26,48.57,48.96,2127000,48.96
2013-12-31,49.00,49.44,49.00,49.35,1484100,49.35
2013-12-30,49.08,49.12,48.60,49.01,1200100,49.01
2013-12-27,48.99,49.02,48.68,48.78,875000,48.78
2013-12-26,49.71,49.84,48.59,48.91,1137800,48.91
2013-12-24,48.05,48.69,48.05,48.67,692500,48.67
2013-12-23,48.09,48.82,48.06,48.28,1088000,48.28
2013-12-20,47.97,48.32,47.87,48.15,3679100,48.15
2013-12-19,47.60,47.87,47.31,47.72,1550200,47.72
2013-12-18,46.88,47.90,46.52,47.87,1944700,47.87
2013-12-17,46.95,47.15,46.42,46.84,1782500,46.84
2013-12-16,46.73,47.45,46.61,47.09,2616600,47.09
2013-12-13,46.35,46.69,46.00,46.57,1956900,46.57
2013-12-12,45.92,46.34,45.83,46.02,1867700,46.02
2013-12-11,46.50,46.56,45.85,46.01,2470600,46.01
2013-12-10,46.60,46.73,46.45,46.57,1852700,46.57
2013-12-09,46.46,46.89,46.42,46.56,1537800,46.56
2013-12-06,46.64,46.70,45.96,46.23,1943200,46.23
2013-12-05,45.92,46.07,45.57,45.62,1914300,45.62
2013-12-04,45.44,46.18,45.25,45.91,2119800,45.91
2013-12-03,46.08,46.50,45.85,46.02,3432600,46.02
2013-12-02,47.00,47.02,46.37,46.50,2137600,46.50
2013-11-29,47.12,47.17,46.86,47.02,1346100,47.02
2013-11-27,47.20,47.30,46.88,46.93,1612000,46.93
2013-11-26,46.46,47.34,46.46,47.18,2135500,47.18
2013-11-25,46.83,47.05,46.53,46.63,1986000,46.63
2013-11-22,47.03,47.17,46.81,46.92,2379300,46.92
2013-11-21,46.49,47.13,46.27,46.91,1939800,46.91
2013-11-20,46.52,46.75,46.03,46.26,1947000,46.26
2013-11-19,46.84,46.89,46.02,46.33,2397900,46.33
2013-11-18,47.07,47.30,46.78,46.98,2949300,46.81
2013-11-15,46.95,47.58,46.95,47.02,15553500,46.85
2013-11-14,46.60,46.98,46.46,46.94,2266200,46.77
2013-11-13,46.29,46.71,46.17,46.68,2638000,46.51
2013-11-12,47.03,47.16,46.28,46.43,3261000,46.26
2013-11-11,45.97,46.49,45.67,46.10,2405900,45.93
2013-11-08,45.41,46.12,45.37,46.12,2028800,45.95
2013-11-07,46.42,46.42,45.39,45.43,2366200,45.27
2013-11-06,45.95,46.52,45.93,46.34,2871400,46.17
2013-11-05,45.57,45.97,45.44,45.85,2084100,45.68
2013-11-04,45.59,46.02,45.36,45.99,2560600,45.82
2013-11-01,45.22,45.77,45.13,45.71,2621600,45.54
2013-10-31,44.65,45.91,44.09,45.08,4457600,44.92
