Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,173.62,175.00,172.69,173.28,1672400,173.28
2014-01-28,172.53,175.65,172.50,175.26,1689400,175.26
2014-01-27,173.38,175.24,171.77,172.98,2539500,172.98
2014-01-24,176.17,177.50,172.53,173.72,4559200,173.72
2014-01-23,174.14,174.30,170.90,172.37,3465300,172.37
2014-01-22,168.60,170.39,167.29,169.68,1263000,169.68
2014-01-21,168.71,170.00,167.60,168.55,1488900,168.55
2014-01-17,168.87,169.08,167.25,168.12,1683900,168.12
2014-01-16,167.45,169.08,167.25,168.56,1392200,168.56
2014-01-15,167.61,168.13,165.81,167.32,3290400,167.32
2014-01-14,167.50,169.00,164.36,167.47,4454600,167.47
2014-01-13,175.03,175.37,160.21,167.14,6215100,167.14
2014-01-10,175.63,175.86,174.32,175.44,1180800,175.44
2014-01-09,175.44,177.00,174.20,175.33,3846400,175.33
2014-01-08,166.00,173.08,165.60,169.81,5450100,169.81
2014-01-07,160.74,163.34,160.07,161.83,2215400,161.83
2014-01-06,166.11,166.54,159.91,160.26,2017900,160.26
2014-01-03,160.25,162.10,160.11,160.71,2156200,160.71
2014-01-02,160.85,160.99,159.45,160.16,847000,160.16
2013-12-31,161.34,162.03,160.59,161.40,685800,161.40
2013-12-30,160.95,161.28,159.98,160.69,536700,160.69
2013-12-27,161.71,161.99,160.15,160.98,440600,160.98
2013-12-26,160.51,161.62,160.13,161.37,549900,161.37
2013-12-24,160.84,160.84,159.26,160.27,355100,160.27
2013-12-23,161.52,161.94,158.31,160.40,937800,160.40
2013-12-20,160.82,162.65,160.64,161.50,1489200,161.50
2013-12-19,160.08,160.68,158.50,160.59,1302700,160.59
2013-12-18,159.58,161.06,156.81,161.03,1107600,161.03
2013-12-17,157.63,158.76,156.82,158.42,1507200,158.42
2013-12-16,157.93,158.46,157.11,157.46,725300,157.46
2013-12-13,157.56,157.96,156.03,157.39,1210600,157.39
2013-12-12,157.64,158.46,156.00,156.75,1539200,156.75
2013-12-11,157.32,160.69,157.32,158.34,2154200,158.34
2013-12-10,159.86,161.67,157.00,159.94,4266900,159.94
2013-12-09,163.43,164.63,162.85,163.03,1175000,163.03
2013-12-06,161.64,163.08,160.72,162.81,1599400,162.81
2013-12-05,162.56,163.20,159.78,159.98,1866200,159.98
2013-12-04,163.52,165.18,161.97,162.74,1200300,162.74
2013-12-03,163.10,164.78,162.57,163.87,1361100,163.87
2013-12-02,165.89,166.25,164.18,164.67,978100,164.67
2013-11-29,165.73,166.57,165.25,165.89,703200,165.89
2013-11-27,165.10,165.59,163.77,165.50,908900,165.50
2013-11-26,164.97,165.39,163.58,164.35,1581500,164.11
2013-11-25,163.95,166.05,163.61,165.14,1916700,164.90
2013-11-22,160.90,164.00,160.43,163.61,1703300,163.37
2013-11-21,159.21,161.17,158.39,160.90,1007700,160.67
2013-11-20,159.67,159.93,157.83,158.39,978400,158.16
2013-11-19,159.00,159.68,157.38,159.21,916900,158.98
2013-11-18,161.34,161.60,158.58,158.78,1192900,158.55
2013-11-15,159.65,160.61,159.03,160.15,1105500,159.92
2013-11-14,157.87,159.77,155.92,159.46,2013400,159.23
2013-11-13,157.31,157.90,156.46,157.89,1331700,157.66
2013-11-12,158.45,159.67,156.85,157.89,1469100,157.66
2013-11-11,158.80,159.50,157.78,158.90,983300,158.67
2013-11-08,156.05,158.63,155.91,158.56,1331900,158.33
2013-11-07,157.48,158.00,155.80,156.29,1374200,156.06
2013-11-06,158.97,158.99,154.02,156.46,2556300,156.23
2013-11-05,159.61,159.71,158.42,158.92,1223900,158.69
2013-11-04,159.42,159.79,158.50,159.72,1239400,159.49
2013-11-01,156.29,159.57,156.00,159.44,2274100,159.21
2013-10-31,156.16,158.38,155.31,156.34,2297700,156.11
2013-10-30,156.26,157.35,155.33,156.04,2142900,155.81
2013-10-29,153.45,155.95,153.29,155.87,1941900,155.64
2013-10-28,152.88,153.90,152.06,153.28,3006300,153.06
2013-10-25,151.81,156.27,151.05,154.99,4271000,154.76
2013-10-24,154.60,155.00,147.61,150.00,6964700,149.78
2013-10-23,142.51,145.04,141.21,143.05,2640500,142.84
2013-10-22,136.35,143.23,135.68,142.13,1984000,141.92
2013-10-21,141.50,142.09,140.43,141.02,1146300,140.81
2013-10-18,143.47,143.86,140.76,141.45,1521600,141.24
2013-10-17,140.33,142.91,140.14,142.82,1501000,142.61
2013-10-16,139.07,141.19,139.00,140.79,1157400,140.58
2013-10-15,138.25,139.36,137.39,137.95,1284900,137.75
2013-10-14,137.92,138.78,136.69,138.69,904000,138.49
2013-10-11,137.88,139.00,137.23,138.31,1421500,138.11
2013-10-10,134.56,138.03,134.56,137.88,2285600,137.68
2013-10-09,134.05,134.67,132.83,133.48,2841400,133.29
2013-10-08,137.50,138.43,133.38,133.72,6324400,133.52
2013-10-07,131.24,131.30,129.57,129.63,1307900,129.44
2013-10-04,130.00,132.02,129.46,131.87,1236400,131.68
2013-10-03,129.87,130.04,128.84,129.57,1071700,129.38
2013-10-02,131.12,131.18,129.54,130.55,1028200,130.36
2013-10-01,128.97,131.82,128.97,131.52,1264800,131.33
2013-09-30,128.40,128.69,127.95,128.30,782300,128.11
2013-09-27,128.19,129.77,128.04,129.29,969600,129.10
2013-09-26,128.58,129.05,127.90,128.44,920000,128.25
2013-09-25,128.83,129.98,128.40,128.48,1454500,128.29
2013-09-24,129.11,129.72,127.45,127.91,1758100,127.72
2013-09-23,131.07,131.34,129.20,129.50,1494200,129.31
2013-09-20,131.90,132.62,130.78,131.27,2225000,131.08
2013-09-19,132.20,133.33,131.61,132.01,1637200,131.82
2013-09-18,131.21,131.89,129.58,131.61,838500,131.42
2013-09-17,129.83,131.41,129.78,131.08,923800,130.89
2013-09-16,130.03,130.45,129.43,129.78,595000,129.59
2013-09-13,128.54,128.92,128.00,128.70,720800,128.51
2013-09-12,127.80,129.62,127.80,128.60,900300,128.41
2013-09-11,125.97,127.70,125.59,127.70,1284700,127.51
2013-09-10,125.00,125.94,124.54,125.92,738100,125.74
