Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,44.85,45.61,44.48,44.68,3605000,44.68
2014-01-28,44.75,45.31,44.52,45.15,2181500,45.15
2014-01-27,45.13,45.35,44.48,44.70,3980100,44.70
2014-01-24,46.74,46.80,45.19,45.38,4918700,45.38
2014-01-23,47.32,47.53,46.51,47.02,3881800,47.02
2014-01-22,47.27,47.81,46.80,47.77,4189500,47.77
2014-01-21,48.64,48.78,48.05,48.32,2580600,48.32
2014-01-17,49.23,49.27,48.34,48.54,4044500,48.54
2014-01-16,49.32,49.60,49.05,49.32,3573600,49.32
2014-01-15,48.85,49.67,48.59,49.31,8269900,49.31
2014-01-14,46.26,48.17,46.24,48.03,5179300,48.03
2014-01-13,46.51,46.81,46.11,46.15,1506500,46.15
2014-01-10,46.25,46.74,45.90,46.55,2904300,46.55
2014-01-09,47.28,47.31,46.03,46.13,3352700,46.13
2014-01-08,46.36,47.59,46.36,46.94,4079200,46.94
2014-01-07,46.62,46.68,46.00,46.35,2489700,46.35
2014-01-06,47.10,47.18,46.47,46.58,2203800,46.58
2014-01-03,47.13,47.21,46.79,46.83,1689500,46.83
2014-01-02,47.25,47.65,46.96,47.00,1648800,47.00
2013-12-31,47.00,47.30,46.92,47.27,1624900,47.27
2013-12-30,47.11,47.34,46.94,47.01,1305200,47.01
2013-12-27,47.01,47.21,46.78,47.02,1603900,47.02
2013-12-26,46.75,47.10,46.70,46.94,1471900,46.94
2013-12-24,46.49,46.81,46.45,46.69,888800,46.69
2013-12-23,45.86,46.53,45.58,46.50,3826900,46.50
2013-12-20,44.57,45.90,44.50,45.72,5041900,45.72
2013-12-19,44.51,44.74,44.38,44.68,2370300,44.68
2013-12-18,44.48,44.80,43.89,44.78,2390600,44.78
2013-12-17,44.38,44.74,44.20,44.52,3077400,44.52
2013-12-16,44.14,44.38,43.71,44.08,2895600,44.08
2013-12-13,43.82,44.32,43.72,43.97,3058900,43.97
2013-12-12,44.23,44.32,43.72,43.79,3954600,43.79
2013-12-11,45.37,45.41,44.33,44.34,3907800,44.34
2013-12-10,45.89,45.95,45.10,45.35,3526200,45.35
2013-12-09,47.22,47.26,45.67,46.00,6299300,46.00
2013-12-06,47.26,47.91,46.64,46.79,3533300,46.79
2013-12-05,47.84,47.84,46.91,46.97,2835200,46.97
2013-12-04,46.64,48.13,46.50,47.93,5096900,47.93
2013-12-03,46.98,47.21,46.19,46.40,3723800,46.40
2013-12-02,48.00,48.25,47.38,47.47,2612900,47.22
2013-11-29,47.23,48.23,47.16,47.90,2161800,47.65
2013-11-27,46.90,47.05,46.70,46.88,2163100,46.63
2013-11-26,47.20,47.53,46.93,46.94,2436200,46.69
2013-11-25,47.51,47.87,47.01,47.16,2650100,46.91
2013-11-22,46.59,47.65,46.26,47.51,4519900,47.26
2013-11-21,47.50,47.72,46.25,46.42,3887300,46.18
2013-11-20,47.56,47.64,46.59,47.31,3771300,47.06
2013-11-19,48.32,48.67,47.12,47.78,3372900,47.53
2013-11-18,49.81,49.81,48.32,48.43,3827200,48.17
2013-11-15,48.19,49.21,48.11,49.05,4763600,48.79
2013-11-14,48.25,48.25,47.74,48.16,3346900,47.91
2013-11-13,47.75,48.30,47.61,48.20,2588200,47.95
