Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,84.38,88.20,82.01,86.52,7762900,86.52
2014-01-28,83.34,83.52,82.00,83.17,2652800,83.17
2014-01-27,82.98,83.99,81.37,83.50,4236300,83.50
2014-01-24,84.34,84.50,82.05,82.98,2723900,82.98
2014-01-23,86.26,86.86,83.77,85.44,4195400,85.44
2014-01-22,86.77,86.91,84.48,85.58,2619500,85.58
2014-01-21,86.28,87.52,85.82,86.33,2578700,86.33
2014-01-17,85.50,86.65,85.03,85.28,3530100,85.28
2014-01-16,86.27,86.80,84.68,85.70,3945800,85.70
2014-01-15,89.59,89.61,84.97,86.65,5818300,86.65
2014-01-14,89.39,90.44,88.40,89.10,3051000,89.10
2014-01-13,90.97,91.56,87.65,88.16,3451500,88.16
2014-01-10,91.00,91.86,89.24,90.97,2648900,90.97
2014-01-09,89.03,91.86,88.71,91.04,5327000,91.04
2014-01-08,89.24,89.24,87.12,88.68,4200200,88.68
2014-01-07,88.74,89.45,86.51,89.00,3776800,89.00
2014-01-06,88.56,90.01,88.13,88.71,2095800,88.71
2014-01-03,89.79,90.25,87.78,88.26,2178700,88.26
2014-01-02,91.49,91.82,88.83,89.48,3031400,89.48
2013-12-31,89.18,91.95,89.13,91.73,3208700,91.73
2013-12-30,89.08,89.47,87.49,88.50,1622600,88.50
2013-12-27,89.88,89.88,87.77,89.13,1564400,89.13
2013-12-26,89.14,89.81,88.93,89.54,1309200,89.54
2013-12-24,88.72,89.38,88.06,89.35,896700,89.35
2013-12-23,88.19,89.95,87.84,88.77,2453300,88.77
2013-12-20,85.50,88.07,85.45,87.26,5753700,87.26
2013-12-19,87.14,87.80,85.51,85.71,3496500,85.71
2013-12-18,86.47,88.25,85.43,87.42,3986000,87.42
2013-12-17,86.33,86.98,85.38,86.09,2806100,86.09
2013-12-16,85.44,87.35,85.44,86.35,4594600,86.35
2013-12-13,85.80,86.01,83.52,85.21,3740300,85.21
2013-12-12,86.11,86.84,84.45,85.70,3435500,85.70
2013-12-11,87.20,87.49,85.16,85.98,3449700,85.98
2013-12-10,85.33,88.06,83.24,87.51,5409500,87.51
2013-12-09,87.77,88.81,85.42,85.55,6057200,85.55
2013-12-06,84.70,88.86,84.66,87.20,6246300,87.20
2013-12-05,84.47,85.40,82.82,83.85,5126800,83.85
2013-12-04,84.09,85.84,82.24,83.26,7329100,83.26
2013-12-03,86.92,88.29,86.39,86.99,4824600,86.99
2013-12-02,83.84,88.24,83.42,87.41,6011600,87.41
2013-11-29,84.64,84.64,82.62,82.74,1946900,82.74
2013-11-27,81.55,85.65,81.55,84.34,5964600,84.34
2013-11-26,82.19,83.32,81.53,81.55,4713300,81.55
2013-11-25,80.55,82.10,79.74,81.78,4589200,81.78
2013-11-22,79.30,80.43,79.28,80.25,3370600,80.25
2013-11-21,77.22,78.97,76.82,78.78,2680200,78.78
2013-11-20,79.01,79.16,76.85,77.40,2874000,77.40
2013-11-19,77.48,79.75,76.73,78.83,5406400,78.83
2013-11-18,78.74,79.26,77.19,77.43,3341600,77.43
2013-11-15,78.91,79.50,77.74,78.84,4705400,78.42
2013-11-14,75.38,79.40,75.38,78.86,6926500,78.44
2013-11-13,73.75,75.17,73.24,75.10,2863600,74.70
2013-11-12,72.30,74.42,72.05,74.01,3382600,73.62
2013-11-11,71.66,72.25,70.80,72.20,1908100,71.82
2013-11-08,70.40,71.88,69.79,71.65,2525700,71.27
2013-11-07,70.06,71.08,69.38,70.43,4092400,70.05
2013-11-06,71.19,71.96,70.12,70.40,2631500,70.02
2013-11-05,71.20,71.49,70.43,70.72,2535800,70.34
2013-11-04,70.97,71.76,70.18,71.69,2421900,71.31
2013-11-01,71.84,72.05,70.15,70.86,3515800,70.48
2013-10-31,72.36,75.00,71.58,71.66,4835700,71.28
2013-10-30,70.98,72.58,70.01,72.51,3898100,72.12
2013-10-29,71.27,72.46,70.59,70.82,1884000,70.44
2013-10-28,70.38,72.59,70.30,71.20,2986200,70.82
2013-10-25,69.42,70.27,68.42,69.89,3136400,69.52
2013-10-24,72.00,72.00,69.03,69.21,5298900,68.84
2013-10-23,72.30,75.15,71.98,72.09,5051200,71.71
2013-10-22,71.39,73.20,71.39,72.50,3653600,72.11
2013-10-21,70.99,71.55,70.43,70.93,2109600,70.55
2013-10-18,70.68,70.74,69.89,70.74,2526600,70.36
2013-10-17,68.75,70.39,68.52,70.18,3189300,69.81
2013-10-16,69.36,69.36,68.21,68.95,3037600,68.58
2013-10-15,67.71,69.13,67.52,68.44,4619600,68.08
2013-10-14,66.52,67.38,65.89,67.19,2240900,66.83
2013-10-11,65.30,67.89,65.03,67.25,4488600,66.89
2013-10-10,63.38,65.91,63.01,65.31,4214200,64.96
2013-10-09,62.53,62.53,61.32,62.10,3711000,61.77
2013-10-08,63.88,63.98,62.50,62.50,3350300,62.17
2013-10-07,64.86,65.12,63.16,63.92,2512700,63.58
2013-10-04,64.84,65.74,64.18,65.23,2569100,64.88
2013-10-03,65.00,65.61,64.60,65.23,2549100,64.88
2013-10-02,63.96,65.94,63.96,65.34,4014700,64.99
2013-10-01,64.15,64.75,63.38,64.29,3324400,63.95
