Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,33.16,33.39,32.93,33.04,4636100,33.04
2014-01-28,32.97,33.44,32.94,33.36,3856900,33.36
2014-01-27,33.00,33.16,32.65,32.92,3429200,32.92
2014-01-24,33.51,33.53,32.97,33.00,4768300,33.00
2014-01-23,34.06,34.36,33.65,33.71,4603600,33.71
2014-01-22,34.36,34.49,34.14,34.40,4198800,34.40
2014-01-21,34.33,34.40,33.92,34.28,3846600,34.28
2014-01-17,34.34,34.40,33.95,33.96,3687400,33.96
2014-01-16,34.01,34.30,33.98,34.17,3725200,34.17
2014-01-15,34.56,34.70,34.00,34.01,6921000,34.01
2014-01-14,34.19,34.60,34.00,34.56,5981600,34.56
2014-01-13,34.67,34.74,34.02,34.11,4569800,34.11
2014-01-10,34.54,34.68,34.27,34.64,5967000,34.64
2014-01-09,34.39,34.93,34.18,34.50,4373200,34.50
2014-01-08,34.72,34.75,34.08,34.40,5510000,34.40
2014-01-07,34.45,34.89,34.27,34.88,3868600,34.88
2014-01-06,34.62,34.78,34.40,34.43,4318400,34.43
2014-01-03,34.85,35.04,34.43,34.52,3491800,34.52
2014-01-02,35.25,35.33,34.72,34.91,3675600,34.91
2013-12-31,35.28,35.47,35.04,35.30,3072000,35.30
2013-12-30,35.70,35.77,34.98,35.20,3403700,35.20
2013-12-27,35.36,35.66,35.17,35.63,2558700,35.63
2013-12-26,35.34,35.36,35.17,35.28,1974000,35.28
2013-12-24,35.15,35.29,35.10,35.25,1806400,35.25
2013-12-23,35.36,35.59,35.15,35.18,3503100,35.18
2013-12-20,35.02,35.48,34.90,35.16,9070400,35.16
2013-12-19,34.47,35.00,34.42,34.91,8160900,34.91
2013-12-18,35.01,35.01,34.17,34.72,10090300,34.72
2013-12-17,35.52,35.57,34.83,34.85,6098200,34.85
2013-12-16,35.84,36.07,35.46,35.59,5292100,35.59
2013-12-13,36.15,36.24,35.74,35.80,5182500,35.80
2013-12-12,35.65,36.37,35.61,36.18,6730100,36.18
2013-12-11,36.47,36.47,35.48,35.69,9384400,35.69
2013-12-10,36.40,36.48,35.86,36.10,5759400,36.10
2013-12-09,36.55,36.77,35.99,36.41,5827100,36.41
2013-12-06,36.65,36.82,36.30,36.56,6198500,36.56
2013-12-05,36.68,36.73,36.01,36.31,6858800,36.31
2013-12-04,36.24,36.95,36.08,36.74,5978900,36.74
2013-12-03,36.41,36.53,36.10,36.22,5150500,36.22
2013-12-02,36.02,37.00,35.87,36.46,4867700,36.46
2013-11-29,36.25,36.69,36.02,36.04,2570000,36.04
2013-11-27,36.69,36.92,36.12,36.23,5136100,36.23
2013-11-26,37.02,37.23,36.78,36.78,4725300,36.78
2013-11-25,37.55,37.55,36.56,36.95,4905800,36.95
2013-11-22,38.05,38.09,37.42,37.61,4534900,37.61
2013-11-21,37.21,38.18,37.20,37.93,5761600,37.93
2013-11-20,37.19,37.54,37.08,37.26,5608500,37.26
2013-11-19,36.53,37.14,36.27,36.93,6106500,36.93
2013-11-18,36.16,37.15,36.16,36.51,6730800,36.51
2013-11-15,36.52,36.75,36.30,36.73,3929600,36.54
2013-11-14,36.19,36.53,36.05,36.43,4325200,36.24
2013-11-13,35.58,36.16,35.53,36.15,4378100,35.96
2013-11-12,36.06,36.32,35.70,35.82,5102200,35.63
2013-11-11,36.45,36.57,36.16,36.29,3278400,36.10
2013-11-08,35.75,36.42,35.75,36.39,5570400,36.20
2013-11-07,36.52,36.66,35.52,35.73,8826400,35.55
2013-11-06,35.95,36.54,35.95,36.45,7714000,36.26
2013-11-05,35.56,36.34,35.39,35.67,7771900,35.49
2013-11-04,35.36,35.56,34.96,35.50,6889600,35.32
2013-11-01,35.34,35.45,34.90,35.27,6002000,35.09
2013-10-31,35.80,35.80,35.11,35.26,4233000,35.08
2013-10-30,36.00,36.25,35.34,35.76,3656500,35.58
2013-10-29,36.14,36.37,35.78,35.99,4356400,35.80
2013-10-28,35.63,36.22,35.46,36.07,5993900,35.88
2013-10-25,35.66,35.74,35.25,35.59,4074800,35.41
2013-10-24,34.84,35.69,34.70,35.60,4363200,35.42
2013-10-23,35.12,35.14,34.47,34.85,4512700,34.67
2013-10-22,35.13,35.65,35.03,35.33,7375700,35.15
2013-10-21,35.09,35.40,34.74,35.01,4596000,34.83
2013-10-18,35.23,35.36,34.96,35.28,5680700,35.10
2013-10-17,34.74,34.92,34.44,34.90,5141700,34.72
2013-10-16,35.05,35.37,34.65,34.87,4653600,34.69
2013-10-15,34.78,35.02,34.49,34.71,3728800,34.53
2013-10-14,34.58,34.99,34.41,34.83,4712300,34.65
2013-10-11,34.88,35.25,34.70,34.86,4119900,34.68
2013-10-10,34.54,35.09,34.45,35.06,3585500,34.88
2013-10-09,34.12,34.38,33.82,34.21,3705100,34.03
2013-10-08,34.61,34.77,34.16,34.16,3562200,33.98
2013-10-07,34.37,35.19,34.21,34.72,5566400,34.54
2013-10-04,34.00,34.93,33.93,34.79,6948400,34.61
2013-10-03,34.44,34.52,33.99,34.06,5904400,33.88
2013-10-02,34.83,34.89,34.26,34.60,6529400,34.42
2013-10-01,34.95,35.29,34.82,35.04,5352500,34.86
2013-09-30,34.77,35.19,34.47,34.88,5396400,34.70
2013-09-27,34.83,35.16,34.64,34.90,3614000,34.72
2013-09-26,35.78,35.79,34.92,35.28,4004900,35.10
2013-09-25,35.65,35.74,35.43,35.46,5683300,35.28
2013-09-24,35.61,35.80,35.34,35.57,5140700,35.39
2013-09-23,35.65,35.80,35.44,35.55,4038500,35.37
2013-09-20,36.51,36.53,35.77,35.90,7792200,35.71
2013-09-19,36.44,36.50,36.04,36.42,5611400,36.23
2013-09-18,35.91,36.42,35.58,36.40,7006600,36.21
2013-09-17,35.45,36.05,35.41,35.93,4702000,35.74
2013-09-16,35.88,35.96,35.34,35.46,5071000,35.28
2013-09-13,36.17,36.35,35.49,35.57,5156200,35.39
2013-09-12,36.43,36.67,35.92,35.98,6046900,35.79
2013-09-11,35.77,36.63,35.76,36.49,6645800,36.30
2013-09-10,36.47,36.47,35.49,35.77,10855900,35.58
2013-09-09,35.86,36.40,35.84,36.24,6572200,36.05
2013-09-06,35.98,36.14,35.38,35.69,8676600,35.51
2013-09-05,35.60,36.12,35.53,35.89,6788400,35.70
2013-09-04,35.20,35.82,35.15,35.50,7033500,35.32
2013-09-03,34.86,35.25,34.77,35.17,5976000,34.99
2013-08-30,34.63,34.75,34.30,34.43,6070200,34.25
2013-08-29,34.48,34.89,34.35,34.54,6002100,34.36
2013-08-28,33.59,34.88,33.56,34.60,7136400,34.42
2013-08-27,32.83,33.75,32.83,33.38,6813100,33.21
2013-08-26,33.41,33.55,33.15,33.32,3570300,33.15
2013-08-23,33.46,33.61,33.18,33.38,4325000,33.21
2013-08-22,33.42,33.70,33.20,33.47,4987700,33.30
2013-08-21,33.15,33.24,32.73,32.80,4853600,32.63
2013-08-20,32.65,33.59,32.54,33.25,5812300,33.08
2013-08-19,34.00,34.00,32.57,32.61,8567400,32.44
2013-08-16,34.46,34.64,34.12,34.26,5118200,33.89
2013-08-15,34.42,34.84,34.16,34.65,4428600,34.28
2013-08-14,34.34,34.76,34.34,34.60,5423500,34.23
2013-08-13,34.70,34.71,34.13,34.36,8564000,33.99
2013-08-12,34.19,34.80,34.01,34.65,6153800,34.28
2013-08-09,33.97,34.80,33.91,34.55,9488700,34.18
2013-08-08,35.30,35.37,34.43,34.67,7464400,34.30
2013-08-07,34.22,35.60,33.66,35.13,10446100,34.75
2013-08-06,37.75,37.85,36.59,36.88,5606800,36.49
2013-08-05,37.51,37.87,37.40,37.83,3470500,37.43
2013-08-02,37.29,37.59,37.07,37.56,2934800,37.16
2013-08-01,36.76,37.59,36.76,37.52,3923800,37.12
2013-07-31,36.44,36.75,36.26,36.36,3553300,35.97
2013-07-30,36.25,36.39,35.62,36.28,4256200,35.89
2013-07-29,36.31,36.40,35.77,36.18,2973400,35.79
2013-07-26,36.58,36.76,36.25,36.41,3435300,36.02
2013-07-25,36.68,37.21,36.52,36.80,3609700,36.41
2013-07-24,37.51,37.57,36.54,36.81,4086200,36.42
2013-07-23,37.29,37.77,37.19,37.73,3996300,37.33
