Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,32.34,32.63,32.22,32.51,965900,32.51
2014-01-28,32.59,32.99,32.59,32.92,997500,32.51
2014-01-27,33.16,33.24,32.35,32.52,1630800,32.12
2014-01-24,33.00,33.31,32.93,33.02,1567900,32.61
2014-01-23,33.01,33.11,32.75,33.09,1260500,32.68
2014-01-22,32.60,33.10,32.58,33.03,995600,32.62
2014-01-21,32.10,32.66,32.03,32.59,1317300,32.19
2014-01-17,32.40,32.44,31.83,31.87,1279200,31.48
2014-01-16,32.19,32.43,32.06,32.40,1259200,32.00
2014-01-15,31.70,32.20,31.58,32.09,765300,31.70
2014-01-14,31.32,31.83,31.31,31.69,714700,31.30
2014-01-13,31.75,31.79,31.25,31.31,1009200,30.92
2014-01-10,31.19,31.98,31.01,31.84,1310400,31.45
2014-01-09,30.98,31.12,30.55,30.79,709700,30.41
2014-01-08,31.08,31.21,30.75,30.95,1005900,30.57
2014-01-07,31.03,31.46,30.81,31.15,1183200,30.77
2014-01-06,30.94,31.02,30.67,30.95,930200,30.57
2014-01-03,30.36,30.85,30.36,30.81,838600,30.43
2014-01-02,30.33,30.46,30.08,30.40,977900,30.03
2013-12-31,30.40,30.50,30.29,30.33,722500,29.96
2013-12-30,30.50,30.65,30.30,30.33,855600,29.96
2013-12-27,30.45,30.50,30.35,30.43,637700,30.06
2013-12-26,30.76,30.98,30.48,30.49,538200,30.11
2013-12-24,30.54,30.98,30.50,30.65,449500,30.27
2013-12-23,30.67,30.82,30.52,30.61,832600,30.23
2013-12-20,30.55,30.61,30.40,30.49,1128100,30.11
2013-12-19,31.07,31.10,30.36,30.42,1515000,30.05
2013-12-18,31.00,31.33,30.28,31.29,1031000,30.91
2013-12-17,30.55,30.90,30.40,30.87,855400,30.49
2013-12-16,30.45,30.72,30.45,30.58,886400,30.20
2013-12-13,30.22,30.61,30.01,30.48,970600,30.11
2013-12-12,30.25,30.40,30.09,30.09,1268900,29.72
2013-12-11,31.10,31.15,30.11,30.20,1383300,29.83
2013-12-10,31.45,31.64,31.10,31.14,688100,30.76
2013-12-09,31.19,31.49,30.88,31.42,985100,31.03
2013-12-06,31.20,31.39,30.98,31.19,889300,30.81
2013-12-05,30.87,31.07,30.64,30.86,1244500,30.48
2013-12-04,31.20,31.59,30.92,31.14,1293800,30.76
2013-12-03,31.60,31.72,31.35,31.45,532300,31.06
2013-12-02,31.75,32.01,31.44,31.69,1009200,31.30
2013-11-29,32.27,32.30,31.71,31.75,443400,31.36
2013-11-27,32.03,32.26,31.90,32.15,942300,31.75
2013-11-26,32.32,32.35,31.97,32.00,1110000,31.61
2013-11-25,32.80,32.80,32.29,32.36,659800,31.96
2013-11-22,33.03,33.11,32.67,32.70,593100,32.30
2013-11-21,33.00,33.25,32.70,33.08,890900,32.67
2013-11-20,33.32,33.64,32.84,32.92,1071300,32.51
2013-11-19,33.33,33.67,33.08,33.27,1029100,32.86
2013-11-18,33.90,33.97,33.40,33.44,738800,33.03
2013-11-15,33.55,33.95,33.54,33.92,1197200,33.50
2013-11-14,32.86,33.65,32.86,33.49,1161800,33.08
2013-11-13,32.58,33.06,32.49,32.77,1529500,32.37
2013-11-12,32.74,32.83,32.20,32.61,2228500,32.21
2013-11-11,32.53,32.98,32.40,32.91,1397000,32.51
2013-11-08,33.50,33.68,32.21,32.44,1956100,32.04
2013-11-07,33.96,34.08,33.54,33.71,1336700,33.30
2013-11-06,33.88,34.36,33.78,33.90,1096600,33.48
2013-11-05,34.44,34.66,33.67,33.83,1376200,33.41
2013-11-04,34.43,34.79,34.12,34.74,1557800,34.31
2013-11-01,34.28,34.63,34.02,34.43,1819000,34.01
2013-10-31,34.97,35.12,34.40,34.40,2763600,33.98
2013-10-30,34.84,34.97,34.53,34.91,1974600,34.48
2013-10-29,35.11,35.11,34.57,34.78,1833900,34.35
2013-10-28,35.25,35.32,34.98,35.20,2627100,34.37
2013-10-25,34.15,35.51,34.05,35.20,1885900,34.37
2013-10-24,33.67,34.11,33.45,34.00,1285200,33.20
2013-10-23,32.96,33.76,32.78,33.66,3456800,32.86
2013-10-22,33.00,33.28,32.74,32.98,1472000,32.20
2013-10-21,33.53,33.56,32.80,32.94,981000,32.16
2013-10-18,33.84,33.85,33.26,33.53,3319300,32.74
2013-10-17,32.95,33.85,32.93,33.74,1612200,32.94
2013-10-16,32.54,33.04,32.47,32.99,955800,32.21
2013-10-15,32.74,32.98,32.33,32.45,1456000,31.68
2013-10-14,32.83,33.04,32.47,32.90,1260800,32.12
2013-10-11,32.59,32.96,32.16,32.93,1318800,32.15
2013-10-10,31.54,32.14,31.40,32.12,978600,31.36
2013-10-09,31.36,31.75,31.23,31.24,1205700,30.50
2013-10-08,31.93,32.04,31.24,31.24,1890900,30.50
2013-10-07,31.88,32.34,31.83,31.97,1338700,31.21
2013-10-04,32.43,32.49,31.82,32.12,1573800,31.36
2013-10-03,32.37,32.65,32.01,32.34,2182200,31.57
2013-10-02,32.82,33.00,32.48,32.54,2068300,31.77
2013-10-01,31.80,33.07,31.78,33.03,2855600,32.25
2013-09-30,31.61,31.93,31.52,31.82,1584600,31.07
2013-09-27,32.16,32.29,31.81,31.90,2505500,31.15
2013-09-26,31.65,32.19,31.62,32.18,1705100,31.42
2013-09-25,31.24,31.59,30.93,31.58,1182600,30.83
2013-09-24,30.80,31.23,30.50,31.08,1168600,30.34
2013-09-23,31.04,31.36,30.65,30.80,1042900,30.07
2013-09-20,31.55,31.55,30.80,31.11,1868100,30.37
