Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,42.77,43.04,42.56,42.81,1577800,42.81
2014-01-28,42.84,43.04,42.66,42.96,1557700,42.96
2014-01-27,42.43,42.98,42.35,42.81,1726300,42.81
2014-01-24,43.01,43.16,42.43,42.43,2365000,42.43
2014-01-23,43.22,43.37,43.00,43.13,1383600,43.13
2014-01-22,43.02,43.53,42.99,43.34,2064200,43.34
2014-01-21,42.84,43.11,42.65,43.05,2437400,43.05
2014-01-17,42.35,42.61,42.18,42.59,1928400,42.59
2014-01-16,42.06,42.24,41.89,42.23,1056900,42.23
2014-01-15,42.31,42.37,41.85,42.04,1599000,42.04
2014-01-14,42.33,42.52,42.20,42.29,1686700,42.29
2014-01-13,42.55,42.65,42.23,42.33,2004000,42.33
2014-01-10,42.14,42.84,42.14,42.65,1657400,42.65
2014-01-09,41.75,41.98,41.44,41.92,2354100,41.92
2014-01-08,41.77,41.86,41.46,41.74,2225300,41.74
2014-01-07,41.64,41.94,41.64,41.92,1143200,41.92
2014-01-06,41.64,41.64,41.28,41.55,2159200,41.55
2014-01-03,41.75,41.85,41.31,41.52,2252000,41.52
2014-01-02,42.35,42.42,41.70,41.72,2915300,41.72
2013-12-31,42.45,42.52,42.25,42.39,1553000,42.39
2013-12-30,42.12,42.48,42.09,42.38,1146400,42.38
2013-12-27,42.13,42.41,42.01,42.20,1051200,42.20
2013-12-26,42.27,42.37,42.09,42.24,938800,42.24
2013-12-24,42.08,42.47,41.91,42.25,551700,42.25
2013-12-23,42.32,42.53,42.11,42.16,1093300,42.16
2013-12-20,41.98,42.35,41.91,42.11,2711400,42.11
2013-12-19,41.82,41.93,41.26,41.88,1665800,41.88
2013-12-18,41.46,42.03,40.93,42.01,1844400,42.01
2013-12-17,41.72,41.83,41.38,41.51,1376400,41.51
2013-12-16,41.76,42.09,41.63,41.74,2203300,41.74
2013-12-13,41.62,41.77,41.33,41.59,3603500,41.59
2013-12-12,40.86,41.53,40.86,41.37,3132500,41.37
2013-12-11,40.82,41.28,40.64,40.96,4933300,40.96
2013-12-10,41.29,41.31,41.00,41.05,3054900,40.68
2013-12-09,41.64,41.72,41.13,41.34,1305500,40.97
2013-12-06,41.20,41.59,41.11,41.58,1409700,41.21
2013-12-05,41.05,41.21,40.79,40.91,1691200,40.54
2013-12-04,40.71,41.31,40.60,41.12,1567900,40.75
2013-12-03,40.88,41.17,40.70,40.96,1451800,40.59
2013-12-02,41.09,41.19,40.68,40.96,1640400,40.59
2013-11-29,40.77,41.39,40.77,41.08,951700,40.71
2013-11-27,41.27,41.35,41.07,41.18,1240700,40.81
2013-11-26,41.90,41.96,41.19,41.22,2366600,40.85
2013-11-25,42.29,42.29,41.87,41.87,1083000,41.50
2013-11-22,42.11,42.29,41.90,42.18,1444800,41.80
2013-11-21,42.13,42.42,41.94,42.18,1279000,41.80
2013-11-20,42.48,42.49,41.80,42.04,2288100,41.66
2013-11-19,42.80,42.83,42.26,42.42,1155000,42.04
2013-11-18,43.01,43.04,42.66,42.85,945600,42.47
2013-11-15,42.66,42.94,42.49,42.93,1242400,42.55
2013-11-14,42.33,43.03,42.33,42.76,1372300,42.38
2013-11-13,41.71,42.19,41.46,42.17,1624000,41.79
2013-11-12,42.17,42.25,41.67,41.95,1751800,41.57
2013-11-11,42.34,42.54,42.10,42.37,737400,41.99
2013-11-08,42.27,42.27,41.49,42.27,1504000,41.89
2013-11-07,43.04,43.18,42.29,42.40,1141000,42.02
2013-11-06,42.50,43.16,42.43,42.95,1352100,42.57
2013-11-05,42.63,43.02,42.43,42.46,1353800,42.08
2013-11-04,42.58,42.75,42.29,42.67,876300,42.29
2013-11-01,42.89,43.18,42.20,42.50,3119800,42.12
2013-10-31,43.13,43.28,42.42,42.89,1278700,42.51
2013-10-30,43.42,43.74,43.10,43.12,944700,42.73
2013-10-29,43.68,43.75,43.23,43.46,1146000,43.07
2013-10-28,43.43,43.66,43.16,43.32,836600,42.93
2013-10-25,42.77,43.43,42.61,43.41,1166400,43.02
2013-10-24,43.13,43.27,42.74,42.88,1161700,42.50
2013-10-23,42.40,43.19,42.40,42.91,2430800,42.53
2013-10-22,42.33,42.82,42.21,42.60,1904100,42.22
2013-10-21,42.31,42.38,41.96,42.23,1069000,41.85
2013-10-18,42.50,42.60,42.24,42.34,1232200,41.96
2013-10-17,41.50,42.37,41.24,42.29,2722000,41.91
2013-10-16,41.32,41.57,41.17,41.53,1589200,41.16
2013-10-15,41.58,41.69,41.01,41.12,1348900,40.75
2013-10-14,42.00,42.15,41.33,41.73,1543100,41.36
2013-10-11,41.95,42.23,41.83,42.16,952600,41.78
2013-10-10,41.45,42.03,41.13,41.95,1099800,41.57
2013-10-09,41.10,41.76,41.00,41.20,1109900,40.83
2013-10-08,40.68,41.35,40.60,41.02,1657000,40.65
2013-10-07,40.64,41.08,40.64,40.68,1001300,40.32
2013-10-04,41.00,41.16,40.82,41.02,1024000,40.65
2013-10-03,41.29,41.35,40.83,41.03,1419700,40.66
2013-10-02,41.18,41.59,41.16,41.47,1678200,41.10
2013-10-01,41.29,41.51,41.16,41.37,1269100,41.00
2013-09-30,41.22,41.44,41.01,41.25,1528600,40.88
2013-09-27,41.58,41.73,41.19,41.44,2107800,41.07
2013-09-26,41.45,41.68,41.34,41.44,1155200,41.07
2013-09-25,41.61,41.81,41.32,41.34,1313700,40.97
2013-09-24,41.58,41.70,41.37,41.54,1230000,41.17
2013-09-23,40.99,41.79,40.88,41.63,1303500,41.26
2013-09-20,41.70,41.84,41.19,41.19,1899600,40.82
2013-09-19,41.99,42.20,41.60,41.70,1208300,41.33
2013-09-18,40.51,42.01,40.34,41.89,1736000,41.52
2013-09-17,40.42,40.63,40.29,40.52,975200,40.16
2013-09-16,40.76,41.00,40.30,40.40,1494000,40.04
2013-09-13,40.21,40.45,40.17,40.29,1204300,39.93
2013-09-12,40.48,40.61,40.01,40.09,1178300,39.73
2013-09-11,40.99,40.99,40.39,40.70,2074200,39.97
2013-09-10,40.83,40.96,40.59,40.96,4242800,40.23
2013-09-09,40.26,40.71,40.12,40.66,4325400,39.93
2013-09-06,40.42,40.78,40.20,40.25,4731100,39.53
2013-09-05,40.44,40.62,40.13,40.26,1301700,39.54
2013-09-04,40.35,40.62,40.08,40.51,1938100,39.78
2013-09-03,41.23,41.38,40.30,40.34,1643200,39.62
2013-08-30,40.99,41.23,40.73,40.97,1347600,40.24
2013-08-29,41.01,41.23,40.83,40.97,1426500,40.24
2013-08-28,41.22,41.55,40.99,41.16,3034500,40.42
2013-08-27,40.93,41.45,40.93,41.29,1448500,40.55
2013-08-26,41.75,41.87,41.22,41.33,1040400,40.59
2013-08-23,41.31,41.72,41.11,41.71,1548700,40.96
2013-08-22,41.12,41.40,40.91,41.24,1039800,40.50
2013-08-21,41.53,41.53,40.81,41.01,1787500,40.28
2013-08-20,41.33,41.79,41.21,41.57,1603500,40.83
2013-08-19,41.26,41.49,41.05,41.22,1657000,40.48
2013-08-16,41.77,41.83,41.18,41.30,2387200,40.56
2013-08-15,42.33,42.46,41.86,41.87,1095700,41.12
2013-08-14,43.03,43.08,42.48,42.61,1541000,41.85
2013-08-13,43.47,43.54,43.06,43.06,917300,42.29
2013-08-12,43.63,43.67,43.28,43.49,1186100,42.71
2013-08-09,44.21,44.29,43.69,43.77,1332600,42.99
2013-08-08,44.24,44.42,43.95,44.21,1155500,43.42
2013-08-07,43.63,44.29,43.62,44.16,1575500,43.37
2013-08-06,44.30,44.42,43.63,43.66,1444700,42.88
2013-08-05,44.63,44.63,44.23,44.26,807800,43.47
2013-08-02,44.89,45.05,44.50,44.69,1060100,43.89
2013-08-01,44.60,45.13,44.50,45.05,1430400,44.24
2013-07-31,44.58,44.62,44.03,44.41,1744500,43.62
2013-07-30,44.11,44.83,44.11,44.57,1298100,43.77
2013-07-29,44.10,44.27,43.84,44.04,1712200,43.25
2013-07-26,44.21,44.45,43.83,44.23,1884700,43.44
2013-07-25,44.12,44.46,43.91,44.37,1072500,43.58
2013-07-24,44.95,44.95,44.06,44.17,1005400,43.38
2013-07-23,44.69,45.00,44.51,44.92,803700,44.12
2013-07-22,44.78,44.86,44.53,44.68,935500,43.88
2013-07-19,44.73,44.85,44.46,44.83,1115400,44.03
2013-07-18,44.06,44.67,43.98,44.62,1004900,43.82
2013-07-17,44.13,44.29,43.81,43.93,1027800,43.14
2013-07-16,44.09,44.16,43.58,43.89,1532300,43.10
2013-07-15,43.22,44.15,43.17,44.10,962700,43.31
2013-07-12,43.16,43.36,42.80,43.28,1016600,42.51
2013-07-11,42.80,43.18,42.68,43.14,1299300,42.37
2013-07-10,42.14,42.35,41.93,42.33,1020200,41.57
2013-07-09,41.99,42.23,41.83,42.19,1161500,41.43
2013-07-08,41.24,41.82,41.07,41.76,1180800,41.01
2013-07-05,41.42,41.43,40.57,41.13,766400,40.39
2013-07-03,41.11,41.41,40.86,41.38,732900,40.64
2013-07-02,41.18,41.53,40.90,41.13,1404700,40.39
2013-07-01,42.17,42.37,41.13,41.25,2234200,40.51
2013-06-28,41.71,42.34,41.36,42.02,3032700,41.27
2013-06-27,41.50,42.26,41.45,41.74,1837000,40.99
2013-06-26,40.82,41.36,40.76,41.26,1232100,40.52
2013-06-25,40.43,40.70,39.94,40.54,1714000,39.81
2013-06-24,39.94,40.44,39.51,40.14,1308500,39.42
2013-06-21,39.88,40.54,39.35,40.37,2730800,39.65
2013-06-20,41.05,41.05,39.43,39.61,2884900,38.90
