Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,17.00,17.00,15.76,16.36,5651100,16.36
2014-01-28,16.75,16.89,16.68,16.72,2635700,16.72
2014-01-27,16.83,16.95,16.72,16.73,2200500,16.73
2014-01-24,17.13,17.15,16.78,16.79,2935600,16.79
2014-01-23,17.27,17.33,17.16,17.23,1847700,17.23
2014-01-22,17.20,17.36,17.16,17.34,1550900,17.34
2014-01-21,17.13,17.20,17.03,17.18,2076300,17.18
2014-01-17,17.09,17.12,16.95,17.02,1688600,17.02
2014-01-16,17.10,17.10,16.94,17.05,1265100,17.05
2014-01-15,17.04,17.22,17.00,17.10,1789500,17.10
2014-01-14,16.94,17.01,16.87,16.98,2122200,16.98
2014-01-13,16.94,17.00,16.85,16.94,2131700,16.94
2014-01-10,17.20,17.39,16.93,17.00,3286300,17.00
2014-01-09,17.05,17.27,17.05,17.19,2857300,17.19
2014-01-08,16.85,17.10,16.74,17.05,2564200,17.05
2014-01-07,16.71,16.88,16.63,16.82,1877900,16.82
2014-01-06,16.70,16.75,16.55,16.56,1566000,16.56
2014-01-03,16.65,16.72,16.59,16.64,1133000,16.64
2014-01-02,16.79,16.85,16.57,16.62,1653300,16.62
2013-12-31,16.80,16.89,16.77,16.85,1374800,16.85
2013-12-30,16.70,16.79,16.69,16.75,1305100,16.75
2013-12-27,16.70,16.86,16.67,16.75,1385100,16.75
2013-12-26,16.71,16.81,16.66,16.66,1474000,16.66
2013-12-24,16.64,16.73,16.63,16.69,714200,16.69
2013-12-23,16.63,16.69,16.56,16.62,1518300,16.62
2013-12-20,16.45,16.58,16.39,16.56,3059900,16.56
2013-12-19,16.41,16.42,16.27,16.34,1917200,16.34
2013-12-18,16.33,16.45,16.20,16.44,1479800,16.44
2013-12-17,16.33,16.33,16.12,16.31,1850000,16.31
2013-12-16,16.24,16.35,16.22,16.33,1591800,16.33
2013-12-13,16.24,16.33,16.16,16.23,1072600,16.23
2013-12-12,16.12,16.27,16.10,16.19,1596700,16.19
2013-12-11,16.39,16.48,16.11,16.11,1774900,16.11
2013-12-10,16.34,16.49,16.27,16.34,1719200,16.34
2013-12-09,16.45,16.49,16.33,16.38,1698000,16.38
2013-12-06,16.32,16.45,16.19,16.39,1776800,16.39
2013-12-05,16.33,16.33,16.13,16.25,1833800,16.25
2013-12-04,16.15,16.44,16.13,16.32,2482300,16.32
2013-12-03,16.54,16.62,16.30,16.41,2308300,16.41
2013-12-02,16.51,16.74,16.39,16.54,2607500,16.54
2013-11-29,16.51,16.58,16.41,16.52,1206300,16.52
2013-11-27,16.55,16.55,16.36,16.42,1492400,16.42
2013-11-26,16.53,16.61,16.49,16.50,2159100,16.50
2013-11-25,16.50,16.60,16.46,16.53,1392500,16.53
2013-11-22,16.40,16.47,16.32,16.47,1551500,16.47
2013-11-21,16.29,16.47,16.18,16.41,2102300,16.41
2013-11-20,16.37,16.39,16.12,16.22,2976400,16.22
2013-11-19,16.38,16.41,16.29,16.34,1698700,16.34
2013-11-18,16.48,16.48,16.25,16.27,2162100,16.27
2013-11-15,16.70,16.70,16.45,16.45,1840800,16.45
2013-11-14,16.57,16.70,16.53,16.62,1907600,16.62
2013-11-13,16.32,16.51,16.31,16.51,1741100,16.51
2013-11-12,16.38,16.47,16.27,16.41,2360800,16.41
2013-11-11,16.33,16.50,16.27,16.43,2523900,16.43
2013-11-08,16.01,16.32,16.00,16.30,2759600,16.30
2013-11-07,16.11,16.20,15.95,16.04,3216900,16.04
2013-11-06,15.98,16.05,15.90,16.05,1919900,16.05
2013-11-05,16.00,16.00,15.63,15.91,4545200,15.91
2013-11-04,16.19,16.33,16.09,16.30,2560300,16.05
2013-11-01,16.20,16.24,16.07,16.18,2483400,15.93
2013-10-31,16.15,16.32,16.10,16.21,2951200,15.96
2013-10-30,16.30,16.34,16.13,16.15,1995400,15.90
2013-10-29,16.16,16.29,16.10,16.28,2413400,16.03
2013-10-28,16.02,16.20,16.02,16.09,1561600,15.84
2013-10-25,16.07,16.15,15.96,16.08,1856800,15.83
2013-10-24,15.83,16.06,15.81,16.04,2691700,15.79
2013-10-23,15.81,15.89,15.51,15.80,2808000,15.56
2013-10-22,15.81,15.85,15.75,15.81,1930200,15.57
2013-10-21,15.79,15.84,15.72,15.78,1948300,15.54
2013-10-18,15.92,15.94,15.66,15.82,2864900,15.58
2013-10-17,15.78,15.96,15.70,15.90,3226700,15.66
2013-10-16,15.61,15.80,15.59,15.79,1938400,15.55
2013-10-15,15.61,15.75,15.56,15.58,1698200,15.34
2013-10-14,15.53,15.69,15.50,15.66,2209800,15.42
2013-10-11,15.64,15.65,15.36,15.63,3923500,15.39
2013-10-10,15.40,15.64,15.38,15.63,2539300,15.39
2013-10-09,15.20,15.31,15.15,15.21,1941900,14.98
2013-10-08,15.25,15.36,15.20,15.20,2015600,14.97
2013-10-07,15.39,15.40,15.25,15.25,1517000,15.02
2013-10-04,15.34,15.49,15.31,15.46,1898900,15.22
2013-10-03,15.19,15.43,15.16,15.36,2224900,15.12
2013-10-02,15.41,15.43,15.21,15.24,2161900,15.01
