Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,40.30,40.60,40.21,40.54,2017900,40.54
2014-01-28,39.73,40.60,39.73,40.55,3127100,40.55
2014-01-27,39.64,39.92,39.41,39.67,2489700,39.67
2014-01-24,39.49,39.67,39.25,39.54,1884300,39.54
2014-01-23,39.54,39.58,39.27,39.54,1877000,39.54
2014-01-22,39.46,39.78,39.13,39.54,2336800,39.54
2014-01-21,38.47,39.30,38.47,39.30,1613500,39.30
2014-01-17,38.56,38.64,38.34,38.41,1291300,38.41
2014-01-16,38.61,38.75,38.43,38.56,2133200,38.56
2014-01-15,38.84,39.00,38.69,38.77,1367300,38.77
2014-01-14,38.37,38.83,38.29,38.69,1304400,38.69
2014-01-13,38.53,38.65,38.15,38.29,1507100,38.29
2014-01-10,37.88,38.66,37.71,38.56,2433700,38.56
2014-01-09,37.69,37.82,37.30,37.78,1505800,37.78
2014-01-08,38.12,38.14,37.51,37.68,1809700,37.68
2014-01-07,38.28,38.35,37.93,38.12,2024000,38.12
2014-01-06,37.97,38.05,37.61,37.93,1896600,37.93
2014-01-03,37.43,37.81,37.42,37.73,1230500,37.73
2014-01-02,37.38,37.41,37.01,37.35,1632100,37.35
2013-12-31,37.46,37.75,37.28,37.33,1839400,37.33
2013-12-30,37.83,37.86,37.43,37.50,1808900,37.50
2013-12-27,38.09,38.13,37.65,37.86,1187400,37.86
2013-12-26,38.32,38.50,37.98,38.13,1430400,38.13
2013-12-24,37.88,38.28,37.80,38.13,874200,38.13
2013-12-23,37.89,38.15,37.75,37.84,1763300,37.84
2013-12-20,38.01,38.14,37.60,37.64,3885800,37.64
2013-12-19,39.67,39.70,37.77,38.04,3622700,38.04
2013-12-18,39.16,39.88,38.53,39.73,3102200,39.73
2013-12-17,38.22,39.04,38.15,39.01,3031600,39.01
2013-12-16,38.55,38.69,38.19,38.21,2610000,38.21
2013-12-13,37.25,38.30,37.23,38.25,3324500,38.25
2013-12-12,36.99,37.18,36.67,37.18,3082100,37.18
2013-12-11,37.62,37.65,36.92,36.95,2562400,36.95
2013-12-10,37.35,37.59,37.33,37.46,2028100,37.46
2013-12-09,37.10,37.37,36.94,37.33,1938600,37.33
2013-12-06,36.85,37.25,36.74,37.08,2090200,37.08
2013-12-05,36.80,37.03,36.58,36.68,2383500,36.68
2013-12-04,37.46,37.51,36.75,36.87,2657000,36.87
2013-12-03,37.75,37.87,37.55,37.60,1476100,37.60
2013-12-02,38.10,38.24,37.80,37.86,2158900,37.86
2013-11-29,38.42,38.49,38.02,38.11,848200,38.11
2013-11-27,37.88,38.51,37.88,38.33,2219500,38.33
2013-11-26,38.17,38.51,37.87,37.88,8205600,37.70
2013-11-25,38.95,38.96,38.25,38.28,2426000,38.10
2013-11-22,38.99,39.08,38.63,38.78,1661500,38.59
2013-11-21,39.01,39.17,38.65,38.91,1974800,38.72
2013-11-20,39.78,39.87,38.75,38.90,2766100,38.71
2013-11-19,40.16,40.38,39.74,39.74,1597900,39.55
2013-11-18,40.89,40.93,40.09,40.15,1273500,39.96
2013-11-15,40.65,40.93,40.50,40.82,1246400,40.62
2013-11-14,40.28,40.88,40.25,40.57,1106500,40.38
2013-11-13,39.80,40.25,39.71,40.10,1421100,39.91
2013-11-12,40.19,40.19,39.37,39.90,2701900,39.71
2013-11-11,40.17,40.44,39.96,40.06,1464800,39.87
2013-11-08,41.15,41.15,39.91,40.06,2338400,39.87
2013-11-07,42.02,42.09,41.36,41.37,1544500,41.17
2013-11-06,41.54,42.12,41.50,41.89,1492700,41.69
2013-11-05,41.75,42.02,41.44,41.45,1807800,41.25
2013-11-04,41.95,42.14,41.44,41.85,1580600,41.65
2013-11-01,41.71,42.04,41.50,41.95,1828900,41.75
2013-10-31,42.57,42.59,41.42,41.65,2445900,41.45
2013-10-30,42.89,43.02,42.52,42.62,2126500,42.42
2013-10-29,43.03,43.06,42.65,42.97,2339700,42.58
2013-10-28,43.00,43.21,42.65,43.07,2161400,42.68
2013-10-25,41.64,42.99,41.51,42.98,2887700,42.59
2013-10-24,41.42,41.69,41.08,41.54,2735100,41.17
2013-10-23,40.95,41.46,40.73,41.46,4755700,41.09
2013-10-22,40.50,41.20,40.41,40.95,11618900,40.58
2013-10-21,41.86,41.92,41.19,41.25,1750300,40.88
2013-10-18,42.45,42.61,41.65,41.86,1376200,41.48
