Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,33.53,33.83,33.40,33.55,930900,33.55
2014-01-28,33.77,33.90,33.39,33.69,750400,33.69
2014-01-27,33.52,33.86,33.50,33.67,1130000,33.67
2014-01-24,33.97,34.21,33.62,33.63,1096100,33.63
2014-01-23,34.28,34.45,34.06,34.22,1140200,34.22
2014-01-22,34.26,34.52,34.25,34.38,861000,34.38
2014-01-21,34.16,34.42,33.99,34.36,728700,34.36
2014-01-17,33.90,34.15,33.85,34.11,653600,34.11
2014-01-16,33.79,33.94,33.58,33.87,649900,33.87
2014-01-15,33.79,33.92,33.65,33.84,688300,33.84
2014-01-14,33.63,33.86,33.54,33.80,803100,33.80
2014-01-13,34.09,34.09,33.46,33.58,860700,33.58
2014-01-10,33.85,34.26,33.85,34.11,787300,34.11
2014-01-09,33.54,33.77,33.31,33.67,923000,33.67
2014-01-08,33.51,33.67,33.28,33.42,2036600,33.42
2014-01-07,33.83,33.98,33.62,33.78,1166400,33.55
2014-01-06,33.49,33.74,33.25,33.59,1712500,33.37
2014-01-03,33.44,33.59,33.11,33.36,900400,33.14
2014-01-02,33.81,33.99,33.35,33.41,1338300,33.19
2013-12-31,33.84,34.10,33.69,33.90,674400,33.67
2013-12-30,33.76,34.04,33.74,33.83,721800,33.60
2013-12-27,33.85,33.97,33.75,33.81,404800,33.58
2013-12-26,33.98,34.09,33.72,33.76,541500,33.54
2013-12-24,33.77,33.99,33.64,33.97,312000,33.74
2013-12-23,33.99,34.04,33.64,33.70,819800,33.48
2013-12-20,33.41,34.13,33.36,33.78,3903600,33.55
2013-12-19,33.68,33.68,33.16,33.37,1404600,33.15
2013-12-18,33.64,33.82,32.85,33.72,1733700,33.50
2013-12-17,33.76,33.80,33.47,33.55,1367600,33.33
2013-12-16,33.51,34.01,33.46,33.82,1302700,33.59
2013-12-13,33.75,33.87,33.39,33.51,733500,33.29
2013-12-12,33.57,34.07,33.44,33.61,709200,33.39
2013-12-11,34.16,34.23,33.52,33.58,1047500,33.36
2013-12-10,34.35,34.54,34.07,34.26,1184400,34.03
2013-12-09,34.16,34.46,34.05,34.35,1056700,34.12
2013-12-06,34.24,34.54,34.06,34.18,753600,33.95
2013-12-05,34.25,34.27,33.75,33.99,1023900,33.76
2013-12-04,33.89,34.34,33.73,34.21,1065600,33.98
2013-12-03,34.01,34.43,33.93,34.07,1150100,33.84
2013-12-02,34.37,34.50,34.00,34.01,1642400,33.78
2013-11-29,34.45,34.63,34.20,34.42,1259000,34.19
2013-11-27,34.80,35.17,34.19,34.48,3201600,34.25
2013-11-26,37.89,37.91,35.12,35.32,5847000,35.08
2013-11-25,38.30,38.30,37.86,37.92,555200,37.67
2013-11-22,37.66,38.25,37.56,38.15,617600,37.90
2013-11-21,37.36,37.77,37.32,37.64,779000,37.39
2013-11-20,37.74,37.74,37.13,37.32,688200,37.07
2013-11-19,37.97,38.08,37.42,37.62,685300,37.37
2013-11-18,38.35,38.48,37.98,38.05,832600,37.80
2013-11-15,38.09,38.35,37.90,38.35,450100,38.09
2013-11-14,37.40,38.17,37.40,38.00,803900,37.75
2013-11-13,37.49,37.86,37.28,37.81,492600,37.56
2013-11-12,37.78,38.00,37.42,37.74,986500,37.49
2013-11-11,37.65,37.98,37.52,37.78,896000,37.53
2013-11-08,37.68,37.82,37.02,37.79,1216500,37.54
2013-11-07,38.08,38.17,37.54,37.82,973000,37.57
2013-11-06,40.00,40.00,36.36,37.97,1792700,37.72
2013-11-05,37.30,37.63,36.92,36.96,1354400,36.71
2013-11-04,37.37,37.59,37.15,37.37,871300,37.12
2013-11-01,36.88,37.39,36.88,37.34,691200,37.09
2013-10-31,36.92,37.28,36.44,36.90,777200,36.65
2013-10-30,37.33,37.34,36.84,36.97,692000,36.72
2013-10-29,37.16,37.30,36.94,37.22,557900,36.97
2013-10-28,37.12,37.24,36.79,37.08,973000,36.83
2013-10-25,37.09,37.16,36.68,37.09,825100,36.84
2013-10-24,37.39,37.42,36.94,36.98,626500,36.73
2013-10-23,36.80,37.46,36.71,37.24,827900,36.99
2013-10-22,36.72,37.15,36.65,37.02,765000,36.77
2013-10-21,36.32,36.60,36.18,36.58,599700,36.34
2013-10-18,36.36,36.54,36.14,36.37,536600,36.13
2013-10-17,35.50,36.27,35.35,36.16,773300,35.92
2013-10-16,35.34,35.63,35.28,35.57,621900,35.33
2013-10-15,35.78,35.83,35.12,35.28,613600,35.05
2013-10-14,35.61,35.81,35.23,35.81,605700,35.57
2013-10-11,35.70,35.89,35.60,35.75,694300,35.51
2013-10-10,35.57,35.83,35.19,35.70,749100,35.46
2013-10-09,35.12,35.71,34.97,35.20,626600,34.97
2013-10-08,35.31,35.84,35.09,35.10,976000,34.87
2013-10-07,35.67,35.89,35.47,35.48,445900,35.04
2013-10-04,35.71,36.15,35.62,35.94,627800,35.49
2013-10-03,35.95,35.96,35.40,35.69,561700,35.24
2013-10-02,36.29,36.35,35.94,36.07,762600,35.62
2013-10-01,36.01,36.63,36.01,36.39,1555800,35.93
2013-09-30,35.74,36.29,35.66,36.09,770200,35.64
2013-09-27,35.99,36.19,35.77,35.98,416700,35.53
2013-09-26,35.91,36.27,35.91,36.15,487700,35.70
2013-09-25,36.20,36.39,35.92,35.92,534200,35.47
2013-09-24,36.55,36.69,36.19,36.24,972700,35.79
2013-09-23,35.89,36.61,35.78,36.58,836600,36.12
2013-09-20,36.53,36.59,35.96,36.11,1023600,35.66
2013-09-19,36.63,36.93,36.25,36.43,725700,35.97
2013-09-18,35.79,36.82,35.51,36.50,965800,36.04
2013-09-17,35.03,35.91,35.03,35.85,1131400,35.40
2013-09-16,35.30,35.57,34.85,34.98,665300,34.54
2013-09-13,34.93,35.14,34.86,34.99,379000,34.55
2013-09-12,34.90,35.17,34.73,34.83,612800,34.39
2013-09-11,35.27,35.41,34.81,34.99,609600,34.55
2013-09-10,35.02,35.33,34.85,35.33,521800,34.89
2013-09-09,34.89,35.21,34.75,34.86,528100,34.42
2013-09-06,34.86,35.24,34.64,34.86,612500,34.42
2013-09-05,35.13,35.33,34.81,34.81,464000,34.37
2013-09-04,34.79,35.25,34.45,35.16,846300,34.72
2013-09-03,35.50,35.60,34.63,34.77,1570900,34.33
2013-08-30,35.70,35.74,35.11,35.21,644800,34.77
2013-08-29,35.77,36.12,35.46,35.62,410700,35.17
2013-08-28,35.69,36.03,35.43,35.86,409000,35.41
2013-08-27,35.70,36.05,35.63,35.69,396700,35.24
2013-08-26,36.21,36.29,35.94,36.04,344000,35.59
2013-08-23,35.93,36.29,35.77,36.21,492600,35.76
2013-08-22,35.74,36.03,35.67,35.92,371900,35.47
2013-08-21,35.79,36.13,35.51,35.71,687200,35.26
2013-08-20,35.47,35.99,35.41,35.93,1148100,35.48
2013-08-19,36.09,36.28,35.51,35.51,636000,35.07
2013-08-16,36.58,36.63,35.85,36.05,527400,35.60
2013-08-15,36.91,37.06,36.51,36.60,582800,36.14
2013-08-14,37.68,37.76,36.97,37.22,596800,36.75
2013-08-13,37.70,37.82,37.44,37.66,409900,37.19
2013-08-12,37.92,37.98,37.57,37.75,573400,37.28
2013-08-09,38.24,38.48,37.88,38.04,936600,37.56
2013-08-08,37.56,38.35,37.13,38.31,1044700,37.83
2013-08-07,37.50,37.77,37.37,37.49,875500,37.02
2013-08-06,37.84,37.90,37.43,37.51,683900,37.04
2013-08-05,38.22,38.25,37.74,37.85,610500,37.38
2013-08-02,38.22,38.40,38.05,38.36,520100,37.88
2013-08-01,39.20,39.55,37.21,38.33,1588600,37.85
2013-07-31,37.51,37.70,37.13,37.40,1066100,36.93
2013-07-30,37.70,37.82,37.37,37.47,483800,37.00
2013-07-29,37.56,37.66,37.40,37.48,379100,37.01
2013-07-26,37.67,37.85,37.38,37.58,734800,37.11
2013-07-25,36.91,37.87,36.63,37.82,852100,37.35
2013-07-24,37.18,37.44,36.83,36.92,842300,36.46
2013-07-23,37.00,37.50,36.81,37.32,684700,36.85
2013-07-22,36.53,37.18,36.34,37.05,1034100,36.59
2013-07-19,36.19,36.51,36.18,36.50,572300,36.04
2013-07-18,35.93,36.29,35.90,36.27,524400,35.82
2013-07-17,36.11,36.31,35.57,35.93,877200,35.48
2013-07-16,36.06,36.16,35.48,35.92,725800,35.47
2013-07-15,35.57,36.15,35.50,36.08,478700,35.63
2013-07-12,35.51,35.66,35.27,35.57,446800,35.12
2013-07-11,35.36,35.61,35.23,35.56,615300,35.12
2013-07-10,34.85,35.06,34.50,35.06,1205700,34.62
2013-07-09,34.76,35.19,34.53,34.93,642000,34.49
2013-07-08,34.42,34.88,34.32,34.75,548500,34.11
2013-07-05,34.42,34.51,33.85,34.35,494100,33.72
2013-07-03,34.40,34.46,33.85,34.26,471900,33.63
2013-07-02,34.03,34.57,33.91,34.20,710200,33.57
2013-07-01,68.27,68.76,67.72,68.06,1497600,33.40
2013-06-28,67.64,68.86,67.57,68.20,1281600,33.47
2013-06-27,67.80,68.25,67.58,67.90,761000,33.32
2013-06-26,66.85,67.81,66.85,67.37,1336800,33.06
2013-06-25,66.36,66.65,65.50,66.56,1743600,32.67
2013-06-24,65.36,66.55,64.86,65.98,1033000,32.38
2013-06-21,65.43,66.56,64.39,66.23,1056800,32.50
2013-06-20,67.28,67.30,65.09,65.17,729400,31.98
2013-06-19,68.89,69.77,67.77,67.77,826200,33.26
2013-06-18,68.35,69.23,68.07,69.03,853200,33.88
2013-06-17,68.52,68.91,68.00,68.29,688600,33.51
2013-06-14,67.71,68.61,67.71,68.18,1304800,33.46
2013-06-13,66.49,67.52,66.11,67.48,876200,33.12
2013-06-12,67.75,67.93,66.10,66.48,1044400,32.63
2013-06-11,67.18,67.83,66.83,67.28,459800,33.02
2013-06-10,67.99,68.03,67.24,67.86,313400,33.30
2013-06-07,67.03,68.14,66.71,67.90,826800,33.32
2013-06-06,65.82,66.85,65.70,66.79,975400,32.78
2013-06-05,66.93,67.18,65.65,65.97,1140800,32.38
2013-06-04,67.53,67.81,66.89,67.20,690200,32.98
2013-06-03,67.70,68.19,67.08,67.64,709800,33.20
2013-05-31,68.14,69.19,67.87,67.87,674800,33.31
2013-05-30,68.37,69.65,68.13,68.28,468600,33.51
2013-05-29,68.85,68.85,67.51,68.11,983800,33.43
2013-05-28,69.70,70.16,68.60,69.29,554000,34.01
2013-05-24,69.90,70.21,69.14,69.31,329800,34.02
2013-05-23,69.57,70.53,68.28,70.23,930600,34.47
2013-05-22,71.36,71.95,69.55,69.90,827200,34.31
2013-05-21,71.70,72.25,71.26,71.43,721000,35.06
2013-05-20,71.56,71.86,71.42,71.80,494200,35.24
2013-05-17,71.14,71.90,71.01,71.79,448000,35.23
2013-05-16,71.67,71.79,70.83,70.89,446200,34.79
2013-05-15,71.31,72.19,71.07,71.92,621200,35.30
2013-05-14,70.01,71.65,70.01,71.29,755800,34.99
2013-05-13,70.53,70.62,69.90,70.08,814000,34.39
2013-05-10,70.57,70.85,70.22,70.77,505400,34.73
2013-05-09,72.00,72.24,70.28,70.48,1733000,34.59
2013-05-08,72.11,72.47,71.64,72.00,824400,35.34
2013-05-07,71.87,72.65,71.87,72.54,1275600,35.60
2013-05-06,72.02,72.42,70.98,71.99,1023000,35.33
2013-05-03,72.42,73.18,72.20,72.33,1318400,35.50
2013-05-02,71.04,72.88,70.40,71.94,1216200,35.31
2013-05-01,72.42,72.42,70.83,71.00,1637400,34.84
