Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,31.73,31.77,31.26,31.54,1257600,31.54
2014-01-28,32.10,32.45,32.09,32.35,1138000,31.86
2014-01-27,32.12,32.22,31.75,31.99,1092800,31.51
2014-01-24,32.15,32.24,31.86,32.02,1972300,31.53
2014-01-23,32.20,32.35,31.99,32.13,1199500,31.64
2014-01-22,32.15,32.37,32.08,32.15,710300,31.66
2014-01-21,32.14,32.22,31.82,32.07,1582200,31.58
2014-01-17,31.77,32.20,31.70,31.91,1879400,31.43
2014-01-16,31.10,31.72,31.10,31.68,937700,31.20
2014-01-15,31.04,31.30,30.98,31.25,834400,30.78
2014-01-14,30.75,31.10,30.69,31.04,786800,30.57
2014-01-13,31.01,31.03,30.60,30.68,2006600,30.22
2014-01-10,30.23,30.97,30.23,30.96,1567400,30.49
2014-01-09,30.60,30.62,30.27,30.55,1321900,30.09
2014-01-08,30.40,30.49,30.02,30.43,1438400,29.97
2014-01-07,30.02,30.62,30.00,30.46,2280200,30.00
2014-01-06,30.05,30.50,29.90,30.39,1385100,29.93
2014-01-03,29.56,30.09,29.55,29.92,1060000,29.47
2014-01-02,29.80,29.83,29.32,29.56,1332600,29.11
2013-12-31,30.15,30.31,29.78,29.80,1058800,29.35
2013-12-30,30.13,30.36,30.01,30.14,987100,29.68
2013-12-27,30.49,30.52,29.84,30.14,809400,29.68
2013-12-26,30.40,30.72,30.39,30.42,658400,29.96
2013-12-24,30.02,30.44,30.00,30.23,486500,29.77
2013-12-23,30.12,30.25,29.95,30.04,1144400,29.58
2013-12-20,30.00,30.16,29.88,30.09,2183800,29.63
2013-12-19,30.50,30.70,29.95,29.96,1171000,29.51
2013-12-18,30.21,30.80,29.87,30.58,1498200,30.12
2013-12-17,29.83,30.27,29.66,30.23,1013900,29.77
2013-12-16,30.32,30.41,29.77,29.79,1602600,29.34
2013-12-13,30.28,30.72,29.90,30.19,979300,29.73
2013-12-12,30.62,30.62,30.05,30.12,1520700,29.66
2013-12-11,31.63,31.67,30.64,30.65,1623600,30.19
2013-12-10,32.09,32.25,31.43,31.60,1108100,31.12
2013-12-09,31.51,32.38,31.02,32.18,2238000,31.69
2013-12-06,31.81,32.08,31.37,31.53,1008600,31.05
2013-12-05,31.58,31.80,31.30,31.68,993200,31.20
2013-12-04,31.29,31.90,31.16,31.68,842800,31.20
2013-12-03,31.79,32.03,31.33,31.76,1143100,31.28
2013-12-02,32.54,32.78,32.17,32.19,826200,31.70
2013-11-29,32.92,32.92,32.49,32.69,710500,32.19
2013-11-27,32.30,33.02,32.15,32.87,901000,32.37
2013-11-26,31.87,32.48,31.86,32.29,1163100,31.80
2013-11-25,32.01,32.06,31.75,31.88,590200,31.40
2013-11-22,32.08,32.08,31.68,32.00,841900,31.52
2013-11-21,31.53,32.17,31.35,32.13,907800,31.64
2013-11-20,31.28,31.90,31.12,31.40,867800,30.92
2013-11-19,31.50,31.61,31.12,31.26,620500,30.79
2013-11-18,32.03,32.12,31.51,31.61,738600,31.13
2013-11-15,32.32,32.32,31.80,32.01,1159200,31.53
2013-11-14,32.17,32.68,32.07,32.32,741500,31.83
2013-11-13,31.50,32.25,31.25,32.21,935700,31.72
2013-11-12,31.50,31.58,31.13,31.58,961200,31.10
2013-11-11,31.50,31.85,31.34,31.51,1040500,31.03
2013-11-08,32.51,32.56,30.89,31.45,1751300,30.97
2013-11-07,32.98,33.11,32.63,32.84,1712800,32.34
2013-11-06,32.42,32.85,32.42,32.84,1116600,32.34
2013-11-05,33.16,33.25,32.21,32.40,1489800,31.91
2013-11-04,33.06,33.60,32.70,33.38,998100,32.87
2013-11-01,33.07,33.66,32.62,32.76,1128100,32.26
2013-10-31,33.36,33.72,33.19,33.24,1552000,32.74
2013-10-30,33.40,33.63,32.91,33.43,1384100,32.92
2013-10-29,33.58,33.62,33.31,33.50,1184400,32.99
2013-10-28,34.00,34.00,33.25,33.74,995800,32.76
2013-10-25,33.59,33.94,33.33,33.89,638800,32.90
2013-10-24,33.36,33.57,33.19,33.45,762700,32.47
2013-10-23,33.38,33.42,32.94,33.35,706800,32.38
2013-10-22,32.88,33.45,32.88,33.38,1180200,32.41
2013-10-21,33.24,33.24,32.51,32.84,792200,31.88
2013-10-18,33.39,33.42,32.82,33.12,817700,32.15
2013-10-17,32.35,33.26,32.28,33.17,808400,32.20
2013-10-16,32.03,32.54,31.91,32.40,835000,31.46
2013-10-15,31.81,32.10,31.64,31.72,601600,30.80
2013-10-14,31.60,31.98,31.43,31.96,773900,31.03
2013-10-11,31.38,31.82,31.19,31.82,637000,30.89
2013-10-10,30.98,31.40,30.93,31.37,888100,30.46
2013-10-09,30.43,30.92,30.37,30.64,1060000,29.75
2013-10-08,30.46,30.66,30.30,30.37,726700,29.48
2013-10-07,30.25,30.78,30.13,30.52,767200,29.63
2013-10-04,30.26,30.82,30.22,30.40,808700,29.51
2013-10-03,30.46,30.62,30.02,30.33,1542500,29.45
2013-10-02,30.41,30.57,30.00,30.42,2525600,29.53
2013-10-01,29.99,31.09,29.87,30.66,1462800,29.77
2013-09-30,29.90,30.34,29.60,29.87,928600,29.00
2013-09-27,29.78,30.20,29.75,30.15,686000,29.27
2013-09-26,29.78,29.88,29.53,29.84,754400,28.97
2013-09-25,29.79,30.14,29.55,29.78,666700,28.91
2013-09-24,29.52,30.21,29.38,29.67,1037900,28.80
2013-09-23,29.63,29.75,29.35,29.52,777500,28.66
2013-09-20,30.27,30.30,29.55,29.68,1281500,28.81
2013-09-19,30.38,30.78,30.15,30.18,1350400,29.30
2013-09-18,29.54,30.91,29.41,30.25,2027200,29.37
2013-09-17,29.17,29.87,29.01,29.61,1169600,28.75
2013-09-16,29.99,30.48,29.25,29.32,1131000,28.47
2013-09-13,28.58,29.34,28.53,29.25,1303800,28.40
2013-09-12,28.26,28.51,28.18,28.46,607900,27.63
2013-09-11,28.31,28.44,27.96,28.25,1097300,27.43
2013-09-10,28.33,28.52,28.10,28.36,1338600,27.53
2013-09-09,28.22,28.40,28.00,28.29,834600,27.47
2013-09-06,27.80,28.44,27.75,28.05,1038600,27.23
2013-09-05,28.34,28.53,27.41,27.51,1153000,26.71
2013-09-04,27.67,28.53,27.50,28.37,1626600,27.54
2013-09-03,28.61,28.81,27.37,27.74,1721400,26.93
2013-08-30,28.71,29.00,28.38,28.40,1200400,27.57
2013-08-29,28.53,28.65,28.18,28.58,887000,27.75
2013-08-28,28.90,28.97,28.56,28.59,899700,27.76
2013-08-27,28.80,29.13,28.69,28.88,743500,28.04
2013-08-26,29.24,29.28,28.88,28.97,728400,28.13
2013-08-23,29.01,29.32,28.87,29.12,1251800,28.27
2013-08-22,29.45,29.57,28.82,29.01,1353900,28.16
2013-08-21,28.82,30.10,28.34,29.36,1738900,28.50
2013-08-20,27.95,29.21,27.93,28.99,1054500,28.14
2013-08-19,27.90,28.00,27.54,27.82,1272000,27.01
2013-08-16,28.97,29.11,27.90,27.94,1518900,27.13
2013-08-15,30.03,30.10,28.95,28.98,1557000,28.14
2013-08-14,30.25,30.52,30.16,30.22,751600,29.34
2013-08-13,30.87,30.87,30.05,30.35,1487200,29.47
2013-08-12,30.72,30.90,30.52,30.87,1188500,29.97
2013-08-09,30.61,30.95,30.56,30.70,1127100,29.80
2013-08-08,30.33,30.62,30.07,30.59,1007000,29.70
2013-08-07,30.27,30.41,29.94,30.19,953900,29.31
2013-08-06,30.44,30.68,30.14,30.24,1042300,29.36
2013-08-05,30.04,30.59,29.99,30.41,1210300,29.52
2013-08-02,30.04,30.30,29.85,29.99,1392000,29.12
2013-08-01,32.20,32.59,29.65,29.97,3252300,29.10
2013-07-31,32.47,32.59,31.37,31.83,1449000,30.90
2013-07-30,32.64,32.82,32.09,32.32,565300,31.38
2013-07-29,32.66,32.79,32.11,32.41,684800,31.46
2013-07-26,33.17,33.44,32.83,33.11,705000,31.69
2013-07-25,32.90,33.34,32.51,33.25,2485500,31.82
2013-07-24,34.16,34.25,32.40,32.90,2685400,31.49
2013-07-23,34.16,34.28,33.90,34.10,688400,32.64
2013-07-22,34.16,34.29,33.89,34.15,680400,32.68
2013-07-19,33.95,34.18,33.67,34.08,952500,32.62
2013-07-18,33.83,34.14,33.63,33.87,776300,32.42
2013-07-17,33.27,33.83,33.21,33.70,1291300,32.25
2013-07-16,32.98,33.30,32.87,33.19,1324500,31.76
2013-07-15,32.79,33.22,32.65,32.95,702300,31.54
2013-07-12,32.68,32.84,32.25,32.65,580800,31.25
2013-07-11,32.26,32.86,32.26,32.60,1185000,31.20
2013-07-10,31.47,31.92,31.36,31.79,1115900,30.42
2013-07-09,31.22,31.62,31.01,31.42,834900,30.07
2013-07-08,31.18,31.54,30.91,31.03,892100,29.70
2013-07-05,31.59,31.80,30.17,31.15,1444600,29.81
2013-07-03,31.67,31.69,31.04,31.63,704100,30.27
2013-07-02,31.23,31.95,31.16,31.71,1252500,30.35
2013-07-01,31.33,31.68,31.00,31.26,1076700,29.92
2013-06-28,31.64,31.89,31.00,31.02,8649200,29.69
2013-06-27,31.03,31.69,30.96,31.63,1438600,30.27
2013-06-26,30.42,31.02,30.42,30.75,1452500,29.43
2013-06-25,29.39,30.25,29.15,30.04,1615900,28.75
2013-06-24,29.20,29.86,28.32,29.11,1792400,27.86
2013-06-21,29.47,29.78,28.38,29.53,3790600,28.26
2013-06-20,31.27,31.27,29.07,29.44,2867600,28.18
2013-06-19,32.78,32.87,31.50,31.65,1330000,30.29
2013-06-18,32.39,33.09,32.06,32.73,1168200,31.32
2013-06-17,32.39,32.68,32.04,32.33,931200,30.94
2013-06-14,31.97,33.00,31.91,32.22,1133000,30.84
2013-06-13,31.14,32.15,30.57,32.03,1685700,30.65
2013-06-12,32.06,32.12,31.18,31.23,859200,29.89
2013-06-11,31.98,32.38,31.46,31.90,770600,30.53
2013-06-10,32.57,32.77,32.10,32.21,930300,30.83
2013-06-07,32.69,32.76,31.94,32.52,1013800,31.12
2013-06-06,31.47,32.50,31.11,32.48,1543900,31.09
2013-06-05,31.84,32.08,31.46,31.55,1304000,30.20
2013-06-04,32.52,32.79,31.85,31.91,1150600,30.54
2013-06-03,32.45,32.73,31.42,32.48,1816400,31.09
2013-05-31,32.90,33.35,32.40,32.41,1473400,31.02
2013-05-30,33.10,33.77,32.90,33.03,1680400,31.61
2013-05-29,33.95,33.96,32.11,32.89,2472900,31.48
2013-05-28,34.63,35.35,33.79,33.97,1649000,32.51
2013-05-24,34.40,34.48,33.36,34.04,1899500,32.58
2013-05-23,35.63,35.63,32.55,34.66,3846300,33.17
2013-05-22,37.75,38.41,35.56,36.04,3323300,34.49
2013-05-21,37.04,37.71,37.04,37.61,824900,36.00
2013-05-20,36.93,37.18,36.83,37.05,884200,35.46
2013-05-17,36.66,37.00,36.53,36.91,930000,35.33
2013-05-16,36.43,36.77,36.34,36.60,1593500,35.03
2013-05-15,36.04,36.72,35.83,36.54,1820800,34.97
2013-05-14,35.09,36.06,35.09,35.99,1141000,34.44
2013-05-13,34.77,35.41,34.65,35.14,1339100,33.63
2013-05-10,34.22,34.65,34.18,34.60,1234100,33.11
2013-05-09,34.64,34.73,34.11,34.17,1731800,32.70
2013-05-08,35.21,35.64,34.40,34.85,2093100,33.35
2013-05-07,34.54,34.80,34.37,34.68,1873400,33.19
2013-05-06,34.32,34.96,34.32,34.67,1609100,33.18
2013-05-03,33.99,34.90,33.73,34.33,3071800,32.86
2013-05-02,32.56,33.83,32.56,33.66,2210000,32.21
2013-05-01,32.74,32.84,32.29,32.34,1351600,30.95
2013-04-30,32.63,32.87,32.55,32.87,870000,31.46
2013-04-29,32.27,32.60,32.27,32.55,921900,31.15
2013-04-26,32.72,32.75,32.02,32.14,1476200,30.76
2013-04-25,33.15,33.49,32.81,33.06,1041800,31.20
2013-04-24,32.86,33.18,32.81,33.12,795400,31.26
2013-04-23,33.00,33.13,32.68,32.87,1459300,31.02
2013-04-22,32.81,32.86,32.31,32.80,1040800,30.95
2013-04-19,31.74,32.84,31.64,32.82,1822100,30.97
2013-04-18,32.01,32.05,31.50,31.68,1294800,29.90
2013-04-17,32.17,32.29,31.53,32.00,1613700,30.20
2013-04-16,31.72,32.63,31.42,32.21,1883100,30.40
2013-04-15,32.30,32.57,31.32,31.40,1807000,29.63
2013-04-12,32.45,32.50,31.97,32.40,1703200,30.58
2013-04-11,32.71,33.08,32.42,32.54,1721100,30.71
2013-04-10,32.01,32.72,31.93,32.64,1692500,30.80
2013-04-09,32.01,32.19,31.72,31.98,1238900,30.18
2013-04-08,31.87,32.02,31.52,32.01,1554900,30.21
2013-04-05,31.67,32.05,31.41,31.80,1753800,30.01
2013-04-04,31.54,32.20,31.50,32.00,1700400,30.20
2013-04-03,31.44,31.56,31.20,31.44,1581000,29.67
2013-04-02,31.04,31.61,31.02,31.49,1989600,29.72
2013-04-01,30.48,30.85,30.43,30.82,1698300,29.09
2013-03-28,30.34,30.53,30.15,30.36,2137600,28.65
2013-03-27,29.72,30.27,29.62,30.23,1283100,28.53
2013-03-26,29.33,29.75,29.32,29.74,1070100,28.07
2013-03-25,29.13,29.35,28.95,29.20,1451300,27.56
2013-03-22,28.99,29.07,28.86,29.01,987500,27.38
2013-03-21,29.06,29.27,28.65,28.83,2442200,27.21
2013-03-20,28.49,28.57,28.23,28.53,1253600,26.93
2013-03-19,28.61,28.84,28.23,28.34,1410400,26.75
2013-03-18,28.57,28.73,28.29,28.44,866200,26.84
2013-03-15,28.58,28.81,28.30,28.77,1774400,27.15
2013-03-14,28.41,28.68,28.37,28.60,692600,26.99
2013-03-13,28.31,28.62,28.16,28.44,718300,26.84
2013-03-12,28.36,28.42,28.22,28.31,607400,26.72
2013-03-11,28.17,28.52,27.95,28.36,1199400,26.76
2013-03-08,28.62,28.62,28.14,28.18,1166100,26.59
2013-03-07,28.40,28.61,28.27,28.48,806300,26.88
2013-03-06,28.74,28.74,28.23,28.36,950400,26.76
2013-03-05,28.45,28.68,28.30,28.67,843200,27.06
2013-03-04,27.94,28.45,27.90,28.29,1170600,26.70
2013-03-01,27.89,28.02,27.65,27.95,1205600,26.38
2013-02-28,27.83,28.26,27.80,27.99,1308000,26.42
2013-02-27,27.61,28.06,27.60,27.82,1169300,26.25
2013-02-26,27.40,27.71,27.39,27.65,686700,26.09
2013-02-25,27.87,28.00,27.39,27.39,813100,25.85
2013-02-22,27.68,27.82,27.55,27.81,900900,26.25
2013-02-21,27.62,27.70,27.18,27.55,1323600,26.00
2013-02-20,27.90,27.96,27.54,27.55,1083500,26.00
2013-02-19,27.85,27.91,27.55,27.83,1599800,26.26
2013-02-15,27.49,27.75,27.49,27.75,2773000,26.19
2013-02-14,27.59,27.71,27.48,27.50,1031100,25.95
2013-02-13,27.61,27.78,27.37,27.71,1834500,26.15
2013-02-12,26.65,27.44,26.51,27.36,2130000,25.82
2013-02-11,26.26,26.39,26.15,26.33,1144200,24.85
2013-02-08,25.81,26.27,25.79,26.26,1387900,24.78
2013-02-07,25.80,25.84,25.59,25.75,774600,24.30
2013-02-06,25.56,25.73,25.51,25.73,1027300,24.28
2013-02-05,25.85,25.85,25.56,25.57,1108400,24.13
2013-02-04,25.84,26.01,25.61,25.70,1051400,24.25
2013-02-01,25.71,25.95,25.60,25.87,1192900,24.41
2013-01-31,25.43,25.62,25.29,25.56,1034900,24.12
2013-01-30,25.95,26.02,25.47,25.52,1202800,24.08
2013-01-29,26.03,26.27,25.89,25.94,1351600,24.48
2013-01-28,26.17,26.49,26.12,26.42,1121900,24.51
2013-01-25,25.99,26.09,25.88,26.09,786900,24.20
2013-01-24,25.85,26.00,25.75,25.90,809900,24.03
2013-01-23,25.85,25.91,25.71,25.75,1244400,23.89
2013-01-22,25.52,25.89,25.43,25.85,1617400,23.98
2013-01-18,25.23,25.51,25.06,25.47,2328200,23.63
2013-01-17,24.93,25.25,24.90,25.18,1137000,23.36
2013-01-16,24.82,24.87,24.73,24.80,876800,23.01
2013-01-15,24.77,24.90,24.72,24.82,918800,23.02
2013-01-14,24.80,24.99,24.72,24.78,737200,22.99
2013-01-11,24.75,24.77,24.58,24.75,692100,22.96
2013-01-10,24.87,24.91,24.66,24.71,699400,22.92
2013-01-09,24.83,24.87,24.62,24.74,744800,22.95
2013-01-08,24.71,24.75,24.56,24.72,579600,22.93
2013-01-07,24.65,24.81,24.59,24.67,798200,22.89
2013-01-04,24.59,24.69,24.37,24.66,868000,22.88
2013-01-03,24.36,24.55,24.22,24.48,960200,22.71
2013-01-02,24.59,24.59,24.13,24.30,1440300,22.54
2012-12-31,23.53,23.93,23.41,23.85,993500,22.12
2012-12-28,23.67,23.82,23.51,23.59,1069900,21.88
2012-12-27,23.79,23.85,23.56,23.80,942500,22.08
2012-12-26,23.62,23.80,23.50,23.70,865800,21.99
2012-12-24,23.55,23.64,23.44,23.62,596300,21.91
2012-12-21,23.21,23.68,23.21,23.60,3541800,21.89
2012-12-20,22.96,23.44,22.92,23.33,1325000,21.64
2012-12-19,22.89,23.13,22.80,22.90,1240300,21.24
2012-12-18,22.80,22.87,22.61,22.81,2140200,21.16
2012-12-17,22.79,22.95,22.65,22.81,1120400,21.16
2012-12-14,23.08,23.08,22.63,22.75,622200,21.10
2012-12-13,23.00,23.07,22.70,22.83,609500,21.18
2012-12-12,23.31,23.40,22.96,23.00,780400,21.34
2012-12-11,23.35,23.44,23.25,23.32,655900,21.63
2012-12-10,23.23,23.48,23.18,23.30,743100,21.61
2012-12-07,23.16,23.23,23.00,23.18,544800,21.50
2012-12-06,22.92,23.12,22.92,23.10,572200,21.43
2012-12-05,23.11,23.13,22.80,22.96,791300,21.30
2012-12-04,22.98,23.17,22.96,23.07,860300,21.40
2012-12-03,22.95,23.04,22.81,23.03,1165500,21.36
2012-11-30,22.84,22.93,22.72,22.92,1239000,21.26
2012-11-29,22.85,22.88,22.45,22.79,973700,21.14
2012-11-28,22.85,22.85,22.55,22.67,881900,21.03
2012-11-27,22.88,23.16,22.70,22.90,2093100,21.24
2012-11-26,22.66,22.98,22.65,22.93,1148900,21.27
2012-11-23,22.52,22.72,22.49,22.65,361000,21.01
2012-11-21,22.54,22.64,22.36,22.43,753500,20.81
2012-11-20,22.10,22.44,22.00,22.42,1192400,20.80
2012-11-19,22.18,22.26,21.93,22.05,1108100,20.46
2012-11-16,21.50,22.15,21.47,21.98,2087700,20.39
2012-11-15,21.57,21.67,21.30,21.50,1617700,19.94
2012-11-14,22.21,22.24,21.57,21.62,1109700,20.06
2012-11-13,22.19,22.28,22.12,22.20,1149900,20.59
2012-11-12,22.36,22.39,22.10,22.24,655100,20.63
2012-11-09,22.04,22.46,21.82,22.29,1121400,20.68
2012-11-08,22.70,22.71,22.15,22.15,1397000,20.55
2012-11-07,22.82,22.96,22.57,22.74,1600000,21.10
2012-11-06,22.89,23.00,22.67,22.94,764300,21.28
2012-11-05,23.04,23.07,22.64,22.74,772100,21.10
2012-11-02,23.35,23.38,22.97,22.97,819700,21.31
2012-11-01,23.04,23.34,22.83,23.19,1283800,21.51
2012-10-31,22.98,23.14,22.75,22.94,1371400,21.28
2012-10-26,23.65,23.65,22.88,22.95,1540700,20.88
2012-10-25,23.89,23.91,23.36,23.64,753400,21.51
2012-10-24,23.52,23.79,23.45,23.70,793900,21.56
2012-10-23,23.71,23.89,23.47,23.51,1379800,21.39
2012-10-22,24.14,24.14,23.82,24.01,711400,21.85
2012-10-19,24.19,24.35,24.03,24.12,1262600,21.95
2012-10-18,23.64,24.28,23.63,24.24,1565200,22.06
2012-10-17,23.57,23.65,23.30,23.56,1063200,21.44
2012-10-16,23.44,23.68,23.36,23.64,781300,21.51
2012-10-15,23.15,23.44,23.00,23.39,728400,21.28
2012-10-12,23.38,23.46,23.13,23.15,726000,21.06
2012-10-11,23.45,23.52,23.31,23.38,778900,21.27
2012-10-10,23.14,23.28,23.12,23.28,643200,21.18
2012-10-09,23.16,23.24,23.05,23.12,865600,21.04
2012-10-08,23.06,23.23,23.00,23.09,854600,21.01
2012-10-05,23.20,23.21,23.01,23.08,731400,21.00
2012-10-04,23.21,23.25,22.96,23.09,962800,21.01
2012-10-03,23.04,23.26,22.95,23.07,1039200,20.99
2012-10-02,22.76,23.03,22.75,23.01,1134100,20.94
2012-10-01,22.85,22.89,22.31,22.65,1556600,20.61
2012-09-28,22.66,22.88,22.55,22.73,1239200,20.68
2012-09-27,23.00,23.01,22.67,22.67,1975600,20.63
2012-09-26,22.97,23.12,22.84,22.88,1205500,20.82
2012-09-25,23.29,23.33,22.90,22.90,1484900,20.84
2012-09-24,23.27,23.38,23.10,23.21,1627200,21.12
2012-09-21,23.54,23.59,23.18,23.26,3000600,21.16
2012-09-20,23.84,23.92,23.47,23.53,1024700,21.41
2012-09-19,24.18,24.24,23.89,23.89,931100,21.74
2012-09-18,24.25,24.25,24.03,24.09,1226500,21.92
2012-09-17,24.51,24.60,24.26,24.40,843800,22.20
2012-09-14,24.84,25.00,24.50,24.58,1176500,22.36
2012-09-13,24.56,24.89,24.56,24.75,996000,22.52
2012-09-12,24.62,24.65,24.40,24.59,540100,22.37
2012-09-11,24.38,24.52,24.31,24.48,563900,22.27
2012-09-10,24.49,24.53,24.32,24.38,661000,22.18
2012-09-07,24.82,24.82,24.46,24.50,743800,22.29
2012-09-06,24.53,24.71,24.48,24.67,1156700,22.45
2012-09-05,24.32,24.41,24.21,24.39,894500,22.19
2012-09-04,24.11,24.41,23.81,24.39,785200,22.19
2012-08-31,24.31,24.37,23.86,24.02,1308800,21.86
2012-08-30,23.80,24.22,23.75,24.20,801700,22.02
2012-08-29,23.79,23.99,23.73,23.90,621400,21.75
2012-08-28,23.85,23.92,23.67,23.76,722800,21.62
2012-08-27,23.60,23.90,23.60,23.87,512900,21.72
2012-08-24,23.52,23.63,23.45,23.59,480700,21.46
2012-08-23,23.64,23.65,23.39,23.50,515800,21.38
2012-08-22,23.80,23.80,23.37,23.61,850300,21.48
2012-08-21,24.02,24.09,23.83,23.86,668200,21.71
2012-08-20,23.94,23.99,23.78,23.96,665300,21.80
2012-08-17,23.82,23.91,23.66,23.91,763400,21.76
2012-08-16,23.59,23.86,23.35,23.86,963000,21.71
2012-08-15,23.52,23.65,23.33,23.48,961700,21.36
2012-08-14,23.66,23.75,23.50,23.59,699400,21.46
2012-08-13,23.54,23.60,23.36,23.54,628600,21.42
2012-08-10,23.59,23.60,23.37,23.52,1055600,21.40
2012-08-09,23.73,23.89,23.45,23.55,695400,21.43
2012-08-08,23.78,23.78,23.63,23.72,569100,21.58
2012-08-07,24.11,24.11,23.69,23.81,807500,21.66
2012-08-06,24.19,24.29,24.01,24.07,481600,21.90
2012-08-03,24.28,24.40,23.99,24.10,666400,21.93
2012-08-02,24.09,24.12,23.80,24.12,547500,21.95
2012-08-01,24.34,24.51,24.10,24.11,848400,21.94
2012-07-31,24.21,24.34,24.15,24.24,807800,22.06
2012-07-30,23.96,24.37,23.84,24.22,1056200,22.04
2012-07-27,23.90,24.06,23.65,23.88,1142800,21.73
2012-07-26,24.27,24.36,23.83,23.95,771500,21.41
2012-07-25,23.98,24.11,23.72,23.93,1064200,21.39
2012-07-24,24.10,24.19,23.72,23.86,1109400,21.33
2012-07-23,23.80,24.09,23.68,24.01,571700,21.46
2012-07-20,24.00,24.14,23.90,23.98,632300,21.44
2012-07-19,24.28,24.36,23.94,24.11,712600,21.55
2012-07-18,24.33,24.43,24.22,24.30,950600,21.72
2012-07-17,24.15,24.34,24.10,24.34,1170100,21.76
2012-07-16,23.76,24.24,23.73,24.04,932500,21.49
2012-07-13,23.50,23.85,23.37,23.74,738900,21.22
2012-07-12,23.10,23.51,22.96,23.39,691100,20.91
2012-07-11,23.24,23.28,23.06,23.18,758200,20.72
2012-07-10,23.50,23.57,23.17,23.28,1116700,20.81
2012-07-09,23.22,23.45,23.13,23.44,808400,20.95
2012-07-06,22.79,23.35,22.79,23.31,934000,20.84
2012-07-05,23.10,23.15,22.94,23.02,733500,20.58
2012-07-03,23.00,23.14,22.89,23.03,590100,20.59
2012-07-02,22.61,23.02,22.54,23.01,1111400,20.57
2012-06-29,22.95,23.09,22.43,22.50,1686600,20.11
2012-06-28,21.79,22.67,21.72,22.64,2227100,20.24
2012-06-27,21.71,21.93,21.65,21.90,1042500,19.58
2012-06-26,21.70,21.84,21.40,21.72,1360500,19.42
2012-06-25,21.72,21.84,21.54,21.64,889600,19.34
2012-06-22,21.95,22.02,21.86,21.93,1506600,19.60
